set,group_id,apul,peve,ptua,swissprot_accession,protein_name,evalue,source,go_terms,marker_family,subcategory,confidence,justification,reference
growth,OG_00179,FUN_000872-T1,Peve_00002057,Pocillopora_meandrina_HIv1___RNAseq.g1815.t1,Q08288,Cell growth-regulating nucleolar protein (Ly1 antibody-reactive protein) (Protein expressed in male leptotene and zygotene spermatocytes 264) (MLZ-264),2.3e-39,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_00230,FUN_000973-T1,Peve_00007808,Pocillopora_meandrina_HIv1___RNAseq.g29134.t1,Q8WWB5,PIH1 domain-containing protein 2,1.4e-35,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_00315,FUN_001122-T1,Peve_00029372,Pocillopora_meandrina_HIv1___TS.g6543.t1,O75691,Small subunit processome component 20 homolog (Down-regulated in metastasis protein) (Novel nucleolar protein 73) (NNP73) (Protein Key-1A6),8.1e-220,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_01010,FUN_004437-T1,Peve_00033214,Pocillopora_meandrina_HIv1___RNAseq.g11487.t2,Q8NI36,WD repeat-containing protein 36 (T-cell activation WD repeat-containing protein) (TA-WDRP),1.5e-236,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_01467,FUN_006003-T1,Peve_00036052,Pocillopora_meandrina_HIv1___RNAseq.g19926.t1,O43818,U3 small nucleolar RNA-interacting protein 2 (RRP9 homolog) (U3 small nucleolar ribonucleoprotein-associated 55 kDa protein) (U3 snoRNP-associated 55 kDa protein) (U3-55K),7.7e-54,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_01723,FUN_007011-T1,Peve_00021642,Pocillopora_meandrina_HIv1___RNAseq.g20537.t1,Q9Y2L1,Exosome complex exonuclease RRP44 (EC 3.1.13.-) (EC 3.1.26.-) (Protein DIS3 homolog) (Ribosomal RNA-processing protein 44),7.1e-173,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_02048,FUN_008256-T1,Peve_00035501,Pocillopora_meandrina_HIv1___RNAseq.g17961.t1,Q9Y6V7,Probable ATP-dependent RNA helicase DDX49 (EC 3.6.4.13) (DEAD box protein 49),1.1999999999999999e-141,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_02128,FUN_008428-T1,Peve_00009801,Pocillopora_meandrina_HIv1___RNAseq.g18051.t1,Q9NQT4,Exosome complex component RRP46 (Chronic myelogenous leukemia tumor antigen 28) (Exosome component 5) (Ribosomal RNA-processing protein 46) (p12B),7.2e-36,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_02225,FUN_008629-T1,Peve_00035603,Pocillopora_meandrina_HIv1___RNAseq.g14909.t1,Q96G21,U3 small nucleolar ribonucleoprotein protein IMP4 (U3 snoRNP protein IMP4) (Brix domain-containing protein 4),3.4e-110,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_02262,FUN_008710-T1,Peve_00025636,Pocillopora_meandrina_HIv1___RNAseq.g25661.t1,O43463,Histone-lysine N-methyltransferase SUV39H1 (EC 2.1.1.355) (Histone H3-K9 methyltransferase 1) (H3-K9-HMTase 1) (Lysine N-methyltransferase 1A) (Position-effect variegation 3-9 homolog) (Suppressor of variegation 3-9 homolog 1) (Su(var)3-9 homolog 1),1.7000000000000002e-74,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_03272,FUN_013145-T1,Peve_00027383,Pocillopora_meandrina_HIv1___RNAseq.g13822.t1,Q01780,Exosome complex component 10 (EC 3.1.13.-) (Autoantigen PM/Scl 2) (P100 polymyositis-scleroderma overlap syndrome-associated autoantigen) (Polymyositis/scleroderma autoantigen 100 kDa) (PM/Scl-100) (Polymyositis/scleroderma autoantigen 2),2.4e-159,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_04123,FUN_016504-T1,Peve_00016812,Pocillopora_meandrina_HIv1___RNAseq.g9720.t1,Q9Y2X3,Nucleolar protein 58 (Nucleolar protein 5),1.6e-174,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_04145,FUN_016607-T1,Peve_00010246,Pocillopora_meandrina_HIv1___RNAseq.g9625.t1,Q6AYD3,Proliferation-associated protein 2G4,7.3e-106,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_04922,FUN_022980-T1,Peve_00043402,Pocillopora_meandrina_HIv1___RNAseq.g3752.t1,O00567,Nucleolar protein 56 (Nucleolar protein 5A),3.2000000000000003e-170,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_05230,FUN_023643-T1,Peve_00027825,Pocillopora_meandrina_HIv1___RNAseq.g17818.t1,Q9DAA6,Exosome complex component CSL4 (Exosome component 1),2.7000000000000004e-44,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_05281,FUN_023943-T2,Peve_00023222,Pocillopora_meandrina_HIv1___RNAseq.g18860.t1,Q9JHI7,Exosome complex component RRP45 (Autoantigen PM/Scl 1) (Exosome component 9) (P75 polymyositis-scleroderma overlap syndrome-associated autoantigen) (Polymyositis/scleroderma autoantigen 1) (Polymyositis/scleroderma autoantigen 75 kDa) (PM/Scl-75),3.4e-104,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_06202,FUN_028138-T1,Peve_00042833,Pocillopora_meandrina_HIv1___RNAseq.g15552.t1,Q6DRI7,ATP-dependent RNA helicase DDX51 (EC 3.6.4.13) (DEAD box protein 51),1.1000000000000001e-125,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_06545,FUN_029414-T3,Peve_00018038,Pocillopora_meandrina_HIv1___RNAseq.g17125.t1,Q9CZU3,Exosome RNA helicase MTR4 (EC 3.6.4.13) (ATP-dependent helicase SKIV2L2) (Superkiller viralicidic activity 2-like 2) (TRAMP-like complex helicase),0.0,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_07072,FUN_032308-T1,Peve_00001539,Pocillopora_meandrina_HIv1___RNAseq.g24763.t1,Q3B8Q1,Nucleolar RNA helicase 2 (EC 3.6.4.13) (DEAD box protein 21) (Gu-alpha) (Nucleolar RNA helicase Gu) (Nucleolar RNA helicase II) (RH II/Gu),2.1999999999999998e-147,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_07225,FUN_032831-T1,Peve_00014559,Pocillopora_meandrina_HIv1___RNAseq.g24970.t1,Q9Y4W2,Ribosomal biogenesis protein LAS1L (Endoribonuclease LAS1L) (EC 3.1.-.-) (Protein LAS1 homolog),3.1e-21,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_08024,FUN_035679-T1,Peve_00025446,Pocillopora_meandrina_HIv1___RNAseq.g28146.t1,Q15024,Exosome complex component RRP42 (Exosome component 7) (Ribosomal RNA-processing protein 42) (p8),4.0000000000000004e-98,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_08662,FUN_037878-T1,Peve_00027465,Pocillopora_meandrina_HIv1___RNAseq.g10658.t1,A7S7F2,Bystin,5.7e-42,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_09490,FUN_041526-T1,Peve_00017090,Pocillopora_meandrina_HIv1___RNAseq.g2461.t1,P78345,Ribonuclease P protein subunit p38 (RNaseP protein p38),2.5e-13,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_09816,FUN_042644-T1,Peve_00030045,Pocillopora_meandrina_HIv1___RNAseq.g11519.t1,Q68EI0,WD repeat-containing protein 18,6.7e-47,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_09971,FUN_043153-T1,Peve_00011383,Pocillopora_meandrina_HIv1___RNAseq.g6828.t1,Q3SZ21,Ribonuclease P protein subunit p30 (RNaseP protein p30) (RNase P subunit 2),8.9e-42,GO,GO:0006364(rRNA processing),GO:rRNA processing,rRNA processing,high,Annotated with GO:0006364(rRNA processing).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_00368,FUN_001209-T1,Peve_00033820,Pocillopora_meandrina_HIv1___RNAseq.g29516.t1,Q1JQD2,Glutamate-rich WD repeat-containing protein 1,2.6000000000000002e-110,GO,GO:0042254(ribosome biogenesis),GO:ribosome biogenesis,ribosome biogenesis,high,Annotated with GO:0042254(ribosome biogenesis).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_02516,FUN_010575-T1,Peve_00032734,Pocillopora_meandrina_HIv1___RNAseq.g21523.t1,Q9C091,GREB1-like protein (Growth regulation by estrogen in breast cancer 1-like protein),6.8e-250,GO,GO:0042254(ribosome biogenesis),GO:ribosome biogenesis,ribosome biogenesis,high,Annotated with GO:0042254(ribosome biogenesis).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_02836,FUN_011855-T1,Peve_00034401,Pocillopora_meandrina_HIv1___RNAseq.g23382.t1,Q5R673,Ribosomal oxygenase 2 (Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA) (EC 1.14.11.79) (Histone lysine demethylase MINA) (MYC-induced nuclear antigen),5.4e-54,GO,GO:0042254(ribosome biogenesis),GO:ribosome biogenesis,ribosome biogenesis,high,Annotated with GO:0042254(ribosome biogenesis).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_04623,FUN_022328-T1,Peve_00021648,Pocillopora_meandrina_HIv1___RNAseq.g4648.t1,Q8IY37,Probable ATP-dependent RNA helicase DHX37 (EC 3.6.4.13) (DEAH box protein 37),5.7e-289,GO,GO:0042254(ribosome biogenesis),GO:ribosome biogenesis,ribosome biogenesis,high,Annotated with GO:0042254(ribosome biogenesis).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_06029,FUN_026590-T1,Peve_00043908,Pocillopora_meandrina_HIv1___RNAseq.g4497.t1,A4D1E9,GTP-binding protein 10 (Protein obg homolog 2) (ObgH2),1.5e-65,GO,GO:0042254(ribosome biogenesis),GO:ribosome biogenesis,ribosome biogenesis,high,Annotated with GO:0042254(ribosome biogenesis).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_06771,FUN_031635-T1,Peve_00032682,Pocillopora_meandrina_HIv1___RNAseq.g5688.t1,Q9DBY8,Nuclear valosin-containing protein-like (NVLp) (Nuclear VCP-like protein),1.9e-102,GO,GO:0006364(rRNA processing); GO:0042254(ribosome biogenesis),GO:ribosome biogenesis,ribosome biogenesis,high,Annotated with GO:0006364(rRNA processing); GO:0042254(ribosome biogenesis).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_06980,FUN_032117-T1,Peve_00030232,Pocillopora_meandrina_HIv1___TS.g24094.t1,Q80U96,Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog),0.0,GO,GO:0042254(ribosome biogenesis),GO:ribosome biogenesis,ribosome biogenesis,high,Annotated with GO:0042254(ribosome biogenesis).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_07645,FUN_034460-T1,Peve_00025955,Pocillopora_meandrina_HIv1___RNAseq.g25842.t2,Q8QGX4,DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1),3.2e-308,GO,GO:0042254(ribosome biogenesis),GO:ribosome biogenesis,ribosome biogenesis,high,Annotated with GO:0042254(ribosome biogenesis).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_08588,FUN_037697-T1,Peve_00044127,Pocillopora_meandrina_HIv1___RNAseq.g1357.t1,Q6NZQ2,ATP-dependent DNA helicase DDX31 (EC 5.6.2.-) (DEAD box protein 31) (Probable ATP-dependent RNA helicase DDX31) (EC 3.6.4.13),1.1999999999999999e-148,GO,GO:0042254(ribosome biogenesis),GO:ribosome biogenesis,ribosome biogenesis,high,Annotated with GO:0042254(ribosome biogenesis).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_01364,FUN_005307-T1,Peve_00003314,Pocillopora_meandrina_HIv1___RNAseq.g8172.t1,A7YSY2,ATPase family gene 2 protein homolog B (EC 3.6.4.10) (AFG2 AAA ATPase homolog B) (Ribosome biogenesis protein SPATA5L1) (Spermatogenesis-associated protein 5-like protein 1),4.1000000000000005e-161,curated,,Ribosome biogenesis / rRNA processing,ribosome biogenesis,high,Ribosome-biogenesis / rRNA-processing factor; ribosome production sets anabolic capacity.,"Warner 1999, Trends Biochem Sci 24:437-440 (economics of ribosome biosynthesis; ribosome content scales with growth/biomass)"
growth,OG_02154,FUN_008484-T2,Peve_00028794,Pocillopora_meandrina_HIv1___RNAseq.g30394.t1,Q8BK35,Ribosome biogenesis protein NOP53 (Glioma tumor suppressor candidate region gene 2 protein) (PreS1-binding protein),5.4e-35,curated,,Ribosome biogenesis / rRNA processing,ribosome biogenesis,high,Ribosome-biogenesis / rRNA-processing factor; ribosome production sets anabolic capacity.,"Warner 1999, Trends Biochem Sci 24:437-440 (economics of ribosome biosynthesis; ribosome content scales with growth/biomass)"
growth,OG_02283,FUN_008780-T1,Peve_00042607,Pocillopora_meandrina_HIv1___RNAseq.g12692.t1,Q9BRU9,rRNA-processing protein UTP23 homolog,2.1000000000000002e-36,curated,,Ribosome biogenesis / rRNA processing,ribosome biogenesis,high,Ribosome-biogenesis / rRNA-processing factor; ribosome production sets anabolic capacity.,"Warner 1999, Trends Biochem Sci 24:437-440 (economics of ribosome biosynthesis; ribosome content scales with growth/biomass)"
growth,OG_03434,FUN_014491-T1,Peve_00013879,Pocillopora_meandrina_HIv1___RNAseq.g22517.t1,Q5ZIY4,Ribosome maturation protein SBDS (Shwachman-Bodian-Diamond syndrome protein homolog),1.1000000000000001e-101,GO+curated,GO:0006364(rRNA processing),Ribosome biogenesis / rRNA processing,ribosome biogenesis,high,Ribosome-biogenesis / rRNA-processing factor; ribosome production sets anabolic capacity.,"Warner 1999, Trends Biochem Sci 24:437-440 (economics of ribosome biosynthesis; ribosome content scales with growth/biomass)"
growth,OG_05269,FUN_023922-T1,Peve_00017665,Pocillopora_meandrina_HIv1___TS.g28130.t1a,Q3UMC0,ATPase family gene 2 protein homolog A (EC 3.6.4.10) (AFG2 AAA ATPase homolog A) (Ribosome biogenesis protein SPATA5) (Spermatogenesis-associated factor protein) (Spermatogenesis-associated protein 5),3.2e-207,curated,,Ribosome biogenesis / rRNA processing,ribosome biogenesis,high,Ribosome-biogenesis / rRNA-processing factor; ribosome production sets anabolic capacity.,"Warner 1999, Trends Biochem Sci 24:437-440 (economics of ribosome biosynthesis; ribosome content scales with growth/biomass)"
growth,OG_06192,FUN_028114-T1,Peve_00019695,Pocillopora_meandrina_HIv1___RNAseq.g15565.t1,P56182,Ribosomal RNA processing protein 1 homolog A (Novel nuclear protein 1) (NNP-1) (Nucleolar protein Nop52) (RRP1-like protein),2.3e-47,GO+curated,GO:0006364(rRNA processing),Ribosome biogenesis / rRNA processing,ribosome biogenesis,high,Ribosome-biogenesis / rRNA-processing factor; ribosome production sets anabolic capacity.,"Warner 1999, Trends Biochem Sci 24:437-440 (economics of ribosome biosynthesis; ribosome content scales with growth/biomass)"
growth,OG_10141,FUN_043530-T1,Peve_00011963,Pocillopora_meandrina_HIv1___RNAseq.g8041.t1,O35130,Ribosomal RNA small subunit methyltransferase NEP1 (EC 2.1.1.-) (18S rRNA (pseudouridine(1248)-N1)-methyltransferase) (18S rRNA Psi1248 methyltransferase) (Nucleolar protein EMG1 homolog) (Protein C2f) (Ribosome biogenesis protein NEP1),6.3e-83,curated,,Ribosome biogenesis / rRNA processing,ribosome biogenesis,high,Ribosome-biogenesis / rRNA-processing factor; ribosome production sets anabolic capacity.,"Warner 1999, Trends Biochem Sci 24:437-440 (economics of ribosome biosynthesis; ribosome content scales with growth/biomass)"
growth,OG_01738,FUN_007057-T1,Peve_00003777,Pocillopora_meandrina_HIv1___TS.g29459.t2,Q8BX17,Gem-associated protein 5 (Gemin5),2.2e-212,GO,GO:0006412(translation),GO:translation,translation,high,Annotated with GO:0006412(translation).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_07200,FUN_032709-T2,Peve_00029921,Pocillopora_meandrina_HIv1___RNAseq.g29873.t1,F1QB54,Polyadenylate-binding protein 1A (PABP-1A) (Poly(A)-binding protein 1A),1.0999999999999999e-187,GO,GO:0006412(translation),GO:translation,translation,high,Annotated with GO:0006412(translation).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_10166,FUN_043565-T1,Peve_00008972,Pocillopora_meandrina_HIv1___RNAseq.g8053.t1a,Q6MG08,ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50),7.8e-198,GO,GO:0006412(translation); GO:0006413(translational initiation),GO:translation,translation,high,Annotated with GO:0006412(translation); GO:0006413(translational initiation).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
growth,OG_01161,FUN_004780-T1,Peve_00037744,Pocillopora_meandrina_HIv1___RNAseq.g6689.t1,Q6P3J5,Elongation factor 2b (EF-2) (EC 3.6.5.-),0.0,GO+curated,GO:0006414(translational elongation),Translation elongation factor,translation (elongation),high,Cytoplasmic translation elongation / release factor (eEF1/eEF2).,"Sonenberg & Hinnebusch 2009, Cell 136:731-745 (regulation of eukaryotic translation initiation)"
growth,OG_08861,FUN_038247-T1,Peve_00007988,Pocillopora_meandrina_HIv1___RNAseq.g923.t1,P15170,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Eukaryotic peptide chain release factor subunit 3a) (eRF3a) (EC 3.6.5.-) (G1 to S phase transition protein 1 homolog),3.8e-190,GO+curated,GO:0006412(translation),Translation elongation factor,translation (elongation),high,Cytoplasmic translation elongation / release factor (eEF1/eEF2).,"Sonenberg & Hinnebusch 2009, Cell 136:731-745 (regulation of eukaryotic translation initiation)"
