set,group_id,apul,peve,ptua,swissprot_accession,protein_name,evalue,source,go_terms,marker_family,subcategory,confidence,justification,reference
antioxidant,OG_03355,FUN_013591-T1,Peve_00018178,Pocillopora_meandrina_HIv1___RNAseq.g13491.t1,Q9Y2Q3,Glutathione S-transferase kappa 1 (EC 2.5.1.18) (GST 13-13) (GST class-kappa) (GSTK1-1) (hGSTK1) (Glutathione S-transferase subunit 13),6.900000000000001e-66,GO+curated,GO:0004602(glutathione peroxidase activity); GO:0006749(glutathione metabolic process),Glutathione S-transferase,conjugation/detox,high,Conjugates GSH to oxidised products.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_06394,FUN_029045-T1,Peve_00024363,Pocillopora_meandrina_HIv1___RNAseq.g20806.t1,P21266,Glutathione S-transferase Mu 3 (EC 2.5.1.18) (GST class-mu 3) (GSTM3-3) (hGSTM3-3),1.7e-66,GO+curated,GO:0006749(glutathione metabolic process),Glutathione S-transferase,conjugation/detox,high,Conjugates GSH to oxidised products.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_07282,FUN_033509-T1,Peve_00009172,Pocillopora_meandrina_HIv1___RNAseq.g24179.t1,P14942,Glutathione S-transferase alpha-4 (EC 2.5.1.18) (GST 8-8) (GST A4-4) (GST K) (Glutathione S-transferase Yk) (GST Yk),1.5e-17,GO+curated,GO:0006749(glutathione metabolic process),Glutathione S-transferase,conjugation/detox,high,Conjugates GSH to oxidised products.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_00851,FUN_004110-T1,Peve_00015644,Pocillopora_meandrina_HIv1___RNAseq.g11664.t1,Q5ZL21,Cyanocobalamin reductase / alkylcobalamin dealkylase (Alkylcobalamin:glutathione S-alkyltransferase) (EC 2.5.1.151) (CblC) (Cyanocobalamin reductase (cyanide-eliminating)) (EC 1.16.1.6) (Methylmalonic aciduria and homocystinuria type C protein) (MMACHC),3.2e-64,GO,GO:0006749(glutathione metabolic process),GO:glutathione metabolic process,glutathione metabolic process,high,Annotated with GO:0006749(glutathione metabolic process).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
antioxidant,OG_00984,FUN_004368-T1,Peve_00024412,Pocillopora_meandrina_HIv1___RNAseq.g4893.t1,Q60928,Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain],8.2e-101,GO,GO:0006749(glutathione metabolic process),GO:glutathione metabolic process,glutathione metabolic process,high,Annotated with GO:0006749(glutathione metabolic process).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
antioxidant,OG_01803,FUN_007337-T1,Peve_00043689,Pocillopora_meandrina_HIv1___RNAseq.g30307.t1,Q6P7Q4,Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase),3.1e-65,GO,GO:0006749(glutathione metabolic process),GO:glutathione metabolic process,glutathione metabolic process,high,Annotated with GO:0006749(glutathione metabolic process).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
antioxidant,OG_04705,FUN_022506-T1,Peve_00002460,Pocillopora_meandrina_HIv1___RNAseq.g4262.t1,P58742,Aladin (Adracalin),3.7e-115,GO,GO:0006749(glutathione metabolic process),GO:glutathione metabolic process,glutathione metabolic process,high,Annotated with GO:0006749(glutathione metabolic process).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
antioxidant,OG_08506,FUN_037409-T1,Peve_00028255,Pocillopora_meandrina_HIv1___RNAseq.g10935.t1,Q9C8L4,"Persulfide dioxygenase ETHE1 homolog, mitochondrial (EC 1.13.11.18) (Glyoxalase II) (Glx II) (Sulfur dioxygenase ETHE1)",8.899999999999999e-75,GO,GO:0006749(glutathione metabolic process),GO:glutathione metabolic process,glutathione metabolic process,high,Annotated with GO:0006749(glutathione metabolic process).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
antioxidant,OG_08949,FUN_038422-T1,Peve_00000123,Pocillopora_meandrina_HIv1___RNAseq.g1181.t1,Q5ZI23,"Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)",4.0000000000000003e-104,GO,GO:0006749(glutathione metabolic process),GO:glutathione metabolic process,glutathione metabolic process,high,Annotated with GO:0006749(glutathione metabolic process).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
antioxidant,OG_07018,FUN_032194-T1,Peve_00017482,Pocillopora_meandrina_HIv1___RNAseq.g24398.t1,P48506,Glutamate--cysteine ligase catalytic subunit (EC 6.3.2.2) (GCS heavy chain) (Gamma-ECS) (Gamma-glutamylcysteine synthetase),4.5e-227,GO+curated,GO:0045454(cell redox homeostasis),Glutathione synthesis,glutathione system,high,Sets the cellular GSH pool underlying total antioxidant capacity.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_09255,FUN_040054-T1,Peve_00016114,Pocillopora_meandrina_HIv1___RNAseq.g8468.t1,O09172,Glutamate--cysteine ligase regulatory subunit (GCS light chain) (Gamma-ECS regulatory subunit) (Gamma-glutamylcysteine synthetase regulatory subunit) (Glutamate--cysteine ligase modifier subunit),1.6000000000000002e-48,GO+curated,GO:0006749(glutathione metabolic process),Glutathione synthesis,glutathione system,high,Sets the cellular GSH pool underlying total antioxidant capacity.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_00228,FUN_000971-T1,Peve_00007801,Pocillopora_meandrina_HIv1___RNAseq.g29136.t1,Q2QRV3,Alpha-dioxygenase PIOX (EC 1.13.11.92) (Pathogen-induced oxygenase),1.7999999999999998e-96,GO,GO:0004601(peroxidase activity),GO:peroxidase activity,peroxidase activity,high,Annotated with GO:0004601(peroxidase activity).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
antioxidant,OG_04170,FUN_016651-T1,Peve_00042780,Pocillopora_meandrina_HIv1___TS.g6961.t1,Q6TMK4,Peroxinectin A (EC 1.11.1.7),3.3e-86,GO,GO:0004601(peroxidase activity); GO:0042744(hydrogen peroxide catabolic process),GO:peroxidase activity,peroxidase activity,high,Annotated with GO:0004601(peroxidase activity); GO:0042744(hydrogen peroxide catabolic process).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
antioxidant,OG_06816,FUN_031719-T1,Peve_00039098,Pocillopora_meandrina_HIv1___RNAseq.g5470.t1,P80025,Lactoperoxidase (LPO) (EC 1.11.1.7),4.4e-55,GO,GO:0004601(peroxidase activity); GO:0042744(hydrogen peroxide catabolic process),GO:peroxidase activity,peroxidase activity,high,Annotated with GO:0004601(peroxidase activity); GO:0042744(hydrogen peroxide catabolic process).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
antioxidant,OG_03122,FUN_012476-T1,Peve_00004005,Pocillopora_meandrina_HIv1___RNAseq.g23990.t1,O15247,Chloride intracellular channel protein 2 (Glutaredoxin-like oxidoreductase CLIC2) (EC 1.8.-.-) (Glutaredoxin-like peroxidase CLIC2) (EC 1.11.1.-) (XAP121),1.5e-23,GO+curated,GO:0004602(glutathione peroxidase activity),Glutaredoxin,thiol-redox,high,Glutathione-dependent thiol oxidoreductase.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_02190,FUN_008544-T1,Peve_00013775,Pocillopora_meandrina_HIv1___RNAseq.g6331.t2,Q99MD6,Thioredoxin reductase 3 (EC 1.8.1.9) (Thioredoxin and glutathione reductase) (Thioredoxin reductase TR2),1.7000000000000002e-209,GO+curated,GO:0006749(glutathione metabolic process); GO:0045454(cell redox homeostasis),Thioredoxin / reductase,thiol-redox,high,Maintains thiol-redox balance; recycles peroxiredoxins.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_07042,FUN_032241-T1,Peve_00023301,Pocillopora_meandrina_HIv1___TS.g12785.t1,Q9JLT4,"Thioredoxin reductase 2, mitochondrial (EC 1.8.1.9) (Thioredoxin reductase TR3)",1.2e-193,GO+curated,GO:0045454(cell redox homeostasis),Thioredoxin / reductase,thiol-redox,high,Maintains thiol-redox balance; recycles peroxiredoxins.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_08176,FUN_035998-T1,Peve_00041845,Pocillopora_meandrina_HIv1___RNAseq.g12328.t1b,Q5EAC2,Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase),1.8e-108,curated,,Glutathione synthesis,glutathione system,moderate,Sets the cellular GSH pool underlying total antioxidant capacity.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_01058,FUN_004511-T1,Peve_00012956,Pocillopora_meandrina_HIv1___RNAseq.g11643.t1,P48025,Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase),7.699999999999999e-116,GO,GO:0032928(regulation of superoxide metabolic process),GO:regulation of superoxide metabolic process,regulation of superoxide metabolic process,moderate,Annotated with GO:0032928(regulation of superoxide metabolic process).,"Gene Ontology Consortium 2023, Genetics 224:iyad031 (term membership from reviewed Swiss-Prot annotation)"
antioxidant,OG_05586,FUN_024942-T1,Peve_00038386,Pocillopora_meandrina_HIv1___RNAseq.g19445.t1,A8MXD5,Glutaredoxin domain-containing cysteine-rich protein 1,2.1e-28,curated,,Glutaredoxin,thiol-redox,moderate,Glutathione-dependent thiol oxidoreductase.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_05829,FUN_025847-T1,Peve_00012182,Pocillopora_meandrina_HIv1___TS.g13754.t1,Q9NZA1,Chloride intracellular channel protein 5 (Glutaredoxin-like oxidoreductase CLIC5) (EC 1.8.-.-),1.5e-20,curated,,Glutaredoxin,thiol-redox,moderate,Glutathione-dependent thiol oxidoreductase.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
antioxidant,OG_06989,FUN_032130-T1,Peve_00040711,Pocillopora_meandrina_HIv1___RNAseq.g5361.t1,Q6PBM1,"Glutaredoxin-related protein 5, mitochondrial (Monothiol glutaredoxin-5)",3.9999999999999995e-43,curated,,Glutaredoxin,thiol-redox,moderate,Glutathione-dependent thiol oxidoreductase.,"Lesser 2006, Annu Rev Physiol 68:253-278 (antioxidant enzyme network in marine invertebrates)"
