number,value,datetime_start,datetime_complete,duration,params_lambda_A,params_lambda_B,params_lambda_C,params_non_negative,params_rank,user_attrs_explained_variance,user_attrs_final_loss,user_attrs_sparsity_A,user_attrs_sparsity_B,user_attrs_sparsity_C,state
10,7.702411290712876,2025-10-15 14:49:58.755146,2025-10-15 14:49:59.146933,0 days 00:00:00.391787,0.00782184644489916,0.7553503645583184,0.5997863556602815,True,29,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
11,7.702411290712876,2025-10-15 14:49:59.147871,2025-10-15 14:49:59.529936,0 days 00:00:00.382065,0.01152597508263691,0.8839094438875608,0.7169219063367045,True,28,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
12,7.702411290712876,2025-10-15 14:49:59.530862,2025-10-15 14:50:00.031691,0 days 00:00:00.500829,0.005751707844202112,0.6697376781283138,0.1711941591483064,True,30,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
13,14.419925492891778,2025-10-15 14:50:00.032634,2025-10-15 14:50:00.286427,0 days 00:00:00.253793,0.026837193414400193,0.25041198927005687,0.20160609828133647,True,24,0.05178773394241565,2977728.5415696623,0.75,0.75,0.75,COMPLETE
14,11.182859773230964,2025-10-15 14:50:00.287340,2025-10-15 14:50:00.394478,0 days 00:00:00.107138,0.00012748888933395585,0.003265509226695849,0.18781323389598886,True,9,0.03160871080601191,3041068.130514237,0.6666666666666666,0.6666666666666666,0.6666666666666666,COMPLETE
15,10.997196851341496,2025-10-15 14:50:00.395412,2025-10-15 14:50:00.748657,0 days 00:00:00.353245,0.002507752044857025,0.31327657894882527,0.9057268923024396,True,21,0.023044647005272423,3068002.120370005,0.8571428571428571,0.8571428571428571,0.8571428571428571,COMPLETE
16,14.531369814494486,2025-10-15 14:50:00.749580,2025-10-15 14:50:01.001945,0 days 00:00:00.252365,0.03303111276278625,0.15574290892508183,0.0025862000456164697,True,24,0.05691067623509105,2961616.9866349706,0.75,0.75,0.75,COMPLETE
17,8.860229829229166,2025-10-15 14:50:01.002850,2025-10-15 14:50:01.119056,0 days 00:00:00.116206,0.003844180704394389,0.012001686164551854,0.2668178233993521,True,10,0.01048920685961019,3107382.3113128836,0.9,0.9,0.9,COMPLETE
18,12.330409977605488,2025-10-15 14:50:01.119967,2025-10-15 14:50:01.314035,0 days 00:00:00.194068,0.06923342300040311,0.004579588598371669,0.07373692003558777,True,18,0.04176173674239381,3009202.4855135577,0.7777777777777778,0.7777777777777778,0.7777777777777778,COMPLETE
19,7.702411290712876,2025-10-15 14:50:01.314938,2025-10-15 14:50:01.721392,0 days 00:00:00.406454,0.011424502475070332,0.7534933229670142,0.00011065136021091021,True,30,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
20,15.72945212488288,2025-10-15 14:50:01.722333,2025-10-15 14:50:01.971555,0 days 00:00:00.249222,0.0013978658013325288,0.11072448678802875,0.020860444459961155,True,23,0.06872170958939738,2924512.4202394243,0.6956521739130435,0.6956521739130435,0.6956521739130435,COMPLETE
21,7.702411290712876,2025-10-15 14:50:01.972464,2025-10-15 14:50:02.339155,0 days 00:00:00.366691,0.008686865419501416,0.9552243923232476,0.6178449911287014,True,27,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
22,14.25441962188506,2025-10-15 14:50:02.340061,2025-10-15 14:50:02.718292,0 days 00:00:00.378231,0.015216177542255406,0.3682823087479855,0.3641424562421856,True,28,0.044148811058315696,3001726.337763154,0.7857142857142857,0.7857142857142857,0.7857142857142857,COMPLETE
23,11.93470491873419,2025-10-15 14:50:02.719207,2025-10-15 14:50:03.182271,0 days 00:00:00.463064,0.056105382606156606,0.4471215250907212,0.9918005895525797,True,28,0.023355623899610656,3067052.720872024,0.8571428571428571,0.8571428571428571,0.8571428571428571,COMPLETE
24,14.519596175255312,2025-10-15 14:50:03.183199,2025-10-15 14:50:03.458194,0 days 00:00:00.274995,0.0006336522743157443,0.17180167160471832,0.09045267503127573,True,26,0.05618475379575416,2963891.6239187405,0.7692307692307693,0.7692307692307693,0.7692307692307693,COMPLETE
25,7.702411290712876,2025-10-15 14:50:03.459102,2025-10-15 14:50:03.758007,0 days 00:00:00.298905,0.0020597175059583485,0.8405753359041572,0.37670819502931896,True,22,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
26,12.056497791050809,2025-10-15 14:50:03.758937,2025-10-15 14:50:03.955100,0 days 00:00:00.196163,0.020217288216278686,0.39191606617531327,0.1119876399575546,True,18,0.028914157490036008,3049533.0727682123,0.7777777777777778,0.7777777777777778,0.7777777777777778,COMPLETE
27,20.37693747678954,2025-10-15 14:50:03.956018,2025-10-15 14:50:04.362352,0 days 00:00:00.406334,0.00010800482900554439,0.04251650563590359,0.40277102115563174,True,30,0.10953879350578843,2796443.5297111906,0.6333333333333333,0.6333333333333333,0.6333333333333333,COMPLETE
28,14.491912943733603,2025-10-15 14:50:04.363264,2025-10-15 14:50:04.628426,0 days 00:00:00.265162,0.005913877930777845,0.20015668643827006,0.045718387513843536,True,25,0.054955149212017496,2967749.5842142063,0.76,0.76,0.76,COMPLETE
29,12.259785814371917,2025-10-15 14:50:04.629332,2025-10-15 14:50:04.769665,0 days 00:00:00.140333,0.15059863513309535,0.10337667684888936,0.01557318063896172,True,12,0.03887310473092831,3018297.705441056,0.6666666666666666,0.6666666666666666,0.6666666666666666,COMPLETE
30,11.153448552569126,2025-10-15 14:50:04.770605,2025-10-15 14:50:04.869370,0 days 00:00:00.098765,0.0003022852418669405,0.08813985910837592,0.005246845012264985,True,8,0.03025470078562542,3045305.940863558,0.625,0.625,0.625,COMPLETE
31,7.702411290712876,2025-10-15 14:50:04.870185,2025-10-15 14:50:05.364625,0 days 00:00:00.494440,0.004756662549199691,0.6665849665132884,0.17813256299118949,True,30,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
32,13.937715267904306,2025-10-15 14:50:05.365542,2025-10-15 14:50:05.745524,0 days 00:00:00.379982,0.008846733308279646,0.5223376281200467,0.03627187721863262,True,28,0.029398563589890014,3048006.520997727,0.7857142857142857,0.7857142857142857,0.7857142857142857,COMPLETE
