,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10
OG_05121,1.2277761882675884,0.0,0.5211185332648374,0.708773032955235,0.5974463052019743,0.6597581006267716,0.4532028805246142,0.4414918933004575,0.7719308288851724,0.12033870613452916
OG_05122,0.5319441746916919,0.3272222769369317,0.34250269970350283,0.20005956652292584,0.44896048410702855,0.6298205675825628,0.2569412543650989,0.3086342475618954,0.4832418843992254,0.2739660621889313
OG_05123,1.9552807880772498,1.0268592139416894,0.8470301848665629,1.0147485507401959,1.6968850990990152,2.5074281776117977,0.8922143595649482,1.3903675064118333,1.7999903705170408,0.924895371822868
OG_05124,1.713138172577961,0.9140140444010258,1.3381672630129609,0.833874798037624,1.4496485387311537,2.242443437450519,0.5755074664111367,0.9480481073534883,1.2775415551356386,1.1569003469457053
OG_05125,1.3766267890750048,0.39982300315467356,0.6278651433311465,0.8202121799125798,1.0309967678383887,1.5656876017646553,0.5006651678551229,0.7847443494270554,1.0907887379992454,0.538943859755649
OG_05126,0.14095876911469052,0.0,0.0,0.22377837936817113,0.1726254099970114,0.3463717818842841,0.024133175995419004,0.14455588318910026,0.13728029102647404,0.09655312502537174
OG_05127,1.549557759109336,0.7426465130016691,0.7514406943062708,0.8337440829535325,1.3019476154872263,2.008862785264342,0.6293036524836855,0.9589332796267458,1.279128157239291,0.7825783809912393
OG_05128,2.0529128282249682,0.7710272919541153,1.148360831483164,0.9911877818631537,1.3035695577973685,1.9050594847954843,0.7481063549727678,1.217907921367429,1.8175142086316618,0.7434337636634165
OG_05129,1.8659703675992099,1.1775016183185043,0.8466353551631417,0.8240735956440018,1.5321558707581473,2.5217016078998995,0.66849644012066,1.2793704842990457,1.4041221479497634,1.0379706445277237
OG_05130,3.7973552474973578,1.638819034993,1.6189163748007758,1.3736655907074715,2.4159459212687877,3.6256896250248327,1.3815177614728857,2.0150438627146077,2.7598284855697384,1.3493113307707405
OG_05131,1.8859864737744636,1.1002773066443168,0.971062688972384,0.7125580970019593,1.3266294335595452,2.1201114569283837,0.6503133450802239,1.1769718746287103,1.5119182804240634,0.9402710404494175
OG_05132,0.768616367168479,0.4738182325211657,0.6353147834771384,0.40642719006918715,0.7669514461318924,1.0826025557299217,0.2951924624956129,0.5453254222365879,0.752891745088911,0.5489183402170026
OG_05133,0.43787749373370566,0.38071602343434274,0.2255090943802472,0.16375082570752006,0.3686783969502193,0.7761829349573268,0.011252072908997615,0.28315263494078485,0.0,0.379378665392149
OG_05134,2.3905086319448827,1.7441870241012052,1.240093592529268,0.7347093686729449,1.9089476750753693,3.0789049739091348,1.0379920706502364,1.6149010964238268,1.9756882695109979,1.3508382606286236
OG_05135,2.294111123783551,1.6668191792575844,1.6512940355760735,0.9349057995366014,2.4820160036875754,3.3056788230495378,1.1774700078518876,1.605319044035275,2.1711065621819765,1.528049730115791
OG_05136,2.819478657757886,1.862464252377672,1.7402451399802743,1.5898329984135737,3.3470354739860357,4.680420295631032,1.4698127067705384,2.117985801321523,2.4521478636275367,1.9335531512977948
OG_05137,0.21348150305088526,0.445142731390184,0.2920742393436499,0.0,0.24142385222276563,0.5327500874299563,0.09491165990351169,0.20944272090753688,0.23708008021197807,0.31646411687467746
