Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
74--1B10_R2_001	66.93016700396389	41.0	150.0	150	27.27272727272727	21512364.0
75--1C10_R1_001	72.86087996284854	41.0	150.0	150	36.36363636363637	17583167.0
75--1C10_R2_001	74.672252975384	42.0	150.0	150	36.36363636363637	17583167.0
76--1D10_R1_001	68.45522328190353	39.0	150.0	150	27.27272727272727	21759929.0
76--1D10_R2_001	69.84460397617845	41.0	150.0	150	27.27272727272727	21759929.0
77--1E10_R1_001	63.602955922998966	40.0	150.0	150	27.27272727272727	21370844.0
77--1E10_R2_001	65.97725700117658	41.0	150.0	150	27.27272727272727	21370844.0
81--1A11_R1_001	78.58379699334242	47.0	150.0	150	27.27272727272727	18889247.0
81--1A11_R2_001	79.04187909286478	47.0	150.0	150	27.27272727272727	18889247.0
82--1B11_R1_001	58.14105624887683	40.0	150.0	150	27.27272727272727	18271274.0
82--1B11_R2_001	59.679846554235404	41.0	150.0	150	27.27272727272727	18271274.0
85--1E11_R1_001	62.233544073173356	40.0	150.0	150	27.27272727272727	20746812.0
85--1E11_R2_001	63.80775028525233	41.0	150.0	150	27.27272727272727	20746812.0
86--1F11_R1_001	53.22568639655097	42.0	150.0	150	27.27272727272727	16400830.0
86--1F11_R2_001	56.1045549053572	43.0	150.0	150	27.27272727272727	16400830.0
89--1A12_R1_001	59.180261177020654	40.0	150.0	150	27.27272727272727	18085649.0
89--1A12_R2_001	61.36244467927404	42.0	150.0	150	36.36363636363637	18085649.0
9--1A2_R1_001	77.82745175030784	40.0	150.0	150	27.27272727272727	22366164.0
9--1A2_R2_001	79.24364093053902	42.0	150.0	150	27.27272727272727	22366164.0
90--1B12_R1_001	65.86250961137719	40.0	150.0	150	27.27272727272727	22297248.0
90--1B12_R2_001	67.38253425838404	41.0	150.0	150	27.27272727272727	22297248.0
93--1E12_R1_001	58.4332220114861	40.0	150.0	150	27.27272727272727	20856416.0
93--1E12_R2_001	60.44001405011469	42.0	150.0	150	27.27272727272727	20856416.0
96--1H12_R1_001	72.75283188255811	39.0	150.0	150	27.27272727272727	16664595.0
96--1H12_R2_001	73.80121756031377	41.0	150.0	150	27.27272727272727	16664595.0
99--2C1_R1_001	62.337173427901135	44.0	150.0	150	36.36363636363637	19731119.0
