Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
POR-73-TP1_R1_001	POR-73-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42702491.0	5.7 Gbp	0.0	15-135	19.0	81.72804308687851	133.96024058643323	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-73-TP1_R2_001	POR-73-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42702491.0	5.7 Gbp	0.0	15-135	19.0	81.75258830502088	133.932164425724	135	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	warn
POR-73-TP2_R1_001	POR-73-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49167218.0	6.5 Gbp	0.0	15-135	19.0	84.89916025820075	133.49117678368543	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-73-TP2_R2_001	POR-73-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49167218.0	6.5 Gbp	0.0	15-135	19.0	84.8225516287899	133.5045512032021	135	pass	pass	warn	pass	fail	pass	pass	warn	pass	pass	warn
POR-73-TP3_R1_001	POR-73-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36190943.0	4.8 Gbp	0.0	15-135	20.0	82.99466788881644	133.3622587839173	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-73-TP3_R2_001	POR-73-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36190943.0	4.8 Gbp	0.0	15-135	20.0	82.68938040739711	133.40629173437122	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	warn
POR-73-TP4_R1_001	POR-73-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46322367.0	6.1 Gbp	0.0	15-135	20.0	83.22707759107915	133.64939131888488	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-73-TP4_R2_001	POR-73-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46322367.0	6.1 Gbp	0.0	15-135	19.0	82.86474447079289	133.67433864076938	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	warn
POR-74-TP1_R1_001	POR-74-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32096746.0	4.2 Gbp	0.0	15-135	20.0	81.0090708302732	133.90529962133857	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-74-TP1_R2_001	POR-74-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32096746.0	4.2 Gbp	0.0	15-135	20.0	81.07379557159011	133.87570715112366	135	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	warn
POR-74-TP2_R1_001	POR-74-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44096555.0	5.8 Gbp	0.0	15-135	20.0	83.13567962252706	133.42648383756963	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-74-TP2_R2_001	POR-74-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44096555.0	5.8 Gbp	0.0	15-135	20.0	82.81140628320775	133.4512147944437	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	warn
POR-74-TP3_R1_001	POR-74-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31226485.0	4.1 Gbp	0.0	15-135	19.0	83.43967777963252	133.69314058242546	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-74-TP3_R2_001	POR-74-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31226485.0	4.1 Gbp	0.0	15-135	20.0	83.44795586987907	133.6978049562735	135	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	warn
POR-74-TP4_R1_001	POR-74-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35895495.0	4.8 Gbp	0.0	15-135	20.0	80.28003280301377	133.7438799214219	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-74-TP4_R2_001	POR-74-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35895495.0	4.8 Gbp	0.0	15-135	19.0	80.01536155981901	133.7547847438794	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	warn
POR-83-TP1_R1_001	POR-83-TP1_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30246497.0	4 Gbp	0.0	15-135	20.0	84.90745153491333	133.36589506546824	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-83-TP1_R2_001	POR-83-TP1_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30246497.0	4 Gbp	0.0	15-135	20.0	84.43522755637343	133.4200405422155	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	warn
POR-83-TP2_R1_001	POR-83-TP2_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41847558.0	5.6 Gbp	0.0	15-135	19.0	79.59599801149194	133.96201434262903	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	pass
POR-83-TP2_R2_001	POR-83-TP2_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41847558.0	5.6 Gbp	0.0	15-135	20.0	79.76187636966185	133.93257056958976	135	pass	pass	warn	pass	warn	warn	pass	warn	pass	pass	warn
POR-83-TP3_R1_001	POR-83-TP3_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29875318.0	3.9 Gbp	0.0	15-135	20.0	83.09929901421707	133.86586295081446	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-83-TP3_R2_001	POR-83-TP3_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	29875318.0	3.9 Gbp	0.0	15-135	19.0	82.81355209331073	133.86118584578747	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	warn
POR-83-TP4_R1_001	POR-83-TP4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35349321.0	4.7 Gbp	0.0	15-135	20.0	82.52386337159633	133.73969041725016	135	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
POR-83-TP4_R2_001	POR-83-TP4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35349321.0	4.7 Gbp	0.0	15-135	19.0	82.21620678998815	133.74985089529724	135	pass	pass	fail	pass	warn	warn	pass	warn	pass	pass	warn
