X1A1_ACR.173_TP1	X1A10_ACR.145_TP4	X1A12_ACR.237_TP3	X1A2_ACR.244_TP4	X1A8_ACR.186_TP2	X1A9_ACR.244_TP2	X1B1_ACR.225_TP3	X1B10_ACR.150_TP4	X1B2_ACR.173_TP3	X1B5_ACR.229_TP1	X1B9_ACR.265_TP4	X1C10_ACR.173_TP4	X1C4_ACR.139_TP4	X1D10_ACR.265_TP2	X1D3_ACR.225_TP4	X1D4_ACR.237_TP4	X1D6_ACR.229_TP2	X1D8_ACR.237_TP2	X1D9_ACR.229_TP4	X1E1_ACR.265_TP3	X1E3_ACR.150_TP2	X1E5_ACR.139_TP3	X1E9_ACR.237_TP1	X1F11_ACR.173_TP2	X1F4_ACR.150_TP3	X1F8_ACR.145_TP3	X1G5_ACR.244_TP3	X1H11_ACR.225_TP1	X1H12_ACR.186_TP3	X1H6_ACR.225_TP2	X1H7_ACR.229_TP3	X1H8_ACR.186_TP4	X2B2_ACR.145_TP1	X2B3_ACR.139_TP2	X2C1_ACR.244_TP1	X2C2_ACR.139_TP1	X2D2_ACR.150_TP1	X2E2_ACR.186_TP1	X2F1_ACR.265_TP1	X2G1_ACR.145_TP2
Cluster_2574	6.04380343562713	3.02376087234041	6.08817592015176	4.68153103519543	2.13537069239975	5.21393962588703	5.22240931844989	5.5907164128139	5.64184277462783	3.17805546540106	2.96442984710384	5.13487168153873	2.13537069239975	3.43004586556355	4.39585850254108	5.51806840503097	3.28033504813391	5.50643771066012	2.72676890291526	3.43758116003252	3.11725219947388	3.68416794056761	4.00599238297661	6.46432040082823	5.33531663783149	3.10760241550175	6.33140135780134	4.38231997246469	3.87611380855778	5.17111111724615	2.13537069239975	2.13537069239975	3.35318975310723	2.95238619150695	4.48400797446827	2.13537069239975	4.03604806456793	3.57158703986077	2.13537069239975	5.91376461339041
Cluster_2970	4.15264226058692	5.16010540356742	4.45809269451261	5.80472698738634	2.82656468569698	2.13537069239975	3.3816498139357	5.72937378278076	5.56886135517247	4.34328029111535	6.12207740923323	4.24621395272234	4.58038442055211	2.72977872404254	5.13369632056635	7.31352540803681	2.13537069239975	3.59316935703131	5.07333647128071	6.17673751728498	3.0168643008893	2.13537069239975	5.99118607129884	3.82607078265326	3.53778358674587	5.29923521354413	2.13537069239975	6.69283668333275	4.80353890862436	2.89145886107591	4.21462836198744	5.06915872257093	3.90397355497907	4.87546133560981	4.80583597670964	4.94720564392168	3.83541182450194	3.86284509394271	4.81917728774093	3.37607841442587
Cluster_2990	2.13537069239975	5.16010540356742	4.89657966302859	4.42263012240183	2.13537069239975	5.6278991967954	2.13537069239975	4.89977535032706	2.13537069239975	5.05000857663088	5.06880785902488	2.13537069239975	2.13537069239975	5.20982699989289	2.13537069239975	5.05216108681584	5.2634824714238	5.83942841669635	4.7011727143686	4.0492799402733	5.55045019230609	2.13537069239975	5.36395061205795	2.13537069239975	4.83965056208478	5.04729457344339	4.56178178747599	2.13537069239975	2.13537069239975	2.13537069239975	4.40544853271686	2.13537069239975	5.43330577682196	2.13537069239975	4.05848799651584	2.13537069239975	4.88914365297553	3.17100737979874	5.30774054926206	5.59880096994652
Cluster_3087	6.41275664173944	5.08783525385431	5.8368310872742	5.17182376011442	6.97515672234184	6.66958851353698	5.7169082890276	4.56387648705146	5.08184463278236	6.52321382659197	4.69698669301011	5.13487168153873	4.46501156236177	6.17110306442564	7.03704954219967	5.86795457498515	6.29488871500531	7.17335106569741	6.04752338342685	4.26852221567187	5.96852540123942	5.17379206964182	6.23493759700763	6.90010613316168	6.26966683619293	3.76357481331482	4.77510024328047	6.09327757913299	5.53066957494385	6.40064109193636	5.08827204307129	4.96924072718697	4.97358215699596	4.80071604283672	4.48400797446827	4.32751235271547	4.88914365297553	6.90306626503211	4.81917728774093	6.9052749706476
Cluster_3157	4.06239834292344	4.75402434034546	2.84428947159962	5.22585300356716	2.82656468569698	3.25351269936351	4.27935813786345	4.63800859895739	4.57633822858082	3.35910183308839	4.93184405486862	4.69910997105459	5.50987252498065	3.43004586556355	4.62860405618672	5.88198556604103	4.24369884728605	3.59316935703131	4.30673435191066	5.7305830304374	3.56125882063751	6.12449284194375	4.642481870248	4.0975229673474	4.05330872710606	4.48735336921642	3.56715375980345	4.1792204382854	3.40129421446719	3.31172016728783	3.81489321236481	4.47593526357266	3.71461547330992	3.92961223600483	4.11331839654799	3.83166645424278	3.93983915747716	4.46536312400883	4.05026516039032	3.67888998057765
Cluster_3519	4.87305617973131	4.84534033581194	2.84428947159962	5.89014708843923	3.10394901036437	2.64536908291885	4.36736073857567	4.40207169237265	5.23222598872355	3.43842158219785	5.00201302559765	4.56449100675895	4.04202026637252	3.43004586556355	3.39190251068289	4.64634810839469	3.18492371571519	2.13537069239975	3.82396352971009	5.28262520645208	3.11725219947388	4.2405917010567	4.43817554645928	2.13537069239975	3.21253572317607	5.63918322008072	3.11086106213291	3.93766816067951	6.67724584583583	3.31172016728783	3.48918648212356	5.20677615565858	4.34264147367505	3.27633920554283	4.67211906092541	3.60831268878825	4.20882599748369	5.79956841799185	4.24413659346688	2.13537069239975
Cluster_4085	4.06239834292344	7.08610917967256	2.84428947159962	2.13537069239975	8.8390121465963	2.13537069239975	9.9082382278636	2.13537069239975	3.18767187331509	3.76538759229981	6.63748815863835	2.13537069239975	2.13537069239975	6.9758997597638	11.1919079965763	2.13537069239975	3.65538065294291	2.13537069239975	3.73640361005689	4.45602147328415	6.61229808608387	2.13537069239975	2.13537069239975	2.13537069239975	2.13537069239975	4.84984567891642	2.13537069239975	10.6442937170516	5.21376949059516	12.0032242551002	6.09647892668727	7.65565741107747	5.94507072648636	2.61124321574975	2.13537069239975	2.13537069239975	2.13537069239975	5.19435066597797	3.8206852514793	2.13537069239975
Cluster_4626	5.99880299050438	7.79371427581911	4.30114283899474	9.18561495131979	2.82656468569698	3.14024989245594	4.52752237608604	6.46236026917228	5.987520305476	6.43783615127381	8.55870920954257	4.56449100675895	3.03674069864751	6.20118677209045	6.18802474810894	7.00442528138885	4.28223001366245	3.0801207329645	6.66437862845208	8.79441648790601	4.00389148472596	4.2405917010567	6.72978244861956	2.92557550888822	4.32239769885466	7.05482325246868	4.22563592136613	6.34542324882141	5.21376949059516	2.89145886107591	5.01457191652204	6.01614662720267	6.22783102818856	4.19746882822831	6.86320363723204	5.34087876735354	4.73488411373906	5.37160957944139	6.51286828306467	3.37607841442587
Cluster_4896	3.61514734218936	3.02376087234041	2.13537069239975	4.86497922878579	3.31121950809172	6.48492246451938	2.13537069239975	3.58542365360626	4.12538045712172	9.98295436711295	10.8278719995233	6.80379635034558	3.86256303399662	5.50547495638204	2.13537069239975	3.15131728076597	3.078096000721	2.13537069239975	10.3320478138565	13.0127329086362	6.21114384044824	6.0039389474224	2.837109451533	4.59728631145949	2.13537069239975	4.48735336921642	5.98297095901418	3.93766816067951	3.0443969215829	2.89145886107591	2.13537069239975	3.35089716715568	3.90397355497907	2.80537383578235	4.5999906418394	2.59704840437855	4.03604806456793	3.86284509394271	3.14399672666733	4.48775551772517
Cluster_5169	2.82009570116592	2.13537069239975	3.12833465157206	7.39804631518461	3.31121950809172	11.1757461096614	4.44985041784983	2.13537069239975	3.18767187331509	4.30704247887248	2.13537069239975	3.14511619571994	3.39093426151313	2.97025052052276	4.50059575511872	2.65115392169666	6.03000527423641	3.44954118128426	2.72676890291526	2.13537069239975	3.4339877059015	2.13537069239975	2.837109451533	3.23974811800602	2.90567410890268	3.10760241550175	9.31695374379989	3.44849207837787	3.87611380855778	4.02153316282587	3.19870175452177	3.52632151327003	3.71461547330992	3.27633920554283	9.19992052542201	3.32783750481926	3.08058032318314	3.57158703986077	3.53542294047997	3.91740484541151
