X1A1_ACR.173_TP1	X1A10_ACR.145_TP4	X1A12_ACR.237_TP3	X1A2_ACR.244_TP4	X1A8_ACR.186_TP2	X1A9_ACR.244_TP2	X1B1_ACR.225_TP3	X1B10_ACR.150_TP4	X1B2_ACR.173_TP3	X1B5_ACR.229_TP1	X1B9_ACR.265_TP4	X1C10_ACR.173_TP4	X1C4_ACR.139_TP4	X1D10_ACR.265_TP2	X1D3_ACR.225_TP4	X1D4_ACR.237_TP4	X1D6_ACR.229_TP2	X1D8_ACR.237_TP2	X1D9_ACR.229_TP4	X1E3_ACR.150_TP2	X1E5_ACR.139_TP3	X1E9_ACR.237_TP1	X1F11_ACR.173_TP2	X1F4_ACR.150_TP3	X1F8_ACR.145_TP3	X1G5_ACR.244_TP3	X1H11_ACR.225_TP1	X1H12_ACR.186_TP3	X1H6_ACR.225_TP2	X1H7_ACR.229_TP3	X1H8_ACR.186_TP4	X2B2_ACR.145_TP1	X2B3_ACR.139_TP2	X2C1_ACR.244_TP1	X2C2_ACR.139_TP1	X2D2_ACR.150_TP1	X2E2_ACR.186_TP1	X2F1_ACR.265_TP1	X2G1_ACR.145_TP2
Cluster_2574	32.9731320672714	1.81086351336035	60.3932724476772	18.8458837707584	0	23.1609766441979	30.0395460829861	46.0050011427211	46.6924258507985	1.86139192463809	1.76150750098622	23.9242774164614	0	3.80168697277608	8.3213581145261	34.9007994673153	2.29692829773777	25.5334857329448	0.899705258970255	1.99413864658587	6.22378383643075	10.7491351840097	49.3236629800918	33.8682294517389	2.06016188385091	99.9542008403667	10.3489842682078	7.50022701858426	21.3443340205987	0	0	4.09318780390949	1.87980352299783	20.6293394953379	0	10.6398412358106	3.50369930347255	0	37.6746770726484
Cluster_2970	5.784760011802	28.9738162137656	14.2747734876328	50.7389178443495	1.08817505698649	0	3.60474552995833	51.5813649175963	43.9458125654574	9.67923800811807	72.2218075404349	9.96844892352557	17.6776478491829	0.760337394555216	16.9627684642263	140.13199786119	0	3.35966917538747	30.5899788049887	1.5953109172687	0	69.8693786960629	4.17997143899083	4.74155212324345	30.9024282577636	0	75.5475851579172	20.6256243011067	0.948637067582163	13.2258496782168	24.1976277135647	9.20967255879636	27.5704516706348	28.3653418060896	35.4145223888791	8.27543207229713	5.25554895520882	28.9011858789444	2.51164513817656
Cluster_2990	0	28.9738162137656	21.9611899809735	14.4968336698141	0	32.9598513782816	0	25.0936369869388	0	19.3584760162361	29.9456275167657	0	0	28.8928209930982	0	23.2671996448769	23.7349257432903	33.5966917538747	21.5929262152861	36.2933233678628	0	41.6528988380375	0	21.6756668491129	24.7219426062109	21.7291740957319	0	0	0	16.2779688347283	0	42.9784719410497	0	12.8933371845862	0	26.0085007986481	1.75184965173627	44.9574002561357	29.1350836028481
Cluster_3087	43.9641760896952	27.1629527004052	49.4126774571905	29.718509023119	124.05195649646	74.8277706966393	45.6601100461388	18.1231822683447	28.8394394960814	64.7764389774055	21.1380900118346	23.9242774164614	15.7134647548292	63.8683411426382	77.4526409121275	46.5343992897538	55.1262791457065	93.3988030757718	69.2773049407096	51.0499493525983	31.1189191821538	84.6494395740762	68.5515315994496	72.4780110267213	6.18048565155272	26.7993147180693	47.6053276337561	39.3761918475674	58.341179656303	31.5385646172862	22.0934861732547	28.6523146273665	25.690648147637	20.6293394953379	19.1238420899947	26.0085007986481	82.3369336316049	28.9011858789444	80.8749734492852
Cluster_3157	5.2062840106218	19.9194986469638	1.09805949904868	31.1681923901004	1.08817505698649	2.22701698501903	12.0158184331944	19.5172732120635	17.8529863547171	2.60594869449333	26.4226125147933	15.9495182776409	41.2478449814267	3.80168697277608	10.5617237607447	47.0631992816828	8.8048918079948	3.35966917538747	14.3952841435241	4.38710502248891	68.4616222007383	21.4982703680194	5.85196001458716	9.48310424648689	14.4211331869563	6.51875222871957	8.27918741456627	3.75011350929213	2.37159266895541	8.13898441736417	13.6769200120148	7.16307865684161	10.0256187893218	13.7528929968919	10.6243567166637	9.45763665405387	10.5110979104176	12.8449715017531	4.01863222108249
Cluster_3519	12.1479960247842	21.7303621603242	1.09805949904868	54.363126261803	2.17635011397298	0.445403397003805	13.2174002765139	15.335000380907	32.959359424093	2.97822707942094	28.1841200157795	13.9558284929358	9.82091547176826	3.80168697277608	2.24036564621856	15.8639997578706	1.91410691478148	0	8.09734733073229	1.99413864658587	12.4475676728615	17.4673446740157	0	2.70945835613911	41.2032376770181	2.89722321276425	6.2093905609247	97.5029512415954	2.37159266895541	5.0868652608526	27.3538400240296	15.3494542646606	3.75960704599566	24.9271185568666	7.7911949255534	13.0042503993241	35.0369930347255	16.0562143771913	0
Cluster_4085	5.2062840106218	134.003899988666	1.09805949904868	0	475.532499903096	0	984.095529678624	0	2.74661328534109	4.83961900405903	107.451957560159	0	0	117.852296156059	1471.28012509525	0	4.21103521251925	0	7.19764207176204	84.1526508859237	0	0	0	0	20.6016188385091	0	1267.75057285546	30.0009080743371	3147.57779023762	73.2508597562775	184.112384777123	65.4910048625519	0.62660117433261	0	0	0	21.0221958208353	9.63372862631479	0
Cluster_4626	31.816180064911	224.547075656683	12.0786544895354	613.216064233138	1.08817505698649	1.78161358801522	15.6205639631528	92.0100022854421	61.7987989201744	60.6813767432017	435.092352743596	13.9558284929358	1.96418309435365	65.3890159317486	40.6466338671082	111.576798297023	9.18771319095109	1.34386767015499	111.563452112312	7.97655458634348	12.4475676728615	123.615054616111	0.835994287798166	12.8699271916608	123.609713031054	15.2104218670123	57.9543119019639	30.0009080743371	0.948637067582163	29.5038185129451	53.6556092779043	81.8637560781899	13.7852258353174	153.860490402728	50.2886217922083	22.4618870533779	24.5258951243078	118.815986391216	2.51164513817656
Cluster_4896	2.892380005901	1.81086351336035	0	22.4700921882119	3.26452517095947	65.0288959625556	0	5.57636377487528	10.9864531413643	779.178659653504	2136.70859869628	91.7097300964352	7.85673237741461	37.2565323332056	0	2.11519996771608	1.53128553182518	0	1538.49599283914	61.818298044162	62.2378383643075	1.34364189800121	10.031931453578	0	14.4211331869563	76.0521093350616	6.2093905609247	1.87505675464607	0.948637067582163	0	3.15621231046496	9.20967255879636	1.25320234866522	23.2080069322551	0.708290447777581	10.6398412358106	5.25554895520882	3.21124287543826	10.5489095803415
Cluster_5169	0.5784760011802	0	2.19611899809735	171.062637303807	3.26452517095947	1850.20571115381	14.4189821198333	0	2.74661328534109	9.30695962319045	0	1.99368978470511	3.9283661887073	1.52067478911043	9.28151482004834	0.52879999192902	44.7901018058866	2.68773534030998	0.899705258970255	3.58944956385457	0	1.34364189800121	1.67198857559633	1.35472917806956	2.06016188385091	873.512798648422	3.10469528046235	7.50022701858426	6.64045947307514	3.05211915651156	4.20828308061994	7.16307865684161	3.75960704599566	826.892691438127	4.95803313444307	2.36440916351347	3.50369930347255	6.42248575087653	5.52561930398843
Cluster_5385	56.6906481156596	3.6217270267207	14.2747734876328	0.724841683490707	437.446372908568	17.8161358801522	0	1.39409094371882	2.74661328534109	0.744556769855236	1.76150750098622	0	3.9283661887073	8.36371134010738	0.320052235174081	1.05759998385804	3.44539244660666	8.73513985600743	0	154.745158975064	0	1.34364189800121	8.35994287798166	6.096281301313	2.06016188385091	12.3131986542481	0	3.75011350929213	6.64045947307514	1.01737305217052	8.41656616123989	2.04659390195475	10.6522199636544	3.43822324922298	7.08290447777581	2.36440916351347	0	0	6.02794833162374
