,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cluster_15025,14.625768748676,-0.715616281113371,0.287471131477358,0,1,1
Cluster_15223,24.0860291538285,0.289835258502426,0.293375281408235,0,1,1
Cluster_15263,15.420540108837,4.38442786553843,0.660432238862937,5.12456489308484,2.98225625839788e-07,1.9682891305426e-05
Cluster_15475,11.7684918074622,4.18338496488709,1.03616314424527,3.07228160214658,0.00212429218098367,0.0175254104931153
Cluster_17091,5.16086747448992,-2.78770987849657,0.855513257821242,-2.08963433605855,0.0366506596827629,0.134385752170131
Cluster_17202,25.4561372917391,-1.27239081865247,0.515854316422659,-0.528038265806212,0.597472777089156,1
Cluster_17214,8.0704125530194,-0.326474616813128,0.41241173430833,0,1,1
Cluster_17220,370.742633945666,-1.69201222209692,0.376628693064958,-1.83738582545427,0.0661529578492527,0.218304760902534
Cluster_17230,6.94084606638241,0.795031627697071,1.68890102966784,0,1,1
Cluster_17263,12.2342757719491,1.47834854057325,0.777993714767017,0.614848849667764,0.538654545314799,1
Cluster_17414,22.3563035238485,-1.2058959994263,0.33771522332206,-0.609673432547475,0.542078156979215,1
Cluster_17753,9.8345074367199,0.19157364569327,0.298280982714401,0,1,1
Cluster_17994,501.348616101629,-1.11462580816386,0.919554997463408,-0.124653564474179,0.900797820747241,1
