,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cluster_675,21.4893929917199,0.154771968220569,0.251114379635922,0,1,1
Cluster_676,77173.0146418436,0.483111058941425,0.190290566079339,0,1,1
Cluster_677,1912.68375239252,0.286947242409766,0.136074732179257,0,1,1
Cluster_678,103.221615762273,0.368118962950599,0.22231425103634,0,1,1
Cluster_679,24.7687785793026,-0.0267429114349743,0.35448791522986,0,1,1
Cluster_680,138.809446289083,0.389452410702536,0.197928971285901,0,1,1
Cluster_681,2477.22263072904,0.51962420591331,0.168405484639496,0,1,1
Cluster_682,345.926441228357,0.647299157165183,0.522572070607974,0,1,1
Cluster_683,168.643512913594,0.0868718826790629,0.430486032247966,0,1,1
Cluster_684,21.8385432924417,-0.453538481980939,0.380051214312374,0,1,1
Cluster_685,109.114455919074,0.425948271518641,0.195326344617562,0,1,1
Cluster_686,79.9103531721514,0.639035892143624,0.329635732629339,0,1,1
Cluster_687,28.2514145720452,0.837630655145522,0.289062014551269,0,1,1
Cluster_688,1493.33654281941,0.83858363469337,0.415217271381025,0,1,1
Cluster_689,837.004935560557,0.68678130785164,0.643085461130318,0,1,1
Cluster_690,51.4227801056284,0.934222339659657,0.689612955909908,0,1,1
Cluster_691,246.463086691383,0.935651921839812,0.880997867959305,0,1,1
Cluster_692,346.935383418475,0.600887999521051,0.775614179252458,0,1,1
Cluster_693,90.7407390548142,1.30189103939548,0.806283796462601,0.374422803385062,0.708089780094072,1
Cluster_694,321.975479203711,0.955765055869917,0.687970655062421,0,1,1
Cluster_695,46.604955365837,0.557014577843976,0.506639245617697,0,1,1
Cluster_696,61.5331645196914,-0.071829731375575,0.580520304980847,0,1,1
Cluster_697,25.200218488977,1.48379296380681,0.749652185122229,0.645356571231666,0.518696140093681,1
Cluster_698,47.8111989816986,-0.4198238321823,0.393229221407372,0,1,1
Cluster_699,110.338933469638,-0.206880496447789,0.388961864879294,0,1,1
Cluster_700,8.77958315920335,0.890491059896235,1.47538844183107,0,1,1
Cluster_701,16.1227866634501,-0.749272704872205,1.48210003359984,0,1,1
Cluster_702,2133.45383787627,0.149788456484067,0.414718697325672,0,1,1
Cluster_703,20.5178540609546,0.529429777489864,0.366602516918709,0,1,1
Cluster_704,48.2511555807029,0.813057958461229,0.294075278807047,0,1,1
Cluster_705,23.0965473541464,0.455949697327692,0.36040872615693,0,1,1
Cluster_706,357.713661155189,0.119066068151603,0.174903646159582,0,1,1
Cluster_707,40.3081281659725,0.54385521679273,0.267669716715224,0,1,1
Cluster_708,32.0900074646309,0.342421322728696,0.29330244499182,0,1,1
Cluster_709,409.215958059068,0.309097709648932,0.163194171197095,0,1,1
Cluster_710,178.376758840472,0.181222808057517,0.184062588330294,0,1,1
Cluster_711,61.1500971764994,0.206417413875834,0.145375662451612,0,1,1
Cluster_712,140.745060701956,0.278380270990226,0.207819781776575,0,1,1
Cluster_713,26.7083591486669,0.386526889057393,0.270170078852701,0,1,1
Cluster_714,85.1393446236086,-0.0931415966407251,0.276903037952851,0,1,1
Cluster_715,38.7419202330311,-0.379406460827184,0.167521191086449,0,1,1
Cluster_716,77.4990742615663,-0.00101706008804461,0.155283500063406,0,1,1
Cluster_717,28.7475419509931,0.52912877916778,0.381300456554592,0,1,1
Cluster_718,94.6876819080782,1.01054038127725,0.390926699251849,0.0269625515407985,0.978489602705836,1
Cluster_719,40.1162168317712,0.7800065985765,0.438782672288166,0,1,1
Cluster_720,54.0966083340448,0.681727405295716,0.408343281907986,0,1,1
Cluster_721,39.6223303306342,0.905562121906779,0.433422266667369,0,1,1
Cluster_722,187.738648778919,0.316563187268142,0.573611160179749,0,1,1
Cluster_723,38.4785874568867,0.857036547196961,0.442480595756577,0,1,1
Cluster_724,43.4225086753872,0.362684798067468,0.245318979225372,0,1,1
Cluster_725,37.3122950076746,0.90590079750803,0.444999901830144,0,1,1
Cluster_726,37.6510465871675,0.997132060572988,0.452896324898604,0,1,1
Cluster_727,37.9894795240998,0.827432386053292,0.435221249041372,0,1,1
Cluster_728,38.021422969313,0.760375404598417,0.429502964981799,0,1,1
Cluster_729,38.3850519504305,0.672612824627212,0.425940533093864,0,1,1
Cluster_730,38.5283573031653,0.735228639703669,0.42006398902689,0,1,1
Cluster_731,38.5630145479967,0.876466260465941,0.438929265782032,0,1,1
Cluster_732,31.5108714265233,0.070866693997783,0.438578212183676,0,1,1
Cluster_733,171.616815507022,0.701297874476278,0.336883156102259,0,1,1
Cluster_734,103.037200816927,0.0351186339632176,0.250619892830274,0,1,1
Cluster_735,491.989822052679,0.229177251894087,0.169098448490544,0,1,1
Cluster_736,2209.60534575466,0.143586185038326,0.114806876327942,0,1,1
Cluster_737,237.256870931891,0.451533844822293,0.216351712606173,0,1,1
Cluster_738,45.8392398019661,0.248945388124585,0.458942230186361,0,1,1
Cluster_739,6105.12743072334,0.311292143959864,0.262202673901138,0,1,1
Cluster_740,316.79151872922,0.199558897480726,0.153775865170183,0,1,1
Cluster_741,1744.59661776872,0.460301130536536,0.566104176565338,0,1,1
Cluster_742,651.829814136796,0.191708447947973,0.244009061301655,0,1,1
Cluster_743,53.3997816891414,0.135135100797906,0.286168581273836,0,1,1
Cluster_744,48.7516082857921,0.312092724627569,0.184807275878674,0,1,1
Cluster_745,76.7294768752925,0.184161420820203,0.147722117120139,0,1,1
Cluster_746,89.2788931005274,0.317222264582968,0.502226012973792,0,1,1
Cluster_747,106.022098956847,0.32198678720062,0.401593668678483,0,1,1
Cluster_748,72.3355273181154,-0.148514185315248,0.204325740688749,0,1,1
Cluster_749,568.267532107246,0.505072759055835,0.286976861371827,0,1,1
Cluster_750,294.64570859236,0.703383272225208,0.25143131599094,0,1,1
Cluster_751,21.3189233285172,0.896239500374158,0.438632265445656,0,1,1
Cluster_752,22.3542535316633,0.515393121132411,0.490135915340313,0,1,1
Cluster_753,195.340852327121,0.487782445399613,0.31776012784818,0,1,1
Cluster_754,178.793565652944,0.273245693402569,0.389508635022529,0,1,1
Cluster_755,1078.99425794982,0.406368802861536,0.408947089642388,0,1,1
Cluster_756,18.7486310161364,0.481166460696487,0.476489606301032,0,1,1
Cluster_757,77.8479479599287,0.531701564445763,0.227458006982328,0,1,1
Cluster_758,737.719013262384,0.561932413542444,0.146024204684426,0,1,1
Cluster_759,188.070189061779,0.504470019430694,0.207869815418239,0,1,1
Cluster_760,510.799073223327,0.40510997177941,0.171292218549064,0,1,1
Cluster_761,51.9566192986415,0.282550509205463,0.200543994570086,0,1,1
Cluster_762,29.5227753857573,0.686413671789758,0.281936910160034,0,1,1
Cluster_763,232.017682394156,0.0336884264599832,0.215380250663719,0,1,1
Cluster_764,49.7872680366697,0.244552781778871,0.33100442520859,0,1,1
Cluster_765,176.732679407441,0.543444224434822,0.195109294814482,0,1,1
Cluster_766,2093.11677157606,0.967690442155773,0.55109053399396,0,1,1
Cluster_767,211.753829394272,0.146376069893409,0.26261564871677,0,1,1
Cluster_768,1330.30172218774,0.304538074495805,0.256078705262239,0,1,1
Cluster_769,21.2025286900277,1.11467297138646,0.420633766026716,0.27261951048214,0.785145712655497,1
Cluster_770,25.6222822099636,0.884315064513181,0.273731286672315,0,1,1
Cluster_771,327.543485913293,0.995284151985355,0.354024583145461,0,1,1
Cluster_772,31.9187644553259,0.444304144191963,0.30642019680826,0,1,1
Cluster_773,30.0313410122214,-0.0379340505276139,0.410849146731822,0,1,1
Cluster_774,508.519270183456,0.578056422399416,0.255371664515225,0,1,1
Cluster_775,5705.44753571398,0.426590540225406,0.163592544833161,0,1,1
Cluster_776,32.2318893478955,0.0453783296664067,0.261061650594559,0,1,1
Cluster_777,244.819734623354,0.180432710732687,0.149858807499609,0,1,1
Cluster_778,68.1466210400875,0.450539061747698,0.203125311866919,0,1,1
