1A10_ACR-145_TP4	1A12_ACR-237_TP3	1A1_ACR-173_TP1	1A2_ACR-244_TP4	1A8_ACR-186_TP2	1A9_ACR-244_TP2	1B10_ACR-150_TP4	1B1_ACR-225_TP3	1B2_ACR-173_TP3	1B5_ACR-229_TP1	1B9_ACR-265_TP4	1C10_ACR-173_TP4	1C4_ACR-139_TP4	1D10_ACR-265_TP2	1D3_ACR-225_TP4	1D4_ACR-237_TP4	1D6_ACR-229_TP2	1D8_ACR-237_TP2	1D9_ACR-229_TP4	1E1_ACR-265_TP3	1E3_ACR-150_TP2	1E5_ACR-139_TP3	1E9_ACR-237_TP1	1F11_ACR-173_TP2	1F4_ACR-150_TP3	1F8_ACR-145_TP3	1G5_ACR-244_TP3	1H11_ACR-225_TP1	1H12_ACR-186_TP3	1H6_ACR-225_TP2	1H7_ACR-229_TP3	1H8_ACR-186_TP4	2B2_ACR-145_TP1	2B3_ACR-139_TP2	2C1_ACR-244_TP1	2C2_ACR-139_TP1	2D2_ACR-150_TP1	2E2_ACR-186_TP1	2F1_ACR-265_TP1	2G1_ACR-145_TP2
Cluster_2574	1	55	57	26	0	52	33	25	34	5	1	12	0	5	26	66	6	38	1	3	5	1	8	59	50	1	138	10	4	45	0	0	4	3	24	0	9	2	0	75
Cluster_2970	16	13	10	70	1	0	37	3	32	26	41	5	9	1	53	265	0	5	34	50	4	0	52	5	7	15	0	73	11	2	13	23	9	44	33	50	7	3	9	5
Cluster_2990	16	20	0	20	0	74	18	0	0	52	17	0	0	38	0	44	62	50	24	7	91	0	31	0	32	12	30	0	0	0	16	0	42	0	15	0	22	1	14	58
Cluster_3087	15	45	76	41	114	168	13	38	21	174	12	12	8	84	242	88	144	139	77	9	128	5	63	82	107	3	37	46	21	123	31	21	28	41	24	27	22	47	9	161
Cluster_3157	11	1	9	43	1	5	14	10	13	7	15	8	21	5	33	89	23	5	16	35	11	11	16	7	14	7	9	8	2	5	8	13	7	16	16	15	8	6	4	8
Cluster_3519	12	1	21	75	2	1	11	11	24	8	16	7	5	5	7	30	5	0	9	24	5	2	13	0	4	20	4	6	52	5	5	26	15	6	29	11	11	20	5	0
Cluster_4085	74	1	9	0	437	0	0	819	2	13	61	0	0	155	4597	0	11	0	8	11	211	0	0	0	0	10	0	1225	16	6636	72	175	64	1	0	0	0	12	3	0
Cluster_4626	124	11	55	846	1	4	66	13	45	163	247	7	1	86	127	211	24	2	124	341	20	2	92	1	19	60	21	56	16	2	29	51	80	22	179	71	19	14	37	5
Cluster_4896	1	0	5	31	3	146	4	0	8	2093	1213	46	4	49	0	4	4	0	1710	6468	155	10	1	12	0	7	105	6	1	2	0	3	9	2	27	1	9	3	1	21
Cluster_5169	0	2	1	236	3	4154	0	12	2	25	0	1	2	2	29	1	117	4	1	0	9	0	1	2	2	1	1206	3	4	14	3	4	7	6	962	7	2	2	2	11
Cluster_5385	2	13	98	1	402	40	1	0	2	2	1	0	2	11	1	2	9	13	0	2	388	0	1	10	9	1	17	0	2	14	1	8	2	17	4	10	2	0	0	12
Cluster_5831	6	16	9	12	2	101	8	4	3	22	7	1	22	26	10	146	61	36	18	38	58	8	27	1	20	10	10	2	0	4	26	1	10	44	4	28	7	4	3	23
Cluster_5995	6	57	24	49	16	155	11	17	14	183	21	10	9	89	87	85	108	90	36	15	114	0	27	97	104	20	86	14	12	78	41	9	41	227	35	78	12	15	24	266
Cluster_6082	22	53	35	73	328	169	46	50	31	18	19	7	51	91	232	84	59	75	7	24	155	16	34	39	54	25	89	53	38	285	7	101	32	281	86	214	58	34	13	101
Cluster_6099	16	19	1	20	0	71	18	0	0	52	18	0	0	39	0	44	56	51	26	8	91	0	28	0	31	12	31	0	0	0	15	0	44	0	16	0	23	0	16	61
Cluster_6113	0	43	12	60	0	90	20	7	13	38	0	3	0	0	27	31	27	39	13	0	0	0	17	20	34	0	93	3	0	10	10	0	1	0	62	0	10	0	0	29
Cluster_6217	16	0	0	157	0	6	0	9	0	0	27	2	0	7	12	0	0	0	0	79	8	0	0	0	0	11	22	11	5	7	0	14	18	0	41	0	0	6	3	0
Cluster_6777	633	1011	1578	989	2213	2310	732	798	799	4268	582	435	225	1880	3190	1819	3157	1682	1946	495	3604	88	884	1539	1614	505	1223	946	748	1618	1232	1313	1410	1822	894	1242	658	662	438	1904
Cluster_6816	50	13	7	11	6	0	19	2	1	4	74	0	0	13	13	78	0	3	10	55	5	0	26	0	9	45	4	10	26	0	0	29	14	9	6	2	4	6	12	0
Cluster_7171	24	3	21	92	2	1	21	72	1741	31	19	33	3	17	17	1760	20	1	15	70	15	2	56	4	29	26	14	92	120	10	30	36	67	11	50	24	23	72	29	4
Cluster_7537	17	0	0	77	1	6	0	6	1	25	41	1	0	22	55	0	10	1	33	1	5	0	58	1	6	17	33	0	10	0	0	19	10	0	36	5	8	4	8	0
Cluster_8145	7	20	15	7	78	72	5	7	8	29	1	0	0	15	17	9	55	19	6	6	57	1	2	52	20	1	33	5	7	32	25	18	8	8	10	5	3	4	2	41
Cluster_8818	186	57	83	463	2	3	127	97	100	253	278	48	79	83	345	335	129	23	281	615	113	7	160	1	0	194	136	172	7	4	50	86	124	168	141	148	88	3	43	7
Cluster_9531	11	8	18	6	3	24	3	2	21	23	8	12	7	19	5	7	33	14	3	4	63	1	1	63	15	5	46	3	5	25	6	3	12	11	1	11	7	1	5	25
Cluster_9699	94	0	22	21	9	27	27	151	156	23	12	24	18	6	22	2	16	1	9	42	21	15	15	40	15	119	99	13	43	7	5	6	19	44	52	35	9	3	15	11
Cluster_9840	89	29	301	162	28	34	75	7	21	26	425	787	2	9	197	114	4	53	255	8	4	11	228	7	22	8	49	85	3	14	4	34	164	34	143	15	264	778	163	9
Cluster_10133	21	80	111	81	49	189	29	58	53	78	21	36	58	73	255	99	140	123	62	29	121	27	36	201	101	20	55	52	32	330	36	34	46	95	48	125	45	16	8	238
Cluster_10906	19	35	89	74	67	91	17	13	36	273	21	21	45	48	119	75	136	38	114	21	70	18	32	46	59	9	117	26	17	56	94	62	52	135	77	252	41	38	18	44
Cluster_11635	4	1	17	20	10	6	9	5	3	51	5	2	0	0	50	30	39	4	31	1	5	0	9	7	11	2	17	18	6	3	17	9	2	12	21	8	7	2	9	7
Cluster_11991	7	15	91	32	7	38	4	44	60	190	7	28	5	25	365	39	78	22	103	1	31	3	11	58	24	8	15	79	12	91	34	8	12	7	12	22	13	14	10	14
Cluster_11992	0	1	65	0	0	0	1	22	35	194	0	26	0	0	252	0	47	1	92	0	0	0	1	20	3	0	0	59	0	32	24	0	0	0	0	0	0	0	1	0
Cluster_11993	13	4	14	27	12	50	4	7	6	50	4	6	3	43	30	39	11	31	24	7	38	0	13	6	24	4	20	1	8	10	4	4	25	15	24	4	10	9	11	25
Cluster_12137	12	9	10	21	18	41	8	0	17	1	9	3	13	41	0	22	0	15	3	24	91	1	13	20	27	21	32	0	2	1	1	6	28	22	30	27	10	6	20	29
Cluster_12143	4	7	20	46	18	197	6	10	11	138	1	16	11	21	34	11	80	22	61	10	35	0	6	47	16	0	70	14	1	33	47	15	10	58	43	40	4	6	3	33
Cluster_13376	0	0	1	1	0	0	0	0	0	284	0	0	0	0	0	0	266	0	93	0	1	3	0	0	0	0	0	0	0	0	113	2	0	5	0	10	0	2	1	0
Cluster_13476	14	13	32	85	11	4	18	29	30	23	31	22	20	12	26	70	25	2	35	49	7	3	28	5	19	11	61	23	35	22	13	22	11	54	29	19	68	34	15	18
Cluster_13579	2	18	15	6	69	66	4	6	13	28	1	0	1	15	16	4	58	17	3	5	53	0	3	56	16	2	33	4	5	29	23	19	2	16	11	6	1	3	0	40
Cluster_13580	2	20	13	5	71	64	2	5	9	30	2	0	0	18	13	5	56	18	3	6	55	1	3	58	20	1	30	4	4	31	23	17	2	14	10	6	3	1	0	39
Cluster_13593	0	0	0	1	1	0	0	281	0	0	0	0	0	0	895	0	2	0	0	1	7	2	0	2	0	1	0	192	0	1635	0	0	3	0	1	0	2	2	3	3
Cluster_13861	7	7	14	37	0	0	8	4	10	26	14	0	0	13	28	42	1	1	15	17	3	0	34	3	19	6	14	19	1	1	2	15	9	8	10	25	2	10	5	0
Cluster_14573	0	21	0	42	81	216	15	0	0	0	0	1	13	0	0	36	1	19	0	0	0	8	16	1	70	1	74	0	32	0	0	19	0	268	101	191	12	5	1	95
Cluster_14698	0	12	10	18	51	118	3	1	4	32	3	0	1	35	11	16	32	16	5	5	44	2	4	17	18	3	35	1	6	24	5	16	12	27	18	22	2	2	0	38
Cluster_14993	20	0	27	16	1	4	16	31	49	3	21	47	1	1	15	0	1	1	7	23	17	18	15	9	10	36	19	13	22	2	4	6	37	4	34	13	4	0	11	7
Cluster_15025	12	17	14	11	14	31	4	17	5	62	5	6	3	53	54	20	25	29	21	2	64	0	9	28	40	9	14	9	5	35	12	14	16	9	5	4	11	3	10	55
Cluster_15223	36	57	15	1	2	1	34	24	11	56	26	6	12	32	120	87	98	21	24	145	43	8	21	5	65	20	2	19	2	34	32	8	37	40	0	14	39	3	6	28
Cluster_15263	16	1	12	85	1	1	14	15	29	30	24	5	0	1	60	57	4	0	45	29	0	0	30	0	4	11	4	39	22	2	7	17	8	3	40	7	8	9	5	3
Cluster_15475	15	2	1	72	1	2	0	4	0	22	41	0	0	2	50	1	0	0	27	0	6	0	57	0	6	16	0	0	14	0	1	23	9	0	35	2	0	4	10	0
Cluster_17091	1	10	1	1	4	9	0	1	1	3	0	0	0	0	4	2	13	6	1	1	325	0	0	6	6	0	5	2	0	2	0	1	0	10	1	4	0	0	0	13
Cluster_17202	4	106	16	0	29	0	16	13	3	0	2	0	14	46	13	60	0	216	0	6	58	5	20	29	193	4	0	6	3	26	0	14	13	63	0	61	9	8	9	212
Cluster_17214	2	6	22	13	4	69	1	7	4	45	1	0	1	13	27	10	44	17	6	0	14	1	7	11	23	1	37	5	3	9	9	9	2	2	14	8	4	2	1	26
Cluster_17220	111	556	124	361	729	2624	221	71	182	301	54	82	328	237	315	1291	981	1238	138	114	592	147	197	597	647	116	438	87	140	1433	101	162	59	577	179	410	472	205	84	2251
Cluster_17230	0	0	0	0	0	0	0	32	0	103	0	0	0	0	76	0	97	0	47	0	0	0	1	0	0	0	0	19	0	75	33	0	0	0	0	0	0	0	0	0
Cluster_17263	17	24	0	34	7	2	18	0	5	22	16	1	0	3	50	107	14	5	41	11	7	4	16	0	15	12	9	13	1	2	1	17	0	1	27	0	1	0	13	7
Cluster_17414	12	6	74	32	11	190	5	18	7	45	12	11	11	51	61	9	69	60	22	20	123	3	11	53	12	14	42	20	4	95	32	5	19	13	15	24	7	1	4	52
Cluster_17753	2	15	5	20	8	21	4	4	1	40	7	0	7	9	14	32	23	12	9	9	27	6	3	1	23	4	27	1	5	12	17	3	13	15	18	15	8	4	4	22
Cluster_17994	1033	145	241	0	1080	1	733	0	535	335	276	0	504	799	200	663	827	135	216	302	1207	213	128	293	1027	684	34	0	0	163	669	685	836	1903	0	660	683	0	316	2104
