"miRNA","Gene","Correlation","P_value"
"Cluster_1865","FUN_012511",0.716441032670807,2.00637076595292e-07
"Cluster_3109","FUN_012511",0.743880260921189,3.78915980649397e-08
"Cluster_1865","FUN_012812",0.726355990710042,1.12408182948128e-07
"Cluster_12081","FUN_012843",0.757935184470663,1.48456042249318e-08
"Cluster_2746","FUN_012853",0.75940619763556,1.34099691114881e-08
"Cluster_12081","FUN_012853",0.849254960540299,4.32120752767538e-12
"Cluster_12083","FUN_012853",0.867109007109063,4.6370434524291e-13
"Cluster_12087","FUN_012853",0.825118460348348,5.81278513344387e-11
"Cluster_3109","FUN_012963",0.714346362221942,2.26061042725948e-07
"Cluster_3109","FUN_012964",0.726932087881305,1.08604080411917e-07
"Cluster_3109","FUN_013335",0.744089346213451,3.73836105520099e-08
"Cluster_1865","FUN_013868",0.724678593091266,1.2419973211342e-07
"Cluster_3109","FUN_013984",0.845950722327948,6.32913614536734e-12
"Cluster_13327","FUN_014229",0.756469927576081,1.64167703915577e-08
"Cluster_13327","FUN_014239",0.772082023824866,5.41291141215392e-09
"Cluster_14532","FUN_014559",0.785841393074011,1.88952364115439e-09
"Cluster_14532","FUN_014626",0.745625970149076,3.38399569676107e-08
"Cluster_14532","FUN_014660",0.702332234671231,4.39389953885124e-07
"Cluster_12081","FUN_015196",0.789315012002932,1.43112888433702e-09
"Cluster_12083","FUN_015196",0.753947839460936,1.9488627825921e-08
"Cluster_12087","FUN_015196",0.729841756786002,9.11495659910879e-08
"Cluster_3109","FUN_015607",0.703634741338749,4.09490456349326e-07
"Cluster_12081","FUN_015649",0.721021203282104,1.53993909706901e-07
"Cluster_3109","FUN_015741",0.713949882685237,2.31196889863006e-07
"Cluster_12083","FUN_015756",0.706526418217677,3.49711686393395e-07
"Cluster_12087","FUN_015756",0.704105898500312,3.99146596594785e-07
"Cluster_17192","FUN_015897",0.712877472688499,2.45634871335423e-07
"Cluster_12081","FUN_016022",0.733238458173733,7.40783590900256e-08
"Cluster_12083","FUN_016022",0.807554082118309,3.04088885398801e-10
"Cluster_12087","FUN_016022",0.787091523370971,1.71072172083537e-09
"Cluster_1865","FUN_016199",0.726903420697353,1.08790517463512e-07
"Cluster_13327","FUN_016249",0.704545922569569,3.89704987579303e-07
"Cluster_3109","FUN_016295",0.782804521397231,2.39912050033852e-09
"Cluster_12081","FUN_016523",0.876191270971172,1.31190736118063e-13
"Cluster_12083","FUN_016523",0.875748673273272,1.39832335196301e-13
"Cluster_12087","FUN_016523",0.85846149609707,1.41974017690905e-12
"Cluster_1865","FUN_016690",0.719929558157853,1.64094519158999e-07
"Cluster_1865","FUN_016728",0.745636883753744,3.38159448027432e-08
"Cluster_2746","FUN_016908",0.738709937819809,5.26909357250825e-08
"Cluster_12081","FUN_016908",0.939583627145226,2.77476295304492e-19
"Cluster_12083","FUN_016908",0.908408222764575,5.71039471094455e-16
"Cluster_12087","FUN_016908",0.874943453731931,1.5694282186534e-13
"Cluster_1832","FUN_016915",0.724630936545258,1.24550914681947e-07
"Cluster_12081","FUN_016915",0.874037975167039,1.78528538394545e-13
"Cluster_12083","FUN_016915",0.874881708731586,1.58333036078828e-13
"Cluster_12087","FUN_016915",0.848280552762299,4.84047228305595e-12
"Cluster_13327","FUN_016915",0.712226419998595,2.54802700333848e-07
"Cluster_12081","FUN_016916",0.707555516788179,3.30463379724946e-07
"Cluster_12083","FUN_016916",0.748415550052639,2.81920482493893e-08
"Cluster_12087","FUN_016916",0.735280622628513,6.52965058149226e-08
"Cluster_14605","FUN_016916",0.701127095587905,4.68839807810614e-07
"Cluster_5516","FUN_016917",0.73467593412314,6.77904464187733e-08
"Cluster_12083","FUN_016918",0.722149422052648,1.4416279165791e-07
"Cluster_12087","FUN_016918",0.721845242426875,1.46754436739929e-07
"Cluster_12081","FUN_016943",0.858254796855852,1.45690243852723e-12
"Cluster_12083","FUN_016943",0.791329259660901,1.21526161198246e-09
"Cluster_12087","FUN_016943",0.746068557362616,3.28787775185847e-08
"Cluster_1865","FUN_017769",0.721992665602645,1.45493028905483e-07
"Cluster_1865","FUN_018055",0.744499660133037,3.64050692770997e-08
"Cluster_1865","FUN_018069",0.736871234875468,5.91370940884658e-08
"Cluster_3109","FUN_018165",0.852016905030885,3.11900230699628e-12
"Cluster_12083","FUN_018241",0.719885526339705,1.64514528528012e-07
"Cluster_12087","FUN_018241",0.726605602019793,1.10745020062879e-07
"Cluster_1865","FUN_018271",0.755056642230084,1.80775945499511e-08
"Cluster_1865","FUN_018311",0.72519005730152,1.20488101574967e-07
"Cluster_3109","FUN_018311",0.758568961235171,1.42103769402211e-08
"Cluster_17623","FUN_018311",0.738569366052212,5.31597072906391e-08
"Cluster_12081","FUN_018153",0.705654062500335,3.66835052600369e-07
"Cluster_2746","FUN_018177",0.703185819874135,4.1957625239146e-07
"Cluster_12081","FUN_018177",0.890062251554882,1.55525641329716e-14
"Cluster_12083","FUN_018177",0.840157869867808,1.21002120182416e-11
"Cluster_12087","FUN_018177",0.795769220606439,8.42133014728746e-10
"Cluster_12081","FUN_018225",0.791370081363478,1.21121905416353e-09
"Cluster_12083","FUN_018225",0.780298986760744,2.91324883572043e-09
"Cluster_12087","FUN_018225",0.776858512030389,3.78795264941313e-09
"Cluster_12081","FUN_018229",0.856649984882624,1.77811175088103e-12
"Cluster_12083","FUN_018229",0.825447249124627,5.62576413265677e-11
"Cluster_12087","FUN_018229",0.798874470691431,6.48103799047318e-10
"Cluster_1865","FUN_018261",0.729761287414955,9.15950489056482e-08
"Cluster_12081","FUN_018267",0.766250789946871,8.27423423664236e-09
"Cluster_12083","FUN_018267",0.787079263730218,1.71239576322246e-09
"Cluster_12087","FUN_018267",0.791343452497327,1.21385467417437e-09
"Cluster_12083","FUN_018292",0.701894151943597,4.49891512177188e-07
"Cluster_1865","FUN_018317",0.712512026433789,2.50742602789026e-07
"Cluster_12081","FUN_018332",0.760167453732914,1.27188223724409e-08
"Cluster_12083","FUN_018332",0.73855441905138,5.32097789412736e-08
"Cluster_12087","FUN_018332",0.701012138423772,4.71742294266326e-07
"Cluster_14605","FUN_018332",0.737057852966743,5.84509345037297e-08
"Cluster_12081","FUN_018363",0.733259404157792,7.39829732851026e-08
"Cluster_12083","FUN_018363",0.759379111413991,1.34351930720143e-08
"Cluster_12087","FUN_018363",0.757906462080489,1.48750089430069e-08
"Cluster_1865","FUN_018512",0.717030478575719,1.93975930016956e-07
"Cluster_5516","FUN_018561",0.754699695032908,1.85211100609436e-08
"Cluster_14605","FUN_018561",0.729063239901169,9.55451217512261e-08
"Cluster_12081","FUN_018741",0.701198464184767,4.67046179567578e-07
"Cluster_12083","FUN_018741",0.700493727158126,4.8503889792066e-07
"Cluster_12087","FUN_018741",0.704534146819151,3.89954946626139e-07
"Cluster_12081","FUN_018982",0.703845057547321,4.04842887188641e-07
"Cluster_3109","FUN_019155",0.727251868569154,1.06544378838342e-07
"Cluster_12081","FUN_020102",0.845157144414844,6.92747959875543e-12
"Cluster_12083","FUN_020102",0.779552840874334,3.08516697082471e-09
"Cluster_12087","FUN_020102",0.736361312176506,6.10503117385792e-08
"Cluster_12081","FUN_020103",0.814944337409694,1.54837395917368e-10
"Cluster_12083","FUN_020103",0.84055487285134,1.15840805684906e-11
"Cluster_12087","FUN_020103",0.84360687319479,8.25252290459039e-12
"Cluster_1865","FUN_020813",0.734281250768751,6.94656403690188e-08
"Cluster_3109","FUN_020813",0.702398330649562,4.37825350183938e-07
"Cluster_12081","FUN_020767",0.735921457689103,6.27466381897911e-08
"Cluster_4752","FUN_021779",0.73619046430904,6.1704074961223e-08
"Cluster_12083","FUN_022021",0.741363893915026,4.4530025720857e-08
"Cluster_1865","FUN_022304",0.715040908144674,2.17318011177737e-07
"Cluster_3109","FUN_022416",0.78685334596782,1.74351966679983e-09
"Cluster_12081","FUN_023430",0.712010060267823,2.57918831841796e-07
"Cluster_12083","FUN_023430",0.750227872461809,2.50065798923149e-08
"Cluster_12087","FUN_023430",0.705767193882923,3.64571464357098e-07
"Cluster_1865","FUN_023547",0.73985691496322,4.90070404214976e-08
"Cluster_1865","FUN_023518",0.711462813456555,2.65958743183036e-07
"Cluster_3227","FUN_023791",0.760457317385877,1.24644846715644e-08
"Cluster_2746","FUN_023903",0.703878238726699,4.04114120454889e-07
"Cluster_12081","FUN_023903",0.754178602663896,1.91867841456825e-08
"Cluster_12083","FUN_023903",0.708564606971479,3.1254540965585e-07
"Cluster_1865","FUN_023906",0.703855480017508,4.04613844984975e-07
"Cluster_3109","FUN_023906",0.824613446710888,6.11142179195046e-11
"Cluster_1865","FUN_024280",0.729401752101584,9.36102416944012e-08
"Cluster_13327","FUN_025032",0.788493320830556,1.52906637644816e-09
"Cluster_1865","FUN_025239",0.71594189601746,2.06442681521874e-07
"Cluster_1865","FUN_025217",0.706397473329869,3.52195266489825e-07
"Cluster_1865","FUN_025218",0.717545367083847,1.88325581475954e-07
"Cluster_3109","FUN_025223",0.806929662290351,3.21507714197918e-10
"Cluster_2746","FUN_025230",0.765599690785568,8.66918039611553e-09
"Cluster_12081","FUN_025230",0.952633032596104,3.05487764584452e-21
"Cluster_12083","FUN_025230",0.94179452448999,1.39327593389686e-19
"Cluster_12087","FUN_025230",0.915123014675664,1.4268354582293e-16
"Cluster_12083","FUN_025298",0.745058979723388,3.51094764203898e-08
"Cluster_12087","FUN_025298",0.752866510892518,2.09627972669917e-08
"Cluster_1865","FUN_025358",0.713957198323497,2.31101155376249e-07
"Cluster_12081","FUN_025355",0.734303098733715,6.93719133134306e-08
"Cluster_12083","FUN_025355",0.704876962119895,3.82738491569667e-07
"Cluster_12081","FUN_025404",0.804533075448157,3.97406206919751e-10
"Cluster_12083","FUN_025404",0.834457153850504,2.23413896136184e-11
"Cluster_12087","FUN_025404",0.810779770119477,2.27313186623582e-10
"Cluster_1865","FUN_025850",0.756137534406722,1.67940884803922e-08
"Cluster_1865","FUN_025905",0.760460356817076,1.24618430182617e-08
"Cluster_1865","FUN_025956",0.755047560314658,1.80887554603511e-08
"Cluster_2746","FUN_026047",0.728434500630423,9.92376900968386e-08
"Cluster_12081","FUN_026047",0.791484278255596,1.19997677792074e-09
"Cluster_12083","FUN_026047",0.79001940320747,1.3518672100539e-09
"Cluster_12087","FUN_026047",0.77013890098044,6.2436422457092e-09
"Cluster_1865","FUN_026255",0.714339212975296,2.2615270839731e-07
"Cluster_3109","FUN_026290",0.70929540784189,3.00134941561426e-07
"Cluster_2746","FUN_026284",0.762185679297457,1.10436062637696e-08
"Cluster_12081","FUN_026284",0.879854076281119,7.66471966754977e-14
"Cluster_12083","FUN_026284",0.859705943863209,1.21415173204719e-12
"Cluster_12087","FUN_026284",0.849205238529563,4.34638574672671e-12
"Cluster_1865","FUN_026328",0.74705302954741,3.0831045115975e-08
"Cluster_12081","FUN_026462",0.700629804195247,4.81515558098231e-07
"Cluster_5516","FUN_026518",0.759614398480288,1.32175492709082e-08
"Cluster_12081","FUN_026518",0.774064269975332,4.67249983349229e-09
"Cluster_12083","FUN_026518",0.742221284131097,4.21555415081416e-08
"Cluster_12087","FUN_026518",0.747223796777278,3.04881475425931e-08
"Cluster_13327","FUN_026518",0.725930318333313,1.15297978280922e-07
"Cluster_3109","FUN_026571",0.755411205412656,1.76468406917815e-08
"Cluster_1865","FUN_026570",0.717018310728859,1.94111338872234e-07
"Cluster_1865","FUN_026572",0.72077266176475,1.56241553027698e-07
"Cluster_4752","FUN_026818",0.711599258250281,2.63932728826236e-07
"Cluster_1865","FUN_026872",0.706363462477255,3.5285305639112e-07
"Cluster_12081","FUN_026905",0.785941260591462,1.87462291791939e-09
"Cluster_12083","FUN_026905",0.835994798089516,1.89791049286039e-11
"Cluster_12087","FUN_026905",0.818284008725596,1.13010824190557e-10
"Cluster_1865","FUN_027285",0.71353377413462,2.36703048709899e-07
"Cluster_12081","FUN_027527",0.780102478795495,2.95763752957175e-09
"Cluster_1865","FUN_027732",0.706145843785652,3.57088904775969e-07
"Cluster_3109","FUN_027732",0.818203400660206,1.13881591946566e-10
"Cluster_12081","FUN_027750",0.758244057316964,1.4532794314379e-08
"Cluster_1865","FUN_028350",0.801228536177694,5.29787359603902e-10
"Cluster_12081","FUN_028355",0.907183772494752,7.26946331205158e-16
"Cluster_12083","FUN_028355",0.860773585101707,1.06040011922897e-12
"Cluster_12087","FUN_028355",0.825042316453537,5.85691981231442e-11
"Cluster_12081","FUN_028357",0.847829383007557,5.10023728191916e-12
"Cluster_12083","FUN_028357",0.789535817355473,1.40582767749916e-09
"Cluster_12087","FUN_028357",0.753528118417318,2.00489863588573e-08
"Cluster_12081","FUN_028359",0.890978669430465,1.3375514322396e-14
"Cluster_12083","FUN_028359",0.883386482666887,4.48861788865698e-14
"Cluster_12087","FUN_028359",0.870260979409183,3.02420002966554e-13
"Cluster_12081","FUN_028361",0.76857825354407,6.99530767323055e-09
"Cluster_12081","FUN_028400",0.756760915184317,1.60929451539113e-08
"Cluster_12083","FUN_028400",0.752278819704234,2.18068575825757e-08
"Cluster_12087","FUN_028400",0.736327585937413,6.11788562115365e-08
"Cluster_12081","FUN_028409",0.866046743233669,5.3424482396938e-13
"Cluster_12083","FUN_028409",0.821173562338063,8.5611618312696e-11
"Cluster_12087","FUN_028409",0.796358543773724,8.01577407385867e-10
"Cluster_12081","FUN_028371",0.755094037343879,1.80317065688571e-08
"Cluster_12083","FUN_028371",0.715537344453839,2.11261885171807e-07
"Cluster_12087","FUN_028371",0.735151065872354,6.58235596260232e-08
"Cluster_12081","FUN_028382",0.859594822326484,1.23130479974547e-12
"Cluster_12083","FUN_028382",0.790909048978859,1.25761371437132e-09
"Cluster_12087","FUN_028382",0.747967188386675,2.90363321886015e-08
"Cluster_12081","FUN_028413",0.746110173813357,3.27897154914614e-08
"Cluster_12081","FUN_028416",0.913504398725781,2.01371600863734e-16
"Cluster_12083","FUN_028416",0.908838832780796,5.2414152985618e-16
"Cluster_12087","FUN_028416",0.895397358383611,6.34080315746396e-15
"Cluster_12081","FUN_028435",0.766511540277688,8.12081989408161e-09
"Cluster_12081","FUN_028904",0.901698094171742,2.06078911364144e-15
"Cluster_12083","FUN_028904",0.859454604700281,1.25327409494888e-12
"Cluster_12087","FUN_028904",0.832767866819775,2.66750240849471e-11
"Cluster_3109","FUN_028996",0.768495217415755,7.03757195325956e-09
"Cluster_1819","FUN_030717",0.74015044824228,4.81034951945057e-08
"Cluster_3109","FUN_030717",0.701037879658048,4.71090929193805e-07
"Cluster_14692","FUN_030717",0.777921514093771,3.49452794162331e-09
"Cluster_1865","FUN_030987",0.710938701280211,2.73875689940643e-07
"Cluster_12081","FUN_031016",0.856708329372401,1.76535301959877e-12
"Cluster_12083","FUN_031016",0.896465737503428,5.26738438045669e-15
"Cluster_12087","FUN_031016",0.895020858402794,6.76586815233802e-15
"Cluster_2500","FUN_031093",0.701487454228181,4.59847968944286e-07
"Cluster_2372","FUN_031217",0.708319942843918,3.16805270500583e-07
"Cluster_12081","FUN_031538",0.774736663895082,4.44359623657064e-09
"Cluster_12083","FUN_031538",0.807285549471104,3.11468811452058e-10
"Cluster_12087","FUN_031538",0.770260835702863,6.18820394236182e-09
"Cluster_12081","FUN_031542",0.715903980261115,2.06889988663155e-07
"Cluster_12083","FUN_031542",0.722800368467968,1.38758556253278e-07
"Cluster_12087","FUN_031542",0.725799748742261,1.16198098779622e-07
"Cluster_12083","FUN_031543",0.728211158947451,1.00580923774241e-07
"Cluster_12087","FUN_031543",0.726759939710277,1.09728115091787e-07
"Cluster_12081","FUN_031544",0.729732068207229,9.17573073498167e-08
"Cluster_12083","FUN_031544",0.801071698918385,5.36994805700706e-10
"Cluster_12087","FUN_031544",0.781027624624844,2.75402478328755e-09
"Cluster_3227","FUN_031892",0.717510486340353,1.88703491688423e-07
"Cluster_1865","FUN_032600",0.709899786355933,2.90217630602047e-07
"Cluster_3301","FUN_032883",0.705104657341263,3.7801386294882e-07
"Cluster_12081","FUN_032953",0.746885443537693,3.11710373373098e-08
"Cluster_12083","FUN_032953",0.815076261803464,1.52941642248116e-10
"Cluster_12087","FUN_032953",0.793588675065228,1.00946767048214e-09
"Cluster_12081","FUN_032954",0.720355173241497,1.60085587526908e-07
"Cluster_12081","FUN_032955",0.808514048007095,2.79022387122982e-10
"Cluster_12083","FUN_032955",0.756228496078204,1.66900387170175e-08
"Cluster_12087","FUN_032955",0.720208589511645,1.61455919028715e-07
"Cluster_3109","FUN_032966",0.705560778557737,3.68711295637807e-07
"Cluster_12081","FUN_033072",0.708222149981423,3.18522926615924e-07
"Cluster_1865","FUN_033485",0.769631165738978,6.47950040134348e-09
"Cluster_3109","FUN_033485",0.720194487128812,1.61588326128488e-07
"Cluster_12081","FUN_033553",0.75015407621504,2.51294634529069e-08
"Cluster_12083","FUN_033553",0.779308308288008,3.14353719204382e-09
"Cluster_12087","FUN_033553",0.781082042547583,2.74246512632896e-09
"Cluster_2746","FUN_033554",0.756856431988708,1.59879519316471e-08
"Cluster_12081","FUN_033554",0.881107404705769,6.35163958222259e-14
"Cluster_12083","FUN_033554",0.917088629536787,9.30293481446921e-17
"Cluster_12087","FUN_033554",0.897912387948383,4.08431424317498e-15
"Cluster_1865","FUN_033681",0.729059594709249,9.556615751722e-08
"Cluster_14532","FUN_033694",0.735138076252583,6.58766203595978e-08
"Cluster_17245","FUN_033788",0.720378126180596,1.59871991595833e-07
"Cluster_2746","FUN_034037",0.705201738984695,3.76015891108654e-07
"Cluster_12081","FUN_034037",0.871457208531504,2.56385280446853e-13
"Cluster_12083","FUN_034037",0.847174226505688,5.50082481406746e-12
"Cluster_12087","FUN_034037",0.829546649993395,3.72037773702068e-11
"Cluster_12081","FUN_034068",0.750890787983601,2.39274963941338e-08
"Cluster_1865","FUN_034201",0.719788780435707,1.65440866896245e-07
"Cluster_1819","FUN_034676",0.739491568465868,5.01536590310559e-08
"Cluster_14692","FUN_034676",0.779580040742658,3.07873718633387e-09
"Cluster_12081","FUN_034692",0.82267289573971,7.39794577449746e-11
"Cluster_12083","FUN_034692",0.846317502531731,6.06929513901327e-12
"Cluster_12087","FUN_034692",0.847991330864528,5.00552525203858e-12
"Cluster_12081","FUN_034693",0.852611728338147,2.90501222998833e-12
"Cluster_12083","FUN_034693",0.782024141394053,2.54937799295908e-09
