"","ACR-139-TP1","ACR-139-TP2","ACR-139-TP3","ACR-139-TP4","ACR-145-TP1","ACR-145-TP2","ACR-145-TP3","ACR-145-TP4","ACR-150-TP1","ACR-150-TP2","ACR-150-TP3","ACR-150-TP4","ACR-173-TP1","ACR-173-TP2","ACR-173-TP3","ACR-173-TP4","ACR-186-TP1","ACR-186-TP2","ACR-186-TP3","ACR-186-TP4","ACR-225-TP1","ACR-225-TP2","ACR-225-TP3","ACR-225-TP4","ACR-229-TP1","ACR-229-TP2","ACR-229-TP3","ACR-229-TP4","ACR-237-TP1","ACR-237-TP2","ACR-237-TP3","ACR-237-TP4","ACR-244-TP1","ACR-244-TP2","ACR-244-TP3","ACR-244-TP4","ACR-265-TP1","ACR-265-TP2","ACR-265-TP3","ACR-265-TP4"
"CpG_ntLink_6_20175993",90,93.75,71.428571,94.117647,52.777778,55.882353,52.173913,50,42.5,65.217391,94.117647,46.428571,60,23.076923,33.333333,21.73913,20.689655,41.176471,21.052632,30.555556,5.084746,31.034483,19.230769,29.787234,48.387097,80,66.666667,68.75,82.142857,75,65.384615,62.5,38.028169,43.181818,36.363636,22.807018,47.826087,44.444444,35,40
"CpG_ntLink_8_3752200",46.153846,47.058824,37.5,60,24,44.444444,50,35,58.823529,66.666667,62.5,45.454545,27.777778,10,26.086957,17.391304,35.714286,17.142857,37.931034,41.176471,71.428571,50,38.095238,28.571429,68.181818,73.333333,42.307692,56.25,44.444444,44.444444,52.380952,60.714286,64.285714,51.724138,60,58.333333,45.833333,10.526316,18.75,33.333333
"CpG_ntLink_8_12561393",36.666667,40.740741,31.578947,16,32.258065,68.181818,30,50,35.714286,35,60,41.37931,31.707317,31.25,45.238095,36.585366,46.666667,28,33.333333,40,53.846154,50,40,53.846154,52.941176,78.378378,59.259259,52.777778,31.818182,52.173913,58.823529,30,51.428571,37.837838,47.619048,38.888889,66.666667,60,46.153846,40.909091
"CpG_ntLink_8_12561401",41.37931,39.285714,32.432432,34.782609,50,60,27.777778,61.290323,38.461538,36.842105,54.166667,43.333333,46.511628,47.058824,45,35.714286,40,24,29.62963,50,50,66.666667,43.333333,72.413793,64.705882,81.578947,70.37037,56.756757,29.166667,55,55.555556,35,48.484848,40.540541,57.142857,47.058824,71.428571,64.285714,55.555556,57.142857
"CpG_ntLink_8_12561425",39.285714,36.363636,32.5,40,36.363636,71.428571,28.571429,48.148148,37.037037,40,56.521739,55.555556,37.5,40,33.333333,26.190476,20,19.354839,21.428571,36.842105,46.666667,35.294118,10.714286,18.75,70,77.777778,70.37037,55.555556,30.434783,57.894737,50,23.809524,55,40.540541,63.636364,45.714286,50,46.153846,46.428571,50
"CpG_ntLink_8_12561461",44.827586,27.272727,23.684211,23.333333,43.75,66.666667,33.333333,61.290323,25.925926,30.30303,54.166667,46.875,38.636364,58.333333,32.55814,28.947368,25,27.272727,30,38.235294,46.153846,64.285714,34.782609,62.068966,67.5,71.875,76.190476,54.545455,25,53.846154,50,34.782609,54.347826,35.135135,56,47.058824,47.619048,50,50,58.823529
"CpG_ntLink_8_15325566",35.714286,50,42.857143,46.153846,46.875,61.538462,41.176471,61.904762,35.135135,73.684211,66.666667,42.307692,88.888889,100,55.555556,72.727273,52.941176,72.727273,61.538462,91.666667,5.405405,86.666667,36.363636,71.428571,47.619048,45.454545,61.538462,25,62.5,66.666667,77.272727,63.636364,55.172414,47.368421,50,78.125,60.714286,37.5,52.631579,31.428571
"CpG_ntLink_8_15325573",85.714286,100,70,91.666667,68.75,67.857143,44.117647,50,23.684211,47.368421,23.333333,28,88.235294,100,66.666667,75,68.75,72.727273,76.923077,92.307692,5.882353,93.333333,72.727273,80,45,45.454545,64.285714,31.25,37.5,40,45.454545,31.818182,40.740741,27.777778,50,40.625,48.148148,59.375,68.421053,37.142857
"CpG_ntLink_8_16166683",23.214286,17.073171,18.367347,18.181818,40,55.555556,55.555556,41.025641,20.895522,25.454545,29.62963,20.454545,18.032787,17.021277,17.647059,13.333333,5.714286,5.882353,12.903226,3.571429,20.833333,25.581395,28.571429,31.111111,38.461538,48.148148,29.411765,55.172414,33.928571,22.95082,19.672131,33.928571,39.344262,35.416667,31.034483,35.135135,48,50,42.307692,61.111111
"CpG_ntLink_8_16166687",23.636364,15.555556,17.307692,15.909091,46.428571,59.259259,52.631579,43.589744,11.594203,21.428571,22.033898,17.391304,12.698413,16.326531,14.705882,6.666667,11.428571,8.571429,9.677419,13.333333,25.806452,18.181818,25,25.531915,39.02439,46.428571,36.842105,55.172414,28.333333,20.634921,13.114754,29.310345,33.870968,35.416667,31.034483,27.027027,48,50,44,50
"CpG_ntLink_8_16166693",21.153846,13.043478,9.803922,18.604651,10.344828,20.689655,20,11.627907,12.857143,11.538462,15.254237,10.416667,18.181818,19.607843,14.705882,13.333333,5.882353,9.090909,12.903226,6.451613,20,23.913043,21.212121,19.565217,13.157895,24.137931,26.315789,25,13.114754,10.606061,8.474576,11.864407,14.754098,26,12.903226,28.947368,4.166667,17.647059,16,18.181818
"CpG_ntLink_8_16166716",25,19.607843,18.518519,20,40.625,62.068966,42.857143,31.914894,13.888889,17.857143,18.032787,14,26.086957,20,17.142857,12.121212,5.714286,13.333333,14.285714,13.333333,22,29.787234,22.222222,31.25,40.909091,40,37.5,55.555556,26.470588,18.309859,16.41791,20.634921,36.842105,36.170213,20,25,37.5,42.105263,34.615385,38.095238
"CpG_ntLink_8_16166740",22.44898,15.789474,17.307692,19.565217,36.842105,55.882353,36.363636,35.185185,26.153846,25,21.311475,16.923077,18.918919,18.181818,3.571429,6.451613,6.666667,14.705882,8.333333,22.580645,21.875,28.888889,16.666667,21.311475,34.782609,22.222222,31.034483,33.333333,22.666667,17.910448,20.779221,27.586207,35.185185,29.545455,22.857143,31.578947,33.333333,26.086957,37.037037,32.142857
"CpG_ntLink_8_16166795",14.814815,11.111111,10.447761,24.074074,2.083333,23.333333,9.090909,8.955224,13.953488,9.090909,12.857143,5.479452,25.757576,17.5,17.857143,7.692308,6.25,13.793103,7.317073,18.421053,25,24.324324,21.95122,17.142857,12,27.5,26.923077,21.428571,13.861386,9.210526,10.714286,9.459459,25,19.607843,20.588235,26.190476,3.125,7.142857,2.941176,10
"CpG_ntLink_8_16166881",24.590164,17.1875,23.809524,25.454545,28.888889,48,26.315789,50,21.95122,24.528302,29.508197,18.75,25.806452,21.428571,21.428571,9.090909,12.903226,25,19.444444,27.5,28.915663,19.148936,13.636364,24.528302,33.333333,38.709677,39.285714,29.411765,26.041667,21.686747,25.714286,20.779221,33.928571,23.4375,24.444444,33.333333,30,37.037037,38.709677,25
"CpG_ntLink_8_16166891",9.090909,6.896552,8.474576,7.54717,12.195122,32,11.111111,18.367347,13.333333,14.583333,22.641509,10.38961,15.517241,18.918919,14.285714,5.555556,9.375,19.230769,11.428571,13.157895,35.365854,9.803922,13.636364,20,23.076923,21.428571,33.333333,18.75,20.430108,15,15.873016,13.69863,23.214286,17.741935,23.255814,25.531915,15.384615,22.222222,24.137931,4.545455
"CpG_ntLink_8_16166910",21.052632,14.285714,24.489796,11.428571,23.333333,31.818182,33.333333,42.5,12.5,14.634146,25,12.121212,20,25.925926,23.809524,8.333333,3.703704,28.571429,21.875,20,37.142857,26.086957,13.157895,24.324324,33.333333,36.842105,29.166667,36,25.316456,17.333333,16.129032,22.727273,26.086957,19.230769,23.333333,18.421053,35,45,37.5,29.411765
"CpG_ntLink_8_22867309",60,70.967742,52.941176,76.190476,82.352941,80,50,68.181818,74.285714,89.473684,86.363636,76.470588,80,90.909091,58.333333,60,56.521739,81.25,76.470588,77.777778,4.347826,77.777778,74.285714,87.5,78.571429,87.096774,83.333333,60,77.419355,90,85.714286,76,66.666667,88.235294,100,83.333333,72.222222,64.705882,68.421053,53.333333
"CpG_ptg000001l_2901983",70.588235,79.166667,62.5,85,60.714286,70.967742,50,56.521739,61.290323,72.5,50,55.172414,55.555556,89.473684,66.666667,55.555556,33.333333,69.69697,62.5,78.26087,31.25,76.923077,78.947368,64,53.846154,69.69697,48.387097,47.826087,52.542373,64.102564,66.666667,64.102564,77.142857,85.294118,83.333333,75,81.395349,64.705882,59.090909,52.380952
"CpG_ptg000001l_2938368",81.818182,86.956522,76.190476,100,68.421053,58.333333,62.5,82.608696,60,78.947368,30.769231,41.37931,50,84.615385,64,42.307692,37.5,80.769231,63.157895,84.615385,22.78481,90.909091,73.076923,46.666667,88.888889,85.714286,94.736842,78.571429,86.363636,58.823529,95.454545,61.538462,85.714286,88.235294,83.333333,80.952381,64.285714,54.545455,76.470588,64.705882
"CpG_ptg000001l_2938412",73.913043,63.636364,64.285714,86.956522,69.565217,83.333333,62.962963,80,50,73.333333,41.176471,40.625,57.142857,72.727273,52.173913,33.333333,36,74.193548,66.666667,81.25,4.705882,87.5,62.857143,50,77.272727,83.333333,94.117647,71.428571,78.947368,56.25,80.952381,55.555556,60,83.333333,89.473684,70.37037,50,47.058824,78.947368,54.545455
"CpG_ptg000001l_2938427",81.818182,57.894737,64.285714,86.363636,68.181818,79.166667,64,76.923077,59.259259,75,38.888889,34.375,61.904762,70,50,29.62963,40.909091,75,53.333333,78.571429,23.809524,88.235294,56.25,31.25,76,100,88.235294,71.428571,80,46.666667,78.947368,42.105263,72.727273,85,94.444444,68.965517,57.894737,42.105263,72.222222,47.826087
"CpG_ptg000001l_2938436",73.684211,58.823529,56,81.818182,52.631579,47.368421,52.380952,54.545455,52,69.230769,41.176471,39.285714,55.555556,72.727273,46.666667,25,33.333333,67.857143,30,76.923077,22.78481,87.5,51.612903,14.285714,78.26087,95,86.666667,64.285714,68.75,46.153846,77.777778,55.555556,70,77.777778,82.352941,64.285714,35.294118,20,66.666667,38.888889
"CpG_ptg000001l_2940440",100,95.454545,66.666667,100,69.230769,84.210526,88.235294,88,55.555556,76.923077,68.181818,56.25,70,84.615385,38.461538,54.545455,56.25,100,61.111111,89.473684,17.391304,81.25,70,90,83.333333,78.571429,87.5,84.210526,72.222222,73.333333,78.571429,55,95.238095,100,90,100,93.333333,100,87.5,83.333333
"CpG_ptg000001l_2940450",85.714286,95.238095,60,93.333333,57.142857,75,50,85.714286,50,76.923077,68.181818,60,68.421053,92.307692,38.461538,38.095238,40,100,64.705882,89.473684,11.363636,60,30,90,77.777778,85.714286,87.5,82.352941,68.421053,60,75,52.380952,90.909091,100,100,88.888889,93.75,94.117647,92.857143,83.333333
"CpG_ptg000001l_2940455",100,94.736842,70,93.75,61.538462,81.25,93.333333,91.304348,56.521739,66.666667,68.181818,66.666667,77.777778,92.307692,40,55.555556,46.666667,92.307692,64.285714,94.736842,13.636364,80,70,90.909091,88.888889,92.857143,88.888889,86.666667,68.421053,60,80.769231,52.380952,84.210526,100,90,94.117647,86.666667,89.473684,91.666667,91.666667
"CpG_ptg000001l_2940460",100,89.473684,70,93.75,57.142857,86.666667,93.75,86.956522,54.545455,76.923077,72.727273,66.666667,77.777778,100,40,42.105263,50,100,66.666667,95,12.5,86.666667,70,81.818182,88.888889,85.714286,88.888889,87.5,68.421053,60,76.923077,52.380952,88.888889,100,100,94.117647,78.571429,100,91.666667,81.818182
"CpG_ptg000001l_3580368",92.857143,86.956522,63.636364,100,62.5,71.428571,71.428571,88.461538,59.090909,82.222222,82.857143,75,85.185185,90,64.516129,57.142857,37.5,61.290323,61.538462,72.972973,80,73.333333,72,65.714286,79.365079,82.692308,85.714286,70.27027,75,94.594595,81.395349,79.487179,91.176471,95.744681,84.848485,86.363636,93.333333,83.333333,75,85
"CpG_ptg000001l_3580370",92.592593,86.956522,65.217391,96.875,61.538462,72.413793,71.428571,88,60.465116,82.222222,88.571429,78,89.285714,90,64.516129,60,41.176471,63.636364,66.666667,75,80,73.333333,72,71.428571,77.777778,82.142857,85.714286,75.675676,71.428571,94.594595,84.090909,84.210526,91.176471,93.75,85.294118,84.444444,93.333333,83.333333,74.285714,82.608696
"CpG_ptg000001l_16528264",23.809524,14.814815,10,22.727273,29.032258,41.37931,33.333333,50,55.555556,72.222222,60,36.363636,22.857143,48,19.512195,20,27.272727,23.076923,5.882353,21.052632,18.518519,31.25,50,41.935484,71.428571,69.230769,57.894737,63.636364,62.962963,65.217391,59.259259,61.538462,50,43.75,45,54.545455,50,34.482759,30,28.571429
"CpG_ptg000001l_16528266",11.111111,7.692308,5.263158,19.047619,31.034483,39.285714,30,48.387097,52.941176,73.684211,60,33.333333,20,45.833333,17.073171,17.647059,27.272727,19.230769,11.764706,25,17.241379,26.666667,52.631579,40.625,71.428571,69.230769,57.894737,60.869565,62.962963,66.666667,57.142857,60,45.454545,43.75,44.444444,43.478261,51.612903,34.482759,36.666667,22.727273
"CpG_ptg000001l_16528282",31.578947,11.538462,16.666667,21.052632,20.689655,38.461538,27.272727,34.482759,41.176471,68.75,66.666667,33.333333,16.216216,39.130435,22.5,13.333333,23.076923,16.666667,7.142857,26.315789,12.903226,42.105263,45.454545,34.615385,60.869565,50,55.555556,45.833333,54.83871,67.857143,54.166667,56.25,40.909091,57.894737,50,52.380952,41.935484,29.032258,30,18.181818
"CpG_ptg000001l_16528285",20,11.111111,6.666667,16.666667,12.5,30.434783,27.272727,28,50,70.588235,68.421053,27.272727,20,33.333333,20,13.333333,23.076923,20,7.692308,22.222222,11.764706,38.888889,47.826087,29.166667,42.857143,36.363636,46.666667,47.619048,55.555556,68.965517,54.545455,56.25,54.166667,57.894737,47.368421,55,30,20.689655,27.586207,5.555556
"CpG_ptg000001l_16528327",42.857143,13.636364,23.809524,25,29.166667,20,19.230769,37.5,38.461538,68.75,66.666667,18.181818,8,40,30.769231,25,16.666667,8.333333,18.181818,38.888889,14.814815,46.666667,47.619048,30,25.925926,42.857143,44.444444,28.571429,52,62.5,55.555556,50,43.478261,66.666667,50,40.740741,25.925926,29.62963,35,23.529412
"CpG_ptg000002l_2072294",25,53.333333,30.555556,38.888889,27.083333,30,14.814815,27.5,20,10.526316,33.333333,42.857143,37.837838,26.086957,31.111111,34.883721,6,8.823529,14.583333,6.666667,26.315789,22.222222,20.689655,16.129032,61.764706,73.333333,50,60.714286,28.571429,23.809524,42.857143,19.047619,7.142857,9.090909,11.111111,6.25,24.324324,28.571429,40,17.241379
"CpG_ptg000002l_7635548",61.538462,82.608696,44.444444,58.823529,69.230769,75,58.823529,73.076923,60,50,65.217391,33.333333,40.909091,71.428571,66.666667,52.941176,48.648649,70.588235,61.111111,71.428571,42.222222,68.421053,58.333333,62.5,60.869565,58.333333,71.875,66.666667,57.142857,71.428571,53.333333,50,48,50,68.421053,62.5,85.714286,66.666667,80,66.666667
"CpG_ptg000002l_7635550",69.230769,68.181818,46.153846,52.941176,69.230769,66.666667,52.941176,76,61.290323,30,69.565217,41.666667,29.166667,66.666667,58.333333,55.555556,50,75,50,64.285714,34.782609,63.157895,58.333333,70.588235,65.217391,62.5,71.875,58.333333,66.666667,80,53.333333,52.941176,36,50,68.421053,47.826087,77.272727,55.555556,60,53.846154
"CpG_ptg000002l_7635567",81.818182,76,45.16129,63.157895,65.714286,61.904762,47.826087,73.076923,60,45.454545,58.333333,50,31.25,66.666667,57.692308,68.421053,52.083333,80,61.904762,75,35.833333,68.421053,46.666667,68.421053,72,66.666667,72.972973,51.851852,76.190476,78.571429,56.25,56.521739,44.444444,50,66.666667,50,83.333333,70.833333,80,50
"CpG_ptg000004l_4756879",58.823529,39.130435,30,36.363636,20,33.333333,22.727273,25,31.428571,56.666667,40,21.73913,21.428571,15,38.461538,15.789474,16.216216,9.52381,9.52381,17.391304,38.095238,7.142857,14.285714,13.333333,23.529412,39.285714,31.25,29.032258,34.615385,34.782609,34.782609,27.777778,31.25,15.384615,11.764706,11.363636,41.176471,35.294118,18.75,31.25
"CpG_ptg000004l_4756885",41.176471,26.666667,23.809524,22.727273,16.666667,35.714286,18.181818,26.666667,20.588235,41.935484,38.095238,18.181818,18.518519,15,30.769231,12.5,27.027027,35,15,32,35.416667,6.451613,13.333333,10,8.108108,37.5,21.212121,23.333333,19.230769,26.086957,29.166667,23.809524,26.470588,7.142857,11.111111,9.52381,40,17.647059,13.333333,26.666667
"CpG_ptg000004l_4756888",18.75,16.666667,14.285714,30.434783,16.666667,28.571429,13.636364,26.666667,5.714286,19.354839,18.181818,4.545455,17.241379,10,24,6.666667,27.777778,19.047619,10.526316,32,34.693878,3.030303,3.448276,6.451613,5.555556,31.034483,20.588235,9.677419,3.571429,24,8,4.761905,12.903226,3.448276,5.263158,9.302326,33.333333,17.647059,20,25
"CpG_ptg000004l_4757243",24.242424,10,20.588235,23.529412,9.52381,21.73913,23.333333,17.241379,15.789474,30,32.352941,29.166667,24.137931,23.809524,20.408163,15.555556,10.810811,9.090909,4.878049,16.666667,17.777778,13.793103,11.827957,13.924051,29.347826,37.5,42.5,41.176471,24.324324,40,34.090909,41.176471,7.142857,12.121212,4.545455,12.280702,18.518519,28.125,22.727273,22.580645
"CpG_ptg000004l_4757250",28.571429,12.5,12.820513,18.918919,11.363636,28.571429,24.137931,10.714286,12.5,26.666667,28.947368,34,20,13.636364,20.408163,15.909091,12.5,8.695652,4.878049,19.444444,18.27957,13.793103,11.827957,12.820513,30,37.5,42.857143,37.142857,25,33.333333,36.585366,43.75,6.976744,8.571429,4.166667,10.169492,16,26.666667,26.315789,22.580645
"CpG_ptg000004l_4757511",27.777778,11.111111,11.111111,9.090909,7.407407,21.052632,15,10.714286,44,25,37.837838,31.818182,18.181818,30.434783,22.727273,15,20,11.111111,18.75,11.764706,22.222222,11.904762,5,10,25.490196,16.666667,12,19.444444,27.586207,28.205128,23.333333,31.034483,15.384615,26.470588,32.258065,13.888889,16,37.5,26.086957,5.882353
"CpG_ptg000004l_4757585",17.647059,14.285714,7.142857,3.846154,4.347826,7.407407,17.647059,8.695652,15.384615,26.086957,13.888889,33.333333,18.75,4.761905,4.347826,19.047619,8.333333,10,7.142857,5.882353,26.666667,11.627907,18.421053,12.121212,22.44898,24.390244,19.148936,26.315789,16.666667,32,28.947368,21.428571,8.888889,19.444444,25,6.666667,18.181818,14.285714,17.391304,8.333333
"CpG_ptg000004l_4759607",28.125,9.090909,10.344828,20,44,46.153846,24,55.555556,27.586207,65.217391,44.680851,41.666667,42.307692,34.782609,29.72973,20,26.666667,10.526316,10,22.222222,23.529412,9.090909,21.666667,10.909091,39.622642,43.103448,34.545455,34.615385,57.142857,74.418605,61.363636,52.272727,36,40,33.333333,45,50,70.833333,56.25,36.363636
"CpG_ptg000004l_4759618",24.242424,12.5,10,19.047619,41.37931,41.666667,22.222222,46.153846,30,62.5,46.666667,46.153846,45.454545,30.769231,28.125,26.086957,15.789474,18.181818,12,27.777778,26.05042,9.375,16.666667,11.764706,42.553191,50.847458,38.333333,33.333333,62.5,73.333333,63.636364,57.142857,29.411765,43.478261,33.333333,44.067797,56.666667,65.217391,40.625,36.363636
"CpG_ptg000004l_4759680",38.709677,30,32.5,27.777778,14.814815,30.769231,12.903226,32.142857,30.232558,33.333333,38.461538,32,20,45,18.918919,25,11.111111,12,11.111111,5.263158,22.93578,5.555556,9.090909,17.391304,27.272727,42,35.185185,16.666667,42.857143,45.714286,43.589744,44.736842,43.137255,34,34.615385,35.483871,36.666667,40,32.352941,13.636364
"CpG_ptg000004l_4759688",25,28.571429,35,29.411765,48.148148,42.307692,19.230769,44.444444,41.463415,61.538462,55.882353,47.826087,10.526316,50,17.5,24.137931,16.129032,31.034483,35.483871,27.777778,30.973451,5.263158,16.949153,10.769231,33.333333,48.93617,37.254902,22.857143,67.391304,68.75,61.538462,55.263158,40.384615,31.111111,36,39.0625,65.517241,58.823529,39.393939,38.461538
"CpG_ptg000004l_4759692",13.043478,15.789474,7.692308,17.647059,50,52,12.5,42.307692,34.210526,52,53.125,45.454545,16.666667,47.619048,15,25.806452,3.571429,29.62963,17.857143,17.647059,29.310345,5.263158,13.559322,13.636364,34.285714,50,40,18.181818,70.454545,70.967742,56.410256,55.555556,35.416667,28.571429,22.727273,31.147541,52,62.5,29.032258,25.925926
"CpG_ptg000004l_4759694",16,15,21.95122,5.882353,29.62963,34.615385,23.076923,26.923077,35.714286,59.259259,57.142857,50,16.666667,54.545455,17.948718,25.806452,15.625,40.740741,26.666667,22.222222,27.350427,2.631579,13.559322,11.940299,22.857143,34.042553,28.571429,12.121212,68.181818,68.75,57.5,52.631579,36,32.608696,34.615385,34.848485,33.333333,25,21.212121,25.925926
"CpG_ptg000004l_4759696",32,31.578947,30,23.529412,44.827586,53.846154,30.769231,40.740741,39.02439,59.259259,57.142857,50,15.789474,52.173913,18.421053,25,12.903226,48,31.034483,23.529412,28.205128,5.405405,17.857143,17.910448,31.25,53.333333,41.666667,16.129032,70.454545,70.588235,58.536585,50,37.254902,33.333333,34.615385,35.820896,59.259259,62.5,34.375,37.037037
"CpG_ptg000004l_4759698",20.833333,16.666667,7.692308,15.789474,46.666667,50,17.857143,36,16.666667,37.037037,41.176471,33.333333,15.789474,22.727273,7.894737,9.090909,18.75,37.037037,23.333333,23.529412,29.565217,7.894737,16.949153,19.117647,34.375,52.272727,44.897959,16.666667,56.818182,50,31.707317,36.842105,32.653061,20,28,26.153846,42.307692,62.5,25,32.142857
"CpG_ptg000004l_4759718",20.833333,25,9.756098,20,46.666667,45.454545,16.666667,28,28.888889,44.827586,41.176471,35,5.555556,30,13.888889,21.212121,6.451613,20,26.470588,22.727273,30.841121,7.317073,4.761905,2.857143,10.714286,45.652174,32.608696,14.814815,47.619048,50,37.5,42.857143,21.276596,26.666667,19.047619,20,38.461538,61.111111,27.272727,28.125
"CpG_ptg000004l_4759765",19.047619,6.666667,18.518519,12.5,55.555556,55.555556,19.230769,34.782609,41.463415,54.166667,53.333333,35.714286,27.777778,37.5,34.782609,44.444444,4.347826,43.478261,20.689655,45,32.954545,15.151515,12.244898,10.869565,23.809524,40,32.432432,23.076923,46.875,65,50,47.826087,27.027027,30.555556,20,24.489796,40.740741,54.545455,51.724138,32
"CpG_ptg000004l_4759819",35.294118,11.111111,31.818182,20,40,50,26.923077,47.058824,48,66.666667,56,43.75,35.714286,18.181818,21.052632,27.777778,20,54.545455,28,55.555556,29.113924,19.444444,15.625,19.148936,42.857143,48.275862,32.258065,21.73913,52,46.428571,60,42.105263,43.243243,23.333333,11.111111,23.076923,55.555556,50,48,38.461538
