"Geneid"	"Chr"	"Start"	"End"	"Strand"	"Length"	"ACR.139.TP1"	"ACR.139.TP2"	"ACR.139.TP3"	"ACR.139.TP4"	"ACR.145.TP1"	"ACR.145.TP2"	"ACR.145.TP3"	"ACR.145.TP4"	"ACR.150.TP1"	"ACR.150.TP2"	"ACR.150.TP3"	"ACR.150.TP4"	"ACR.173.TP1"	"ACR.173.TP2"	"ACR.173.TP3"	"ACR.173.TP4"	"ACR.186.TP1"	"ACR.186.TP2"	"ACR.186.TP3"	"ACR.186.TP4"	"ACR.225.TP1"	"ACR.225.TP2"	"ACR.225.TP3"	"ACR.225.TP4"	"ACR.229.TP1"	"ACR.229.TP2"	"ACR.229.TP3"	"ACR.229.TP4"	"ACR.237.TP1"	"ACR.237.TP2"	"ACR.237.TP3"	"ACR.237.TP4"	"ACR.244.TP1"	"ACR.244.TP2"	"ACR.244.TP3"	"ACR.244.TP4"	"ACR.265.TP1"	"ACR.265.TP2"	"ACR.265.TP3"	"ACR.265.TP4"
"lncRNA_105"	"ntLink_6"	"15078073"	"30583080"	"+"	"  4312"	"    45.56"	"    17.00"	"    10.50"	"    38.00"	"  172.00"	"     4.67"	"   101.00"	"    70.50"	"    27.00"	"   115.25"	"  133.00"	"   213.20"	"   26.67"	"    18.00"	"    88.00"	"   31.39"	"    7.00"	"    49.80"	"    84.23"	"    6.50"	"    68.47"	"   453.00"	"   128.17"	"     6.00"	"     6.00"	"    31.33"	"   397.25"	"   13.50"	"    1.50"	"    94.00"	"     8.67"	"    15.61"	"    3.00"	"    47.00"	"   238.13"	"   746.00"	"    0.00"	"     0.47"	"  5756.00"	"     1.00"
"lncRNA_106"	"ptg000009l"	" 4740627"	" 6889504"	"+"	"  5039"	"    51.50"	"   297.37"	"   522.00"	"    22.50"	"   14.21"	"    10.00"	"     2.00"	"     5.16"	"    33.00"	"   108.00"	"   29.55"	"     0.00"	"  187.50"	"    10.04"	"    42.67"	"    0.00"	"   23.00"	"   563.00"	"     9.00"	"    4.00"	"    23.00"	"    37.00"	"    48.00"	"     6.00"	"    22.00"	"    55.00"	"    10.00"	"   11.00"	"    4.00"	"    59.52"	"    51.83"	"    68.00"	"   62.00"	"    11.84"	"   321.70"	"  1136.83"	"   33.59"	"   479.00"	"   180.74"	"    77.50"
"lncRNA_107"	"ptg000004l"	" 1262232"	" 5105548"	"+"	" 14976"	"   115.17"	"    17.74"	"   508.00"	"    10.00"	"   33.53"	"    18.32"	"    93.67"	"    35.00"	"    18.00"	"    68.00"	"    9.50"	"    37.63"	"   38.75"	"    29.50"	"    48.67"	"   84.00"	"   90.08"	"   344.50"	"   150.10"	"   22.00"	"   144.00"	"    37.00"	"   511.83"	"   189.20"	"   379.00"	"     8.75"	"   379.00"	"   14.00"	"   11.58"	"    53.96"	"    33.05"	"   182.66"	" 2548.00"	"    18.00"	"   301.00"	"   302.53"	"  113.00"	"   181.53"	"    56.00"	"     8.50"
"lncRNA_108"	"ptg000023l"	" 8015168"	"22707957"	"+"	" 29174"	"    69.00"	"   625.59"	"    19.85"	"    12.00"	"   68.00"	"    41.45"	"     0.00"	"    18.00"	"    32.33"	"    42.33"	"  551.50"	"   620.00"	"   90.92"	"     6.00"	"     2.00"	"   16.70"	"  101.73"	"     9.19"	"    45.78"	"   48.00"	"    16.39"	"    41.74"	"    38.93"	"     6.00"	"    16.67"	"    67.50"	"    11.50"	"    5.00"	"   41.25"	"    22.55"	"    43.00"	"    41.00"	"   15.50"	"    17.80"	"   105.00"	"    85.50"	"   32.00"	"    82.50"	"    19.00"	"    41.73"
"lncRNA_110"	"ntLink_6"	"16085630"	" 4189797"	"+"	"  1753"	"   138.00"	"    85.00"	"     8.83"	"    64.22"	"  437.47"	"   238.83"	"   274.99"	"    31.18"	"    10.83"	"    24.00"	" 1524.00"	"   590.71"	"    0.50"	"   547.00"	"    11.57"	"  101.61"	"    0.00"	"  1119.33"	"    86.00"	"    9.03"	"    28.10"	"    91.00"	"    21.74"	"    71.00"	"    24.17"	"   568.82"	"     7.47"	"    3.00"	"  322.00"	"   202.16"	"   735.00"	"    62.00"	"   12.00"	"    88.50"	"   518.00"	"    21.50"	"  207.00"	"    67.50"	"    94.88"	"    67.00"
"lncRNA_115"	"ptg000009l"	"14342348"	" 6382084"	"+"	"  2120"	"    83.33"	"    53.50"	"    19.00"	"     0.00"	"  100.33"	"     7.71"	"    15.94"	"     0.00"	"    35.00"	"     4.92"	"   74.00"	"    33.67"	"  178.72"	"     5.67"	"     9.50"	"   35.50"	"  218.00"	"  3446.50"	"   602.32"	"    6.00"	"   745.00"	"    87.00"	"   155.50"	"     1.57"	"     0.00"	"    96.00"	"    23.00"	"    8.00"	"  180.00"	"    13.00"	"     1.50"	"    31.67"	"    6.35"	"    26.46"	"    67.23"	"    46.50"	" 1982.00"	"    19.00"	"     4.42"	"    84.00"
"lncRNA_116"	"ptg000039l"	"30777432"	"  797759"	"+"	"  2629"	"    83.00"	"   865.00"	"   151.40"	"  2851.00"	"   91.42"	"     0.00"	"    13.00"	"    41.00"	"    13.50"	"    63.00"	" 1129.00"	"   231.27"	"  280.28"	"    14.43"	"    56.83"	"  147.04"	"  467.00"	"    36.38"	"    11.67"	"   22.50"	"   164.00"	"    75.73"	"     6.92"	"   538.00"	"    28.17"	"   139.00"	"   302.00"	"  104.38"	"   52.92"	"    97.50"	"    10.68"	"    24.00"	"  618.00"	"    28.33"	"    12.85"	"   107.81"	"   26.00"	"    45.60"	"   496.50"	"     1.00"
"lncRNA_117"	"ptg000001l"	"10862615"	"11352250"	"+"	"  8170"	"    31.00"	"    21.25"	"     5.21"	"    39.50"	"   15.00"	"    21.00"	"   972.00"	"     0.00"	"    86.33"	"   254.00"	"  671.25"	"    36.00"	"   97.00"	"    19.45"	"     7.33"	"    7.83"	"    1.54"	"     7.00"	"    24.50"	"   23.00"	"     5.00"	"   910.00"	"   199.67"	"    17.00"	"    16.67"	"    14.00"	"    77.92"	"   98.00"	"    9.33"	"    10.00"	"    16.33"	"     6.00"	"   13.86"	"     0.00"	"    97.67"	"    23.33"	"  284.50"	"    44.00"	"   355.00"	"   134.07"
"lncRNA_118"	"ptg000018l"	" 1104900"	" 4028560"	"+"	"  6595"	"    29.43"	"    37.27"	"   277.06"	"    32.00"	"  798.00"	"    11.17"	"    41.19"	"    17.75"	"    35.00"	"   151.14"	"   16.94"	"     9.67"	"  132.40"	"   162.85"	"    96.00"	"    0.00"	"    6.00"	"   229.00"	"    40.75"	"   10.99"	"   161.92"	"    18.18"	"    48.71"	"     0.00"	"   183.76"	"    28.50"	"    15.83"	"   58.03"	"  109.00"	"    91.00"	"   201.33"	"   107.17"	" 2953.00"	"     8.00"	"    11.40"	"    37.50"	"    8.33"	"    16.00"	"     1.00"	"  1479.71"
"lncRNA_119"	"ptg000025l"	" 4861470"	"10437672"	"+"	"  1423"	"    12.00"	"     6.00"	"    22.00"	"    45.00"	"  594.81"	"   105.50"	"    30.71"	"    14.60"	"    86.61"	"   117.92"	"   34.55"	"     4.00"	"   16.00"	"     0.00"	"    42.00"	"   89.00"	"   94.00"	"   163.40"	"     1.50"	"   50.47"	"    28.33"	"    63.00"	"  1027.00"	"    51.00"	"    16.20"	"   103.00"	"     2.47"	"   46.00"	"  308.33"	"   159.00"	"    16.09"	"    62.67"	"  343.81"	"    31.36"	"   206.00"	"     0.00"	"  257.00"	"   562.12"	"    66.00"	"   266.00"
"lncRNA_120"	"ptg000020l"	"13785282"	" 4080577"	"+"	"  3295"	"    60.33"	"   130.50"	"    23.95"	"    13.00"	"  359.00"	"    14.00"	"     0.50"	"  1032.00"	"    73.56"	"     2.00"	"   25.67"	"     4.00"	"   27.15"	"    47.82"	"     9.00"	"   64.50"	"  239.00"	"     9.19"	"    69.50"	"   67.87"	"   455.19"	"    26.00"	"     5.00"	"    24.50"	"    33.50"	"    19.50"	"   390.58"	"  224.50"	"   48.00"	"   453.85"	"    36.00"	"    12.21"	"  138.00"	"    14.72"	"    29.50"	"   332.50"	"    0.00"	"   662.99"	"    25.83"	"    44.00"
"lncRNA_121"	"ptg000012l"	"31001826"	"  721924"	"+"	" 15399"	"    28.67"	"   157.50"	"   277.00"	"     0.00"	"   15.00"	"   317.00"	"   221.00"	"    51.33"	"    33.33"	"    36.00"	"   21.62"	"   688.87"	"  201.83"	"     9.00"	"   563.17"	"   34.45"	"  138.00"	"    99.00"	"     8.00"	"    3.00"	"     1.00"	"    15.50"	"    48.00"	"    20.00"	"     1.23"	"    17.00"	"   142.00"	"    0.50"	"  227.50"	"    40.89"	"  1441.50"	"   168.25"	"   12.50"	"   158.00"	"    65.50"	"    64.50"	"   12.00"	"     4.40"	"     5.50"	"   202.33"
"lncRNA_122"	"ptg000008l"	"14453985"	"15910832"	"+"	"  2608"	"    33.00"	"    30.00"	"    20.00"	"    57.00"	"    7.33"	"    46.25"	"     0.25"	"   141.50"	"    58.50"	"    63.67"	"  390.33"	"    10.21"	"  125.25"	"   147.10"	"    18.00"	"   32.00"	"  288.00"	"    16.50"	"   115.00"	" 2437.80"	"     5.17"	"   115.33"	"     5.00"	"    98.20"	"     0.00"	"   169.00"	"     6.80"	"    0.00"	"   13.71"	"   354.00"	"    84.00"	"    69.32"	"   26.00"	"    25.83"	"    31.01"	"    43.50"	"    9.95"	"   300.00"	"    10.00"	"    92.50"
"lncRNA_124"	"ptg000018l"	" 8456169"	"18550364"	"+"	"   361"	"    18.00"	"    73.73"	"    14.00"	"    11.67"	"    1.00"	"   101.00"	"    98.00"	"    68.50"	"     6.50"	"     6.55"	"  106.94"	"   112.50"	"   37.02"	"    50.33"	"  1368.98"	"  543.00"	"   48.00"	"   204.23"	"   640.33"	"  188.42"	"    72.00"	"   451.00"	"    44.00"	"   143.17"	"   713.50"	"     4.00"	"   391.00"	"  175.50"	"  369.83"	"   332.18"	"    46.35"	"    20.00"	"   19.00"	"    81.00"	"    46.58"	"   262.32"	"   60.00"	"    67.00"	"   129.57"	"    16.00"
"lncRNA_125"	"ptg000076l"	" 6473869"	"21123337"	"+"	"  3987"	"    41.75"	"    17.17"	"     5.57"	"    20.09"	"   94.00"	"    28.33"	"   423.20"	"     4.00"	"    14.25"	"   108.00"	"   96.00"	"    14.00"	"  147.00"	"    25.00"	"    15.00"	"   13.67"	"  113.00"	"    48.67"	"    10.00"	"   34.67"	"   201.75"	"   447.24"	"   625.57"	"  5236.00"	"    13.00"	"     6.00"	"   250.00"	"   35.00"	"  113.66"	"     8.67"	"    16.50"	"   333.00"	"  212.50"	"    12.00"	"    10.50"	"     0.00"	"    3.00"	"   178.89"	"    87.00"	"    76.33"
"lncRNA_126"	"ptg000047l"	"  157846"	" 6382732"	"+"	"  1631"	"    30.00"	"     3.67"	"     2.00"	"    80.38"	"   38.68"	"    13.50"	"    47.90"	"     0.00"	"    25.00"	"   117.50"	"   96.50"	"    35.07"	"  512.05"	"    25.00"	"    90.15"	"   28.33"	"   47.67"	"    54.50"	"    17.92"	"   59.00"	"     4.50"	"     2.00"	"    40.00"	"    59.00"	"    35.00"	"    19.50"	"    33.00"	"   11.67"	"   38.02"	"   157.50"	"    36.00"	"    37.50"	"   40.00"	"   247.50"	"   117.00"	"     0.00"	" 1113.50"	"    13.67"	"     5.63"	"   115.39"
"lncRNA_127"	"ptg000031l"	" 1952685"	"18010613"	"+"	"  4676"	"     5.71"	"    63.95"	"    69.00"	"    12.00"	"   20.00"	"     0.00"	"     5.00"	"    16.87"	"   167.00"	"    14.50"	"  317.00"	"    16.00"	"  253.00"	"    43.00"	"    78.00"	"   15.17"	"   49.67"	"     7.35"	"    37.50"	" 1965.97"	"     5.47"	"    64.00"	"   629.00"	"    12.63"	"    13.64"	"     0.36"	"    25.67"	" 1368.00"	"   70.86"	"   736.00"	"     4.00"	"   155.66"	"    4.50"	"   228.33"	"   136.11"	"    13.18"	"   84.00"	"     4.00"	"    84.00"	"     0.00"
