gene_id,POC-201-TP1,POC-201-TP2,POC-201-TP3,POC-219-TP1,POC-219-TP2,POC-219-TP3,POC-219-TP4,POC-222-TP1,POC-222-TP2,POC-222-TP3,POC-222-TP4,POC-255-TP1,POC-255-TP2,POC-255-TP3,POC-255-TP4,POC-259-TP1,POC-259-TP2,POC-259-TP3,POC-259-TP4,POC-40-TP1,POC-40-TP2,POC-40-TP3,POC-40-TP4,POC-42-TP1,POC-42-TP2,POC-42-TP3,POC-42-TP4,POC-52-TP1,POC-52-TP2,POC-52-TP3,POC-52-TP4,POC-53-TP1,POC-53-TP2,POC-53-TP3,POC-53-TP4,POC-57-TP1,POC-57-TP2,POC-57-TP3,POC-57-TP4
gene-Pocillopora_meandrina_HIv1___RNAseq.g2535.t1,530,505,220,650,323,205,394,890,397,1248,454,562,336,330,616,530,471,504,669,320,307,411,351,469,625,416,172,113,438,585,737,397,355,772,614,468,290,605,670
gene-Pocillopora_meandrina_HIv1___RNAseq.14602_t,119,158,113,157,41,87,235,305,248,267,450,30,36,67,81,205,196,752,185,23,31,15,13,17,26,20,20,118,387,213,281,143,180,232,296,336,351,249,599
gene-Pocillopora_meandrina_HIv1___RNAseq.g8626.t1,281,395,49,263,212,21,47,63,113,478,109,29,151,82,234,161,389,112,223,44,31,154,29,20,52,46,2,0,76,153,338,261,178,369,84,149,79,328,115
gene-Pocillopora_meandrina_HIv1___RNAseq.g8663.t1,8310,3290,1368,6166,2796,1100,4386,3495,4855,23268,5659,3696,3974,5586,5312,3127,4622,4716,4827,3818,5719,9924,5452,4325,7330,5904,1652,476,5039,6815,8576,6315,4358,17855,5610,5164,2148,18507,7393
gene-Pocillopora_meandrina_HIv1___RNAseq.g8829.t1,234,507,90,653,111,108,64,150,35,917,96,51,131,157,318,319,600,148,385,46,33,273,14,22,6,15,0,24,30,313,1075,287,86,403,14,223,40,752,40
gene-Pocillopora_meandrina_HIv1___RNAseq.g9085.t1,476,492,164,332,327,82,173,944,574,505,238,1015,281,150,398,430,435,270,452,582,572,427,921,426,723,472,69,58,465,371,417,363,339,514,448,406,242,497,606
gene-Pocillopora_meandrina_HIv1___RNAseq.g9518.t1,74,365,37,231,168,25,50,252,176,398,62,166,125,80,156,228,480,86,152,134,96,100,56,118,222,88,50,10,107,111,200,126,114,245,177,111,160,286,80
gene-Pocillopora_meandrina_HIv1___RNAseq.g9729.t1,944,887,382,1197,433,180,539,1355,581,1723,445,638,483,612,752,564,1127,672,1063,207,385,777,329,251,511,308,672,81,826,857,1319,600,487,1122,658,800,212,924,321
gene-Pocillopora_meandrina_HIv1___RNAseq.g9829.t1,0,17,18,161,166,48,46,0,8,6,2,3,27,0,19,7,4,32,8,62,8,31,0,3,16,0,0,0,98,201,30,69,234,109,206,12,58,10,7
gene-Pocillopora_meandrina_HIv1___RNAseq.g9828.t1,156,106,104,699,417,262,221,129,199,69,57,175,194,50,68,98,30,215,147,705,191,217,55,43,313,159,143,38,887,879,209,453,867,250,451,100,326,89,146
gene-Pocillopora_meandrina_HIv1___RNAseq.g3496.t2,721,693,377,956,640,276,588,656,221,1127,278,334,434,485,765,460,728,847,738,171,417,641,240,362,438,291,259,61,661,791,882,525,490,1307,502,647,241,1008,837
gene-Pocillopora_meandrina_HIv1___RNAseq.g3556.t1,2380,890,452,1296,622,315,1012,442,564,2768,743,273,769,1079,1193,667,1142,1029,1177,460,696,1765,414,640,610,473,319,154,979,993,1553,1032,618,1992,1058,973,388,2304,1764
gene-Pocillopora_meandrina_HIv1___RNAseq.g25879.t1,48,148,59,129,65,15,41,152,55,142,16,139,63,45,97,86,114,91,95,22,30,40,57,39,104,37,22,0,43,87,95,69,34,97,30,48,58,112,62
gene-Pocillopora_meandrina_HIv1___RNAseq.g26521.t1,112,243,59,209,110,48,120,329,138,344,113,231,103,146,164,120,234,159,195,105,122,92,188,220,144,119,82,9,142,178,246,185,182,259,197,163,39,130,277
gene-Pocillopora_meandrina_HIv1___RNAseq.g26671.t1,655,938,416,1057,772,280,539,673,605,775,461,477,741,694,724,509,993,912,740,284,441,569,367,402,518,317,381,62,627,743,603,543,469,772,510,737,335,577,548
gene-Pocillopora_meandrina_HIv1___RNAseq.g4172.t1,435,189,66,123,121,30,144,349,334,502,165,372,152,57,253,125,179,140,283,260,344,241,414,418,632,464,57,41,359,135,328,187,293,299,221,265,88,320,478
gene-Pocillopora_meandrina_HIv1___TS.g21598.t2,36,74,7,52,15,24,58,119,28,72,12,55,21,18,51,28,81,10,33,8,7,19,21,22,23,23,9,0,23,55,26,22,22,32,37,32,10,31,55
gene-Pocillopora_meandrina_HIv1___RNAseq.g4243.t1,542,1987,328,2216,1163,367,862,1198,1293,3116,995,633,1304,496,1759,729,1626,792,1874,492,1191,1070,1045,609,1212,873,406,82,1119,1470,2367,1138,1127,1470,1035,900,233,1325,1101
gene-Pocillopora_meandrina_HIv1___RNAseq.g4478.t1b,2695,1462,237,1321,918,124,694,1869,903,4227,918,927,877,608,2793,1346,1672,1060,2054,749,760,1990,783,731,846,870,176,98,994,1203,4056,1496,1100,4265,959,1710,254,3176,2635
gene-Pocillopora_meandrina_HIv1___RNAseq.g4839.t1,98,299,38,149,111,30,68,506,71,446,55,266,108,81,135,190,343,55,226,75,58,122,145,95,132,82,23,0,103,133,301,148,102,222,41,119,38,155,145
gene-Pocillopora_meandrina_HIv1___RNAseq.g11450.t1,49,91,18,106,38,0,26,137,80,104,54,105,32,13,93,102,105,73,129,60,66,75,100,103,124,120,60,0,95,27,64,88,65,49,128,75,42,68,149
gene-Pocillopora_meandrina_HIv1___RNAseq.g11769.t1,45,169,29,155,57,4,29,179,55,202,23,126,63,57,80,146,135,81,116,40,42,56,33,57,55,55,31,0,58,36,120,87,58,52,40,102,41,154,97
gene-Pocillopora_meandrina_HIv1___RNAseq.g28888.t3,376,557,154,496,402,113,281,638,239,687,238,464,375,218,396,565,662,300,509,228,251,500,324,312,520,321,64,64,287,320,544,445,345,629,284,369,141,465,507
gene-Pocillopora_meandrina_HIv1___TS.g6556.t1,104,102,19,274,232,79,131,76,94,174,45,61,224,156,285,73,85,26,68,42,103,142,47,73,148,84,27,0,30,44,60,298,127,360,140,166,111,231,238
gene-Pocillopora_meandrina_HIv1___RNAseq.g29513.t1,383,210,67,255,113,56,81,472,278,448,105,261,109,52,131,158,208,113,291,145,244,144,253,143,328,165,43,48,381,170,398,190,169,312,170,152,55,244,248
gene-Pocillopora_meandrina_HIv1___RNAseq.g28225.t1,40,119,14,60,40,0,38,137,93,130,27,68,46,27,25,60,73,6,41,48,26,41,40,39,51,31,36,22,50,21,57,56,43,52,27,22,26,25,71
gene-Pocillopora_meandrina_HIv1___RNAseq.g28309.t1a,38,36,12,57,9,2,7,101,33,154,14,54,22,48,54,38,48,31,48,22,23,39,31,29,44,24,16,0,11,39,76,18,27,50,39,54,7,53,94
gene-Pocillopora_meandrina_HIv1___RNAseq.g17906.t1,263,298,99,291,137,86,124,347,204,516,142,163,266,196,276,235,230,242,240,85,58,175,68,83,200,145,45,46,136,257,253,221,155,265,169,150,94,254,249
gene-Pocillopora_meandrina_HIv1___RNAseq.g17949.t1,2695,426,1488,6550,3442,729,2597,406,1726,3913,5498,271,3310,11467,4797,1458,1569,6585,4347,745,1966,7313,759,277,900,780,1475,159,2244,9047,10312,9309,2186,14738,1290,2633,866,15377,2734
gene-Pocillopora_meandrina_HIv1___RNAseq.g18210.t1,808,810,199,1039,764,88,919,743,846,569,1064,818,489,328,1213,659,650,781,915,367,461,349,600,352,506,525,141,117,564,278,577,345,407,295,690,761,597,524,996
gene-Pocillopora_meandrina_HIv1___RNAseq.g18294.t1,39,148,22,84,77,0,36,155,64,78,43,106,31,31,70,116,109,33,53,35,34,54,85,58,46,43,40,0,48,13,36,73,21,81,33,107,93,102,69
gene-Pocillopora_meandrina_HIv1___RNAseq.g10817.t1,27,98,7,63,74,10,18,41,71,129,10,13,37,5,21,60,77,41,34,21,116,10,17,21,46,8,8,0,142,35,121,60,38,53,13,36,21,40,16
gene-Pocillopora_meandrina_HIv1___RNAseq.g2952.t1,620,594,217,638,376,224,383,641,445,800,326,313,366,369,473,301,643,438,545,239,365,449,308,365,572,395,265,89,610,606,713,292,285,466,536,520,148,481,506
gene-Pocillopora_meandrina_HIv1___RNAseq.g3061.t1,55,19,36,35,31,0,56,44,21,63,16,0,47,26,40,4,14,0,38,0,17,34,13,3,10,5,0,0,23,47,83,39,12,37,27,25,26,58,41
gene-Pocillopora_meandrina_HIv1___RNAseq.g3177.t1,128,118,8,29,33,4,18,136,119,143,52,46,43,25,77,68,112,17,78,28,14,64,21,33,35,29,25,0,47,43,93,63,51,128,17,25,11,56,80
gene-Pocillopora_meandrina_HIv1___TS.g4011.t1,72,102,36,109,93,9,68,132,22,104,9,72,24,56,80,119,169,177,203,19,10,72,40,95,92,47,16,0,83,126,91,104,57,110,47,64,48,90,88
gene-Pocillopora_meandrina_HIv1___RNAseq.g16708.t1,241,264,63,239,139,0,89,296,141,590,102,107,97,124,239,184,287,129,328,82,47,134,75,123,118,112,23,0,92,122,185,331,248,455,77,149,53,363,205
gene-Pocillopora_meandrina_HIv1___RNAseq.g16865.t1,18,38,19,42,28,1,4,20,0,68,5,7,14,10,21,53,53,8,34,0,2,30,7,11,0,2,0,0,12,16,31,18,5,39,16,9,9,33,19
gene-Pocillopora_meandrina_HIv1___RNAseq.g11866.t1,245,259,66,192,173,52,114,655,235,311,89,690,209,90,227,216,438,201,296,281,314,222,420,214,504,440,19,46,320,224,325,310,221,351,177,197,49,301,423
gene-Pocillopora_meandrina_HIv1___RNAseq.g11931.t1,28,252,32,131,83,5,42,114,34,315,16,58,42,70,32,151,158,25,37,9,11,54,15,21,28,18,27,0,42,65,113,66,18,121,31,39,26,90,104
gene-Pocillopora_meandrina_HIv1___RNAseq.g12093.t1,114,163,70,183,76,0,129,141,58,188,73,173,139,144,131,53,141,162,132,69,57,96,80,75,103,95,143,15,110,159,121,87,53,192,107,58,28,141,169
gene-Pocillopora_meandrina_HIv1___RNAseq.g14003.t1,55,101,23,96,38,8,43,99,27,264,68,49,66,65,115,80,154,39,112,13,26,47,17,22,23,15,7,5,31,80,134,47,19,133,19,34,7,84,36
gene-Pocillopora_meandrina_HIv1___RNAseq.g14123.t1,111,191,52,168,139,40,89,266,150,204,53,168,88,70,93,167,216,47,181,119,84,111,139,147,163,145,84,0,110,123,263,111,85,104,91,149,101,196,185
gene-Pocillopora_meandrina_HIv1___RNAseq.g1086.t1,2363,2490,540,3409,1147,321,2948,736,690,3006,1078,837,2358,2819,4935,567,1288,1695,1492,783,1122,2287,971,695,759,921,475,161,1456,1296,6726,1240,649,2401,1301,2812,1485,5459,3400
gene-Pocillopora_meandrina_HIv1___RNAseq.g1181.t1,290,420,132,494,275,27,185,221,179,554,258,116,218,184,435,303,358,246,406,56,104,226,82,100,140,76,29,15,104,247,406,271,219,409,145,189,132,461,211
gene-Pocillopora_meandrina_HIv1___RNAseq.g10507.t1,0,36,0,61,24,0,0,73,0,161,9,16,11,42,0,44,36,0,4,44,19,2,0,8,18,0,6,0,10,7,23,0,0,18,0,11,0,11,0
gene-Pocillopora_meandrina_HIv1___RNAseq.g25521.t1,177,180,14,165,158,15,57,181,72,410,41,83,130,52,184,151,314,59,198,80,65,241,62,108,168,64,16,8,73,106,336,261,109,399,28,251,29,428,59
gene-Pocillopora_meandrina_HIv1___RNAseq.g30068.t1,168,86,92,137,114,57,171,334,153,152,125,296,134,99,218,133,137,187,341,129,121,186,328,289,225,206,341,0,141,85,137,146,146,158,273,262,132,96,186
gene-Pocillopora_meandrina_HIv1___RNAseq.g30117.t1,9,34,25,83,39,14,61,40,33,61,17,27,20,65,34,39,66,38,20,9,20,6,22,13,36,2,57,12,14,8,47,26,0,44,50,21,13,14,66
gene-Pocillopora_meandrina_HIv1___RNAseq.g30170.t1,5402,3769,1328,4341,2715,771,2786,4637,3450,14675,4140,2863,3414,2559,7440,2876,4850,4916,6451,2224,2962,5941,3674,2461,3105,3667,2735,197,3687,5568,8720,3650,2553,6762,4059,4531,1258,7660,5461
gene-Pocillopora_meandrina_HIv1___RNAseq.g689.t1,109,75,0,124,44,0,9,56,19,136,68,18,74,0,76,113,101,12,80,17,17,72,24,27,41,15,14,0,18,80,132,101,72,125,15,73,31,135,71
gene-Pocillopora_meandrina_HIv1___RNAseq.g29777.t1,32,41,25,17,3,0,9,12,0,12,2,14,35,9,20,10,13,54,40,15,9,14,3,2,39,8,6,0,30,10,10,54,57,55,36,22,22,9,29
gene-Pocillopora_meandrina_HIv1___RNAseq.g29832.t1,3167,3773,1715,3970,3116,952,2105,2241,2666,8183,2704,1847,3409,2231,3682,2581,4006,4585,3963,2338,2415,3062,1872,1791,2087,1667,748,503,2408,4192,4292,3266,2915,3978,2070,3735,1665,4713,2463
gene-Pocillopora_meandrina_HIv1___TS.g30034.t1,3,88,16,89,70,21,6,29,30,115,29,23,50,21,34,54,72,17,60,19,25,0,29,0,19,11,23,0,31,78,105,44,39,55,28,18,8,49,47
gene-Pocillopora_meandrina_HIv1___RNAseq.g7366.t1,0,4,0,6,0,0,12,19,0,0,0,14,12,0,8,0,9,16,19,0,8,8,4,0,17,9,30,0,19,0,3,16,17,12,16,0,7,0,10
gene-Pocillopora_meandrina_HIv1___RNAseq.g15311.t1,0,0,0,0,0,0,6,0,0,10,11,0,0,0,0,11,6,0,9,9,0,20,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
gene-Pocillopora_meandrina_HIv1___RNAseq.g9919.t1,0,0,0,23,10,19,106,3,6,11,3,7,4,26,20,2,6,1,11,5,1,3,2,2,0,0,0,5,40,29,72,33,8,17,22,18,28,31,39
