gene_id,POR-216-TP1,POR-216-TP2,POR-216-TP3,POR-216-TP4,POR-236-TP1,POR-236-TP2,POR-245-TP1,POR-245-TP2,POR-245-TP3,POR-245-TP4,POR-260-TP1,POR-260-TP2,POR-260-TP3,POR-260-TP4,POR-262-TP1,POR-262-TP2,POR-262-TP3,POR-262-TP4,POR-69-TP1,POR-69-TP2,POR-69-TP3,POR-69-TP4,POR-72-TP1,POR-72-TP2,POR-72-TP3,POR-72-TP4,POR-73-TP1,POR-73-TP2,POR-73-TP3,POR-73-TP4,POR-74-TP1,POR-74-TP2,POR-74-TP3,POR-74-TP4,POR-83-TP1,POR-83-TP2,POR-83-TP3,POR-83-TP4
gene-Peve_00040741,439,306,97,28,141,48,14,15,68,74,16,16,0,22,29,20,14,12,47,134,36,67,19,32,73,58,33,57,14,11,49,22,42,28,12,11,0,16
gene-Peve_00042849,15,6,3,3,0,0,0,0,0,0,19,12,11,7,6,8,15,4,5,5,7,2,0,0,0,0,5,2,2,0,12,4,7,0,0,0,0,0
gene-Peve_00043353,16,69,42,18,112,68,45,48,18,68,75,38,17,19,71,57,79,55,53,20,59,46,42,45,40,106,39,13,25,29,65,22,32,26,51,33,35,8
gene-Peve_00043497,1246,597,315,178,470,235,579,268,102,313,759,236,263,315,551,583,672,378,502,469,331,303,259,575,409,655,276,369,109,251,666,271,403,377,291,483,152,171
gene-Peve_00044383,2062,1892,439,331,1407,621,1588,552,418,844,2614,853,407,992,1464,1455,961,1115,1472,823,348,597,1523,1801,984,2189,552,282,270,390,1557,606,689,489,846,898,398,563
gene-Peve_00044463,457,856,238,80,800,366,543,367,273,310,895,278,345,431,545,484,607,519,209,383,186,129,329,514,301,675,150,111,180,338,570,116,349,325,162,296,169,130
gene-Peve_00044495,1455,4484,1516,940,2774,1107,1300,687,1385,1782,2490,764,947,1265,1068,1943,1383,1073,396,1105,342,260,577,709,644,690,564,468,996,1160,1930,928,2014,987,921,1285,577,536
gene-Peve_00044685,726,666,187,132,391,111,465,193,84,310,794,248,210,489,408,508,409,294,268,195,129,113,569,597,357,378,329,259,56,128,505,141,191,61,286,216,130,199
gene-Peve_00044771,255,467,90,39,400,167,235,58,92,102,432,86,65,149,228,190,286,125,112,245,77,60,106,232,121,129,135,104,36,118,437,57,182,64,64,113,29,42
gene-Peve_00001061,23,130,46,0,73,24,32,53,21,10,46,20,17,19,11,22,97,40,9,43,45,13,44,17,47,35,31,15,18,9,47,21,41,10,16,0,17,4
gene-Peve_00001366,64,315,137,24,39,44,78,70,16,75,142,99,81,75,50,123,117,68,176,58,81,38,114,211,181,146,66,17,26,10,53,30,49,19,132,55,86,42
gene-Peve_00002086,21,41,21,8,92,28,19,20,35,82,0,12,4,13,15,25,32,24,25,12,9,14,50,38,11,34,7,0,0,4,16,12,7,0,7,6,0,0
gene-Peve_00002363,123,185,67,12,70,39,71,50,28,37,186,68,60,88,37,68,103,53,74,145,53,21,36,26,15,38,38,29,50,51,68,19,44,16,39,71,46,38
gene-Peve_00003240,75,164,55,10,133,50,88,71,24,74,200,69,82,46,72,127,184,78,92,126,76,40,87,89,61,121,39,42,11,32,56,24,74,7,62,21,40,9
gene-Peve_00008122,7,31,21,20,26,26,7,31,0,10,8,3,0,14,0,31,32,37,0,9,6,0,0,0,0,0,4,2,23,0,19,2,4,7,0,0,3,0
gene-Peve_00008388,75,218,163,81,193,139,93,78,57,265,279,160,149,173,201,290,243,212,231,184,178,94,248,156,209,244,109,89,78,83,140,77,142,42,144,90,81,107
gene-Peve_00008524,13767,83432,23387,9555,69151,23955,50807,4191,35794,35344,125785,45692,48217,46003,23806,71488,61373,8306,3626,74121,30432,2060,8862,5260,61958,6739,50975,19721,15082,19048,27211,2091,75826,5445,2131,9469,15613,3572
gene-Peve_00009929,4280,5455,3849,2014,3430,2278,3890,1656,1638,773,4155,2415,3235,3545,3761,3953,4378,3587,4417,3484,463,859,3855,2975,427,4906,259,400,1261,2366,3429,2014,2633,2797,4087,3578,732,3115
gene-Peve_00015425,230,273,92,51,155,129,122,70,75,323,219,139,80,98,123,211,172,140,171,80,350,200,120,151,501,143,223,96,68,59,169,39,109,59,81,78,200,51
gene-Peve_00017192,11,47,24,7,97,37,41,19,12,45,52,26,34,46,30,35,25,32,32,54,36,14,30,7,42,56,29,38,20,15,78,15,50,7,32,12,7,27
gene-Peve_00017348,123,78,20,14,67,56,62,28,11,8,69,102,19,53,33,91,54,17,94,104,22,10,50,158,51,194,28,5,4,20,45,0,28,60,15,119,12,35
gene-Peve_00017951,4,17,8,0,15,6,0,7,9,6,51,0,3,11,19,21,29,15,0,38,20,0,24,0,7,23,7,5,5,0,18,10,18,0,11,0,5,3
gene-Peve_00018005,128,209,45,14,101,55,81,30,46,70,203,47,36,67,66,107,176,59,95,38,50,56,116,103,78,116,32,44,13,29,82,25,117,18,73,28,19,35
gene-Peve_00018652,36,94,28,16,83,14,105,40,18,11,113,38,36,32,27,59,84,50,54,50,30,27,96,16,74,68,71,16,62,42,44,25,60,23,52,6,43,10
gene-Peve_00018856,2600,3126,1350,604,2000,926,1653,769,695,1875,5624,2177,2570,3254,48,18,57,22,16,29,31,11,2624,2379,3780,3383,2604,2014,946,1807,38,0,41,27,15,29,30,16
gene-Peve_00021488,1032,1812,685,542,1673,463,1417,591,471,302,1774,344,638,667,1479,1205,1107,899,549,1046,291,111,846,877,391,831,227,169,273,585,1163,200,816,395,207,356,163,122
gene-Peve_00022158,401,644,239,112,705,288,596,250,292,797,703,245,158,268,421,420,662,262,265,451,191,127,296,490,574,570,176,105,167,347,327,183,504,146,292,342,201,115
gene-Peve_00024166,15,52,80,6,109,73,39,69,11,56,100,49,51,54,45,172,114,125,55,31,61,56,70,19,14,72,36,25,33,28,33,19,49,3,63,29,9,28
gene-Peve_00024799,650,300,96,131,364,100,334,59,0,1550,475,89,151,244,129,223,318,346,358,87,152,90,250,335,95,336,161,161,31,65,324,85,59,74,224,145,148,95
gene-Peve_00025241,5405,5177,3064,1397,2544,1771,2485,1938,1483,3414,4092,2622,2760,2621,2664,2184,2928,2041,1797,1453,2061,1547,3433,3514,5970,4685,2390,2237,1238,1861,3218,1457,3327,2145,2246,2446,2406,2397
gene-Peve_00025328,89,39,93,24,191,84,136,73,36,79,120,57,42,53,134,192,288,83,136,87,116,72,66,49,44,43,70,63,30,45,78,15,29,7,30,21,31,44
gene-Peve_00025427,35,185,108,13,235,72,206,125,67,15,269,58,54,54,96,112,189,54,82,275,93,27,41,20,39,51,37,20,34,33,122,13,109,26,23,14,20,0
gene-Peve_00025710,21,94,31,4,78,21,14,25,10,55,27,17,0,8,19,29,21,20,4,9,0,9,16,21,30,49,7,0,0,12,11,11,30,0,31,16,11,19
gene-Peve_00025748,514,127,36,32,83,65,141,40,16,88,207,56,66,71,116,150,157,57,300,44,54,61,301,431,151,364,57,70,10,39,143,69,58,44,143,134,55,85
gene-Peve_00026223,282,345,128,37,220,114,163,113,55,238,215,142,102,133,198,272,207,173,265,92,129,118,284,233,163,373,117,49,34,66,174,58,100,100,122,84,88,161
gene-Peve_00026259,13,1979,84,75,12,0,14,0,0,0,443,129,65,228,0,7,7,0,3,0,0,0,55,450,46,602,13,6,97,118,0,0,0,8,22,205,19,53
gene-Peve_00030017,5,55,6,11,35,17,36,15,35,24,152,37,41,40,70,62,189,159,14,34,25,0,15,41,48,56,57,48,42,85,38,20,35,20,26,27,8,12
gene-Peve_00030694,1064,1003,2186,1768,1985,944,4118,1753,556,1257,261,92,116,136,1816,2816,1470,773,1290,1732,947,293,147,239,135,295,829,657,1915,1192,1470,305,1553,542,79,136,77,65
gene-Peve_00033053,185,217,48,23,167,62,122,74,64,59,196,39,59,55,95,128,206,89,134,88,37,104,74,243,137,417,37,67,17,67,74,0,87,16,84,104,11,36
gene-Peve_00034177,79,66,79,9,134,97,47,41,40,220,52,35,35,48,85,117,155,65,36,42,92,20,41,52,178,67,87,40,25,56,87,32,109,46,12,31,27,16
gene-Peve_00036543,531,762,210,112,326,88,777,308,62,92,1388,397,424,468,420,376,662,237,376,482,354,198,158,170,172,218,298,186,67,210,627,150,449,228,180,194,132,139
gene-Peve_00037221,36,25,6,0,60,27,11,11,44,36,54,25,31,23,95,51,46,41,17,22,24,43,16,24,23,44,44,42,12,29,51,27,34,26,0,11,0,0
gene-Peve_00000871,0,2,0,0,0,5,0,3,0,0,0,0,0,0,13,0,0,0,2,10,0,0,3,8,0,14,0,10,0,0,6,0,0,4,0,0,0,0
gene-Peve_00002326,0,6,0,0,0,0,5,0,0,0,109,6,0,0,4,34,0,5,0,0,3,0,4,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0
gene-Peve_00002553,0,2,0,0,0,0,303,78,0,0,62,13,10,16,5,0,0,0,111,164,102,100,249,906,651,730,0,0,0,1,288,469,193,493,0,0,0,0
