Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
POC-259-TP1-hisat2_output	37038914	0	1595780	0	0	0	0	0	22827935	0	61.63	nan	35443134	0	17721567	0	17721567	0	16817694	0	47.45	nan	18855628	0	2376527	0	6.71	nan	100534	0	62356	0	37038914
POC-259-TP2-hisat2_output	43378839	0	2171743	0	0	0	0	0	27622208	0	63.68	nan	41207096	0	20603548	0	20603548	0	19839986	0	48.15	nan	22649952	0	2800513	0	6.8	nan	122788	0	71960	0	43378839
POC-259-TP3-hisat2_output	45070221	0	1558345	0	0	0	0	0	29223144	0	64.84	nan	43511876	0	21755938	0	21755938	0	21558132	0	49.55	nan	24698226	0	2966573	0	6.82	nan	82778	0	49500	0	45070221
POC-259-TP4-hisat2_output	39615382	0	1743744	0	0	0	0	0	28040543	0	70.78	nan	37871638	0	18935819	0	18935819	0	20912768	0	55.22	nan	23536862	0	2759937	0	7.29	nan	98304	0	59786	0	39615382
POC-40-TP1-hisat2_output	37469293	0	1753419	0	0	0	0	0	26166083	0	69.83	nan	35715874	0	17857937	0	17857937	0	19336714	0	54.14	nan	21625150	0	2787514	0	7.8	nan	110194	0	66767	0	37469293
POC-40-TP2-hisat2_output	43906135	0	1908159	0	0	0	0	0	30856671	0	70.28	nan	41997976	0	20998988	0	20998988	0	22828406	0	54.36	nan	25887902	0	3060610	0	7.29	nan	107150	0	62026	0	43906135
POC-40-TP3-hisat2_output	42459845	0	2201133	0	0	0	0	0	29904585	0	70.43	nan	40258712	0	20129356	0	20129356	0	21840306	0	54.25	nan	24715172	0	2988280	0	7.42	nan	123674	0	72409	0	42459845
POC-40-TP4-hisat2_output	39703973	0	1648693	0	0	0	0	0	28402790	0	71.54	nan	38055280	0	19027640	0	19027640	0	21009530	0	55.21	nan	23715984	0	3038113	0	7.98	nan	118004	0	70859	0	39703973
POC-42-TP1-hisat2_output	37406504	0	1710518	0	0	0	0	0	25828128	0	69.05	nan	35695986	0	17847993	0	17847993	0	18663564	0	52.28	nan	21341104	0	2776506	0	7.78	nan	102146	0	59582	0	37406504
POC-42-TP2-hisat2_output	45277636	0	1669720	0	0	0	0	0	31528090	0	69.63	nan	43607916	0	21803958	0	21803958	0	24095088	0	55.25	nan	26434244	0	3424126	0	7.85	nan	96876	0	61104	0	45277636
POC-42-TP3-hisat2_output	40734857	0	1758715	0	0	0	0	0	29021273	0	71.24	nan	38976142	0	19488071	0	19488071	0	21048366	0	54.0	nan	24347714	0	2914844	0	7.48	nan	90466	0	51579	0	40734857
POC-42-TP4-hisat2_output	32984694	0	1246804	0	0	0	0	0	18514322	0	56.13	nan	31737890	0	15868945	0	15868945	0	12569272	0	39.6	nan	15162836	0	2104682	0	6.63	nan	78690	0	43783	0	32984694
POC-52-TP1-hisat2_output	32269399	0	397391	0	0	0	0	0	5907282	0	18.31	nan	31872008	0	15936004	0	15936004	0	3891150	0	12.21	nan	5004916	0	504975	0	1.58	nan	16758	0	6692	0	32269399
POC-52-TP2-hisat2_output	43665618	0	1858142	0	0	0	0	0	29884124	0	68.44	nan	41807476	0	20903738	0	20903738	0	22207068	0	53.12	nan	25051768	0	2974214	0	7.11	nan	97898	0	57976	0	43665618
POC-52-TP3-hisat2_output	37292275	0	1491919	0	0	0	0	0	25062839	0	67.21	nan	35800356	0	17900178	0	17900178	0	18821986	0	52.57	nan	21282690	0	2288230	0	6.39	nan	72252	0	43630	0	37292275
POC-52-TP4-hisat2_output	36648945	0	1670895	0	0	0	0	0	26474241	0	72.24	nan	34978050	0	17489025	0	17489025	0	20152460	0	57.61	nan	22371744	0	2431602	0	6.95	nan	89700	0	56144	0	36648945
POC-53-TP1-hisat2_output	40782859	0	1815635	0	0	0	0	0	27296768	0	66.93	nan	38967224	0	19483612	0	19483612	0	20079862	0	51.53	nan	22697368	0	2783765	0	7.14	nan	118658	0	71448	0	40782859
POC-53-TP2-hisat2_output	39570322	0	1721688	0	0	0	0	0	26243359	0	66.32	nan	37848634	0	18924317	0	18924317	0	19538358	0	51.62	nan	21827778	0	2693893	0	7.12	nan	94358	0	56823	0	39570322
POC-53-TP3-hisat2_output	43106868	0	1927672	0	0	0	0	0	30009073	0	69.62	nan	41179196	0	20589598	0	20589598	0	22246526	0	54.02	nan	25273262	0	2808139	0	6.82	nan	102024	0	59667	0	43106868
POC-53-TP4-hisat2_output	40361251	0	1181629	0	0	0	0	0	23200989	0	57.48	nan	39179622	0	19589811	0	19589811	0	17593348	0	44.9	nan	19778044	0	2241316	0	5.72	nan	63870	0	38268	0	40361251
POC-57-TP1-hisat2_output	38309566	0	1873632	0	0	0	0	0	26847438	0	70.08	nan	36435934	0	18217967	0	18217967	0	19908300	0	54.64	nan	22241514	0	2732292	0	7.5	nan	109956	0	65915	0	38309566
POC-57-TP2-hisat2_output	39048221	0	1629123	0	0	0	0	0	23000517	0	58.9	nan	37419098	0	18709549	0	18709549	0	16080774	0	42.97	nan	18921490	0	2449904	0	6.55	nan	100544	0	55487	0	39048221
POC-57-TP3-hisat2_output	45458318	0	2246224	0	0	0	0	0	32840537	0	72.24	nan	43212094	0	21606047	0	21606047	0	24722778	0	57.21	nan	27470266	0	3124047	0	7.23	nan	119644	0	73981	0	45458318
POC-57-TP4-hisat2_output	42924069	0	1776237	0	0	0	0	0	31955524	0	74.45	nan	41147832	0	20573916	0	20573916	0	24227588	0	58.88	nan	27144532	0	3034755	0	7.38	nan	102480	0	62523	0	42924069
