compound,POC-52_TP1,POR-245_TP3,POC-255_TP3,POR-69_TP4,POC-53_TP1,POC-222_TP1,ACR-145_TP4,POC-255_TP1,Metabolic-PBQC-1,ACR-265_TP3,POC-42_TP3,ACR-229_TP1,ACR-186_TP3,POR-245_TP4,POR-216_TP1,POR-245_TP2,POC-219_TP3,POC-219_TP4,POC-57_TP1,POR-69_TP2,POR-216_TP4,POR-83_TP3,POC-222_TP4,POR-260_TP4,ACR-225_TP1,POC-40_TP4,POR-72_TP1,POC-57_TP3,POC-42_TP4,ACR-244_TP1,ACR-186_TP1,POC-57_TP4,POR-72_TP3,POR-260_TP3,POR-73_TP2,POR-260_TP2,ACR-173_TP1,POR-73_TP1,POR-83_TP4,POR-262_TP2,POC-53_TP4,POC-52_TP4,ACR-173_TP4,ACR-139_TP1,POR-262_TP4,POR-73_TP4,ACR-225_TP3,POR-260_TP1,POC-259_TP1,POR-236_TP1,POR-74_TP2,ACR-237_TP4,POR-74_TP1,POC-42_TP1,POR-83_TP1,POR-69_TP3,ACR-139_TP3,ACR-265_TP1,POC-40_TP3,ACR-237_TP1,POC-259_TP3,POR-236_TP2,POC-40_TP1,POR-72_TP2,POR-72_TP4,POR-216_TP3,ACR-145_TP1,POC-259_TP4,ACR-229_TP3,ACR-244_TP3,POC-201_TP1,POR-69_TP1,POC-222_TP3,ACR-186_TP4,ACR-139_TP4,POR-73_TP3,Metabolic-PBQC-2,ACR-173_TP3,ACR-225_TP4,ACR-150_TP4,POR-74_TP3,ACR-237_TP3,ACR-145_TP3,POR-74_TP4,POR-245_TP1,ACR-150_TP3,POR-262_TP3,POC-53_TP3,ACR-244_TP4,POC-255_TP4,POR-262_TP1,POC-219_TP1,POC-201_TP3,POR-216_TP2,POC-52_TP3,ACR-150_TP1,ACR-229_TP4,POR-83_TP2
Betaine Aldehyde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadaverine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Aminoisobutyrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choline,251310503.274882,38909196.059145,281623968.326579,104098496.750853,260900131.946737,157869588.697971,136759256.606638,115572386.014315,146416327.37935,168988280.48125,403878016.652225,160321628.797877,213070625.993546,64151018.81996,112812424.374214,79267457.487803,398910060.025156,295037941.499425,230205407.092383,83418797.7575854,90638089.328079,46027989.96627,287036275.270238,30816648.5820394,77913321.572519,148523402.965619,66788046.3343662,225732739.903867,242044435.453342,98791412.3650405,211642631.620622,215831613.04686,41278052.1905189,87157484.1952176,52250114.753218,42816961.9482893,72327654.2764399,45720089.0410258,172346754.201188,73432916.9573482,266013069.987114,297211279.875995,173764141.291712,82361200.7577531,18612015.1365586,199801944.909012,341447494.292972,29230530.4241415,439240230.283655,65144254.2629002,106566595.233773,310196516.022385,70047949.0165836,400297527.163431,38203125.0042859,84036219.6572348,177057397.258862,52209301.2120031,288808177.393623,59828512.8944446,209160044.107645,64041090.3072469,82288920.4613115,87959422.6828753,92860870.4333405,265415490.794736,78466451.6696057,259226580.962764,150149094.251956,130459728.164595,127887660.337735,100157202.203585,177083658.094913,115537036.814578,314295873.734452,18961443.8809593,146326133.041106,220301878.457488,278818530.62375,147510268.314117,104967220.849489,124727227.156417,144081462.356802,63341857.5680986,45049559.5139859,183441534.181708,87548139.738074,220062257.556691,225491348.468845,282341669.328821,88250511.4558974,213676027.175311,345244733.900612,138239407.912858,301738559.62004,112882774.50671,179445803.175391,22695047.7549808
2-Aminobutyrate,184971.125957293,103484.095929135,497697.802521467,158544.461353703,590613.974683551,180053.659344761,63465.1352739244,332023.496660003,200887.185415721,,505561.724222404,415768.882141762,160858.690897285,145928.248744515,77719.2000343414,340690.529141376,537436.57076223,419957.682203685,357878.10569077,82838.7813065364,183430.390496094,109018.842063939,530728.366548613,155458.540855887,133395.025982025,261905.040111768,82979.1213295514,170082.316271589,463675.286410195,197158.35281151,69473.9334909746,591942.689424281,,86995.6009216395,180802.81715805,138248.049002976,124872.403709116,,102247.762588144,171694.189695501,577118.03128856,694574.693960899,146191.500128328,143013.032385221,51861.060213,65890.5219419905,39538.6288581531,94776.2957559395,262332.013704189,,80561.1856902823,281345.644540964,,390813.91780752,160079.614612454,76074.1481975558,245173.797285859,81248.1288637966,389524.761287515,128147.999312822,238158.710872278,83396.3987816949,39226.5865745896,78745.2124561145,85438.4261145105,73176.267659273,88995.4037194861,313755.201337149,74652.3176865584,77513.737262175,540965.437904831,97441.106921411,326627.917616665,98322.9096110366,459974.769123768,123681.262494295,180255.879071011,133117.091457273,464894.80585463,138002.994558469,127812.572737501,78759.0275221068,53695.1294111395,589954.938356476,118194.150715729,99910.6868479791,87030.1250379783,334755.563906972,220398.346466092,367392.960829388,94727.4435629418,378236.918097192,495056.703658327,621063.341051164,353076.919632914,,152422.040651864,56608.0164883617
Dimethylglycine,418865.899915654,,400264.438390468,96303.7231465066,208760.303599468,349022.602122256,220255.567685193,417150.369390785,215748.352612534,448270.973101445,560821.63526035,,196731.539760004,80139.0464688583,81430.8181614887,92710.0993099405,1003403.66720899,524657.780064946,585970.719602799,117294.781167625,97851.23931469,118003.225934037,332427.892152336,105766.851185435,287154.941234038,577208.395366823,272247.106570761,308816.69970065,774645.095869034,614220.767803435,320341.260939399,437057.157542066,157526.90496698,152914.450091619,214562.457234807,221603.344126861,197793.193647474,120721.120016345,135953.051766949,143716.75705672,762850.47136985,480267.057184612,408469.502223714,98332.2546660711,108862.481438146,95129.2052338815,636420.76157256,152774.969641246,438150.712837172,86722.2967282412,155992.928107082,232135.830384597,121489.437622846,418138.248211709,64240.5570213803,110825.140021559,718444.427642333,197974.617245512,240878.401935216,203287.940373205,406783.608131022,155261.290819978,196102.249718824,90592.0365470582,301665.849218408,156924.067676408,150068.035036849,575039.995548267,688472.22767624,1038319.88527761,212828.46638099,53019.5870523843,1037995.42731864,235318.346289031,290742.549021505,86095.9832370064,252209.403972174,566606.169702653,161952.570771799,164661.75419193,108658.164358364,208065.62379051,660217.301885764,103014.580708434,74217.9651181321,286751.508710914,68888.5257515508,402293.932977472,154404.682234916,518448.343556157,106531.947548958,583411.249777566,578413.819173204,107398.535091911,411259.932487576,176533.784076854,334927.084526663,60445.9122923102
L-2-Aminobutyric Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Aminoisobutyric Acid,63470.7807066233,2516176.60241731,717681.100847071,173162.47782324,178891.617879615,30745.0078117496,200084.727428484,58339.8422372031,237148.77428853,108368.556559299,330039.204471758,151339.861152188,404147.520994094,50410.984174922,59148.278733506,79964.4604389902,326818.215436529,47057.3965061992,158809.469130483,67384.6311953253,95867.2029589613,52790.1788363768,48662.656704116,34638.3556955359,51261.1070795083,46391.3376393952,46870.0737975767,67705.8283985914,245835.71228873,68160.1808203415,1531321.12006567,60540.7159944473,59226.9377152813,31593.4818646652,34052.9932712237,53951.3522272582,1533370.00801886,39069.9827693984,60323.8956783693,35144.5138838042,125859.135115857,115867.364647058,206522.033337296,1776394.19511761,48704.1189805299,116788.778396297,99900.9743259206,34312.834315724,31320.1586725993,18558.4596481722,42712.4230248184,694211.03390054,55602.9151764505,535040.198507358,126750.260437387,82948.7360937221,137882.302909173,40666.3639844858,52106.3109892493,81690.3088670947,182097.745306142,53509.1719895294,208685.670606267,168678.65290965,38981.4547887913,78395.0644579951,863832.240727075,122336.448065706,72592.0777882153,126837.540517244,50651.8073487379,326097.892804143,54781.1997773815,246258.555200107,494634.957596256,99044.5951289529,232576.268393756,230285.158223158,677076.696907092,331334.006462878,171696.312928088,178153.342158659,71550.0454330479,126354.4692992,47240.3391175188,170316.251833533,49259.9005428152,127319.580610869,455971.305617921,60479.514373875,122562.402028991,23345.2864766781,205479.290688005,53981.2193399205,234991.304160399,464936.668254913,213168.593943122,47451.0339030368
Serine,15901721.5693719,6268107.72793042,19419543.3662256,11141823.0301959,22887313.9056595,7144323.29284535,4590679.33256169,8537619.68246721,11815880.8896148,10756230.6968661,42673950.8086622,10646667.3152975,16639487.2721551,4158515.91853572,10740757.1401969,6686747.92145131,22223987.6098268,14439488.3730992,15066371.0524721,6195460.90166188,9220499.14229413,5930420.51536188,21302727.2587619,7279944.38293505,5677000.17266112,8818672.68451938,4755330.97167732,11304751.9475775,24028610.0165361,5329239.93891822,16964929.377388,26535193.2043352,4123169.92502234,13413511.1120765,2670509.34835055,5060240.61202085,2919357.62062636,4374709.86004279,18925843.4862301,4981786.85905757,19258695.537301,20948270.2990158,5609978.08284542,4593223.38016706,5573039.9334928,36815261.4809695,20851401.791935,4751820.05863202,51799875.5187815,4210949.76733334,3830539.09891677,19888258.2972568,3578799.89890021,46847000.5814075,5638563.7125883,6655743.58787377,7945784.78210115,2829747.11329251,20919147.6633409,6909362.97256786,7762012.35757396,3578157.10613121,4728709.46028273,7587287.05469664,5600182.80134172,41971429.4666932,4616686.70488441,14545160.6450449,6740548.4752872,4625656.90249905,7534142.96655843,16523120.346937,9524649.66703748,4690979.48430183,44377293.6095994,3254724.05513683,12792354.526956,13832550.8621145,19433751.4983401,5197541.81227104,8286181.43012242,4894249.44064144,6350671.80119322,7814748.05757448,4144545.79860547,6380137.59775855,6511420.91838542,17028778.288278,17701108.670746,21311426.620715,14565896.1142705,11963507.744044,33724922.3821719,13435944.3049407,19869251.9081041,3259016.14952213,13023153.3104941,1982575.19196487
Hypotaurine,254397.250143903,79870.7587558757,190824.968691073,450787.228979763,356162.020485993,159168.672758286,74523.4497123215,175118.346161653,197215.647525629,9744.44848916891,337868.911513308,300899.810255011,291344.598227249,85667.9365413996,122163.4506799,160777.527179005,117706.831668444,69437.4949979891,315101.572900748,99139.0241976685,114302.111086801,102699.160250163,73770.0200013759,275056.365622895,106204.05919617,209852.187661549,121390.174420624,76863.3230078437,349056.793734123,231166.905409169,31927.4202917284,638088.486226859,36231.8103856375,37315.7953105382,110041.344577105,44528.8515956644,651222.911000784,97538.9886078255,17388.3832464349,74109.6785285569,72899.3496543162,417577.355785998,1469453.29977568,129598.334148921,51111.8264034483,47690.5414758752,,406307.092680744,225266.105978486,15724.2008283438,85652.797129836,542498.456213299,28000.5905158971,305619.152721072,103452.101514862,91015.9838777083,61148.2146384122,53109.5010925748,97635.8296498867,197178.869224568,120810.478166909,69200.0786596039,118073.517875471,1259190.44264731,138538.588502037,12952.6544906448,155680.672260308,335463.600559663,131777.540100212,141136.260762266,108622.240453516,605230.798784787,177020.217465078,476454.551426811,15338.9215835042,123697.003734264,221962.492944532,485233.972316232,370997.471631231,341733.986737969,110269.905574825,123936.243610911,101141.54963482,195905.410681039,75815.7964639442,158257.681446773,64553.054602599,74515.0168424034,465839.156335206,182119.829430784,68782.7097500345,103568.428982193,171350.759568984,189122.601679723,563983.654394959,12398.541288322,130541.400201115,47633.2977637543
Cytosine,,3423143.99499063,271908.454900974,137622.22697149,,,174000.771306706,146347.322302351,2319127.43951611,,175789.439935632,561805.318928653,14481546.9948354,4553334.03607825,6566081.87864275,99249.0588523799,155239.691809054,73050.7261816065,315773.487032995,123320.875827407,4050383.09682214,1396071.46605325,192127.679087062,,3637829.02125502,152478.895454351,320020.758516105,99651.4010046497,177088.799776916,323094.850710935,12857497.5781569,118125.669886852,,127692.40676788,1211763.29167322,88926.0317763524,301503.857941554,1255574.52888337,1743429.66682855,1241330.49795391,171196.21154334,823683.171857781,532838.683351337,18740091.7635636,682554.8456779,4286717.96610583,2784541.75493996,116392.11656006,95821.4446244345,2072556.23603693,2027313.6532591,1334288.75446683,1846402.61876654,84561.6434727589,908638.489477693,85875.0906693257,18622633.25341,276153.520239398,129728.688206604,254619.965094909,99017.5946885855,1837106.85643007,,2616210.19428158,76820.1258972701,4357053.57815246,266893.430838517,285606.348328284,845862.631521447,250815.681589951,91660.8369141903,197975.487135542,285164.214688745,2658636.8176778,46366630.1396004,1364638.70233031,2635075.25817281,630222.804769179,7840318.2757225,129113.549688855,5371980.56833319,,650745.038902536,4511590.32457322,102086.106903007,,1938777.40749814,161094.599199779,165558.290231112,126207.934236249,2635955.62284928,72793.462428602,236011.605176593,5926288.04254289,61742.0228264699,,409477.851798283,410882.558173602
Histamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creatinine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5,6-Dihydrouracil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proline,17379975.2887505,511052.733919192,22332534.4944253,1017038.49185672,18903500.6598599,10230454.8329281,889297.538543771,14543841.0172333,3127662.56955669,4374303.78781316,33332805.2041906,,2176114.34184311,642081.060492541,1637559.68498849,1909860.74976387,19444861.6864766,11417387.1955694,24690956.937101,1151173.81345641,1042535.41758534,865942.890953194,19579583.3051977,1222271.03198617,1228594.49145223,8278387.99032858,681650.658675937,10668962.3752208,26570836.2714984,1799165.36703346,6487047.99488779,26294057.0505011,642664.690071688,1258587.5075154,977146.50193709,1099374.89137184,1388126.34452481,1619714.20547829,824725.193094853,1237667.40161594,20389261.9751991,23173739.5433287,748632.772074981,1503510.04083225,1817073.0378395,2421698.73427515,432324.861020888,1375986.15527802,29660496.1732496,402709.548231125,770348.053309752,3710428.55296191,522301.409271128,31253001.7217223,1702797.06208598,628137.08576316,1424056.08212582,1345986.55112313,17794172.3512131,2239254.90608204,8816332.8690983,585955.721739459,5593649.04304774,1790655.5281547,926178.062059126,1141754.0234662,3574994.79889372,17209063.3422735,1441560.10744859,1506926.02676858,9988382.67603065,804773.10281247,17044175.1793931,2267766.03140056,17983676.7374772,1614925.4582016,2973229.52711391,1859455.82417231,2014527.65389912,631861.220548127,1182799.4587497,1085278.36868024,692353.486896713,2041033.12437411,717971.649816866,1200177.84015847,1127986.4255751,16305404.1257365,2706153.36880614,20065250.7873701,1116147.30465812,11703508.3942186,22803417.4377964,2026767.76593822,16798867.3884374,541271.565456717,1336882.62003728,291203.881508459
5-Aminovaleric Acid,171514.312422153,,170348.213611959,128612.637100721,187012.83274868,59324.1362478441,,185276.485390957,90928.9443162475,,327850.180180983,58225.3208375139,46803.1865774174,81647.9469704876,,,918547.095823718,417279.330970736,327909.951831151,,,,78528.1710408898,,,64455.5326051938,,200059.660930219,463584.76070465,,45224.0163042517,681869.646192408,,,,,,,,,146793.780165861,360412.829486333,,,,,,27459.8651156846,205281.352419946,,,101354.564862192,,305612.457749184,,,,,52119.3695105239,,43749.9448078604,,94555.805313908,842997.223631582,,,,316839.951707995,31699.7355280522,,50383.4214321174,,70607.3584884111,,30941.7768231611,,101564.610228632,,,43212.0020074856,,,,,,63003.0020717723,,158459.798997982,,102781.75187427,,559326.968702507,,,262582.221832294,39591.7839852761,49452.8351408848,
Betaine,1008252210.98043,79697151.6137596,1061757729.76883,150286570.707712,1609886651.78064,961699600.628164,259834781.566719,1032490272.45681,645543161.951516,385426229.690147,1169685845.64042,684080137.132666,157803772.637052,39954752.4216968,48620719.8173266,152175123.372926,1146930025.92199,1101569775.5109,1196443492.12901,89175516.0380635,70875493.7617309,48532278.8657613,1038233738.55711,69514237.8130024,324347171.321961,1087932002.62727,95647848.7068016,1047642029.29572,1213713761.34158,186743926.316653,216888987.546332,1453614410.63561,63216946.4695424,76413972.0267527,85629950.5555032,50411393.6993803,228243058.506338,95445019.3458797,46550391.5813533,53928151.1568605,1247623078.74848,1127357033.80435,138927572.209724,100863610.563939,39553719.2664081,143192048.087318,233551475.178014,62829938.7716587,1002598804.95686,45929931.0822145,108842803.298003,167122116.178804,86775602.7762463,1082916396.7197,52653704.4454975,98911896.9579564,159799947.507882,159701730.330212,1059151933.47155,100786786.127186,892414645.760888,55521675.9948555,755663835.461248,72403331.0108868,107385991.282151,89282003.8660709,175346737.288287,1122995312.39021,185297023.612294,174133990.546477,940131435.223413,157244849.194372,957645784.038744,133313373.638518,221235101.47649,84183233.1111909,688976900.379405,371845229.728109,246438552.464007,158670531.858296,122258933.44788,192216714.745022,348473562.47938,114298739.43064,66564182.7744364,186923279.829151,58583545.6550049,1145798447.71446,133244488.280338,1083567162.69063,48230108.9039097,1019774365.34482,1164507712.38344,67997468.6580281,1099457485.21216,85292913.1285074,407799284.224554,32274508.3501017
