"gene_id","protein_match","POC-201-TP1","POC-201-TP2","POC-201-TP3","POC-219-TP1","POC-219-TP2","POC-219-TP3","POC-219-TP4","POC-222-TP1","POC-222-TP2","POC-222-TP3","POC-222-TP4","POC-255-TP1","POC-255-TP2","POC-255-TP3","POC-255-TP4","POC-259-TP1","POC-259-TP2","POC-259-TP3","POC-259-TP4","POC-40-TP1","POC-40-TP2","POC-40-TP3","POC-40-TP4","POC-42-TP1","POC-42-TP2","POC-42-TP3","POC-42-TP4","POC-52-TP1","POC-52-TP2","POC-52-TP3","POC-52-TP4","POC-53-TP1","POC-53-TP2","POC-53-TP3","POC-53-TP4","POC-57-TP1","POC-57-TP2","POC-57-TP3","POC-57-TP4"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g19833.t1","USP19-205",494,617,102,352,274,14,149,620,365,655,272,651,319,133,491,498,462,203,488,610,469,386,554,526,628,383,59,0,275,419,457,569,380,619,235,496,301,758,385
"gene-Pocillopora_meandrina_HIv1___RNAseq.g1990.t1a","SLK-202",423,464,440,648,295,178,570,576,468,719,365,503,363,468,592,350,360,688,430,420,453,407,492,428,581,554,201,205,328,482,453,326,303,466,460,428,404,583,372
"gene-Pocillopora_meandrina_HIv1___RNAseq.g20222.t1","UBE3A-226",467,639,129,414,304,87,121,1247,444,637,218,947,367,106,387,366,462,269,539,449,372,334,658,625,808,602,65,115,343,446,462,460,407,493,251,470,217,610,555
"gene-Pocillopora_meandrina_HIv1___RNAseq.g20293.t1","USP38-201",124,381,42,226,129,36,100,487,253,245,79,644,113,61,119,326,358,82,137,354,270,109,398,317,413,398,58,0,223,166,215,247,202,230,143,230,78,241,360
"gene-Pocillopora_meandrina_HIv1___RNAseq.g20427.t1","Kat4-Taf1-206",2196,2186,2148,2479,2169,1226,1845,3731,2328,2810,2091,3654,2343,2278,2872,2112,1731,2655,2001,2255,1852,1793,2475,2388,2883,2522,819,1808,1394,2022,2309,2325,1893,2365,1844,2149,2179,2781,2475
"gene-Pocillopora_meandrina_HIv1___RNAseq.g20455.t1","Parp10-201",3688,623,366,713,703,157,737,419,537,743,715,428,605,659,1049,865,798,825,607,747,1272,2261,583,623,971,621,101,47,645,524,763,752,460,892,194,1138,565,2136,470
"gene-Pocillopora_meandrina_HIv1___RNAseq.g20540.t2","PUS3-201",108,123,12,66,74,0,34,197,91,102,57,197,79,4,88,92,101,58,88,78,132,62,132,158,234,109,6,17,82,12,67,79,104,65,82,114,73,44,200
"gene-Pocillopora_meandrina_HIv1___RNAseq.g20707.t1","OTUD5-202",362,409,166,379,264,111,196,841,468,885,195,729,402,67,385,308,633,148,390,555,602,519,809,411,725,530,83,124,371,357,604,415,421,652,435,400,258,661,503
"gene-Pocillopora_meandrina_HIv1___RNAseq.g20709.t1","MAPK14-201",87,114,34,37,88,10,23,167,55,71,58,112,73,17,68,129,114,63,129,58,128,176,139,43,30,33,0,0,51,48,64,113,39,79,14,31,16,49,81
"gene-Pocillopora_meandrina_HIv1___RNAseq.g20753.t1","Senp8-206",9,37,4,54,31,0,12,84,13,86,7,4,18,3,35,41,105,19,36,27,22,43,20,19,24,33,0,0,38,33,103,44,32,45,9,69,6,95,30
"gene-Pocillopora_meandrina_HIv1___RNAseq.g20796.t1b","GTF3C1-201",987,1226,1736,2038,1347,326,1115,1084,669,1247,1062,673,1227,2270,1557,1429,1004,1746,1270,464,369,1029,408,466,358,443,518,538,479,873,1018,1304,1152,1264,803,800,869,1286,1027
"gene-Pocillopora_meandrina_HIv1___RNAseq.g20859.t1","Kat7-205",438,456,192,478,336,115,133,719,331,554,208,570,386,196,411,476,580,334,501,303,214,359,304,343,347,236,89,64,243,378,617,464,353,541,161,346,226,576,282
"gene-Pocillopora_meandrina_HIv1___RNAseq.g20883.t1","JAK2-201",517,586,173,545,396,45,197,800,306,494,254,710,343,355,453,626,516,386,486,146,150,256,162,214,335,272,88,25,307,405,470,380,265,443,177,247,192,514,249
"gene-Pocillopora_meandrina_HIv1___RNAseq.g20942.t1","EIF3H-209",926,705,549,672,455,241,1086,770,780,1043,791,829,635,581,886,467,559,1123,864,891,1369,791,1125,957,1310,1040,1232,150,1138,743,655,406,810,580,1344,871,560,710,1775
"gene-Pocillopora_meandrina_HIv1___RNAseq.g20958.t1","PPP1R8-202",134,165,68,206,105,49,69,346,134,426,121,191,168,45,174,236,235,124,220,96,50,143,54,102,131,110,19,0,63,165,400,120,87,294,88,133,59,284,196
"gene-Pocillopora_meandrina_HIv1___RNAseq.g21015.t1","EYA1-202",356,812,249,679,423,80,164,1302,381,1480,197,579,481,278,383,991,911,151,478,225,143,427,147,255,347,219,15,65,110,407,993,689,239,1373,71,227,136,1016,326
"gene-Pocillopora_meandrina_HIv1___RNAseq.g2111.t1","WEE1-202",45,118,27,111,45,9,127,58,27,119,24,22,50,36,79,49,92,22,91,27,9,37,55,44,36,17,47,0,16,18,58,75,25,102,57,56,42,85,325
"gene-Pocillopora_meandrina_HIv1___RNAseq.g21322.t1","ESCO1-201",91,200,12,112,117,18,68,238,100,210,21,206,71,47,109,196,130,120,92,35,26,73,63,77,59,46,22,0,78,96,134,84,36,94,91,133,87,136,303
"gene-Pocillopora_meandrina_HIv1___RNAseq.g21513.t1","MDC1-201",292,297,149,208,151,41,102,647,316,699,165,89,146,160,136,264,269,157,276,115,77,311,98,132,144,69,0,57,83,169,231,304,115,424,90,207,44,360,175
"gene-Pocillopora_meandrina_HIv1___RNAseq.g21574.t1","MAPK3-201",2165,1153,393,1417,741,304,871,2616,1405,2652,986,2480,838,504,1390,990,1400,1033,1931,1160,1468,1540,2093,1161,1785,1290,631,263,1345,1191,1946,1005,1035,1548,1424,1223,348,1671,1990
"gene-Pocillopora_meandrina_HIv1___RNAseq.g21656.t1","COPS5-201",151,285,124,357,204,65,230,431,176,501,179,342,152,163,289,226,328,219,347,113,197,251,269,243,286,197,173,0,185,222,353,166,175,290,311,238,223,251,465
"gene-Pocillopora_meandrina_HIv1___RNAseq.g21746.t2","Kdm2b-202",681,903,452,830,497,324,321,1375,315,1113,269,659,505,677,568,707,1240,371,677,385,319,653,433,538,611,382,122,462,351,554,979,1030,575,1065,211,698,276,1324,552
"gene-Pocillopora_meandrina_HIv1___RNAseq.g21765.t1","HNRNPA2B1-201",1425,1081,226,496,337,218,267,447,131,1232,367,110,413,135,611,791,1401,258,579,232,161,769,91,222,212,94,0,266,157,632,1141,1455,633,1301,96,1152,29,1504,86
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22092.t1","HIRA-201",308,471,124,279,380,85,135,769,280,743,163,579,387,157,357,541,497,266,515,234,237,411,256,363,293,148,30,13,200,316,523,547,438,461,117,456,160,597,341
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22181.t1","Sirt4-201",22,134,5,69,92,0,16,193,56,79,9,115,77,13,51,95,76,49,65,19,42,23,65,20,65,51,0,0,25,19,71,27,21,30,40,56,30,70,60
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22296.t1","TRIM37-201",397,556,194,360,284,87,273,747,248,622,286,432,425,187,396,492,597,230,367,330,223,529,383,460,412,358,31,35,190,368,616,589,365,657,122,326,68,638,307
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22322.t1","Kmt5a—Setd8-202",25,73,28,75,20,11,264,43,31,58,93,23,27,37,46,56,43,14,50,26,0,17,15,70,8,17,27,48,13,0,88,41,4,39,110,26,42,39,300
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22339.t1","ALKBH3-201",8,180,14,96,42,5,30,229,32,211,59,74,57,19,69,155,192,37,198,66,53,25,63,53,205,74,35,7,36,39,38,22,47,35,34,29,27,18,58
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22371.t1","PRPF8-201",3034,3272,1452,3837,2866,772,1880,5378,3361,3997,2407,4784,3861,1245,4210,3926,3408,2964,4045,2784,3004,2810,3009,2710,3660,2901,821,506,2422,2807,3737,3594,3702,3619,1938,3106,1806,4009,3328
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22603.t1","USP14-201",489,540,207,790,389,95,540,847,488,801,434,468,356,369,741,488,650,570,774,208,301,418,409,581,524,370,389,49,473,480,677,416,302,570,561,415,277,612,671
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22617.t1","PPM1D-201",355,972,226,1365,479,111,190,1629,343,3285,423,551,716,469,1268,1153,1561,350,1037,298,286,664,330,384,393,329,46,82,318,407,1476,670,336,1176,145,403,259,1156,353
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22626.t1","Setd6-201",99,92,81,87,81,18,100,273,93,121,63,125,72,72,73,88,121,71,107,73,56,72,72,113,113,82,41,78,43,61,89,57,64,98,54,108,44,107,191
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22632.t1","Smyd4-201",3249,1123,306,808,573,133,1170,1227,1674,1285,999,4671,1224,535,822,849,898,729,900,2005,2883,1030,3972,1383,1818,4492,945,38,1937,626,946,909,1775,862,2633,1491,1174,1066,4928
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22756.t1","PPP4C-201",337,283,75,307,220,61,110,441,261,695,198,248,190,72,297,305,452,130,378,218,201,229,142,233,212,159,9,68,156,267,433,285,261,371,158,264,173,367,289
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22778.t1","USP30-201",58,214,32,61,97,9,54,262,61,152,44,126,92,85,104,204,238,87,106,73,79,119,135,148,100,93,39,0,52,105,185,161,49,184,32,122,29,143,129
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22781.t1","PPP1CA-203",4388,1602,732,1403,1433,888,1061,3883,2058,2593,1504,2418,1735,702,1686,1707,2331,1464,2910,2478,3632,3807,4299,3339,3838,3416,219,721,2458,2344,2410,2570,2935,2893,1562,3409,590,3191,2303
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22798.t1","RPUSD4-201",52,143,33,150,76,13,52,161,34,108,28,158,68,84,59,239,219,54,111,41,20,57,50,46,22,42,18,0,53,62,101,48,24,66,102,97,43,105,125
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22810.t1","H2AX-201",1482,893,557,1761,683,272,1416,2592,1088,2007,1248,2105,798,745,1902,1023,922,1576,1757,1094,1256,1292,1852,1169,1491,1491,784,203,953,853,1388,849,901,1212,1801,972,653,1309,2514
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22813.t2","Kat9-Elp3-201",253,334,55,245,159,28,132,471,232,310,190,414,209,131,369,292,279,146,299,265,162,248,235,445,399,362,54,0,170,175,302,289,226,470,132,203,147,324,439
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22821.t1","USP32-201",1254,1367,256,813,707,84,475,2164,1399,1822,543,1890,1028,380,992,1187,1401,535,1152,1878,1616,1475,1501,1807,2111,1591,100,64,1137,1013,1518,1616,1743,1608,548,1506,535,1862,1479
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22891.t1","Parp12-201",281,400,66,261,169,21,107,239,275,983,214,148,199,81,287,444,607,155,443,153,149,285,101,275,172,210,43,32,149,199,360,236,137,411,82,425,122,607,158
"gene-Pocillopora_meandrina_HIv1___RNAseq.g2290.t1","UBE2D3-210",1669,1245,616,1545,1022,669,1180,1800,1442,2810,1204,1580,1465,804,1704,922,1547,1356,1787,1322,1627,1581,1789,1251,2321,1772,865,250,1737,1364,2045,1195,1414,1885,2067,1422,609,1876,2734
"gene-Pocillopora_meandrina_HIv1___RNAseq.g2291.t1","UBE2D1-201",168,124,53,99,53,31,49,168,131,241,71,205,47,39,96,109,100,82,168,98,188,108,149,107,218,140,14,0,115,103,228,126,138,125,90,167,40,189,169
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22939.t1","YBX1-201",17304,15556,11925,19284,16181,9826,15918,24879,15362,21758,15216,16854,15836,14275,18798,15442,11958,23408,16783,16772,13176,15516,14940,17317,18811,18912,6986,6075,12741,15232,12799,13846,12037,18847,15519,18579,15867,18053,22152
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22970.t1","PPP1R7-201",121,201,22,246,61,39,112,319,93,378,86,110,56,95,122,164,269,92,224,43,40,110,55,91,95,45,34,0,91,148,249,76,41,181,45,87,53,164,221
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22986.t1","NSUN6-201",174,222,135,154,151,34,150,230,236,221,130,557,569,535,408,246,248,237,200,179,229,108,193,145,411,178,157,0,302,199,59,160,120,111,111,169,133,103,143
"gene-Pocillopora_meandrina_HIv1___RNAseq.g22996.t1","USP13-201",463,752,266,570,343,87,454,1041,831,591,509,909,501,413,584,672,596,591,563,1008,687,466,701,915,756,755,306,8,683,283,543,464,398,567,602,514,521,577,819
"gene-Pocillopora_meandrina_HIv1___RNAseq.g23056.t1","OTUD3-201",142,277,212,335,102,88,173,199,241,189,156,170,245,190,231,183,184,160,161,48,110,73,148,175,233,182,147,46,100,110,132,158,173,178,238,277,354,209,342
"gene-Pocillopora_meandrina_HIv1___RNAseq.g23171.t1","Hdac8-201",30,50,0,71,34,2,177,209,225,191,106,22,41,21,52,47,84,37,75,14,5,38,27,25,16,7,14,18,35,39,41,23,15,47,73,38,29,45,615
"gene-Pocillopora_meandrina_HIv1___RNAseq.g23278.t2","Kdm1a-202",909,1744,506,1452,856,252,471,1689,893,2512,833,957,1102,434,1571,1460,1884,812,2321,946,872,1041,934,1019,1476,865,80,98,646,1417,1898,1138,988,1425,546,873,568,1607,830
"gene-Pocillopora_meandrina_HIv1___RNAseq.g23332.t1","ACAT2-201",41,69,4,23,43,0,27,61,5,55,12,24,23,25,32,37,45,0,29,3,0,22,5,17,16,13,5,0,25,52,50,47,20,34,0,31,5,64,26
"gene-Pocillopora_meandrina_HIv1___RNAseq.g23358.t1a","Parp4-201",340,430,48,191,234,31,73,249,145,467,151,102,195,50,222,207,336,166,286,134,199,410,211,195,167,105,121,0,133,146,412,381,291,478,69,563,79,546,189
"gene-Pocillopora_meandrina_HIv1___RNAseq.g23377.t1","ACAT1-201",584,887,415,790,534,179,384,1529,649,846,402,2177,753,285,785,702,768,611,1207,803,1041,474,1231,747,1077,1668,609,77,1126,967,939,585,648,806,735,623,611,773,1011
"gene-Pocillopora_meandrina_HIv1___RNAseq.g23400.t1","ZC3H12A-201",3616,818,183,640,1202,401,867,1369,1363,1988,1153,1470,1510,248,1541,705,993,1195,1718,1830,3096,3482,1287,1408,2360,994,33,159,2563,1714,2844,3549,3000,3464,625,3331,538,3844,2924
"gene-Pocillopora_meandrina_HIv1___RNAseq.g23511.t1","ATM-229",143,210,8,76,62,5,75,105,68,105,55,44,154,40,192,119,118,71,125,57,21,93,60,78,64,53,55,18,117,162,218,191,151,296,41,403,296,504,202
"gene-Pocillopora_meandrina_HIv1___RNAseq.g23522.t2","ARID1A-201",1256,1291,204,1053,789,134,595,2658,1467,1874,588,2535,927,387,1084,1290,1143,819,1059,1915,1428,1136,1616,1360,1855,1485,83,132,1165,1088,990,1039,1369,1500,751,1134,723,1210,1639
"gene-Pocillopora_meandrina_HIv1___RNAseq.g23723.t1","Senp7-203",440,565,126,373,236,49,147,876,241,792,173,486,189,87,223,371,523,128,427,297,190,406,233,303,371,154,43,0,248,390,586,405,211,688,148,339,63,762,417
"gene-Pocillopora_meandrina_HIv1___RNAseq.g23736.t1","NSUN4-204",37,89,10,76,20,24,46,88,48,55,17,49,36,0,14,61,64,41,61,29,35,21,36,37,30,30,40,0,39,61,30,30,20,39,25,35,28,43,54
"gene-Pocillopora_meandrina_HIv1___RNAseq.g23882.t1","USP16-204",1206,736,686,588,546,216,970,1304,1396,603,637,1618,606,326,512,620,603,713,562,1284,1201,430,1336,1693,2763,1879,510,575,798,443,598,527,755,532,643,999,704,577,1210
"gene-Pocillopora_meandrina_HIv1___RNAseq.g23964.t1","Prdm13-202",187,131,59,275,102,23,106,222,87,349,124,75,149,42,199,231,390,153,205,81,39,320,120,164,57,138,18,34,85,154,168,160,66,273,43,171,201,171,299
"gene-Pocillopora_meandrina_HIv1___RNAseq.g24243.t1","H2AZ2-202",1406,1437,953,2453,1111,532,2358,1588,757,3118,1294,847,1315,1368,2255,1650,1629,2726,2562,645,647,1443,837,742,854,799,635,137,685,1528,1694,1050,939,1638,1626,1469,723,2080,3302
"gene-Pocillopora_meandrina_HIv1___RNAseq.g24275.t1","YTHDF1-202",2448,1784,510,1725,1494,260,1362,2603,1992,2545,1654,2031,1638,821,1879,1306,1670,1607,2371,1815,2428,1811,2104,1573,2691,2209,1182,118,2136,1497,1732,1317,1496,1731,1905,1810,859,1471,2635
"gene-Pocillopora_meandrina_HIv1___RNAseq.g24281.t1","DLAT-201",410,1044,292,759,502,180,281,550,359,1077,274,128,357,218,323,835,942,389,788,135,169,241,148,127,201,167,47,40,218,660,819,641,432,930,272,363,192,583,392
"gene-Pocillopora_meandrina_HIv1___RNAseq.g24393.t1","NAT8-201",11,12,0,6,0,0,0,9,3,20,0,4,0,0,0,2,11,1,2,12,0,3,16,3,4,0,0,0,2,0,0,3,2,20,0,12,0,8,7
"gene-Pocillopora_meandrina_HIv1___RNAseq.g24501.t1","MACROH2A1-201",984,794,305,625,562,316,344,1208,456,1840,389,533,699,307,720,681,1024,691,803,654,552,871,464,503,474,451,16,214,533,903,1342,993,668,1249,276,1034,189,1622,487
"gene-Pocillopora_meandrina_HIv1___RNAseq.g24581.t1","YWHAQ-201",5245,4793,1463,3739,2077,1122,3116,4576,4445,6440,3410,3591,3988,2058,4355,2266,5823,4344,5782,3226,5318,4458,5341,3553,5476,4535,2436,634,6364,4605,5431,2600,3411,4780,5940,4437,1409,4384,6383
"gene-Pocillopora_meandrina_HIv1___RNAseq.g24618.t1","ATR-201",402,353,96,295,284,85,299,480,197,279,276,148,355,154,357,366,262,307,308,224,253,460,225,189,118,145,136,0,197,251,289,385,256,310,114,492,268,414,300
"gene-Pocillopora_meandrina_HIv1___RNAseq.g24660.t1","GTF3C2-201",103,374,96,155,163,24,106,533,115,160,52,339,202,132,280,411,519,110,363,128,97,205,225,230,282,204,128,30,206,278,289,174,91,275,61,129,59,343,182
"gene-Pocillopora_meandrina_HIv1___RNAseq.g25259.t1","Kmt6-Ezh2-201",295,465,256,616,306,129,212,505,198,676,301,363,361,342,489,553,418,564,371,168,134,289,183,238,300,209,148,54,226,392,511,443,168,538,303,292,157,691,480
"gene-Pocillopora_meandrina_HIv1___RNAseq.g25340.t1","PPP1R9B-202",1960,1249,853,1263,915,372,903,2474,2149,1908,1831,3358,1185,1281,1939,1263,1140,1803,1558,3067,3258,2058,3245,2393,4127,2846,728,601,1888,1107,1389,1042,1627,1344,1822,2599,1173,2201,3302
"gene-Pocillopora_meandrina_HIv1___RNAseq.g25349.t2","UBA5-202",432,745,579,857,337,221,474,673,402,643,320,602,402,816,451,557,771,808,573,428,437,393,582,562,878,597,768,311,660,466,565,473,397,737,545,419,361,585,535
"gene-Pocillopora_meandrina_HIv1___RNAseq.g25607.t1","Setd5-201",3438,4344,1509,3707,3344,960,3028,8147,5069,5131,2317,8453,3731,2012,5165,3996,3403,3085,3825,6728,5700,3954,6119,5301,6614,5588,567,667,4300,3162,4240,3741,4263,3804,3590,3452,2717,4741,6055
"gene-Pocillopora_meandrina_HIv1___RNAseq.g25660.t1","NAA10-208",260,317,196,538,319,111,357,397,211,769,347,173,238,264,315,221,501,557,449,168,176,361,157,141,272,112,212,75,226,435,481,358,200,546,412,225,59,290,445
"gene-Pocillopora_meandrina_HIv1___RNAseq.g25661.t1","Suv39h2-Kmt1b-201",49,157,29,165,50,16,119,202,101,157,53,97,84,54,55,110,138,104,75,136,68,57,114,83,94,29,41,0,131,75,115,54,84,81,96,83,34,78,260
"gene-Pocillopora_meandrina_HIv1___RNAseq.g25842.t2","PRKDC-201",4902,5110,1385,2682,2937,283,2198,4970,7117,4543,4300,6328,5790,3244,4617,3726,3767,2518,2666,5464,5652,4420,3957,3904,4430,4262,841,359,4281,2691,3281,6057,6126,4804,2337,4961,4290,5429,5404
"gene-Pocillopora_meandrina_HIv1___RNAseq.g25850.t1","Kat12-Gtf3c4-201",324,733,162,486,218,75,221,753,371,419,265,648,245,144,224,418,460,207,296,455,271,282,342,430,448,362,229,0,309,266,387,269,244,370,324,465,347,375,507
"gene-Pocillopora_meandrina_HIv1___RNAseq.g26024.t1","Prmt8-201",430,316,119,405,153,73,262,782,185,838,288,560,178,190,438,391,364,349,536,196,188,555,291,352,463,250,56,42,196,217,576,289,220,606,417,442,123,536,839
"gene-Pocillopora_meandrina_HIv1___RNAseq.g26117.t1","NAT10-201",164,160,79,302,161,84,176,409,103,290,160,207,139,59,271,256,100,105,207,60,96,146,75,178,141,109,33,26,151,136,184,145,73,201,59,164,99,184,220
"gene-Pocillopora_meandrina_HIv1___RNAseq.g26141.t1","DDB1-201",318,460,140,412,229,41,153,461,218,737,175,214,390,182,469,417,658,236,480,178,101,468,162,203,162,104,123,25,234,423,638,434,188,546,85,298,63,645,420
"gene-Pocillopora_meandrina_HIv1___RNAseq.g26151.t3","ELF3-203",12648,3232,1456,3010,3434,1348,6711,3162,8329,3454,6250,8559,6798,3324,7312,2047,2535,5284,4506,9830,13061,6870,11691,7688,9509,11140,1395,1668,9262,3571,5497,6320,10475,3297,8175,8859,4856,5994,12503
"gene-Pocillopora_meandrina_HIv1___RNAseq.g26495.t1","JOSD1-210",21,70,2,68,18,13,40,93,23,96,14,39,0,58,43,22,104,41,39,10,16,42,26,20,55,18,11,0,12,68,55,54,9,87,61,22,18,62,41
"gene-Pocillopora_meandrina_HIv1___RNAseq.g26548.t1","TOM1-209",1328,1029,366,931,669,288,658,1118,754,1982,792,757,826,563,1482,985,1342,864,1228,717,722,1465,731,905,908,1243,118,113,986,864,1419,959,966,1534,737,918,485,1578,1549
"gene-Pocillopora_meandrina_HIv1___RNAseq.g26549.t1","USP51-201",69,191,46,126,107,14,33,337,52,183,22,214,64,106,149,140,110,36,126,50,30,133,54,53,72,28,0,0,38,36,170,94,44,261,80,12,21,170,96
"gene-Pocillopora_meandrina_HIv1___RNAseq.g26592.t1","Kmt5b-206",859,549,158,382,300,87,417,928,847,859,494,1008,611,184,766,437,563,414,637,634,871,479,649,781,977,599,114,65,948,413,646,458,545,451,672,583,316,510,1090
"gene-Pocillopora_meandrina_HIv1___RNAseq.g26787.t1","METTL14-201",362,574,258,525,298,86,206,841,377,638,255,695,357,264,402,402,431,318,473,356,272,506,424,431,558,329,153,162,299,422,454,375,240,475,288,342,270,482,496
"gene-Pocillopora_meandrina_HIv1___RNAseq.g26788.t1","Parg-201",238,465,123,395,272,20,180,1104,396,681,181,643,353,277,372,438,379,144,390,579,280,433,464,556,516,525,105,0,178,219,509,499,292,581,206,355,174,677,519
"gene-Pocillopora_meandrina_HIv1___RNAseq.g27056.t1","RPUSD2-201",246,361,105,539,248,80,273,412,280,387,162,384,245,146,403,416,295,129,290,271,174,234,217,304,241,272,142,32,147,191,453,280,272,302,249,311,243,333,452
"gene-Pocillopora_meandrina_HIv1___RNAseq.g27186.t1","VIRMA-201",851,964,399,1015,947,222,702,1487,930,1958,909,737,910,626,1262,1082,786,998,1192,617,541,972,436,787,609,644,233,150,434,892,1228,1165,821,1252,385,821,540,1472,943
"gene-Pocillopora_meandrina_HIv1___RNAseq.g27238.t2","OTUD6B-201",260,278,187,486,197,133,172,385,137,366,149,154,281,196,235,290,280,202,205,109,112,250,98,114,147,120,178,55,200,224,336,170,152,372,139,171,94,291,169
"gene-Pocillopora_meandrina_HIv1___RNAseq.g27354.t1","Jarid2-201",592,1110,651,1029,897,236,313,1478,427,1068,414,1067,868,736,759,1167,1105,672,888,490,267,950,492,540,523,485,387,191,334,783,1036,1218,542,1343,258,481,387,1422,353
"gene-Pocillopora_meandrina_HIv1___RNAseq.g27357.t1","Parp2-201",120,119,26,114,36,24,65,50,36,195,48,5,66,29,137,47,165,22,120,22,0,90,5,20,0,6,0,0,46,51,166,84,26,116,19,56,7,192,168
"gene-Pocillopora_meandrina_HIv1___RNAseq.g27723.t1","Prmt7-201",113,178,36,120,47,16,78,351,131,143,117,179,99,66,101,91,135,20,76,146,82,84,129,190,129,91,66,0,22,91,105,202,230,247,103,128,87,181,238
"gene-Pocillopora_meandrina_HIv1___RNAseq.g28024.t1","UBE2V1-203",841,1105,322,987,615,239,452,1346,606,1700,483,875,723,497,777,616,1444,874,1219,409,564,704,668,550,813,590,296,147,728,927,1325,808,641,1267,537,830,281,959,624
"gene-Pocillopora_meandrina_HIv1___RNAseq.g28144.t1","PPP1R16A-202",243,314,73,116,108,41,122,443,214,762,83,300,131,3,177,225,223,55,234,289,312,393,275,207,371,282,7,58,270,174,340,213,557,355,211,572,92,495,389
"gene-Pocillopora_meandrina_HIv1___RNAseq.g28277.t1","NAA60-202",244,280,142,242,136,69,107,464,153,377,89,372,248,115,151,205,331,129,207,176,161,228,320,129,286,224,22,116,187,315,288,204,151,283,111,246,106,300,179
"gene-Pocillopora_meandrina_HIv1___RNAseq.g28714.t1","USP7-201",2084,2466,1069,2046,1663,601,1475,2718,1553,2452,1182,2154,1967,1574,2339,1804,2044,1641,1946,1515,1416,1830,1714,1862,2148,1765,532,537,1212,1640,2225,2283,1979,2218,1271,1566,1230,2635,2207
"gene-Pocillopora_meandrina_HIv1___RNAseq.g28757.t1","Kat13D-Clock-201",946,191,35,181,228,17,373,2323,263,88,231,1820,257,75,365,467,175,273,508,300,333,115,176,206,305,223,80,73,287,102,155,111,182,129,154,338,217,136,420
"gene-Pocillopora_meandrina_HIv1___RNAseq.g28947.t1","PKM-202",979,1241,537,1730,1465,569,588,328,569,3321,714,202,1074,1233,1625,852,1030,923,1266,441,505,966,227,284,271,266,149,70,447,1399,1324,1503,816,1743,390,771,586,1849,412
"gene-Pocillopora_meandrina_HIv1___RNAseq.g2906.t1","BLOC1S1-203",393,379,248,799,339,191,465,376,247,765,442,255,341,771,674,315,406,789,465,120,156,427,138,223,152,208,206,77,213,416,481,287,194,404,377,325,150,508,353
"gene-Pocillopora_meandrina_HIv1___RNAseq.g29144.t1","Prmt3-201",99,250,243,508,280,32,155,286,246,345,165,249,230,224,338,452,326,277,267,133,132,168,260,349,519,261,144,23,227,269,235,348,180,382,285,204,147,243,437
"gene-Pocillopora_meandrina_HIv1___RNAseq.g29221.t1","USP8-201",950,1341,209,332,524,134,327,1471,1167,951,282,1801,824,334,656,454,1220,279,561,1153,1300,1111,1446,752,1620,1124,68,58,1226,593,1069,1118,1139,1080,375,940,370,1100,978
"gene-Pocillopora_meandrina_HIv1___RNAseq.g2924.t1","ATF2-201",2648,1502,776,1732,1509,690,1471,1707,1649,2649,1839,1576,1916,778,3205,1152,1594,1760,1997,1343,1816,2409,1618,1823,2037,2524,184,481,2037,1700,2178,1924,2223,1683,1427,1758,1245,2372,2984
"gene-Pocillopora_meandrina_HIv1___RNAseq.g29333.t1","Kat6b-214",1226,1315,463,1381,811,351,903,2194,1274,2448,789,1785,918,730,1266,1275,1389,903,1164,1507,1082,1133,1299,1488,1457,1371,379,129,624,811,1130,1081,841,1343,772,1008,762,1346,1761
"gene-Pocillopora_meandrina_HIv1___RNAseq.g29387.t1","PPP1R12C-201",4332,2986,4651,5365,3178,2835,4522,5962,3353,4303,3747,4278,3733,6902,4471,3707,3034,4871,3409,4173,3607,3727,3891,3303,4194,3933,2216,6285,2831,3053,3732,3461,3282,3864,2725,3296,2798,4141,3738
"gene-Pocillopora_meandrina_HIv1___RNAseq.g29392.t1","Setd3-201",134,241,51,221,114,41,54,128,65,314,72,155,129,94,156,139,293,113,261,64,45,178,72,57,77,54,20,0,89,100,299,193,127,337,45,168,74,203,93
