"gene_id","protein_match","POC-201-TP1","POC-201-TP2","POC-201-TP3","POC-219-TP1","POC-219-TP2","POC-219-TP3","POC-219-TP4","POC-222-TP1","POC-222-TP2","POC-222-TP3","POC-222-TP4","POC-255-TP1","POC-255-TP2","POC-255-TP3","POC-255-TP4","POC-259-TP1","POC-259-TP2","POC-259-TP3","POC-259-TP4","POC-40-TP1","POC-40-TP2","POC-40-TP3","POC-40-TP4","POC-42-TP1","POC-42-TP2","POC-42-TP3","POC-42-TP4","POC-52-TP1","POC-52-TP2","POC-52-TP3","POC-52-TP4","POC-53-TP1","POC-53-TP2","POC-53-TP3","POC-53-TP4","POC-57-TP1","POC-57-TP2","POC-57-TP3","POC-57-TP4"
"gene-Pocillopora_meandrina_HIv1___RNAseq.g14062.t1","USP2-201",742,228,65,136,262,77,363,234,228,265,380,196,349,62,382,209,262,531,349,461,404,1035,167,321,309,273,52,26,246,227,251,321,425,284,112,599,427,374,713
"gene-Pocillopora_meandrina_HIv1___RNAseq.g14117.t1","FMR1-201",2810,280,344,610,1120,535,2826,1244,2217,769,1998,1375,1828,404,1712,347,261,1954,904,2731,1663,1567,1045,1726,1596,1506,485,513,1122,657,588,681,1619,359,1726,2442,2637,814,2502
"gene-Pocillopora_meandrina_HIv1___RNAseq.g14207.t1","CUL4A-202",741,963,225,946,721,92,461,1608,773,1062,525,1359,600,348,877,998,967,715,972,1012,836,855,1102,843,1328,1016,125,130,863,785,1088,978,615,1071,667,753,639,1135,1158
"gene-Pocillopora_meandrina_HIv1___RNAseq.g14538.t3","MCM3AP-201",468,281,114,219,226,41,180,418,160,458,186,235,375,137,400,361,341,155,299,137,124,532,133,272,169,202,47,0,94,254,393,625,432,581,159,323,132,588,327
"gene-Pocillopora_meandrina_HIv1___RNAseq.g14851.t1","PRKCD-201",355,357,77,290,177,187,190,551,489,818,228,342,407,115,231,368,471,199,310,447,756,414,479,381,316,294,32,35,748,290,560,524,594,667,160,599,144,644,429
"gene-Pocillopora_meandrina_HIv1___RNAseq.g14892.t1","PIM1-201",185,250,78,200,112,62,159,317,217,288,155,181,282,125,247,286,252,215,327,242,182,344,241,152,211,205,33,48,131,93,239,145,160,195,103,208,130,360,228
"gene-Pocillopora_meandrina_HIv1___RNAseq.g14958.t1","BAP1-202",101,186,36,176,86,0,79,380,90,334,82,184,100,30,124,215,197,76,155,96,40,126,95,109,133,88,69,34,35,57,163,161,106,150,60,145,89,173,175
"gene-Pocillopora_meandrina_HIv1___RNAseq.g15015.t1","Kdm7a-201",320,435,110,231,188,20,150,698,417,421,187,654,238,118,226,466,439,186,451,584,435,370,724,487,713,588,97,13,441,279,293,315,414,416,250,481,269,513,718
"gene-Pocillopora_meandrina_HIv1___RNAseq.g15029.t1","Kdm5a-201",1473,1964,1300,2115,1407,823,1134,3503,1365,2859,905,3750,1645,1142,2163,1976,2173,1256,2211,1814,1671,1992,2972,2089,2420,1915,392,845,981,1609,2280,2118,1470,2066,883,1667,618,2780,1495
"gene-Pocillopora_meandrina_HIv1___RNAseq.g15082.t1","PPP1R11-205",231,382,65,118,169,70,113,281,354,399,177,279,279,32,305,94,406,116,257,461,471,161,416,299,312,258,93,52,204,162,285,138,233,247,192,367,85,228,295
