Name	1A3_POC-255_TP1	1A4_POC-52_TP1	1A5_POC-53_TP3	1A6_POC-52_TP3	1B11_POC-40_TP1	1B12_POC-222_TP2	1B8_POC-201_TP1	1C1_POC-57_TP2	1C2_POC-222_TP4	1C3_POC-222_TP3	1C7_POC-52_TP4	1C8_POC-42_TP1	1C9_POC-222_TP1	1D11_POC-255_TP3	1E10_POC-40_TP2	1E11_POC-219_TP1	1E12_POC-255_TP4	1E4_POC-259_TP2	1E6_POC-40_TP3	1E8_POC-42_TP3	1F2_POC-259_TP4	1F5_POC-40_TP4	1F9_POC-52_TP2	1G11_POC-53_TP1	1G12_POC-219_TP4	1G2_POC-219_TP3	1G4_POC-57_TP3	1G6_POC-53_TP2	1G7_POC-42_TP4	1G8_POC-259_TP3	1G9_POC-259_TP1	1H10_POC-201_TP2	1H4_POC-42_TP2	1H5_POC-201_TP3	1H9_POC-53_TP4	2A1_POC-219_TP2	2A2_POC-255_TP2	2C3_POC-57_TP1	2G2_POC-57_TP4
Cluster_4485	18438	15	279	1204	505	4011	1593	382	271	1037	1453	677	3335	50	4346	149	800	1384	1702	913	1048	3663	2085	387	47	28	499	1939	1995	97	4934	651	1893	113	110	109	960	699	421
Cluster_4487	54775	2	999	2413	1377	5883	3431	687	1231	3049	4040	1751	9369	531	9764	386	3257	6595	5620	2125	5048	9075	5437	2042	152	60	1679	6159	6097	727	17014	1010	5765	252	328	325	4598	2366	1974
Cluster_4489	1995	5	308	68	746	1216	382	72	212	1280	1014	702	1932	91	1557	40	479	2465	1992	596	1275	1482	782	579	10	49	380	1654	847	177	1068	141	829	0	82	40	1190	246	396
Cluster_4490	11560	6	289	788	620	3025	1222	248	454	1395	1735	893	3629	60	3002	79	650	2160	1865	742	1736	3898	1633	854	27	20	653	2589	1863	144	4520	480	1801	61	77	132	1373	1152	611
Cluster_4609	17665	3	310	1462	479	4401	838	318	283	1207	1433	635	3043	103	4584	135	750	3223	1881	908	1996	6390	3457	446	63	37	648	3514	3088	146	5289	835	2882	94	138	407	2969	825	531
Cluster_4826	3613	3	241	662	327	2547	441	264	358	953	870	427	1992	84	2819	77	395	2217	2302	499	1060	1743	1243	266	59	17	378	1253	913	214	1285	335	1015	41	69	127	1225	457	408
Cluster_4827	5649	5	57	554	81	633	270	113	46	192	435	114	315	43	1154	39	248	649	361	251	449	1482	1095	32	30	9	260	396	890	35	1412	290	477	53	35	148	806	391	127
Cluster_5123	87	0	5	16	18	90	4	10	13	26	10	5	56	1	35	3	5	32	14	21	13	33	43	1	4	4	11	17	16	2	26	4	21	1	6	5	8	4	6
Cluster_5226	549	0	60	58	62	483	109	138	19	252	160	73	318	11	438	15	54	283	312	160	283	443	156	31	5	2	83	243	225	9	327	77	188	6	7	36	298	202	36
Cluster_5267	55	0	18	41	11	38	8	27	6	32	36	7	24	1	43	8	14	49	85	43	24	27	108	3	3	3	20	38	21	3	22	17	20	3	3	7	25	9	19
Cluster_5627	942	3	169	137	71	221	463	137	159	490	461	334	439	46	439	51	187	514	1148	372	280	589	393	97	39	40	359	294	681	63	529	129	492	39	65	79	305	491	307
Cluster_5749	7474	3	186	719	138	1647	333	259	90	488	480	166	783	61	2000	47	249	891	547	527	548	1811	1051	155	30	30	400	800	1366	28	2278	422	1113	95	61	91	775	379	343
Cluster_6456	1209	1	103	179	70	598	147	130	26	213	177	80	290	18	619	12	84	674	372	327	362	569	528	45	22	8	106	746	356	26	492	149	459	13	29	85	385	92	137
Cluster_6807	2942	0	159	462	179	2013	248	164	65	442	502	200	621	18	1886	17	127	1059	754	490	519	1664	1290	69	11	7	364	1360	737	16	740	363	825	28	42	80	616	327	243
