Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
POR-260-TP2_R1_001	POR-260-TP2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17539918.0	2.6 Gbp	0.0	150.0	48.0	14.641448943462642	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	warn
POR-260-TP2_R2_001	POR-260-TP2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17539918.0	2.6 Gbp	0.0	150.0	48.0	15.17853166009258	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	fail	warn
POR-260-TP3_R1_001	POR-260-TP3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17191159.0	2.5 Gbp	0.0	150.0	47.0	18.714680317003836	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-260-TP3_R2_001	POR-260-TP3_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17191159.0	2.5 Gbp	0.0	150.0	47.0	18.633107556802944	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-260-TP4_R1_001	POR-260-TP4_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19591902.0	2.9 Gbp	0.0	150.0	47.0	18.519368129721467	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	warn
POR-260-TP4_R2_001	POR-260-TP4_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	19591902.0	2.9 Gbp	0.0	150.0	46.0	18.274795688852112	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POR-262-TP1_R1_001	POR-262-TP1_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20379820.0	3 Gbp	0.0	150.0	46.0	19.727720530098978	150.0	150	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	warn
POR-262-TP1_R2_001	POR-262-TP1_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20379820.0	3 Gbp	0.0	150.0	46.0	19.16237745533729	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	warn
POR-262-TP2_R1_001	POR-262-TP2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20908677.0	3.1 Gbp	0.0	150.0	46.0	23.836184701856027	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-262-TP2_R2_001	POR-262-TP2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20908677.0	3.1 Gbp	0.0	150.0	46.0	23.496575200235046	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
POR-262-TP3_R1_001	POR-262-TP3_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21550471.0	3.2 Gbp	0.0	150.0	47.0	18.423169005852515	150.0	150	pass	pass	fail	pass	fail	warn	pass	pass	fail	warn	pass
