,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35,Component_36,Component_37,Component_38,Component_39,Component_40,Species,Sample_ID
peve_POR.216,-1.350979496759162,7.05635110735961,0.9612302083014324,-3.7584327460449964,-3.0622197676215652,0.1331962998056101,1.6231045622502644,-1.886224885943438,-0.48665674178514184,2.8468157802687757,-1.157882157480707,3.4884482081769996,-0.7455243652693385,0.7548874095407899,-5.217869671489684,0.23607282696368714,-0.009065905123039706,-2.2394850949551453,-0.8389711821226282,6.544476540588731,-0.9408382578692196,-3.094117293203432,0.39214615207360193,6.11669959572681,3.1160811730149933,-0.7995139044807774,1.5321949436856677,4.219701723392355,1.0703063801263561,-0.20930179824124284,-6.514737967898075,-2.1408051992256643,0.5674287883238484,-3.0221170841663283,0.9897673589123804,-0.19407890652319817,0.5801223430444963,-0.608486635520657,1.6577212750187313,-2.1701324296475826,peve,POR.216
peve_POR.245,-1.6942486804648291,4.009150070733946,0.840813479842144,-1.0259947851421738,-2.396045305890677,-3.2728312930288057,-1.2673991377901122,1.6746435224139582,-0.2112317453033111,1.6451434038258197,0.36849291255317435,-1.1351673287035084,0.9257954271441455,-0.06175777232818205,-4.810303256842556,1.1929450842854656,-1.0981570651218975,0.8419121662141846,8.13907353728553,-1.5045366591787575,0.03081270543854801,5.115326366319404,-8.543194179874792,-0.603714886321437,3.6647189896050123,-0.7335204290040949,-1.6801229654921572,3.4538356528772214,-0.9300664940479385,-0.36871437958103964,1.4687602944273273,-3.1986244974871716,1.8245215022754495,2.62503148639844,3.3747040115363127,5.619792851056511,0.7694037806798484,-0.7626688839138998,-3.0600343109840753,-0.6774503916546902,peve,POR.245
peve_POR.260,-0.17390702967030008,3.641578447902754,-0.639066316888246,-0.6602377699105155,-1.9676522566238754,0.2102891507013929,-0.5607083064740601,2.4934721843835974,0.6425513214215239,0.5343776906881735,-0.2760689129112534,-0.24992975735182943,1.7140458044239055,-2.6566313374704866,-0.12811674345965307,0.6794421043256598,1.3479592290856486,0.27274083930206056,1.4486175232258116,-2.4153434986274975,-0.16508512249308793,-2.545563649289678,-1.0007597748403494,-0.7635335875020224,0.38120494689290707,-0.11783293655688729,7.686302399266517,0.47594594553506947,0.5209387338045276,-0.3162781132590949,0.2781365293041859,-1.7651272324058365,4.564171030506394,-3.406930934553932,1.1236772473719625,0.267136568117747,0.5080689637934023,0.09432981527901185,0.05756363209542834,0.3099471783034789,peve,POR.260
peve_POR.262,-0.9949152389552126,1.9876318131482937,-0.15833318311441527,-1.934824509527561,3.4466195820681707,-0.25327209700650133,-1.991994342319252,-4.1998668973955535,-0.23739774867919564,1.8556650843499691,-0.4434978263979617,4.48858834068567,5.917716216370093,1.9566449037116085,-2.2155160121912094,0.5964715447966236,-1.4042251536693617,1.1207144876476083,1.246174275539935,-1.980203686922642,-1.1065835863406466,-8.954701831778419,0.12179056930815604,-0.12393526137847315,2.2127607995770724,-0.6962432778031609,-2.0032202096734637,2.650418123268344,-0.5165809560140463,0.4851954622439754,-1.7570321095325208,0.8284611010689383,-3.9811902083206503,2.3893609315722952,-0.4973161470465839,-0.3423590308993169,0.6500157577760942,-0.4828079062744737,-2.997365095626258,-2.200510697806437,peve,POR.262
peve_POR.69,-0.21432077261217142,1.6948585858830243,-0.4591170266424857,-1.8140918537273172,2.5088086273773618,-0.23206126813695474,-2.3768938958690464,-0.7730686716005774,-0.23952765489651218,-1.1938843678747444,-0.28194724114399533,-1.0910185776208676,-1.1540436904227094,-2.986813448454605,1.1437604497636704,0.2804789145293446,-1.5927948203561881,-4.805852156186687,1.9545910567891969,-0.030858347794614608,-0.5186244959883024,3.9329629283528007,-0.24276344655506227,6.613693164177444,7.873584709347625,-2.4034932025682516,3.3538627326859713,6.782028834479005,-0.5567643863389022,-0.9662195483241098,7.979636138205442,3.2590211924185892,-0.1733344661915327,-0.4779899299474896,-2.3387402802074946,0.38956663655248225,-0.15787227763874287,-0.17467859948616005,2.13090617968864,2.5022788791667265,peve,POR.69
peve_POR.72,0.7051179326709262,-2.228307343058777,-0.013701967496798398,-0.4807991409251387,-0.13787024292046918,1.5000078825398004,-0.6419320200256856,6.84942611260873,-0.06131081356226484,-1.8058546335490737,0.2505679130057168,2.538333143249587,-2.713040259353928,1.017472987066132,-0.25092379163334066,-0.6390572413696752,2.5930348723062737,-1.3294691157855267,-0.4027138825733142,-6.34459783568872,-0.126698411834508,0.04735910493364728,0.5623552179669411,1.1399366248468223,3.2114942217979023,-0.06488777497496123,0.130480689751223,7.64746601305358,-2.0022649597979165,-1.4521781719692064,-5.056953780742344,-0.1714185044516659,-0.1985890606504293,5.304002594070194,-0.4950132037145121,-0.6758928920921671,-0.47778089362682846,0.3498488919032653,-2.227501298318853,3.517904756097838,peve,POR.72
peve_POR.73,0.586552279718529,-0.7487320219395396,1.1156153285393,1.3811959466199975,-1.168970530761176,0.6972665573880039,-0.6166882835538964,9.500144859901084,-0.463828998565273,4.592038027566246,-0.6524891815026416,-1.4681337022608563,3.737823225760496,-0.9108114303459113,-6.381125164223331,-0.5805147689321908,-0.19290345516003884,0.4963105215524893,-2.76164834524175,0.7974638464508215,-0.5151780637347146,-2.5423069804293386,2.309257722258113,-0.36911293826891545,-6.975658912568038,0.9683097673786379,4.792865094415382,0.5185686644906965,3.921783003662117,0.22851416324869595,1.1183153814388587,-0.8150800781204388,-0.8776291898623005,0.7866771429270515,0.7394346570094592,-2.6459786117420503,-0.14229898532729032,-0.0692608133473923,5.047851241538646,1.2586499325713743,peve,POR.73
peve_POR.74,-0.3091948578170007,0.27120442762230235,0.1641482157016264,-0.8033663404594659,-0.6186022209304882,1.2130938323682492,-0.438662523287443,3.6164151518856253,-0.5861459657936856,1.4892315311869109,-0.16425689283340109,7.848764004255241,2.280566780218016,-3.430313280858868,-2.8350334354168223,0.4362079003327718,0.5411409945160682,1.4841453631627126,0.9234328565727865,-5.497488928911355,-0.6811806408262393,2.060635735895712,0.2708400590062337,-0.4783784970254289,0.7613553439396349,-1.0718912985173175,3.8150986035375354,1.577935322484717,-2.2177380320715456,-0.41060332271540995,5.43879280932643,-1.5010940025970094,0.1419284534473948,0.9832957430945483,1.8797858753858576,-0.9684484279786495,0.35471955844935477,-0.758162029249688,0.5682424539733615,-1.0228298889129621,peve,POR.74
peve_POR.83,-1.066755493677178,-1.6735354645621208,-0.3952894784504004,0.187532213821775,3.9448486975765946,0.2612645554594124,-3.6085344873419816,6.3722862308829935,1.3749108887969714,-0.7558745000920227,0.1749594820623024,-1.5637507315624597,-5.201541232512475,2.468891588468449,-1.2591374964746782,0.017059597403469327,-0.7597845691245118,-3.3362368382936136,-0.6228012554900515,-0.0015396854909831934,-0.7336699899042715,-2.215370849005903,0.7322930541590439,3.2439126237428324,0.8734058468318948,-0.23379318948181843,-0.9186117821550137,10.368982369556223,1.406044800487642,-0.9738794315470249,5.403227253680864,2.0557298069838725,1.1376417193856374,-1.9813851529392803,-1.2390181105910683,-0.9522753525297518,0.2714860615120088,1.314136114117176,0.8599920043037188,6.925798442678264,peve,POR.83
ptua_POC.219,-2.087038163100208,-4.385889240465628,2.0725623527154253,3.4514549684131923,-0.765870165514315,-3.5633037682612256,-2.2387221830931865,0.8305661024380679,-0.4564104472911487,1.0824758420685987,0.6162111825732606,0.909018370965346,-0.8790408586474254,-0.33085980920473007,-3.031381295636631,1.255177949665204,-1.3822594037928748,-2.3337690939727436,0.679978162728342,-1.755636012556521,12.781697906316602,0.4981525849652775,3.5485517454893687,0.8559839973288607,3.478586254516303,0.2221482569684965,-2.71182452896538,1.2745592665738101,2.635219607435921,7.061883362758792,1.580745876047087,-0.2090053279086553,-1.4559136597730067,-3.1524546684899963,2.0610140093652074,0.9333408045840835,-0.36513641813719744,0.7092202765660844,4.65199231566472,-1.7341656977307336,ptua,POC.219
ptua_POC.222,-3.0011301700261757,-3.2913302974094805,6.3254667658525054,-0.18630755190794576,-1.3274957688066296,-1.0898407838472244,-1.5640759403342264,1.2523560154932665,0.6253382833472249,2.3331082908702006,1.5886067164660667,-0.5094291057370445,-0.12348465725155178,-0.9799487273934179,-0.179215134492434,6.4703851227120035,3.674793626847957,-2.640464243598155,-0.26541562590691337,-1.790474517399541,1.4799628663451665,2.450996613420465,1.3448324949235226,-0.06762072998308373,0.5866809694156014,-0.21274847035048128,-0.2767479319495056,2.2158541995767655,0.3098212519953435,2.152607078221227,0.822255575030531,0.8000901800907307,0.6019787387844237,0.44367043052479305,1.5620583905820837,2.312961456282978,0.25426376612073176,0.650618389922477,0.5888849704330146,-5.360772619683954,ptua,POC.222
ptua_POC.255,-2.3977719985107333,4.6852910647845585,8.097493304741636,0.28024924427340764,1.4737350865582977,-1.0542014825083177,-3.30642965551252,3.8970111632780036,0.3397928717498945,1.5843998738695413,0.5105034921809019,0.8845491448768638,0.758417652277641,-0.19461821053861353,-3.191319227505408,6.148451940386244,-1.8645859894477057,-2.7334340492767693,-1.2424941190399488,-1.3452441896330565,2.783316120347378,1.1512315655642933,0.14068476694897383,0.669983627306704,1.070756998734875,-0.27800726107431023,-1.0071542930910802,-0.8520059564978286,-1.6619007090195048,2.896223337924651,-1.8560755241222378,0.4313639425321192,-3.7037581172129888,-1.6224583386908993,2.5822169502325103,0.49230530747528595,0.6522795256995817,1.3271780351630715,-5.74070388047619,0.8958780826675041,ptua,POC.255
ptua_POC.259,-0.864002396448773,2.4823765420711084,2.4367955773573193,2.5705460137452616,0.9666593166619921,0.2649371061569295,-3.880688578699938,2.0004036859914196,0.8092396907842127,0.708403354165778,0.5411579497311891,0.08029324132523072,3.3211956371392257,-2.8345966582802777,-0.050644631226187405,1.830543112461459,-3.688439924381976,-2.708334965588256,0.5129160118769304,6.485611723794224,2.338067987981352,1.6167420983952563,-0.6962784709478591,-0.29362382067010273,2.25773119961343,-0.2770478374800958,0.19979479058022753,-1.7528960511955154,-0.880402096229949,-1.4649294982692675,0.10654590478709347,-2.099636740389214,-0.9567269624357244,9.088524661306431,2.063828875218357,0.11587561903391076,-0.10249983610505967,1.2750175274771718,-3.2621678598800115,-0.4639485190477726,ptua,POC.259
ptua_POC.40,-1.2965390887629031,-3.13345038981567,3.730348994294868,-0.6929174214703446,-2.1527912730811054,0.4236111597823113,-0.13631372529169805,-0.45734980360036204,0.1551154727874535,0.5436744872405114,0.08321026472402572,-0.4879122526226908,-0.6546196312316453,-0.9948515700259434,1.8148037396148782,-3.6670114011900585,2.013205757390982,0.589732502331373,1.6306373392562894,1.1187402123611845,-0.4662957793270828,3.2363829304151692,0.6999784081491937,0.07754130356684255,-0.8280080603860202,-0.43561094500432035,-3.3474803787132124,-0.420713121766233,-1.1745021456356486,0.33011560113321997,-1.4823295652076633,1.7705425172388072,-0.7958419246085852,0.24778340638799448,0.2685152536757304,-0.44825086247655105,0.10484955010408768,-0.250504150250555,3.9255032550642164,10.445300845502969,ptua,POC.40
ptua_POC.42,-1.4741957615812569,-3.601253339722829,0.0908612277864079,-5.148426399577474,-2.4888355755850307,8.988798455214294,0.2797556420134072,0.40794976014539847,-1.1213986189053742,-0.25192933511834986,0.023023944507382266,-0.6768405696717302,0.5535774578785596,-3.789197552962257,2.1118290177586236,0.38541691108893644,0.042719632086493896,-0.660023977988358,8.63492801686023,2.5158382519391767,0.7549064892671409,-0.6125971193628835,2.1105262696259217,0.24367570523264973,1.2261990058261736,1.3070790868203275,-2.4463203453843256,-0.692104162809645,0.0138788403182062,-0.8293828455238746,1.4703178830518322,0.8116145244175488,3.6953190524104493,4.050365512576401,0.4468603189600387,-8.586159543377264,0.14488634580347703,-1.1081260967449298,10.023328444305188,-0.007941227187273364,ptua,POC.42
ptua_POC.52,-2.761093603356592,-5.104265679712021,4.178746253289943,2.000675774962592,-0.9766435857001868,-0.8938065521332966,-1.3101691903711457,-0.588282351538455,13.04484812730159,2.3405872105111647,2.0095325297608166,-1.1696703141788503,-0.3720507544708293,-1.3268809264691508,2.006253277144958,2.009902371340487,3.49808796936328,-0.9230557365179771,-0.09398343548538367,0.4426068530875235,0.30754271381539333,2.527055657318601,0.42016786032328846,0.32535415838575105,0.5927632758981787,0.24871293145250056,-1.5771518534749014,1.58759518860494,0.5283676712883029,0.3354669024659255,-1.0808367364009808,1.8875475158552204,0.7544562602541179,1.6539626639365401,0.9816205453564338,0.0918766927123409,0.6338959672886253,-9.218009486504073,-5.1141988725662415,-1.0207906838199183,ptua,POC.52
ptua_POC.53,-1.7418611527092995,-1.3011536598537907,2.3057369742032026,0.7208225712768737,-1.8427222933978034,-0.9836300237463921,0.4231312310348317,2.503869065307492,-0.3372737290566594,-0.1360773512576007,0.6189710212821627,-0.5982971329354333,-1.7264448475585392,-0.6003754669462823,1.2823959124238933,-0.3193067105379489,1.6326273630490986,1.5171460165066524,3.775792476929325,-3.046899544259607,-1.0520302095007188,-1.7979977926172581,3.4081884528003585,1.019059414221587,-1.3965284029699643,-1.521806014507107,-0.5970625222799509,0.8030638409220854,-1.927256368827497,1.8529788691885256,-0.34756405073953417,2.891203707088637,0.9613475553876888,-2.3810278056907888,0.81404955769918,0.2783981028241539,0.3621096453570198,0.2954781089218266,5.711537271394712,-1.4882364397364367,ptua,POC.53
ptua_POC.57,-0.06878514464673893,-1.7253590038297564,1.6998504921252893,1.540462552408162,-0.7196139549993686,-4.284304901084659,-1.6016676609894853,-0.34082639931253256,-0.7661933586686256,-0.48356593994569824,0.3259145744436647,-1.2006232371544001,0.49901421065763624,0.19556652666041463,0.3414303249111726,0.8313012344250702,8.93207727957228,1.4694201228447632,2.1248972432833697,-1.3378820550306372,-0.1066463463921388,0.029110317728479874,5.119962260786855,0.5880198338879739,-1.269078486728377,-0.9175845307122367,-1.8319371430309965,0.05587969730107005,-0.3173932723679552,0.9868884914909531,0.9395189316585505,-0.5477169844260709,-0.6320243694169728,0.29545490334659735,-0.1854097222169389,1.733542665934948,-0.22107874841465994,-1.415126557188703,7.031482873799042,-1.4448844381064019,ptua,POC.57
