colony,timepoint,site,species,lipid-sample-id,metabolite-sample-id,its2-sample-id,phys-sample-id,rna-sample-id,dna-sample-id
POC-219,TP4,Mahana,Pocillopora tuahiniensis,POC-219_TP4,POC-219_TP4,POC-219_TP4,POC-219_TP4,1G12,1B12
POC-222,TP1,Mahana,Pocillopora tuahiniensis,POC-222_TP1,POC-222_TP1,POC-222_TP1,POC-222_TP1,1C9,1G8
POC-222,TP2,Mahana,Pocillopora tuahiniensis,NA,NA,NA,NA,1B12,1.00E+12
POC-222,TP3,Mahana,Pocillopora tuahiniensis,POC-222_TP3,POC-222_TP3,POC-222_TP3,POC-222_TP3,1C3,1C1
POC-222,TP4,Mahana,Pocillopora tuahiniensis,POC-222_TP4,POC-222_TP4,POC-222_TP4,POC-222_TP4,1C2,1G7
POC-255,TP1,Mahana,Pocillopora tuahiniensis,POC-255_TP1,POC-255_TP1,POC-255_TP1,POC-255_TP1,1A3,1F4
POC-255,TP2,Mahana,Pocillopora tuahiniensis,NA,NA,NA,NA,2A2,1F12
POC-255,TP3,Mahana,Pocillopora tuahiniensis,POC-255_TP3,POC-255_TP3,POC-255_TP3,POC-255_TP3,1D11,2F1
POC-255,TP4,Mahana,Pocillopora tuahiniensis,POC-255_TP4,POC-255_TP4,POC-255_TP4,POC-255_TP4,1.00E+12,2.00E+03
POC-259,TP1,Mahana,Pocillopora tuahiniensis,POC-259_TP1,POC-259_TP1,POC-259_TP1,POC-259_TP1,1G9,1G3
POC-259,TP2,Mahana,Pocillopora tuahiniensis,NA,NA,NA,NA,1.00E+04,1A4
POC-259,TP3,Mahana,Pocillopora tuahiniensis,POC-259_TP3,POC-259_TP3,POC-259_TP3,POC-259_TP3,1G8,1.00E+10
POC-259,TP4,Mahana,Pocillopora tuahiniensis,POC-259_TP4,POC-259_TP4,POC-259_TP4,POC-259_TP4,1F2,1.00E+01
POC-40,TP1,Manava,Pocillopora tuahiniensis,POC-40_TP1,POC-40_TP1,POC-40_TP1,POC-40_TP1,1B11,1G12
POC-40,TP2,Manava,Pocillopora tuahiniensis,NA,NA,NA,NA,1.00E+10,2B2
POC-40,TP3,Manava,Pocillopora tuahiniensis,POC-40_TP3,POC-40_TP3,POC-40_TP3,POC-40_TP3,1.00E+06,1B7
POC-40,TP4,Manava,Pocillopora tuahiniensis,POC-40_TP4,POC-40_TP4,POC-40_TP4,POC-40_TP4,1F5,2A1
POC-42,TP1,Manava,Pocillopora tuahiniensis,POC-42_TP1,POC-42_TP1,POC-42_TP1,POC-42_TP1,1C8,2H1
POC-42,TP2,Manava,Pocillopora tuahiniensis,NA,NA,NA,NA,1H4,1F11
POC-42,TP3,Manava,Pocillopora tuahiniensis,POC-42_TP3,POC-42_TP3,POC-42_TP3,POC-42_TP3,1.00E+08,1.00E+02
POC-42,TP4,Manava,Pocillopora tuahiniensis,POC-42_TP4,POC-42_TP4,POC-42_TP4,POC-42_TP4,1G7,1C11
POC-52,TP1,Manava,Pocillopora tuahiniensis,POC-52_TP1,POC-52_TP1,POC-52_TP1,POC-52_TP1,1A4,2D3
POC-52,TP2,Manava,Pocillopora tuahiniensis,NA,NA,NA,NA,1F9,1C12
POC-52,TP3,Manava,Pocillopora tuahiniensis,POC-52_TP3,POC-52_TP3,POC-52_TP3,POC-52_TP3,1A6,1D4
POC-52,TP4,Manava,Pocillopora tuahiniensis,POC-52_TP4,POC-52_TP4,NA,POC-52_TP4,1C7,1C5
POC-53,TP1,Manava,Pocillopora tuahiniensis,POC-53_TP1,POC-53_TP1,POC-53_TP1,POC-53_TP1,1G11,1C7
POC-53,TP2,Manava,Pocillopora tuahiniensis,NA,NA,NA,NA,1G6,1C10
POC-53,TP3,Manava,Pocillopora tuahiniensis,POC-53_TP3,POC-53_TP3,POC-53_TP3,POC-53_TP3,1A5,1C3
POC-53,TP4,Manava,Pocillopora tuahiniensis,POC-53_TP4,POC-53_TP4,NA,POC-53_TP4,1H9,1F8
POC-57,TP1,Manava,Pocillopora tuahiniensis,POC-57_TP1,POC-57_TP1,POC-57_TP1,POC-57_TP1,2C3,1D5
POC-57,TP2,Manava,Pocillopora tuahiniensis,NA,NA,NA,NA,1C1,1G1
POC-57,TP3,Manava,Pocillopora tuahiniensis,POC-57_TP3,POC-57_TP3,POC-57_TP3,POC-57_TP3,1G4,1F2
POC-57,TP4,Manava,Pocillopora tuahiniensis,POC-57_TP4,POC-57_TP4,POC-57_TP4,POC-57_TP4,2G2,1H1
POR-216,TP1,Mahana,Porites evermanni,POR-216_TP1,POR-216_TP1,POR-216_TP1,POR-216_TP1,2H2,2C1
POR-216,TP2,Mahana,Porites evermanni,POR-216_TP2,POR-216_TP2,POR-216_TP2,POR-216_TP2,1A11,1D1
POR-216,TP3,Mahana,Porites evermanni,POR-216_TP3,POR-216_TP3,POR-216_TP3,POR-216_TP3,2.00E+01,1G11
POR-216,TP4,Mahana,Porites evermanni,POR-216_TP4,POR-216_TP4,POR-216_TP4,POR-216_TP4,2F2,1G2
POR-236,TP1,Mahana,Porites evermanni,POR-236_TP1,POR-236_TP1,POR-236_TP1,POR-236_TP1,2D1,1G6
POR-236,TP2,Mahana,Porites evermanni,POR-236_TP2,POR-236_TP2,POR-236_TP2,POR-236_TP2,2.00E+03,1B9
POR-245,TP1,Mahana,Porites evermanni,POR-245_TP1,POR-245_TP1,POR-245_TP1,POR-245_TP1,1D2,2G1
POR-245,TP2,Mahana,Porites evermanni,POR-245_TP2,POR-245_TP2,POR-245_TP2,POR-245_TP2,1B7,1B6
POR-245,TP3,Mahana,Porites evermanni,POR-245_TP3,POR-245_TP3,POR-245_TP3,POR-245_TP3,1H1,E5
POR-245,TP4,Mahana,Porites evermanni,POR-245_TP4,POR-245_TP4,POR-245_TP4,POR-245_TP4,1D1,1D6
POR-260,TP1,Mahana,Porites evermanni,POR-260_TP1,POR-260_TP1,POR-260_TP1,POR-260_TP1,1D5,1D2
POR-260,TP2,Mahana,Porites evermanni,POR-260_TP2,POR-260_TP2,POR-260_TP2,POR-260_TP2,1D12,1F6
POR-260,TP3,Mahana,Porites evermanni,POR-260_TP3,POR-260_TP3,POR-260_TP3,POR-260_TP3,1F10,1G9
POR-260,TP4,Mahana,Porites evermanni,POR-260_TP4,POR-260_TP4,POR-260_TP4,POR-260_TP4,1B6,1.00E+11
POR-262,TP1,Mahana,Porites evermanni,POR-262_TP1,POR-262_TP1,POR-262_TP1,POR-262_TP1,1G1,1A7
POR-262,TP2,Mahana,Porites evermanni,POR-262_TP2,POR-262_TP2,NA,POR-262_TP2,1C6,2H2
POR-262,TP3,Mahana,Porites evermanni,POR-262_TP3,POR-262_TP3,POR-262_TP3,POR-262_TP3,2D3,1.00E+08
POR-262,TP4,Mahana,Porites evermanni,POR-262_TP4,POR-262_TP4,POR-262_TP4,POR-262_TP4,2A3,2B3
POR-69,TP1,Manava,Porites evermanni,POR-69_TP1,POR-69_TP1,POR-69_TP1,POR-69_TP1,1F6,1B8
POR-69,TP2,Manava,Porites evermanni,POR-69_TP2,POR-69_TP2,POR-69_TP2,POR-69_TP2,2H1,1D10
POR-69,TP3,Manava,Porites evermanni,POR-69_TP3,POR-69_TP3,POR-69_TP3,POR-69_TP3,1.00E+02,1A9
POR-69,TP4,Manava,Porites evermanni,POR-69_TP4,POR-69_TP4,POR-69_TP4,POR-69_TP4,1.00E+07,1B11
POR-72,TP1,Manava,Porites evermanni,POR-72_TP1,POR-72_TP1,POR-72_TP1,POR-72_TP1,1B4,1F10
POR-72,TP2,Manava,Porites evermanni,POR-72_TP2,POR-72_TP2,POR-72_TP2,POR-72_TP2,2B1,2A2
POR-72,TP3,Manava,Porites evermanni,POR-72_TP3,POR-72_TP3,POR-72_TP3,POR-72_TP3,1C12,1G10
POR-72,TP4,Manava,Porites evermanni,POR-72_TP4,POR-72_TP4,POR-72_TP4,POR-72_TP4,1F12,2F3
POR-73,TP1,Manava,Porites evermanni,POR-73_TP1,POR-73_TP1,NA,POR-73_TP1,1A7,2C3
POR-73,TP2,Manava,Porites evermanni,POR-73_TP2,POR-73_TP2,POR-73_TP2,POR-73_TP2,1F1,1H12
POR-73,TP3,Manava,Porites evermanni,POR-73_TP3,POR-73_TP3,POR-73_TP3,POR-73_TP3,1C5,1D12
POR-73,TP4,Manava,Porites evermanni,POR-73_TP4,POR-73_TP4,POR-73_TP4,POR-73_TP4,1H2,1.00E+09
POR-74,TP1,Manava,Porites evermanni,POR-74_TP1,POR-74_TP1,POR-74_TP1,POR-74_TP1,1D7,2.00E+01
POR-74,TP2,Manava,Porites evermanni,POR-74_TP2,POR-74_TP2,POR-74_TP2,POR-74_TP2,1G10,1.00E+04
POR-74,TP3,Manava,Porites evermanni,POR-74_TP3,POR-74_TP3,POR-74_TP3,POR-74_TP3,1G3,2G3
POR-74,TP4,Manava,Porites evermanni,POR-74_TP4,POR-74_TP4,POR-74_TP4,POR-74_TP4,1C11,1H8
POR-83,TP1,Manava,Porites evermanni,POR-83_TP1,POR-83_TP1,POR-83_TP1,POR-83_TP1,1H3,1.00E+06
POR-83,TP2,Manava,Porites evermanni,POR-83_TP2,POR-83_TP2,POR-83_TP2,POR-83_TP2,1F3,2F2
POR-83,TP3,Manava,Porites evermanni,POR-83_TP3,POR-83_TP3,POR-83_TP3,POR-83_TP3,1B3,1F3
POR-83,TP4,Manava,Porites evermanni,POR-83_TP4,POR-83_TP4,POR-83_TP4,POR-83_TP4,1F7,1C2
