Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
ACR-229-TP4_hisat2	22524538	22524538	11456646	10423544	644348	2771045	13983760	3080624	306818	68.96	153409.0	6991880.0	1540312.0
ACR-237-TP1_hisat2	22108377	22108377	9123358	12425312	559707	2330086	10218196	3099945	268403	76.89	134201.5	5109098.0	1549972.5
ACR-237-TP2_hisat2	16643629	16643629	7270040	8963658	409931	1020834	10128218	2179055	191139	69.57	95569.5	5064109.0	1089527.5
ACR-237-TP3_hisat2	17662734	17662734	5930082	11226945	505707	1073940	7086624	2412075	213585	79.94	106792.5	3543312.0	1206037.5
ACR-237-TP4_hisat2	23743099	23743099	9668381	13372194	702524	2288538	11390679	3110469	258538	76.01	129269.0	5695339.5	1555234.5
ACR-244-TP1_hisat2	19449707	19449707	11950819	7208416	290472	995119	20078572	1701831	130997	48.38	65498.5	10039286.0	850915.5
ACR-244-TP2_hisat2	21689945	21689945	8990515	12137162	562268	1348595	12053557	2952728	277555	72.21	138777.5	6026778.5	1476364.0
ACR-244-TP3_hisat2	22280534	22280534	8362064	13149617	768853	1256482	10454899	3357122	399143	76.54	199571.5	5227449.5	1678561.0
ACR-244-TP4_hisat2	21953809	21953809	10318851	11046637	588321	2426797	12502427	2979484	302197	71.53	151098.5	6251213.5	1489742.0
ACR-265-TP1_hisat2	29300235	29300235	13652102	14605598	1042535	3305360	16239891	4036840	416753	72.29	208376.5	8119945.5	2018420.0
ACR-265-TP2_hisat2	21318139	21318139	8276468	12411144	630527	1465973	9917116	3344688	359186	76.74	179593.0	4958558.0	1672344.0
ACR-265-TP3_hisat2	21187202	21187202	9064896	11338114	784192	1849163	10845944	3181551	403971	74.4	201985.5	5422972.0	1590775.5
ACR-265-TP4_hisat2	23864914	23864914	10615900	12588914	660100	2368056	12992319	3197826	305543	72.78	152771.5	6496159.5	1598913.0
