Sample	Total Reads	Total Passed QC	Mapped	Secondary Alignments	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
ACR-186-TP2-hisat2_output	100.0	100.0	77.94810812346871	11.871882467590307	0.0	88.12811753240969	54.62124396068763	61.207456479287956	4.868769176590455	0.3122344470290293	0.1747653208379369
ACR-186-TP3-hisat2_output	100.0	100.0	76.70723729771457	8.615987329077964	0.0	91.38401267092203	51.93114658590233	63.23176133084737	4.859488637789245	0.30967901778526424	0.1499760738121489
ACR-186-TP4-hisat2_output	100.0	100.0	81.6075189880741	12.2883057789027	0.0	87.7116942210973	56.91543286469813	64.38780818477	4.931405024401407	0.3294779438376698	0.18571113114475674
ACR-225-TP1-hisat2_output	100.0	100.0	79.45862562744693	14.174532544495348	0.0	85.82546745550465	51.83462935124228	60.67080972186574	4.613283361085846	0.3135759394470828	0.15902650091506124
ACR-225-TP2-hisat2_output	100.0	100.0	78.02197127976362	12.994659165935103	0.0	87.00534083406491	52.21106589290274	59.39104213720243	5.6362699766260835	0.49449654384677766	0.26801911517685617
ACR-225-TP3-hisat2_output	100.0	100.0	79.24691399446179	13.091060389635715	0.0	86.90893961036429	52.441661002383164	61.20026408533161	4.955589519494474	0.36731977232049867	0.18629758870983262
ACR-225-TP4-hisat2_output	100.0	100.0	76.9095108986861	12.565771528403813	0.0	87.43422847159619	49.853439873364415	60.04204505192282	4.301694318359466	0.30251432417479096	0.14268616982603574
ACR-229-TP1-hisat2_output	100.0	100.0	82.72540200451847	13.113013769245457	0.0	86.88698623075454	56.34223562368859	64.61374000301092	4.998648232262097	0.37016244170633905	0.2027238407142929
ACR-229-TP2-hisat2_output	100.0	100.0	79.6897254587439	9.878018263423915	0.0	90.12198173657609	56.15636021928203	64.34135146447288	5.470355730847095	0.4069622148240255	0.2214292017528229
ACR-229-TP3-hisat2_output	100.0	100.0	80.71746543714427	11.601069545831063	0.0	88.39893045416893	56.37106700545276	63.5357668191411	5.580629072172096	0.4277769413327828	0.23594992298669845
ACR-229-TP4-hisat2_output	100.0	100.0	73.10933186426949	13.370956556941602	0.0	86.62904344305839	42.56695062473994	56.06032874175243	3.6780465655754537	0.33903514765257015	0.14005924894290206
ACR-237-TP1-hisat2_output	100.0	100.0	79.26399175803112	10.2699757004945	0.0	89.7300242995055	52.70156513069868	64.64095026160597	4.353065795930665	0.3450577672841095	0.1627475524044968
ACR-237-TP2-hisat2_output	100.0	100.0	72.63851978010358	10.07414617837129	0.0	89.9258538216287	50.64568515664624	57.80267080984618	4.761702791886113	0.36743234838627203	0.19821787881880698
ACR-237-TP3-hisat2_output	100.0	100.0	82.06876138363229	10.616198073601533	0.0	89.38380192639846	59.374106094750836	66.46781427453436	4.9847490354963995	0.39243333948110304	0.21650203269862864
ACR-237-TP4-hisat2_output	100.0	100.0	79.21926526000851	13.367931407011419	0.0	86.63206859298859	51.35479303704082	61.8217115959567	4.029622257040395	0.2843123981765928	0.14052886718050828
ACR-244-TP1-hisat2_output	100.0	100.0	51.4429342316449	5.927503014234617	0.0	94.07249698576538	36.269909812862075	42.38741311342963	3.1280181039806467	0.21570253721941304	0.10967954313644461
ACR-244-TP2-hisat2_output	100.0	100.0	74.93440366434473	9.79071059064734	0.0	90.20928940935265	52.81740254315147	60.227476047480565	4.916217026216825	0.4244962969179954	0.22623083172510294
ACR-244-TP3-hisat2_output	100.0	100.0	79.82043195694675	13.990263915785054	0.0	86.00973608421495	53.729588859767155	60.326578243725606	5.503589797436099	0.537451459032572	0.29558382631082086
ACR-244-TP4-hisat2_output	100.0	100.0	74.589668254267	10.760755528113208	0.0	89.23924447188679	47.294520116401436	59.88150921890796	3.947403507245823	0.2886378519308307	0.1282362921612759
ACR-265-TP1-hisat2_output	100.0	100.0	76.74774779521638	16.095932678436316	0.0	83.90406732156367	44.8099479300689	56.94324929038632	3.70856582639374	0.33135254505340234	0.14029477982861602
ACR-265-TP2-hisat2_output	100.0	100.0	79.30266426296267	11.01673507260992	0.0	88.98326492739008	54.436762312548026	62.936140585796416	5.349788604556324	0.4433439758037889	0.23808023134329293
ACR-265-TP3-hisat2_output	100.0	100.0	78.55104119154782	16.200300690404536	0.0	83.79969930959547	47.94618929573169	57.648976306273255	4.701764194870037	0.4635419608349403	0.22319609884022354
ACR-265-TP4-hisat2_output	100.0	100.0	75.83137822255648	11.211835205521531	0.0	88.78816479447846	49.29226388146014	60.6183596170253	4.001183400009648	0.2702235585409007	0.12428341619173447
