query,subject,identity1,evalue1,bitscore1,identity2,evalue2,bitscore2,avg_identity,min_evalue,max_bitscore
Peve_00000087,Pocillopora_meandrina_HIv1___TS.g5631.t1,42.857,1.65e-25,98.6,44.348,2.9200000000000002e-27,104,43.6025,2.9200000000000002e-27,104
Peve_00000091,Pocillopora_meandrina_HIv1___RNAseq.g1103.t2,62.057,1.41e-82,248,64.311,1.47e-83,251,63.184000000000005,1.47e-83,251
Peve_00000092,Pocillopora_meandrina_HIv1___RNAseq.g1104.t1,96.6,0,1304,96.6,0,1304,96.6,0,1304
Peve_00000096,Pocillopora_meandrina_HIv1___RNAseq.g1108.t1,77.731,0,759,77.731,0,761,77.731,0,761
Peve_00000097,Pocillopora_meandrina_HIv1___RNAseq.g1109.t1,75.532,1.77e-98,283,73.5,1.14e-92,269,74.51599999999999,1.77e-98,283
Peve_00000098,Pocillopora_meandrina_HIv1___RNAseq.g1110.t1,67.15,0,1401,67.15,0,1411,67.15,0,1411
Peve_00000099,Pocillopora_meandrina_HIv1___RNAseq.g1111.t1,90.299,0,757,88.729,0,771,89.51400000000001,0,771
Peve_00000100,Pocillopora_meandrina_HIv1___RNAseq.g1112.t1,54.286,8.88e-46,157,54.286,4.25e-46,157,54.286,4.25e-46,157
Peve_00000101,Pocillopora_meandrina_HIv1___RNAseq.g1113.t1,72.282,0,1213,72.162,0,1222,72.22200000000001,0,1222
Peve_00000102,Pocillopora_meandrina_HIv1___RNAseq.g1114.t1,57.062,1.5399999999999999e-62,194,57.062,9.959999999999998e-55,175,57.062,1.5399999999999999e-62,194
Peve_00000103,Pocillopora_meandrina_HIv1___RNAseq.g1115.t1,74.85,1.4299999999999998e-96,291,75.74,1.55e-92,280,75.29499999999999,1.4299999999999998e-96,291
Peve_00000107,Pocillopora_meandrina_HIv1___RNAseq.g1060.t1,81.283,0,1274,81.283,0,1274,81.283,0,1274
Peve_00000108,Pocillopora_meandrina_HIv1___RNAseq.g1061.t1,78.771,0,3682,78.771,0,3580,78.771,0,3682
Peve_00000109,Pocillopora_meandrina_HIv1___TS.g5594.t1,65.693,3.47e-58,177,65.693,4.25e-58,177,65.693,3.47e-58,177
Peve_00000110,Pocillopora_meandrina_HIv1___RNAseq.g1063.t1,73.636,1.4299999999999998e-112,322,75.455,4.58e-120,341,74.5455,4.58e-120,341
Peve_00000113,Pocillopora_meandrina_HIv1___RNAseq.g1177.t1,71.351,0,541,71.351,0,541,71.351,0,541
Peve_00000114,Pocillopora_meandrina_HIv1___RNAseq.g1178.t1,80.693,0,589,80.693,0,557,80.693,0,589
Peve_00000118,Pocillopora_meandrina_HIv1___RNAseq.g1179.t1,57.096,2.83e-128,369,57.994,8.12e-132,378,57.545,8.12e-132,378
Peve_00000121,Pocillopora_meandrina_HIv1___RNAseq.g1180.t1,67.863,0,851,68.515,0,865,68.189,0,865
Peve_00000123,Pocillopora_meandrina_HIv1___RNAseq.g1181.t1,81.423,6.069999999999999e-153,428,81.423,9.049999999999999e-153,428,81.423,6.069999999999999e-153,428
Peve_00000125,Pocillopora_meandrina_HIv1___RNAseq.g19207.t1,38.272,8.75e-10,52.4,38.272,1.66e-9,52,38.272,8.75e-10,52.4
Peve_00000131,Pocillopora_meandrina_HIv1___RNAseq.g19211.t1,46.216,2.05e-111,331,46.216,1.6e-115,341,46.216,1.6e-115,341
Peve_00000134,Pocillopora_meandrina_HIv1___RNAseq.g19214.t1,52.02,7.009999999999999e-146,419,52.02,8.68e-146,419,52.02,7.009999999999999e-146,419
Peve_00000135,Pocillopora_meandrina_HIv1___TS.g28590.t2,87.379,3.81e-132,370,87.379,5.93e-132,370,87.379,3.81e-132,370
Peve_00000137,Pocillopora_meandrina_HIv1___RNAseq.g19216.t1,87.741,0,2581,87.741,0,2553,87.741,0,2581
Peve_00000138,Pocillopora_meandrina_HIv1___RNAseq.g19898.t1,71.473,5.8699999999999995e-174,484,71.473,7.229999999999999e-174,484,71.473,5.8699999999999995e-174,484
Peve_00000141,Pocillopora_meandrina_HIv1___RNAseq.g9860.t1b,54.7,0,1061,54.7,0,1031,54.7,0,1061
Peve_00000142,Pocillopora_meandrina_HIv1___RNAseq.g19899.t1,65.938,0,859,65.625,0,849,65.7815,0,859
Peve_00000146,Pocillopora_meandrina_HIv1___RNAseq.g7407.t1,44.936,0,864,44.936,0,853,44.936,0,864
Peve_00000148,Pocillopora_meandrina_HIv1___RNAseq.g19253.t1,69.208,0,1970,69.231,0,1984,69.2195,0,1984
Peve_00000149,Pocillopora_meandrina_HIv1___TS.g28552.t2,78.631,0,1091,78.911,0,1064,78.771,0,1091
Peve_00000150,Pocillopora_meandrina_HIv1___RNAseq.g19254.t1,71.875,5.0999999999999996e-179,498,71.875,6.319999999999999e-179,498,71.875,5.0999999999999996e-179,498
Peve_00000155,Pocillopora_meandrina_HIv1___RNAseq.g19256.t1,77.127,0,1991,77.127,0,1979,77.127,0,1991
Peve_00000160,Pocillopora_meandrina_HIv1___RNAseq.g19257.t2,69.846,0,2966,70.023,0,2979,69.9345,0,2979
Peve_00000162,Pocillopora_meandrina_HIv1___RNAseq.g19172.t1,87.037,1.2400000000000001e-105,300,87.037,1.99e-105,300,87.037,1.2400000000000001e-105,300
Peve_00000164,Pocillopora_meandrina_HIv1___RNAseq.g19258.t1,83.273,0,853,83.424,0,862,83.3485,0,862
Peve_00000165,Pocillopora_meandrina_HIv1___TS.g28634.t1,68.035,1.0399999999999998e-170,480,68.035,1.2299999999999998e-170,480,68.035,1.0399999999999998e-170,480
Peve_00000168,Pocillopora_meandrina_HIv1___RNAseq.g19261.t1,47.839,0,1257,47.968,0,1275,47.9035,0,1275
Peve_00000173,Pocillopora_meandrina_HIv1___RNAseq.g19034.t1,39.167,2.13e-19,85.5,39.167,1.65e-19,85.1,39.167,1.65e-19,85.5
Peve_00000174,Pocillopora_meandrina_HIv1___RNAseq.g19046.t1,65,0,1094,65.142,0,1113,65.071,0,1113
Peve_00000175,Pocillopora_meandrina_HIv1___RNAseq.g19173.t1,70.556,0,793,69.928,0,818,70.24199999999999,0,818
Peve_00000177,Pocillopora_meandrina_HIv1___RNAseq.g19176.t1,46.835,1.35e-104,316,46.835,1.43e-104,316,46.835,1.35e-104,316
Peve_00000178,Pocillopora_meandrina_HIv1___RNAseq.g19181.t1,81.324,0,721,81.324,0,721,81.324,0,721
Peve_00000183,Pocillopora_meandrina_HIv1___RNAseq.g19185.t1,61.538,5.8099999999999985e-55,169,61.538,6.919999999999998e-55,169,61.538,5.8099999999999985e-55,169
Peve_00000184,Pocillopora_meandrina_HIv1___RNAseq.g19187.t1,75.61,5.87e-115,327,75.61,7.279999999999999e-115,327,75.61,5.87e-115,327
Peve_00000185,Pocillopora_meandrina_HIv1___RNAseq.g19188.t1,64.815,5.079999999999999e-152,429,64.815,6.1799999999999985e-152,429,64.815,5.079999999999999e-152,429
Peve_00000186,Pocillopora_meandrina_HIv1___RNAseq.g19189.t1,75.194,0,1396,75.194,0,1397,75.194,0,1397
Peve_00000187,Pocillopora_meandrina_HIv1___RNAseq.g19190.t1,64.155,0,518,63.927,0,551,64.041,0,551
Peve_00000192,Pocillopora_meandrina_HIv1___RNAseq.g19200.t1,40.845,1.66e-12,57,40.845,2.18e-12,57,40.845,1.66e-12,57
Peve_00000193,Pocillopora_meandrina_HIv1___RNAseq.g19202.t1,59.091,3.8799999999999996e-138,396,60.896,3.1399999999999996e-140,402,59.9935,3.1399999999999996e-140,402
Peve_00000196,Pocillopora_meandrina_HIv1___RNAseq.g21684.t1,61.449,4.56e-147,421,61.449,6.659999999999999e-147,421,61.449,4.56e-147,421
Peve_00000197,Pocillopora_meandrina_HIv1___RNAseq.g21683.t3,62.863,0,1097,62.863,0,1133,62.863,0,1133
Peve_00000200,Pocillopora_meandrina_HIv1___RNAseq.g21681.t1,86.595,0,644,86.595,0,643,86.595,0,644
Peve_00000203,Pocillopora_meandrina_HIv1___RNAseq.g21679.t1,58.264,2.35e-172,492,57.851,1.1099999999999999e-162,468,58.057500000000005,2.35e-172,492
Peve_00000204,Pocillopora_meandrina_HIv1___RNAseq.g21680.t1,35.072,8.47e-30,115,35.072,9.739999999999999e-30,115,35.072,8.47e-30,115
Peve_00000205,Pocillopora_meandrina_HIv1___RNAseq.g21678.t1,84.706,2.88e-156,452,84.706,1.7599999999999998e-156,452,84.706,1.7599999999999998e-156,452
Peve_00000207,Pocillopora_meandrina_HIv1___RNAseq.g334.t1,42.373,6.239999999999999e-121,365,41.826,5.929999999999999e-112,343,42.0995,6.239999999999999e-121,365
Peve_00000208,Pocillopora_meandrina_HIv1___RNAseq.g21709.t1,85.213,0,1665,85.213,0,1665,85.213,0,1665
Peve_00000210,Pocillopora_meandrina_HIv1___RNAseq.g21696.t1,88.976,0,693,91.854,0,674,90.41499999999999,0,693
Peve_00000218,Pocillopora_meandrina_HIv1___RNAseq.g21699.t1,60.078,0,1257,60.078,0,1240,60.078,0,1257
Peve_00000220,Pocillopora_meandrina_HIv1___RNAseq.g21694.t1,66.667,1.25e-155,444,66.667,2.07e-155,444,66.667,1.25e-155,444
Peve_00000221,Pocillopora_meandrina_HIv1___RNAseq.g10184.t1,75.407,0,2367,74.688,0,2288,75.0475,0,2367
Peve_00000222,Pocillopora_meandrina_HIv1___RNAseq.g21693.t1,81.095,5.6699999999999995e-124,348,81.095,6.96e-124,348,81.095,5.6699999999999995e-124,348
Peve_00000223,Pocillopora_meandrina_HIv1___RNAseq.g21692.t1,49.189,0,747,49.189,0,759,49.189,0,759
Peve_00000225,Pocillopora_meandrina_HIv1___RNAseq.g21701.t1,91.753,0,950,91.753,0,950,91.753,0,950
Peve_00000226,Pocillopora_meandrina_HIv1___RNAseq.g21688.t1,38.194,8.94e-78,265,37.847,3.11e-71,246,38.0205,8.94e-78,265
Peve_00000227,Pocillopora_meandrina_HIv1___TS.g26436.t1,62.655,0,1045,63.119,0,1053,62.887,0,1053
Peve_00000228,Pocillopora_meandrina_HIv1___RNAseq.g21686.t1,52.632,1.21e-15,65.9,52.632,1.76e-15,65.9,52.632,1.21e-15,65.9
Peve_00000229,Pocillopora_meandrina_HIv1___TS.g26435.t1,60.565,0,1120,60.565,0,1120,60.565,0,1120
Peve_00000232,Pocillopora_meandrina_HIv1___RNAseq.g21702.t1,38.298,1.1299999999999999e-30,110,38.298,1.4299999999999999e-30,110,38.298,1.1299999999999999e-30,110
Peve_00000236,Pocillopora_meandrina_HIv1___RNAseq.g344.t1,56.419,4.28e-122,351,56.419,5.28e-122,351,56.419,4.28e-122,351
Peve_00000237,Pocillopora_meandrina_HIv1___RNAseq.g343.t1,75.499,0,535,75.499,0,535,75.499,0,535
Peve_00000239,Pocillopora_meandrina_HIv1___TS.g7103.t2,77.759,0,937,78.428,0,960,78.0935,0,960
Peve_00000240,Pocillopora_meandrina_HIv1___RNAseq.g355.t1,70.897,0,899,70.897,0,899,70.897,0,899
Peve_00000241,Pocillopora_meandrina_HIv1___RNAseq.g341.t1,86.905,0,884,87.83,0,875,87.3675,0,884
Peve_00000242,Pocillopora_meandrina_HIv1___RNAseq.g340.t1,70.868,3.0099999999999995e-160,452,73.109,7.179999999999999e-173,484,71.98849999999999,7.179999999999999e-173,484
Peve_00000244,Pocillopora_meandrina_HIv1___RNAseq.g335.t1,72.595,0,953,72.595,0,961,72.595,0,961
Peve_00000251,Pocillopora_meandrina_HIv1___TS.g12579.t1,36.111,5.63e-9,50.4,36.111,6.2e-8,50.4,36.111,5.63e-9,50.4
Peve_00000257,Pocillopora_meandrina_HIv1___RNAseq.g10648.t1b,31.925,8.81e-30,112,31.132,1.8700000000000002e-21,90.5,31.5285,8.81e-30,112
Peve_00000274,Pocillopora_meandrina_HIv1___RNAseq.g2890.t1,51.515,9.450000000000001e-33,118,48.485,6.350000000000001e-27,104,50,9.450000000000001e-33,118
Peve_00000283,Pocillopora_meandrina_HIv1___RNAseq.g27423.t1,62.3,0,804,62.3,0,812,62.3,0,812
Peve_00000287,Pocillopora_meandrina_HIv1___RNAseq.g27450.t1,78.986,7.460000000000001e-59,184,78.986,4.5700000000000005e-59,184,78.986,4.5700000000000005e-59,184
Peve_00000288,Pocillopora_meandrina_HIv1___RNAseq.g27452.t1,65.317,0,796,65.271,0,805,65.294,0,805
Peve_00000289,Pocillopora_meandrina_HIv1___RNAseq.g27453.t1,78.089,0,953,78.089,0,971,78.089,0,971
Peve_00000292,Pocillopora_meandrina_HIv1___TS.g14803.t1,86.184,0,808,86.726,0,808,86.455,0,808
Peve_00000293,Pocillopora_meandrina_HIv1___RNAseq.10568_t,100,0,942,100,0,942,100,0,942
Peve_00000295,Pocillopora_meandrina_HIv1___RNAseq.g27458.t1,68.675,0,833,68.675,0,833,68.675,0,833
Peve_00000296,Pocillopora_meandrina_HIv1___RNAseq.g27459.t1,83.965,0,619,83.965,0,619,83.965,0,619
Peve_00000334,Pocillopora_meandrina_HIv1___TS.g10122.t1,60.676,0,942,60.676,0,942,60.676,0,942
Peve_00000338,Pocillopora_meandrina_HIv1___RNAseq.g15790.t1,61.471,0,3133,61.345,0,3076,61.408,0,3133
Peve_00000340,Pocillopora_meandrina_HIv1___RNAseq.g15789.t1,73.744,0,5194,74.361,0,5184,74.05250000000001,0,5194
Peve_00000342,Pocillopora_meandrina_HIv1___RNAseq.g22434.t1,80.516,0,737,80.516,0,737,80.516,0,737
Peve_00000344,Pocillopora_meandrina_HIv1___RNAseq.g25733.t1,50.948,1.12e-149,430,50.948,1.39e-149,430,50.948,1.12e-149,430
Peve_00000346,Pocillopora_meandrina_HIv1___RNAseq.g22579.t1,58.947,8.499999999999999e-166,479,58.947,6.5599999999999995e-161,466,58.947,8.499999999999999e-166,479
Peve_00000347,Pocillopora_meandrina_HIv1___RNAseq.g22569.t1,63.793,3.1699999999999996e-168,472,63.793,3.839999999999999e-168,472,63.793,3.1699999999999996e-168,472
Peve_00000348,Pocillopora_meandrina_HIv1___RNAseq.g22568.t1,47.414,1.56e-29,103,47.414,1.51e-29,103,47.414,1.51e-29,103
Peve_00000366,Pocillopora_meandrina_HIv1___TS.g480.t1,51.397,1.16e-49,162,51.397,1.77e-49,162,51.397,1.16e-49,162
Peve_00000368,Pocillopora_meandrina_HIv1___RNAseq.g2915.t1,75.566,0,990,75.566,0,1012,75.566,0,1012
Peve_00000369,Pocillopora_meandrina_HIv1___RNAseq.g2914.t1,69.896,3.979999999999999e-158,442,69.896,4.74e-158,442,69.896,3.979999999999999e-158,442
Peve_00000372,Pocillopora_meandrina_HIv1___RNAseq.g425.t1,75.534,0,644,75.534,0,644,75.534,0,644
Peve_00000374,Pocillopora_meandrina_HIv1___RNAseq.g25228.t1,58.48,2.7899999999999995e-72,215,58.48,3.46e-72,215,58.48,2.7899999999999995e-72,215
Peve_00000377,Pocillopora_meandrina_HIv1___RNAseq.g25230.t1,63.25,0,1904,63.409,0,1923,63.329499999999996,0,1923
Peve_00000380,Pocillopora_meandrina_HIv1___RNAseq.g25233.t1,69.118,0,1469,69.21,0,1479,69.16399999999999,0,1479
Peve_00000381,Pocillopora_meandrina_HIv1___RNAseq.g25232.t1,85.473,0,523,85.473,0,523,85.473,0,523
Peve_00000384,Pocillopora_meandrina_HIv1___RNAseq.g25234.t1,68.627,0,744,68.627,0,744,68.627,0,744
Peve_00000385,Pocillopora_meandrina_HIv1___RNAseq.g25238.t1,52.181,0,681,52.181,0,681,52.181,0,681
Peve_00000387,Pocillopora_meandrina_HIv1___RNAseq.g25237.t1,79.657,0,630,79.657,0,630,79.657,0,630
Peve_00000388,Pocillopora_meandrina_HIv1___RNAseq.g25235.t1,52.369,0,1197,52.369,0,1191,52.369,0,1197
Peve_00000391,Pocillopora_meandrina_HIv1___TS.g25524.t1,75.372,0,697,76.008,0,707,75.69,0,707
Peve_00000393,Pocillopora_meandrina_HIv1___RNAseq.g25246.t1,77.348,0,586,77.348,0,605,77.348,0,605
Peve_00000394,Pocillopora_meandrina_HIv1___RNAseq.g25247.t1,85.756,0,607,85.756,0,607,85.756,0,607
Peve_00000395,Pocillopora_meandrina_HIv1___TS.g25528.t2,64.407,0,1214,64.665,0,1219,64.536,0,1219
Peve_00000396,Pocillopora_meandrina_HIv1___TS.g7185.t1,64.972,1.62e-82,242,64.972,2.02e-82,242,64.972,1.62e-82,242
Peve_00000399,Pocillopora_meandrina_HIv1___RNAseq.g25260.t2,71.994,0,1858,73.169,0,1851,72.5815,0,1858
Peve_00000400,Pocillopora_meandrina_HIv1___RNAseq.g25252.t1,78.562,0,1258,78.562,0,1258,78.562,0,1258
Peve_00000401,Pocillopora_meandrina_HIv1___RNAseq.g25253.t1,60.5,3.2000000000000003e-75,224,60.5,4.13e-75,224,60.5,3.2000000000000003e-75,224
Peve_00000402,Pocillopora_meandrina_HIv1___RNAseq.g25226.t1,78.182,1.69e-97,278,78.182,2.07e-97,278,78.182,1.69e-97,278
Peve_00000403,Pocillopora_meandrina_HIv1___RNAseq.g25254.t1,60.417,3.2599999999999994e-157,446,60.417,4.28e-149,426,60.417,3.2599999999999994e-157,446
Peve_00000404,Pocillopora_meandrina_HIv1___RNAseq.g25255.t4,80.802,0,4927,80.671,0,4966,80.7365,0,4966
Peve_00000407,Pocillopora_meandrina_HIv1___RNAseq.g25227.t1,73.529,5.03e-86,256,73.529,3.14e-86,256,73.529,3.14e-86,256
Peve_00000409,Pocillopora_meandrina_HIv1___RNAseq.g7541.t1,78.089,0,2095,78.089,0,2095,78.089,0,2095
Peve_00000411,Pocillopora_meandrina_HIv1___RNAseq.g7540.t1,69.784,3.28e-69,204,69.784,3.8799999999999996e-69,204,69.784,3.28e-69,204
Peve_00000412,Pocillopora_meandrina_HIv1___RNAseq.g7539.t1,90.11,9.35e-126,353,83.092,4.63e-131,367,86.601,4.63e-131,367
Peve_00000413,Pocillopora_meandrina_HIv1___TS.g1292.t2,45.463,0,840,46.036,0,850,45.7495,0,850
Peve_00000415,Pocillopora_meandrina_HIv1___RNAseq.g7519.t1,56.718,0,1519,56.749,0,1516,56.73350000000001,0,1519
Peve_00000416,Pocillopora_meandrina_HIv1___RNAseq.g12966.t1,73.113,2.71e-116,330,73.113,3.32e-116,330,73.113,2.71e-116,330
Peve_00000417,Pocillopora_meandrina_HIv1___RNAseq.g12969.t1,69.025,0,706,69.962,0,711,69.49350000000001,0,711
Peve_00000418,Pocillopora_meandrina_HIv1___RNAseq.g12970.t1,92.459,0,591,92.459,0,591,92.459,0,591
Peve_00000425,Pocillopora_meandrina_HIv1___RNAseq.g12973.t1,37.326,1.7199999999999998e-45,170,37.326,1.31e-45,170,37.326,1.31e-45,170
Peve_00000426,Pocillopora_meandrina_HIv1___RNAseq.g12971.t1,95.07,0,572,95.07,0,572,95.07,0,572
Peve_00000427,Pocillopora_meandrina_HIv1___TS.g1951.t2a,84.513,1.4699999999999998e-133,399,84.513,1.7899999999999996e-133,398,84.513,1.4699999999999998e-133,399
Peve_00000434,Pocillopora_meandrina_HIv1___RNAseq.g23040.t1,61.471,4.0199999999999994e-126,365,63.777,9.799999999999998e-133,382,62.623999999999995,9.799999999999998e-133,382
Peve_00000436,Pocillopora_meandrina_HIv1___RNAseq.g23037.t1,51.17,4.429999999999999e-106,315,51.17,4.0399999999999995e-107,318,51.17,4.0399999999999995e-107,318
Peve_00000437,Pocillopora_meandrina_HIv1___RNAseq.g23034.t1,98.305,1.3599999999999999e-83,239,98.305,1.66e-83,239,98.305,1.3599999999999999e-83,239
Peve_00000438,Pocillopora_meandrina_HIv1___RNAseq.g23032.t1,39.908,3.939999999999999e-130,402,39.908,9.65e-140,427,39.908,9.65e-140,427
Peve_00000439,Pocillopora_meandrina_HIv1___RNAseq.g23031.t1,58.37,0,828,58.37,0,818,58.37,0,828
Peve_00000444,Pocillopora_meandrina_HIv1___TS.g12957.t1,54,3.49e-11,57.4,54,1.03e-10,57.4,54,3.49e-11,57.4
Peve_00000445,Pocillopora_meandrina_HIv1___RNAseq.g25865.t1,93.506,7.689999999999999e-45,152,93.506,1.3599999999999999e-43,152,93.506,7.689999999999999e-45,152
Peve_00000447,Pocillopora_meandrina_HIv1___RNAseq.g29889.t1,42.857,1.55e-70,226,42.857,9.02e-71,226,42.857,9.02e-71,226
Peve_00000453,Pocillopora_meandrina_HIv1___RNAseq.g23225.t1,56.589,5.15e-47,152,56.589,1.1399999999999998e-43,144,56.589,5.15e-47,152
Peve_00000455,Pocillopora_meandrina_HIv1___RNAseq.g13115.t1,70.544,0,1014,70.544,0,1014,70.544,0,1014
Peve_00000456,Pocillopora_meandrina_HIv1___TS.g2103.t1,71.388,0,2193,71.388,0,2198,71.388,0,2198
Peve_00000457,Pocillopora_meandrina_HIv1___RNAseq.g13113.t1,54.774,1.0099999999999998e-151,440,54.774,5.489999999999999e-152,440,54.774,5.489999999999999e-152,440
