,POC.201-TP1,POC.201-TP3,POC.219-TP1,POC.219-TP3,POC.219-TP4,POC.222-TP1,POC.222-TP3,POC.222-TP4,POC.255-TP1,POC.255-TP3,POC.255-TP4,POC.259-TP1,POC.259-TP3,POC.259-TP4,POC.40-TP1,POC.40-TP3,POC.40-TP4,POC.42-TP1,POC.42-TP3,POC.42-TP4,POC.52-TP1,POC.52-TP3,POC.52-TP4,POC.53-TP1,POC.53-TP3,POC.53-TP4,POC.57-TP1,POC.57-TP3,POC.57-TP4
Tryptophan,1294756.83203946,197138.312376886,1623555.35287473,1696997.98189943,540070.637294824,1625924.62529162,211657.040337929,893126.433114142,1601710.65702128,1525441.05396984,1940858.43374937,5847908.03793059,2225317.49950435,1692231.09946465,1062245.31394575,2071629.3288074,736861.456355419,3323133.15997341,2347096.69190777,1074399.66280114,2868204.46223004,1056269.44519093,1431097.20420932,829050.138600072,1187899.62110978,747756.644884062,1437784.69238291,1304117.45168754,870213.147241885
N-Ac-Arginine,695462.564585265,1596180.08933702,937915.04449072,1098118.7258405,655394.752737193,887093.214076659,1707430.84168629,799269.677994055,1411166.81947816,1321098.37325191,1361401.10545894,1455275.18501463,296632.799372105,1301511.55234527,279048.393373532,871816.731803372,1221684.44667487,1697198.45256499,1618141.04300529,2727578.2509999,686339.486337617,473632.617703124,506307.822860152,3726876.26683172,920906.005254698,1952950.94751741,1438509.47211549,436831.349276445,1910527.82119913
Carnosine,369731.793053609,239216.799003906,158144.719112148,278423.870069907,170285.170885662,209821.694109963,150268.968485807,227467.036145768,340500.241758699,313370.796167543,254126.763311795,182623.586700225,60053.9995463388,227327.104918218,102521.637045248,178597.061203273,224535.183860871,392363.861444314,109509.376368046,440585.678710893,225795.727877503,170895.335868151,254659.395831795,430467.659329768,133575.396465905,389360.597610331,321199.10396149,107368.339728076,362549.659160573
2'-Deoxycytidine,949944.278854397,5924476.54246327,815366.149387197,3658469.35246106,1689969.10542281,586953.417508682,2469640.01020861,7241430.24810395,608502.019128557,1621436.83001495,623002.230739636,13391415.7110425,1073227.84152517,1661311.15128166,553075.491827113,3188141.29582243,640720.455267259,4714486.04385002,7411169.60756787,1845184.05930924,1972194.91804555,5356168.68384988,6252211.36382498,2087371.33486902,1532482.62473281,1668512.90243365,3116726.59356776,2049416.37926454,2103896.77411138
Cystine,41433.8739261836,1179754.91177065,304969.809242548,1822005.3718969,1434061.77241894,105417.989409248,158745.875558745,768788.975500551,59737.4608025867,200577.9548066,1251779.99314203,117130.989165258,665675.324397213,237588.55629548,17325.5452697216,965332.696650045,405331.692293597,106666.479366863,1941812.81887303,248085.595621204,68991.0219760325,1092879.35228937,97241.9298660112,97094.8123056536,646554.338981669,1998413.08565262,316474.83539255,1163862.06933354,198750.801444799
Cytidine,2161510.03404011,8475314.78980539,2576796.45697726,6533012.55902221,3906222.03619763,1331492.78846826,2780110.56145294,3199132.86937096,2542171.00376128,5295174.99588988,1712516.16014671,6826113.87378171,1240766.13789215,3265662.81522764,560244.700470244,2775235.88247072,3531873.75233064,5645030.63007787,7916643.37091493,10990571.2398936,4035252.38579865,4919608.43421941,7087048.32337409,10825892.0757194,4170505.32422435,11448877.7241456,17597314.9136182,2954717.65732021,17711444.0009379
Uridine,1652398.63698273,6426177.73748328,3044596.9577968,5157665.95652088,2938999.66790704,1264372.65953488,2100941.10805635,3787437.74256668,2815520.50431032,4987451.26996505,2675576.94981509,3760155.44232573,1035284.40871449,2493590.37914905,681465.908356713,1907761.54506834,2672763.34246975,5853162.06437718,5508257.94557221,8066876.29147147,3998969.43604942,3715284.93189247,4922115.2312538,8745732.23696724,2670287.58004473,5752414.04581923,9603698.52242041,2896399.47745121,9072621.1523083
isoValerylcarnitine,10732106.2344749,20622320.4178135,13845933.0037578,10684684.9207935,2779466.55951182,8838750.40110832,12106223.5271842,5417703.23326379,33268575.4052736,22492897.2524141,7185413.38924352,17119982.1847088,2068194.67506685,12777077.2476406,14347305.3196657,6816885.98774377,6821765.323797,9546039.19854419,18569817.9527224,17943142.7995501,10881042.5415863,17319579.0239617,24421505.4915039,48161736.3045282,12712303.4021831,7673524.48254319,24026339.3077619,3538026.07463612,32821927.9102094
Glycerophosphocholine,317205581.058168,294339701.777589,224030980.319953,194424636.546757,143214604.083919,276657590.906629,235331882.62944,99596686.8606333,278296663.22076,285697925.520776,135447629.537154,16775413.4589401,65530124.917776,367168734.402929,127664551.69532,99846460.8073155,221978249.854402,142025445.062952,217078219.696907,303533579.112256,241737651.951806,105494720.32503,319415420.315405,589373374.371547,274748099.154592,439278191.358933,265756572.711924,87495774.5701575,385870020.372572
5-Methylcytidine,198941.394453299,241565.218444411,93584.7775589652,169110.541096668,109901.206619835,118588.984142139,182120.026633361,229616.554699507,267006.46649508,321245.167434401,94543.8945162022,150317.759075585,31268.8304562617,163986.409881785,43155.7649511007,133384.641807033,151933.096153376,146189.618146091,309082.498998103,137122.868707656,213522.676157173,218744.922173461,190358.578963016,1881380.19724724,159492.99644993,160743.690578692,794504.358879878,80820.3344139128,1914891.83674778
Hexanoyl-L-Carnitine (6:0 Carnitine),1261328.48287013,1675058.774544,929808.843080944,1826972.30285953,1225338.99569963,1722915.76690586,2484545.31592096,1294985.6884801,2256713.36573762,1010121.61791176,529529.751597321,672925.340875587,494264.163344626,947414.672697472,377154.50516846,1957656.50226962,1242606.7734003,1311640.65099692,1913429.81894446,2225535.76412946,1333649.5817615,1518027.94058546,1447381.52059188,1200959.41463567,2995923.90790422,1720969.21467098,2120777.24595258,947213.392704613,1908065.1866472
Succinylcarnitine,112728.086781945,450515.315590811,203993.465968992,673009.914644807,656835.276217278,177911.25517857,236093.401140958,345532.537939031,392994.219407192,449812.839749823,322882.759310943,245187.852284291,153504.896862638,311321.661893141,33724.6630221109,395955.737747188,343640.92260796,1249710.39370602,1169321.96557983,2011947.89809435,254534.397444759,338112.306410626,480735.793143894,692270.638746714,577775.218756556,1815119.37972623,567100.020932815,308991.873725693,1099034.77371538
Thiamine,1019117.04470355,3366579.30340587,2174315.75834705,4072080.72054395,3166076.60522726,1636648.53748903,2852086.33246984,2391240.73625355,2019483.69411486,2953409.6474194,4705731.01880508,2858709.27153357,1448554.90825245,2766302.80946028,496669.634834293,1308930.80043374,2163232.82881503,2079673.41966065,3159370.64318172,3641906.94278576,1392523.64901711,1921296.38710055,2786629.9408783,1956220.46945184,1836978.2680797,2751509.65634934,1960419.03477646,1540269.62549954,3061358.97423955
Deoxyguanosine,155022.197862411,2270971.81468858,199874.313087909,887860.981903408,306060.115964918,129852.061735238,959780.56054716,2607013.42165844,191524.01834406,605565.354227561,922399.043149264,6667715.21224366,416759.149857953,341440.151064924,134785.553027882,996136.97639363,143271.169749197,1252719.42571946,1923020.79604633,422799.596661564,362752.733556387,2417141.81643052,2073307.77146281,1544649.66044844,407227.829011864,342835.954711172,691288.694973248,860807.129071713,816159.617219281
Adenosine,332007940.713693,360459166.333436,138513706.212503,323274595.974925,186289292.383691,199208446.675224,331564102.550735,323282433.233941,241464634.895408,314764432.695005,140428199.464332,126953821.185337,77490631.634839,274546099.560069,145355970.230202,216237929.861979,215206135.076475,191187170.460719,270872733.217674,320978819.19832,381688808.453412,312502503.679541,330535654.548508,856251230.8411,265322286.086528,349072508.653288,462490186.506275,76786776.9728618,608217330.409452
Inosine,45579950.3881458,259795256.143937,200951280.180079,251689493.358545,160972668.945095,103545807.198843,106155360.187029,182625939.299486,74666458.7401033,206407656.105941,139194554.314815,238001910.52184,31899759.6802137,231698614.500526,34720368.3464237,165835056.234027,161888607.345656,326542431.47596,388380227.392636,315888253.693998,158246805.262373,207083652.381728,319910176.974114,122642738.770235,133412645.109056,236546423.480818,229298542.880355,87373998.1786491,196887224.651018
Glutarylcarnitine,115288.034492989,640193.879299618,198747.281641076,911369.965776109,413799.104815778,320008.766041983,916522.423496025,1092520.29515551,279983.234150817,507694.480182589,371011.809403051,366362.030374364,212707.421194918,241300.866967399,75676.5673826776,921938.857062778,419845.981951976,1330977.77243416,2003186.66744763,1133264.89435381,230835.052151584,339347.200548232,424985.689506979,935963.193582478,585935.732109029,983539.927950779,560053.058094565,492071.961184869,1268223.24854034
Oleamide,32632.5268911951,14283.0897433096,9151.61607052144,47132.6785670407,50426.4449857907,50531.2070274447,25389.9748333369,99099.2249531902,41842.7015993808,28284.6556398688,23643.6489732834,32943.7522908227,24709.6916110324,14968.0885200695,51369.8774719931,34460.9327314232,189639.796513486,50105.5751476901,25397.5845456804,20885.8824191993,50186.4395857801,13369.6727115665,34275.6776911101,10807.5842474959,21146.8849982154,28597.0534033207,28045.7111738723,55609.9495534474,3784.21952792537
6-Methyladenosine,219164.960565242,451265.913945664,211563.737289825,197789.991724834,142758.705298893,99139.8452973859,172735.372832247,174371.541249572,102508.830345533,178397.751160955,62506.2793485077,269985.504529122,22323.0859899652,69131.6811856576,59956.1243437677,75622.1595008132,48461.9031524378,218381.005596504,235352.548593843,108440.79729677,119094.290623456,117721.813488792,177389.066847575,792826.428178214,275676.444376066,349893.689750784,475755.413422321,94144.760762179,563853.340107267
Guanosine,1254175.25480252,4529890.08353169,2174803.76513414,3144435.8403093,1669011.9456759,985782.304036381,1926947.97040719,2156106.00485535,1502469.06408449,4596062.80910541,2114999.89307816,2291533.34347809,1141909.7318006,1292943.71048529,734360.552291735,1544987.01532003,1100062.71089312,2484222.66756165,2883994.95402927,1698186.2059651,2437522.32315859,2883320.19963254,2626028.07783214,10071796.1079694,1821325.72241324,3023212.62526665,5688285.84344777,2588427.66008045,6440791.70867947
Retinol,265368.388294038,351378.334028377,254791.045848868,513487.329813653,311247.286935177,259313.529306502,264679.677657812,327753.969768989,372156.921655603,335452.648432528,304773.443720373,357155.377513862,197915.395647463,340796.316182719,189373.970820221,357956.388549355,282259.663235612,390868.250731634,430385.770293214,403369.556164203,330765.55307018,372748.060668459,454247.797127133,118504.683794812,258958.118464385,407362.943633514,440421.44950459,203876.352360607,219913.326859562
Octanoyl-L-Carnitine (8:0 Carnitine),148298.452800806,147157.547711027,84195.265222279,253126.354556665,117148.356586163,162082.958821803,212634.487350478,181603.476812128,267197.603985894,109833.365362135,0,59977.6191632533,83611.8446140624,95107.2479428558,77797.8384876829,166227.819868303,159331.934114062,79516.238566263,148253.606645778,224456.080149803,121868.302641677,74452.8517865776,118400.199863306,205122.036697151,311402.735203708,222707.196886162,241687.754153081,123021.858461062,315241.156275437
5'-Methylthioadenosine,108601.7193212,473201.234580506,91400.5685593934,312356.239848641,160111.441472329,66269.0021913149,311703.093119512,256363.435770398,152098.80797398,771850.755927414,258425.670063108,282126.502861402,187210.839367524,142438.6752594,31514.7294634866,555869.746329878,137776.103581703,410133.554076762,1543563.03473575,1688107.47158692,123008.962583933,1604725.60800662,1906627.28667956,138305.696665191,616703.979760153,1485143.40661591,219904.847617147,132026.553828931,172316.518225492
1-Methylguanosine,340316.868494114,728215.872505457,140261.639033464,332229.148556772,72505.9729702756,252606.396281165,635455.464240981,120275.45794581,971394.359685339,1093933.84953357,199132.712411703,112829.030067159,28498.6250752549,47618.1254479956,23619.1579642902,38920.3584960013,29641.6060559039,79199.4931109266,276005.23100846,112974.342936833,559103.16821498,68934.925296456,277023.542995631,1731030.70888033,327776.282650166,548808.495902037,1522728.12023617,291202.163323621,2047692.22200518
N2,N2-Dimethylguanosine,41287.3688911922,43373.7582950426,22297.2355211665,32537.8696014712,18550.0839188666,0,0,0,63769.1051513243,86702.9949970405,0,0,0,0,0,0,0,0,0,0,59462.266940547,14672.5636744631,17738.8569959002,228225.407021108,29895.8366757647,53147.5837887413,50508.5763296081,18800.7045213716,135782.73893509
UMP,6921876.733342,7755735.0082994,2301460.04429001,10228199.9434422,9043169.417766,8160018.6653775,7189674.04758145,6544010.35389266,11148818.6708102,10683850.4171925,5260314.21483339,2139296.09888865,2229593.58075717,8126306.536563,2438959.50881858,4921019.14109304,11100035.920029,2788847.64728643,8830385.25660372,13822448.6709512,6699014.00826468,4692766.93133174,8080855.54967276,19819613.3564319,8942459.25884524,14427029.5742069,15314644.1498838,5561168.89627135,29557423.6228173
cAMP,751085.988792604,1438726.91719956,531994.164018395,838088.579998984,173359.369411248,537846.830920188,544125.243720172,411489.464590202,437972.031266306,2020694.8664712,283438.751397054,129235.764288275,121648.317795996,112207.866866081,162953.086547748,217014.970253182,86482.867230578,74286.4406046113,197728.078650979,262851.914337233,956903.257028482,211443.05264074,504236.612156253,577304.813172839,384969.949648202,648651.329881318,168961.95767805,415831.545478106,1525322.18253225
GMP,20570337.8580334,33314541.686911,11964162.8243871,44763858.2200994,29156987.4469596,26925499.0341712,28906266.1840647,15146158.653934,42207181.4621281,50039015.2341758,18388991.7141575,6446416.22909347,6644660.37260422,24546126.593962,7092079.56218884,12757223.1571314,29056893.7423475,9712206.16455982,34331125.6710568,50017361.4824782,26365400.4635388,11662448.5392079,26801004.2388054,3290603.90748167,33135730.7961156,63512306.8674612,100241443.677506,27356713.9236399,75125742.5468149
Myristoyl-L-Carnitine (14:0 Carnitine),713282.003113018,865782.480498501,496611.126171125,1184470.24596317,455980.392325887,443090.443513186,686049.701308706,266550.434879433,821505.671833009,465598.942973964,238909.97908959,253097.134084314,281118.756842063,421403.733397192,288689.541399967,482654.512429755,438991.899852218,698138.39573285,955251.561961551,1382167.14316154,425087.416087775,390172.835240707,890398.159873664,278806.042260353,414958.821659322,653240.836797553,805142.096213534,332943.87260976,316822.978547387
Riboflavin,786060.488734324,689662.32648162,127036.442581572,0,0,47193.3276808277,807704.458046637,630047.499627647,46291.245196668,88852.0133153398,31260.8021036836,1129840.28741483,0,734592.940526988,352000.492300847,627005.007470757,1679527.5671636,629710.877848603,106190.480299471,1378857.04859032,2123931.04520963,667111.709959517,1834509.43959171,1713929.90247512,30154.575628933,24742.5574955441,2616135.52865031,96247.0884064356,501272.000429255
SAH,4377763.59381973,9915505.24312674,726301.08538566,7144097.70268206,3819298.26434416,2559724.08456022,2957177.30029466,3307506.2763206,995291.610793518,3784695.14253281,1915447.80747797,1985947.39022258,918678.389240018,1393406.95127348,348822.059530052,2942210.35684336,1427913.57480708,1283814.78635335,5086269.9850603,2124350.78213223,887075.026330674,3668492.72666794,2989973.98824651,2567960.4810939,3126490.08988223,5383562.08565549,1578286.82298144,2466625.22788269,6652340.34998596
Cholecalciferol,138685.439492625,105103.843559804,91158.9952850889,110243.579183914,80115.512007229,93875.7467264521,84501.3720872857,74481.8068603083,147283.064228946,95756.7213655197,83499.6310724879,92924.496296407,53093.244609335,107050.297770682,89745.0617892465,85703.952371784,88679.4926868617,146369.097539154,92460.9689610524,130860.485312382,121232.80776004,105567.746306075,125658.076817665,40266.123782697,72523.4117724171,142083.146984017,125835.288963061,59451.7958880845,48345.7864625355
S-Adenosylmethionine (SAM),3009613.22779624,3873172.63317168,1818605.68221465,4457013.3195477,2442999.70997841,2476439.98952039,4192093.27078508,1773057.3173626,5305010.06985194,3593648.37482299,1653145.80489279,1952337.63939107,1135264.34854454,3582875.36933218,1151423.74604268,1883787.08845809,2669023.67120676,3829841.3267434,4254258.71135383,5511995.04915402,3425890.9758116,3962654.31977976,2921004.98964024,858879.508165948,4078835.00260263,7857777.15932099,4449688.12727647,1667393.19579978,708467.07457798
PAF C-16,13576561.6162989,14296995.4812167,9640021.69200502,11249553.221039,18921474.5377687,5255929.08453487,9846630.98407357,9868913.46669522,10717054.4623201,8272724.50064331,7463808.30038375,4925935.75199865,2653425.77790307,6610646.84754181,7362490.97143098,7428290.14080436,9512642.96452942,14948544.4442665,12729986.9319944,19387537.0258039,10012966.7537531,1445347.38437266,22228932.7103961,2879133.45769911,5414516.1224846,14924060.0744055,17821838.401156,7286325.09109079,6982482.15454083
NAD,424165.948356785,412466.719945707,170792.729598505,400024.233311046,343433.075218432,348219.613419795,359971.355960802,610870.331614235,653041.740245787,347124.462381935,110617.149070365,78359.4492615737,206369.564787601,613564.196253868,354213.815676712,188156.491380005,285652.109096027,281465.974513616,583853.652891832,296748.615127536,335794.365804548,78898.4959545179,321089.053359375,8150.49672072651,358925.035035164,263618.397422663,628622.744236714,244237.74077128,0
FAD,163091.094451696,132721.020018349,28038.1564091609,0,0,6755.44421260724,101197.081245509,131231.923322106,0,10809.9082132418,0,48731.2541832677,0,137718.699795025,26685.7772201689,115274.134115447,188872.444659273,85470.5214350535,0,198122.478884234,234012.863102276,53485.804998733,190370.566885992,0,0,0,550991.99249975,96185.7365633432,0
3-Hydroxypropionic Acid,175933.217114937,324098.331942828,151468.644061003,197798.673054422,124830.006524189,212076.960888395,160430.926805683,468148.784803036,178368.907184245,251798.213396573,216751.691558997,227439.422835454,119097.151058664,299248.129568916,136496.655875431,217052.986554373,156495.932550631,221873.915880307,491677.201838673,275667.656646387,175193.852976501,315610.107687818,322207.478244405,306427.454144284,349533.336205748,249499.227648516,180150.756763991,147850.054406963,464444.451384673
isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid,205293.488280936,961756.11227387,191096.719555818,593451.035274609,276166.903112797,139051.505894242,248061.090259767,303995.061541906,311857.055757,323821.631081195,354282.505716099,327219.605177038,236701.250173458,346758.382335234,130754.898280732,348397.411381499,227947.568603155,325575.949780186,559593.905132377,425926.693510177,265450.648420074,376715.715275308,512883.043980326,327696.208090318,332450.550623224,728739.809912098,719558.205793001,204515.510493652,563464.568392317
gamma-Aminobutyrate,126217.725970703,332843.072709755,86987.1154230083,236345.048341018,131713.047248193,80990.3528265257,115615.286804282,189915.605021078,131657.168876947,168260.963354576,214488.022709534,456132.561708888,58367.6739455939,161945.982988603,47429.7284679463,162420.849576616,84101.9301088435,356583.087720066,309137.299606947,236798.010910255,151329.55335982,192706.421596019,178592.39318333,0,142778.106045168,221373.767087095,209961.992273714,77232.0929685103,309215.12131452
3HBA,275329.75553145,2428850.11342259,168373.840739289,1609617.80809484,204579.332259084,161118.478631631,2917105.03616937,2128787.58036508,252919.962170947,638722.958250658,1078504.85650477,230844.925689235,768142.925444322,277719.684384222,171656.692835734,1127732.11132845,200205.755489012,312794.957330812,1341606.79700285,798141.634364668,142293.846191621,1305116.58673044,746545.604500217,208901.136678196,1772258.0729255,629007.774411714,216778.482282964,310653.969299381,414245.930958753
Uracil,698740.687082381,3509061.99471837,127613.850511703,680974.654068925,436805.800118627,1199317.51406059,1494955.22812251,1879490.0610909,137283.529005423,213292.336686641,593923.596605016,7766482.67952795,549796.509433786,2529839.45492987,236962.690304611,885194.568072096,1270810.14484578,326065.27070276,800006.181201221,265162.664900444,636848.169154304,914395.555914309,1187078.97739424,2808724.42423963,2341356.37524091,3314883.3834317,246914.873642987,302112.947279933,163870.48377549
Maleic Acid,312095.273660289,309787.494686322,175286.350328423,189265.783123542,257450.012015507,259214.276188267,231313.921123285,202209.746883421,312212.336463262,369706.951747154,515069.750707055,182178.97611301,300227.897000892,265535.256932264,209857.21245437,270464.222542703,227304.123151925,261298.734937414,476614.489534074,425026.545547868,237606.613736344,153375.748083575,279263.545760621,257911.953942623,353440.790246599,539719.218062972,285612.874387496,232460.37666947,439120.953695761
N-AcetylGlycine,193753.538257915,44700.1048421476,32978.3653681303,26593.5556511011,25145.0593529081,23472.3585522082,15019.395998261,372980.551445093,125829.481433196,110717.293143224,59323.7554105612,86001.2722701109,18234.8919583499,42908.5169598507,14744.9845527557,35644.751271589,34239.3420131194,153365.793905154,147845.564197783,92807.185438524,31175.6143524131,37402.9531434905,36606.8728283364,50776.2965437428,47080.8731922551,35456.1636229526,42735.4514858984,18025.2469518626,0
Guanidinoacetate,110255.134044957,43595.8748549941,961738.090467944,1450763.68260471,748894.305877393,89303.076191233,125598.841414814,119801.019095003,304559.392042122,258018.817560984,199473.598191376,393335.858100407,76729.7405212092,536764.306032567,156504.562999922,100598.205222686,114777.556100851,572737.424375057,457013.125418613,904691.976310303,215983.236202487,453847.658861355,614210.740954373,277123.985379965,263520.469543689,306049.430020556,599872.194947741,312194.731840813,1024133.14863494
Succinate,1044606.20707073,7380238.33791471,1641823.92189054,9341076.15452664,3721856.81028914,1537101.63133,3880235.60112963,3933963.53144764,2534189.25535968,4591514.41277977,4629145.5420587,1938982.9412524,4008875.28903112,3258041.21620807,771047.024859309,2742471.07716445,1954978.36622244,1790284.51391312,7079090.54763434,3311466.41606836,1751326.67020075,3696320.5072248,2192873.12401234,4186941.9995788,5468704.81336838,4918863.7190148,2626565.22833699,1992071.03979588,2370874.38184005
3-Hydroxyisovaleric Acid,190017.044087415,803267.638684375,49027.6106787601,227622.600163824,59717.7842897525,103038.360093191,1764631.63573654,701432.977028618,197835.191554679,254094.218722021,345279.431274037,101103.42849681,277837.400516186,110971.717019158,50253.7561634661,643126.952197747,104692.419469262,167980.683120015,477029.575185115,259339.281530993,76073.45243116,325122.513402574,283633.663249484,113039.716785415,414225.884152942,188923.534330102,119223.309024203,179723.495041958,334277.635287887
Picolinic Acid,251519.057103692,2399445.23496446,813221.815930119,2130140.81175377,2592509.85179185,594230.829471079,1194522.53898607,1359572.97942069,542308.543339916,1233244.18918999,2312676.61472347,1735734.36718103,1086868.69793852,1105398.80758458,183004.810301224,1996068.92131529,1992027.76854083,1901659.4267919,4485305.31367783,1917698.01521169,730903.783510315,1540195.09164117,1371861.08905017,224441.304489513,1686178.60202379,8760413.96689746,1387960.3287595,2806796.08617962,476299.618070302
Thymine,64779468.0490159,161785613.742347,61428928.4979603,128445401.312609,73985922.4308558,55522991.5143969,49127917.968349,66777838.383452,95762642.3170062,91869427.7288293,78281776.2503108,114221167.494878,28041961.0831381,112263580.126099,28154808.0960775,64261423.9247375,56898630.6838099,119478650.588233,123924354.670403,141424935.631799,82773357.0769255,107857778.490748,128382093.969218,99706168.5682956,91640739.7420673,140622557.174746,134503217.322475,38895008.6108942,100549544.411992
Citraconic Acid,492875.352848916,588664.988941766,340111.874137004,401733.774843855,304524.07388537,304042.598050118,420382.393855526,942866.260583383,428850.73764524,644408.14070684,439855.282729068,423203.408447843,321957.719747902,544783.753926406,284955.689012497,466202.006734291,354661.182931299,633045.639145671,814451.224620771,746784.860781596,525883.290564316,391267.512144769,472393.897229094,568821.215412858,620189.694654368,502551.875864917,642525.693253618,372425.54712347,787442.135092907
N-Ac-Alanine,747399.107457633,5294595.99109871,1995331.48318769,3544520.16816921,1971286.24192796,765225.716883121,1137087.99394204,1812823.22765503,1181043.7728152,2686798.55991525,2638126.79011238,8790878.27568327,1017129.94690214,2565843.13100478,455114.562841866,2516237.80340171,1712012.61781455,7762005.60603512,8170512.61147288,4105816.06545601,1638614.37734032,2148112.39638077,3561178.15857079,2791186.95085786,2256476.99095252,3730772.75294498,2519463.7105597,1263239.94246896,1114119.44481386
D-Leucic Acid,1207530.70719753,898931.103455235,379417.339901223,984086.526562481,336286.99390068,405840.996071229,661583.932179313,2818422.95811633,970022.980163946,1145952.43376358,665933.044562808,790299.586474351,470526.649669154,613768.534831754,211013.929160197,539515.509210423,392674.801996751,1070094.29613914,1558359.51637626,1269533.28007282,398104.544940174,554936.561469904,794691.323641301,537440.598221401,660511.438909232,812625.649326902,470539.759302047,363903.280079775,1546456.7596875
Adenine,20501948.2270604,22492723.060133,10592453.1862014,20384110.0009166,11670071.9823735,14643285.3307662,29360651.5704933,19959528.054757,13489287.1324398,18513601.1962634,11405862.9768082,10756781.734184,14010391.6321148,55326741.0456634,10091335.4057095,13808317.7949942,10875993.8240336,15614382.1101247,16495945.2555271,15813561.9712774,20433828.6479659,23844055.9790985,35922092.74412,52552581.7322919,24429973.0096731,22912206.7226455,56012079.4972776,15326956.1260245,52183506.4866352
Hypoxanthine,1575653.19995192,41189099.9162143,2865207.64428398,22933373.7127751,19522636.772457,1519138.58714075,8501418.93962694,17044055.8693994,1307149.85622033,7718660.16449863,16837717.3788879,22355058.0931346,7352684.50795924,10731611.1605428,784685.861328647,24097075.7712988,6863498.88978599,37489304.3721999,85195411.6563659,28418813.5455274,8338715.25912599,19469232.5060113,20935528.8048114,4949352.96139577,19514097.0781558,37381381.3654769,20654589.2143734,16138803.0004715,12935625.5321634
Phenylacetic Acid,107898.130897096,211679.422528482,123780.051128961,74171.6986595153,84025.4444510547,122556.888665139,76396.613556598,145859.501745884,114523.480525313,150252.781144001,345274.394583493,214854.050336156,55302.0648680998,143479.568345905,88796.9196050542,35939.9024826122,37546.0559468664,227080.291905456,69045.9817145541,108086.169826171,113254.328486428,126657.466142621,114079.74985144,99681.568367002,101362.739752305,53204.6886413949,56248.5455804361,39686.4333295525,58374.5171755336
Erythronic/Threonic Acid,9459048.56889735,19903186.0246383,7604689.35883833,11437012.8669567,7579674.26887585,8261083.53252134,14946597.1446113,0,21181025.0805202,18026894.184257,7045868.7132818,14157434.8648723,5368128.78076999,18674094.7774524,5368112.0414794,11071659.946432,10268000.2450045,16161623.3166215,18814716.88353,11689190.4521035,10124829.177117,21538632.7109173,18458114.530041,0,8520953.38476037,11045465.4759134,18213673.0582076,6415400.91043908,5890951.43203998
4-Hydroxybenzoic Acid,3428537.64694109,102274.622111085,0,105330.455981987,2372678.4185742,182710.204452339,202191.912749913,2431295.03478405,119829.36893646,276746.483511225,979179.692212712,104390.134397417,136512.501253534,97174.9687047489,108628.494967675,113941.427872316,773734.522635985,159446.397122053,117302.412409119,2602179.18381523,318773.951930726,95091.8207890416,388653.528215236,319722.558650532,162264.014395802,622879.101578163,439599.164978744,90532.1911831863,1685059.500323
Acetylphosphate,71008.2178807087,249639.164761214,110941.657082256,181362.103323667,210526.615256119,98228.6991750169,180062.970851781,77975.8340700069,156198.056189793,213588.275368904,197299.863926878,47767.5867442277,45913.7905247651,355382.138314016,34315.7614033024,136721.99483666,183655.787662648,138705.515485989,418160.307270579,358099.08964142,160602.501206895,92089.6869873464,150774.193366317,0,296720.481641435,496304.702940255,820244.854885195,87262.5456002612,76671.1000420939
o-Phosphoethanolamine,508431.263328313,4902207.21198196,1615439.6950307,5052784.88953469,5735424.21311193,4339040.38697807,2488190.50803073,3148049.37458109,3448620.31023185,3914998.50145764,2965212.730844,2814142.10017488,1709437.63741551,5077734.44183661,546298.778124793,5173148.75777491,9071316.61779041,5985352.11137791,13599769.7580465,8612223.17518921,5460810.13176191,36288172.0017457,4707689.06209236,393825.770874758,4120019.15765038,3766565.29997752,13883569.1794308,2094463.87816604,659093.581246273
Adipic Acid / 3-Methylglutaric Acid,226409.45121319,518971.779512975,225585.004968915,572875.744974226,158219.626735171,217616.000881927,310175.960046864,756965.867721246,275565.135120589,756397.686737526,391149.958836683,508682.197141181,183314.439225817,554140.299823766,118347.100843631,577375.509677273,153549.559120803,673607.501107599,2312609.9088909,673680.570124266,386369.839910932,351302.106107095,476448.563878295,163763.274035029,773493.451710191,732695.975735808,352451.762270762,174789.95539049,210383.603652489
Alpha-Ketoglutaric Acid,79410.8923992705,313359.232521914,93002.5914219058,118180.015397484,138239.854337452,100336.704403703,176826.272792924,375540.542764728,148443.301265911,263993.139014725,238253.65054968,121879.38401787,22412.5995161791,206550.1657301,37246.4889363075,162835.539895136,161201.747284702,76035.240690509,558553.163852504,232258.504803007,135706.793729318,149346.975105487,194259.848634491,0,151662.527682172,188907.536256896,164648.950744173,104681.370865856,100842.957832474
N-Acetylserine,19124.3215515914,95324.0470267067,32789.3879358268,69416.3161492784,0,15641.5595127876,28638.1779808423,52316.160376592,24226.1985145372,58752.5476823879,57112.6258992683,186826.610784398,0,37731.1591446544,16333.9672394003,59169.0013447671,21486.2110112248,162661.026830987,172926.251535234,55753.1204310874,33169.6931572719,39921.6940087515,61798.350878523,42518.4766324251,45208.4463232726,66469.327873781,42923.2289071141,0,59770.8304442509
