,ACR.139-TP1,ACR.139-TP3,ACR.139-TP4,ACR.145-TP1,ACR.145-TP3,ACR.145-TP4,ACR.150-TP1,ACR.150-TP3,ACR.150-TP4,ACR.173-TP1,ACR.173-TP3,ACR.173-TP4,ACR.186-TP1,ACR.186-TP3,ACR.186-TP4,ACR.225-TP1,ACR.225-TP3,ACR.225-TP4,ACR.229-TP1,ACR.229-TP3,ACR.229-TP4,ACR.237-TP1,ACR.237-TP3,ACR.237-TP4,ACR.244-TP1,ACR.244-TP3,ACR.244-TP4,ACR.265-TP1,ACR.265-TP3
isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid,120516.159553766,117899.617780601,328449.191144304,95797.7089575752,0,83132.2188464545,66319.8822495536,89437.7180335962,134619.374124658,76189.1615883448,138233.830558715,111017.669893068,131870.818979494,109173.783514971,138704.349490208,87864.9294573693,65540.9627433815,228476.82369602,138905.111647406,117338.037452178,180241.250517975,162725.132046605,88089.7965324307,234010.13905163,109982.537660523,48727.3013865399,186885.527112867,69976.0406805329,72490.7007913573
gamma-Aminobutyrate,80523.707468252,72522.0280517063,306363.295181091,62850.2785406959,69817.9110796269,36372.6586331449,20185.4639783379,69337.2869750351,110284.252575688,61924.8259121623,183019.011601684,82499.9459960391,118155.186380839,160868.202838391,44564.638329065,73776.1671015425,103582.553038481,35060.732456003,0,82682.2743872861,216905.695479287,108765.199767095,60976.4986480296,0,83691.5780924693,59441.0183898041,188685.005382658,41608.8297244959,49404.7403015922
3HBA,137585.744763441,615553.703073676,405949.882725807,141378.345399367,199068.075972345,614662.835566083,240443.457580411,147816.028464036,158851.228244453,156927.741166966,333991.150446341,184319.791218191,114346.022788475,187006.91176102,142788.821783946,120149.597676071,163625.339654329,199472.147518019,352012.423143301,184675.373926084,275397.136019442,199672.846427312,181383.823499326,5227329.45123964,185414.315980445,160181.621200102,101241.382264893,128373.38494823,157853.089289245
Uracil,3828064.55457684,9561783.47720589,22196600.7889892,3091120.67026651,7598713.24168911,6369997.80593492,232227.494233181,385661.938688812,852053.636070728,2851452.24444405,9734671.37173454,13240285.1533111,2760301.86832565,3901200.25970474,2051897.3050969,936245.820369198,7007695.15870541,1883221.15203754,6288297.05374627,11639584.6926055,4198643.24245146,377728.977609258,243624.706417571,572030.075427247,3658850.25184055,5150707.88189355,3795387.71072829,4555404.01077254,6743344.93148746
Maleic Acid,241316.576915638,200198.308262279,237139.136696935,174807.755287532,165828.930748714,282918.242229451,135437.081479846,151776.345168098,189316.29126466,153262.585382346,166632.755450919,165505.569895242,185855.684661868,215851.670466694,278579.768866965,230984.59815673,141975.780480575,212477.125296342,282672.018388794,208435.194421122,142721.134066504,177535.477163308,160975.932819178,190092.097828904,226791.240856276,252305.284819618,157502.86942415,164832.803453161,184080.04321431
N-AcetylGlycine,14482.1315539027,11786.2551613684,31620.7168311785,18918.67702911,8854.52414365989,21937.2570714047,7587.93547152575,15092.336157405,12371.7807552574,11532.8551223262,15291.4836861433,14342.8472576686,24174.907056118,23829.6817290308,13816.3918991303,15228.1913698376,11037.3960324249,0,0,25750.7130678882,29663.8532157658,11305.0749038118,12813.2996132383,100890.280962728,19905.4990303471,9633.48732383599,0,11240.1616412155,8410.06764142564
Guanidinoacetate,22966.0203115703,7081.20253589908,12280.405591311,14678.9062322523,0,9485.3336065174,34738.8320265366,75112.39747775,73577.0681086372,11908.9614669837,9402.3348860001,8779.57582901659,56739.0672307577,39600.4414941424,36288.036153966,16924.5496312746,6732.91059833564,37868.8377503772,116043.257980439,58215.0299770764,93964.1245163897,34586.3307286871,40182.0692939162,145341.645993928,9340.66836605452,8930.5403319332,15687.7036939643,7033.87744096962,0
Succinate,1100666.44627165,946556.93247688,6146984.60008268,685846.832885508,1275847.18137186,2795904.52098753,1180340.36730316,1723443.3059698,657574.082550035,2665542.4789689,2457355.23122419,2291132.98063856,1725706.3948968,2699594.50181176,1035369.87193279,1419577.94611358,1457369.75599,2054877.14261235,637131.352009096,2504431.92763207,1344853.91565888,844937.310165994,1479057.5663593,3202721.87736703,2631861.53189315,2560999.29431872,1647518.31160843,727811.028146236,1325069.39314355
3-Hydroxyisovaleric Acid,62741.4333250576,92095.7599402293,140221.036575123,0,119379.298135859,224232.272963368,63428.5545234898,69761.1891122725,0,47594.998732465,266581.232486577,56541.2715312997,74533.5810294924,93240.0642285399,0,0,59070.4396290643,0,80728.8315181955,73677.8812533119,40853.3192219881,0,79008.2375421488,208404.481251016,69829.793848275,75513.7456714592,63182.7814349013,48536.0207609992,108169.0706044
Picolinic Acid,1095163.53746219,3932724.09946527,4682968.20406409,1405772.47392807,4991269.6370943,4549788.60090498,1222111.35110416,3150156.27241833,2258336.96934986,2887740.41230785,8815067.64484375,5978551.02336874,2525478.08710757,6871930.41379379,4301626.65254148,2607011.10421722,4607945.02842171,2388510.8219519,459027.191219817,4550239.5972614,3773226.52445396,2005650.4589191,3729254.84990444,1892706.86732666,2499255.81915357,4198718.15334287,2204122.1088074,2568841.67292565,5575279.88754537
Thymine,15569076.2310206,21930579.4882476,49267389.2107275,550415.383164182,11051522.4229862,1991348.84479457,627821.550916963,1618540.68841647,1860717.56392481,1042634.3227056,27992279.6322939,4997268.5383363,8188129.525781,19685717.3487607,2170184.39933538,4129031.87894894,23925132.3641994,7437599.57135023,534431.763358117,3832822.36161499,5451845.53344563,1936285.40175732,1518564.2165085,6601193.57660619,612096.337382039,1134034.59845785,564025.225411719,874301.970047995,7974089.20641799
Citraconic Acid,293172.922586,244284.194708859,347810.508368118,231167.017903524,254527.87326271,384138.318630729,173094.393255193,252977.435361547,202406.394812746,185488.068404477,281048.752614952,177001.808098279,364116.763073038,385803.948478819,264738.675363747,211960.207173497,171119.904588104,359790.929798926,383152.919198039,390318.124878144,332540.189079517,209613.464488915,258664.550980394,391713.443489258,299511.145871637,270795.388580341,363903.801886551,169182.869136105,297642.859950081
N-Ac-Alanine,202694.245965981,744108.62478772,6271599.84501199,147288.099944978,386440.490499582,212299.370573338,238468.180667,329997.774889023,291779.171318625,156376.226367058,867867.996777288,442290.743467069,1620111.91008696,1188865.56339883,271217.246205848,170668.547909317,2120762.09409548,217650.613987546,40814.2541741744,386290.832906439,589766.618779924,167139.76561091,185212.899728956,533915.439819995,245780.684414511,206714.541984252,197944.145029533,110865.518647866,590692.057948149
D-Leucic Acid,408490.780290227,472712.432736964,1768123.50926262,292779.628946248,310132.165205246,328746.498991846,167541.37828934,337186.614620976,502341.994905168,344483.235467672,731477.764105821,463613.461479011,551613.751525748,858923.485413344,409741.135599712,423274.700365263,450634.39715411,835180.186947042,445398.37572307,441187.240402639,713234.950886479,477288.800223826,373574.720908763,939676.493208825,379743.309817791,268556.585131213,596780.248010757,229869.154466646,253023.674043303
Adenine,281884944.143278,285004924.863368,503326113.310766,221419051.324345,293730735.756732,159299066.088225,52715915.380864,128854185.611058,214833333.124447,238683109.137463,496886566.073364,341052453.671082,211730187.140913,459174330.748562,228904438.076927,167994854.707216,200857090.192269,338794452.941484,438674124.502303,368519519.820386,440046163.704516,193067035.454079,122841330.891368,297310996.384965,278618228.213329,197184601.185263,364979919.439822,195210981.194143,167609718.465065
Hypoxanthine,7510959.20196776,16459197.7033473,30336203.5438503,9774987.76726628,9497878.43154369,2240205.30772016,1471668.97363079,4259509.58463061,5239746.54191933,11903413.7327727,27284656.9053102,14900055.156864,18452758.9927466,23514792.6865522,7936372.1005274,6837935.72324937,4643259.32124343,8808917.21341343,17943420.2988321,18120652.163756,44547695.8919822,2787256.39947982,3450601.91586696,6299516.24219087,8975011.69168161,5467669.34218027,28955932.4638311,4195121.80153062,4443917.98142033
Phenylacetic Acid,37741.2468613178,38246.8329399816,76488.2259633422,81532.7886850821,88580.3717447572,255086.70162604,35481.0516113551,86648.1974892437,95642.6909292424,38777.2514914834,118993.521613419,76493.3986416347,25891.8780373168,54665.6391811132,102285.057897257,25236.1164534297,29844.7474686226,53179.4239770467,18066.272183325,86582.6875839466,51437.0730897939,29720.8990320215,82475.6431668973,37831.705524745,32069.3878373282,78990.9826138635,59675.5284039079,44579.86778615,28750.1199546036
Erythronic/Threonic Acid,8293145.22167871,10694788.2296236,55438615.0537143,5263005.56537402,5736452.53370478,3091298.20469472,12798680.6310117,6995218.45197402,11039440.0230465,8205088.99384311,13674118.1226408,15682221.2687491,32468600.5858806,13536250.1204163,6080400.34308479,10155858.9543846,6797581.69295973,4278060.39168085,0,12008724.0551865,14370294.7072632,13190975.4344355,5980299.04563809,3204869.1234196,7572710.0106036,4394586.5475088,2463759.4233082,9593311.63855595,2680085.83540416
4-Hydroxybenzoic Acid,219334.500758207,169382.60825522,383768.510741717,421398.072375836,556081.104177465,453882.828923981,144965.890763179,152794.59467981,406220.298791161,168403.216560161,176938.542181457,494533.263376952,24705564.8888085,202951.453629236,799762.50791066,211744.973622498,230759.921683969,1477316.41681599,1360358.23576345,1240723.93341206,181374.214136593,219107.287927436,167667.130273646,96392.0782638179,169362.050154979,8941457.38777443,1950774.17402815,261564.174831255,2280952.62609703
Acetylphosphate,43966.472508297,0,0,49769.7073752505,11767.2685065554,7644.32796825109,0,9618.66259372508,23915.6383964484,51147.1368156335,25193.493073955,7226.55973762714,0,23869.6048302566,18507.2370194768,31895.697093699,0,0,0,24632.1850179117,6620.48099430533,65996.5922488608,32822.4250127989,0,30330.9292112758,25769.9683104463,0,22134.1178974886,0
o-Phosphoethanolamine,497611.848834843,442334.180173432,211771.090367186,647756.733327224,564554.465641916,488870.283402311,985992.753314957,412249.588916914,330766.978621728,1147654.16586708,2252148.91234218,765698.539832655,313972.117159207,1032017.66330091,523444.017381463,1063772.17948898,272847.252263624,0,455698.993527833,2186674.63059996,2960329.22304356,1731254.59597956,971709.531076254,163684.079829033,1836082.78814355,1425961.35654981,146016.588681054,761998.410980651,516602.809275166
Adipic Acid / 3-Methylglutaric Acid,168779.637907174,160132.763348153,348223.717726865,247284.219270585,130171.176565301,542985.743304752,130721.982969185,200743.785585543,174087.1705012,0,285166.819431826,198751.624569723,295662.029576854,361920.790060965,193606.371962852,155247.177250209,148403.685152257,169904.655343507,191949.921959229,399894.12926343,256199.898685574,286493.66512804,281123.343819373,248928.179622361,196812.571447948,167737.562321828,494296.162888992,175165.658840204,0
Alpha-Ketoglutaric Acid,31144.0567321927,184116.626997118,189179.386077994,68707.2491121197,137155.679772619,89412.7419461925,28858.4927553822,109709.770488875,61451.4155812561,109466.786568808,169670.757889233,134067.844079363,0,317814.35123535,102975.778306189,209565.775970791,101176.882221973,53459.5283065484,0,86967.983762915,95127.6831843301,144337.318756376,112269.589464984,0,187332.855972093,145244.333430031,43049.8674612499,116914.850777063,148913.755681273
N-Acetylserine,15638.9450133166,0,130928.340082431,17596.2542956482,0,0,15117.9033862894,22074.8099724544,11337.4592624708,14756.7827375822,30653.6345324579,24001.1222007514,45293.4267991829,42745.9763185381,16648.3699111115,13668.9184884102,0,44256.087109088,66206.9380692952,40075.6156918209,39633.8121011756,17673.6132054998,14071.6240436753,69527.4392746247,22479.8047686775,0,51360.8550577922,10708.539340672,0
Xanthine,1315937.31094295,19975796.4164666,9162205.23748307,725980.308331664,11254973.8425022,4196959.09134604,230789.351948316,886469.080400029,562617.059317971,800918.78811383,34849347.1244629,2715711.60964522,1236827.66095628,19859260.9426042,898429.10302991,1502729.86447993,3691331.12404538,3659638.72893281,2588915.70644461,5698271.89345183,2057368.54091833,391790.014890252,645081.16094325,3486445.42213023,877950.707276744,1637787.97226098,2162300.65838864,948254.621930507,9548755.41249121
2-Hydroxyphenylacetate,63892.8879584261,60533.7843732484,94474.148092047,80817.5910690705,60829.8498867961,77356.0155012366,33976.7694943457,79417.0340803148,125690.214028617,71600.4771617373,77189.9740566328,63943.2852368105,54474.9720343501,130324.441811594,89778.3184221598,70593.7489241244,81824.155378873,83141.3134464372,80280.6517542456,77694.7404914961,218671.65944585,91170.2078578673,40625.3533497178,82627.216202435,52820.7654586068,39320.8489247448,51249.4754180068,91095.8441175151,60769.0114574485
Arabitol/Xylitol,42213.9245706997,95206.1852755052,101415.77101047,32786.1313844561,81483.2601953944,1686473.62067319,38005.075194368,101969.193719074,55061.3429081848,65380.8984742076,144451.840848636,128737.62397977,132211.668386813,175110.811151572,120763.67239698,85405.8418518407,119852.911508383,328208.07338181,0,152531.401537061,80417.5487579604,51029.2773216857,111072.690421913,206390.59743823,95512.6034494496,124471.538301766,108082.950381527,47670.5644969419,87789.6454938131
3-Sulfinoanaline,0,13690.7533658124,23883.4546678804,0,3836.12038714705,0,0,0,0,0,0,0,11969.7041679959,5007.65228303153,0,0,11159.8936724277,0,0,0,5534.27791467324,0,0,0,0,0,0,0,5781.04674360185
Allantoin,286528.706698073,246695.757989896,233680.740456606,214803.322599517,274456.994497517,115834.249256458,106721.893274416,390652.684617455,263949.199293276,132964.205997862,565967.847538428,183832.868248546,174235.809339811,393390.603770105,235957.491198585,314194.077502912,203658.162350862,1077414.72483558,840143.947718016,544614.531420417,556568.50369649,245045.03774822,467253.647015848,1333356.27516153,126536.153768435,197917.688598829,733110.173645432,193568.911782291,179723.27570514
2-Aminoadipate,127145.606822341,105481.956793122,113206.639449642,50967.6129362998,47665.048747513,0,19684.3696635872,31650.3742100885,28345.8580339804,105011.614576061,102126.806293879,86550.7043255438,90969.8470927104,38893.4382618388,26407.0138889366,97479.8181178436,58192.2699815184,19923382.5312749,0,37703.5021344398,64999.3176372168,21324.9076602659,29037.8170345952,13815550.7772407,48209.1118471823,44992.8931878702,5155306.40637266,23549.453692583,0
