,ACR.139-TP1,ACR.139-TP3,ACR.139-TP4,ACR.145-TP1,ACR.145-TP3,ACR.145-TP4,ACR.150-TP1,ACR.150-TP3,ACR.150-TP4,ACR.173-TP1,ACR.173-TP3,ACR.173-TP4,ACR.186-TP1,ACR.186-TP3,ACR.186-TP4,ACR.225-TP1,ACR.225-TP3,ACR.225-TP4,ACR.229-TP1,ACR.229-TP3,ACR.229-TP4,ACR.237-TP1,ACR.237-TP3,ACR.237-TP4,ACR.244-TP1,ACR.244-TP3,ACR.244-TP4,ACR.265-TP1,ACR.265-TP3
Ethanolamine,905855.179892768,667414.964434137,848118.957068992,433685.25669709,343707.139549514,458287.918661389,345542.976734784,2457307.13063205,857763.608094882,346004.476251087,1293236.39142614,1053926.40603845,706491.563034936,954455.885150551,424284.070655297,768773.671696238,723747.682591995,4545038.06864113,1933225.70806546,1084685.37165076,1717118.69828172,669177.978717715,1509326.80424694,9626324.77681878,217801.270490934,559561.671970322,5230906.91650736,356096.94782362,364972.946046776
Glycine,415610.262630827,305689.04103628,1838936.12226214,289888.257936742,324248.702745373,154318.51459114,246148.1250044,257483.242669343,215835.498098896,196042.200685197,362379.630501855,302988.069661019,1176792.56366865,687585.267502907,252641.565998441,513175.423319569,912885.344503804,1466096.62003785,1085079.23096673,571677.109310952,970427.809604369,279535.061821377,195602.864117009,942110.163163115,234198.553242628,198971.255141629,701087.985000071,184600.688687204,363868.319402672
betaAlanine,174595.65422107,100124.00904272,436714.549466979,66660.5449189141,44251.8351969655,59534.1414444195,54639.4984137271,71446.5768062102,103980.971389836,75681.8164903372,86306.9287861386,81163.1134032923,188496.090517282,123581.634726699,125262.115364823,64657.4293058322,53016.2439336834,211377.550995694,154454.388766114,54210.9911796087,60670.7216157901,95129.4155367686,84167.3153910753,268836.30502223,65112.8243086904,66777.0916896476,116958.927036361,73367.4152301439,73440.6937761973
Alanine,1930248.94541869,5824761.03185091,27691415.7491984,1223273.84482613,3391439.07958427,2220402.29315113,1188836.16151728,2475635.75427775,2023858.05287556,1093937.39245276,7097393.05158568,2588469.0959617,8784071.98023565,7908021.25692724,1751389.65862796,2573784.4169034,10811454.8281025,6588787.69369303,2861129.28142717,2837207.44523365,4823094.18063504,1589307.52317863,2033427.62709349,5465192.87945195,1705485.86024749,2105214.94937783,4772345.21722411,962550.280108467,6356769.89101251
Sarcosine,1335573.19490571,1170985.90449472,92701.192516139,41711.9855337121,123276.636281929,42762.9100788957,30074.6872780795,31099.539877173,47669.5166719627,580292.753281484,52834.4192290131,38782.4260745799,100728.632252706,80333.7803379359,62261.2342731866,87242.8639678063,23742.4728673408,2086773.16052619,262068.083869819,167037.184063324,340326.495741618,38081.140571728,22799.192679471,147768.344431141,75308.1758741715,2117163.46816401,828800.826580919,41650.1232411017,79610.9927946432
Choline,82361200.7577531,177057397.258862,314295873.734452,78466451.6696057,144081462.356802,136759256.606638,112882774.50671,183441534.181708,147510268.314117,72327654.2764399,220301878.457488,173764141.291712,211642631.620622,213070625.993546,115537036.814578,77913321.572519,341447494.292972,278818530.62375,160321628.797877,150149094.251956,179445803.175391,59828512.8944446,124727227.156417,310196516.022385,98791412.3650405,130459728.164595,225491348.468845,52209301.2120031,168988280.48125
2-Aminobutyrate,143013.032385221,245173.797285859,459974.769123768,88995.4037194861,53695.1294111395,63465.1352739244,0,99910.6868479791,138002.994558469,124872.403709116,133117.091457273,146191.500128328,69473.9334909746,160858.690897285,98322.9096110366,133395.025982025,39538.6288581531,464894.80585463,415768.882141762,74652.3176865584,152422.040651864,128147.999312822,78759.0275221068,281345.644540964,197158.35281151,77513.737262175,220398.346466092,81248.1288637966,0
Dimethylglycine,98332.2546660711,718444.427642333,290742.549021505,150068.035036849,660217.301885764,220255.567685193,176533.784076854,286751.508710914,164661.75419193,197793.193647474,566606.169702653,408469.502223714,320341.260939399,196731.539760004,235318.346289031,287154.941234038,636420.76157256,161952.570771799,0,688472.22767624,334927.084526663,203287.940373205,208065.62379051,232135.830384597,614220.767803435,1038319.88527761,154404.682234916,197974.617245512,448270.973101445
2-Aminoisobutyric Acid,1776394.19511761,137882.302909173,494634.957596256,863832.240727075,71550.0454330479,200084.727428484,464936.668254913,170316.251833533,331334.006462878,1533370.00801886,230285.158223158,206522.033337296,1531321.12006567,404147.520994094,246258.555200107,51261.1070795083,99900.9743259206,677076.696907092,151339.861152188,72592.0777882153,213168.593943122,81690.3088670947,178153.342158659,694211.03390054,68160.1808203415,126837.540517244,455971.305617921,40666.3639844858,108368.556559299
Serine,4593223.38016706,7945784.78210115,44377293.6095994,4616686.70488441,6350671.80119322,4590679.33256169,3259016.14952213,6380137.59775855,5197541.81227104,2919357.62062636,13832550.8621145,5609978.08284542,16964929.377388,16639487.2721551,4690979.48430183,5677000.17266112,20851401.791935,19433751.4983401,10646667.3152975,6740548.4752872,13023153.3104941,6909362.97256786,4894249.44064144,19888258.2972568,5329239.93891822,4625656.90249905,17701108.670746,2829747.11329251,10756230.6968661
Hypotaurine,129598.334148921,61148.2146384122,15338.9215835042,155680.672260308,101141.54963482,74523.4497123215,12398.541288322,158257.681446773,341733.986737969,651222.911000784,485233.972316232,1469453.29977568,31927.4202917284,291344.598227249,476454.551426811,106204.05919617,0,370997.471631231,300899.810255011,131777.540100212,130541.400201115,197178.869224568,123936.243610911,542498.456213299,231166.905409169,141136.260762266,465839.156335206,53109.5010925748,9744.44848916891
Proline,1503510.04083225,1424056.08212582,17983676.7374772,3574994.79889372,692353.486896713,889297.538543771,541271.565456717,1200177.84015847,631861.220548127,1388126.34452481,1859455.82417231,748632.772074981,6487047.99488779,2176114.34184311,2267766.03140056,1228594.49145223,432324.861020888,2014527.65389912,0,1441560.10744859,1336882.62003728,2239254.90608204,1085278.36868024,3710428.55296191,1799165.36703346,1506926.02676858,2706153.36880614,1345986.55112313,4374303.78781316
5-Aminovaleric Acid,0,0,30941.7768231611,0,0,0,39591.7839852761,63003.0020717723,43212.0020074856,0,0,0,45224.0163042517,46803.1865774174,0,0,0,0,58225.3208375139,31699.7355280522,49452.8351408848,0,0,101354.564862192,0,0,0,0,0
Betaine,100863610.563939,159799947.507882,221235101.47649,175346737.288287,348473562.47938,259834781.566719,85292913.1285074,186923279.829151,158670531.858296,228243058.506338,371845229.728109,138927572.209724,216888987.546332,157803772.637052,133313373.638518,324347171.321961,233551475.178014,246438552.464007,684080137.132666,185297023.612294,407799284.224554,100786786.127186,192216714.745022,167122116.178804,186743926.316653,174133990.546477,133244488.280338,159701730.330212,385426229.690147
Valine,372704.430248049,4231780.74701922,6300020.67232155,152610.633158806,2608471.59208217,1064815.88305347,289969.483613915,671233.192420842,422760.926509127,657603.338503399,4497870.32460512,2019998.10903402,704424.625012645,2236003.66089565,1096586.80776977,645132.931090014,5585942.03298996,0,0,733593.073581656,481970.984345897,351857.232004853,1018008.75458779,0,547516.281562624,1462906.25640552,0,585099.999709676,3557332.61380393
Indole,13340.2116420042,30274.7668830939,123822.448937018,10588.919527793,17340.6249558553,47970.4405929628,0,16470.1360175831,12925.9110383898,13793.2914127564,42755.0121178017,22300.0594475407,61169.9861736837,36380.6142611217,11447.6187348408,11111.7334347974,22965.1445515367,15202.5865906893,0,15424.6042854598,118653.124519986,19653.1744967442,15313.2142405806,18491.2968243476,12484.1462130654,11529.7973842937,17302.8596245449,7865.7305121805,33059.240112251
Threonine,2915157.61894177,5377358.8817933,26343062.1190831,2502159.36588823,3855476.79116889,2426255.27254152,1599251.39500706,3142905.63319202,3065504.52533331,2089749.00881597,6329833.78499643,3302699.64097025,7874844.37175067,6710631.27640891,2466636.12700801,3613171.65504322,11524949.9111983,9047665.77228373,9857526.87410911,3172577.93595592,5433987.35549623,3719178.13138899,2780166.58716526,9897117.1765445,3016117.7817024,2501803.15918852,7880120.46979193,1696966.13226611,5998184.31199714
Niacinamide,235717.31442578,0,0,340395.419400002,0,0,305282.299675183,0,0,292657.090948898,0,0,0,0,0,340566.934637568,0,317338.056640605,795844.042802673,0,1807629.7644726,1120564.02790853,0,1680510.85711758,824292.773549609,0,581494.802681195,267485.032454297,0
Taurine,28290.1151561052,45534.4431338024,83104.9170663375,17409.1490180306,35065.3099248959,31814.27243778,18015.3544061812,36749.2160170188,24221.8568119397,12954.1688520325,41034.6417934441,29366.4319426686,45511.6610321787,47989.6827842324,37980.4409176354,73149.6030182144,84482.457107755,159245.662899243,38059.5875094767,52001.171022979,54364.4396708981,23089.0453900399,64684.3638902737,131277.95679267,57008.2631543444,31944.9073276049,71573.6666392161,18996.2589390682,30352.862363798
Pyroglutamic Acid,204711.813690802,425965.983030121,338156.626141572,193065.994317507,286471.619884761,225691.585206446,78105.6772409475,209616.003150256,129769.801678241,249288.833280297,487378.202108956,284866.752280963,202870.437649265,438425.371470233,178201.918647519,155880.838454011,341886.733046622,412942.039634345,91271.7762895401,138471.097956567,942921.428983715,127836.038958022,271902.487158439,224175.070737723,123723.734175973,461815.358476836,458528.334067361,192353.348791787,268437.30947538
Pipecolate,779204.561156061,651496.855414278,1332917.55319446,379772.102314075,179473.087404129,153172.835310084,324905.278886656,598980.709696653,654412.310380349,599580.588147077,596900.835486302,875716.662082776,816911.094217354,907909.830876545,869074.140549251,686883.929404615,429384.068251515,566254.459850881,3271061.55992537,662695.836171974,675315.447031654,815709.671315669,567920.965128224,600039.447275393,1091464.51242053,519701.680677682,225896.511070373,250424.901792881,256267.954819847
Agmatine,112625851.771487,204347810.734744,426271128.200384,68072344.7038104,105611007.387561,77566855.5105531,73764748.2018165,116400459.600439,144613149.661736,80463986.0886955,261998693.51399,146985373.920801,146599429.985092,207176995.829936,76816956.541027,59337123.654313,332196920.264459,198964334.629618,146534343.083178,125337743.702957,190519433.861461,92417584.7473895,83129340.5285645,219190066.681098,38649718.8781301,75955502.6791836,146829787.104947,35767974.2988459,33180221.6283315
Creatine,551763.968014614,181370.351552272,1133844.67277005,104864.431472925,108644.532134366,109751.368548376,3109224.3434316,6271954.15299937,8462829.17651128,617617.05087438,1062262.77112573,711216.023152617,710628.386331157,768699.636154796,555786.047375886,13970087.4629306,3104744.99017504,14304706.2160914,14255463.2922023,5587083.1367713,32479835.3383897,2492256.12267017,4093828.28941124,10632543.9716852,655089.497709998,454814.331583037,1785411.83945655,320115.584424012,98875.6416903121
Hydroxyproline,3454481.50002548,1801549.61497105,3774681.76622088,2073365.97784676,1212558.45877824,894286.961652363,1034732.50436021,3716659.31526855,2945766.56174283,3196615.88571767,3336053.2476301,4212251.92474232,4928697.92509018,3341378.75277628,2881309.45401592,2444047.88248405,2505763.41523917,7299991.90644756,4164303.94478093,3327713.14157509,3425433.11812479,2578823.40407987,2029676.93120775,5157800.77992037,3140593.91299667,6328817.2851438,7456816.41924767,1053163.54539475,1582619.94035698
Aminolevulinate,119415.528541962,44674.124403327,122363.50355704,0,42832.7743557411,0,126088.481146283,240054.623750557,297249.021130309,90137.3616683862,84065.0186766661,113027.425247999,136170.073228167,126605.031541098,105565.396296127,425267.549914711,140488.265802553,566466.057417252,479313.448124693,237892.775868395,901453.149087482,117796.99146198,149691.609534319,395469.814638386,94442.6997706371,156676.860622698,238123.396401563,0,45832.1486225816
Leucine /D-Norleucine,28039053.4093335,33247279.3300551,180126635.332715,17152221.6071087,4006048.39231941,8078306.76378898,6853858.64979303,10330010.2665066,20531449.0846281,17169474.213635,19213543.7432726,31885769.2414687,36944148.8873532,60944672.1154186,29438566.5226924,29879085.2399278,3740458.57400707,17886998.2047253,68430603.0615242,13826617.2511893,35187423.8621554,29034951.3603148,13095384.299765,12155375.0768661,19214798.5665726,8309256.59600262,20602010.6211097,11352447.7366382,3507323.19411833
iso-Leucine /allo-isoLeucine,2023182.68778759,7130573.13326494,16055964.5040068,945614.275064416,2150139.35920926,1635389.69834465,333367.87108673,693481.019858192,845084.712637965,0,3553991.04106317,1510184.13043479,2054751.70161246,3987109.06672958,2023961.55712132,2639635.41686649,4449733.70364944,12441434.7340741,29239457.8456644,1092214.93753593,1073844.97203425,833761.527997363,791861.042409237,7498843.26397423,1555326.87360128,1678835.59179244,5889730.54027163,1071874.06256939,2727686.28162695
Ornithine,1074271.15731917,697472.283880523,1532375.51882417,1508192.80902284,574248.607072105,398749.806191498,436454.414929356,1036295.45249656,435202.195420548,731160.521111082,1458002.79825561,640753.178914856,496480.48062634,563329.400434795,607537.820500098,479730.470672332,342694.882051978,1238608.58137812,175971.880356506,1060928.16746579,936781.370307728,996499.349194125,931329.650816345,1403846.5291155,821766.556466611,1030046.12502971,1853246.90148896,616704.289740505,463100.719815873
Asparagine,1102915.72597431,1908600.37081903,13100062.0467621,1174641.89698679,1799338.07989205,1111812.8842962,805014.351155548,1735154.19766881,1488207.89649894,893318.78596125,3821535.46516005,1511333.007715,4608682.9718818,4896195.54951826,1118960.69954834,1356816.34025459,5524905.31904117,6113097.20873781,2508616.27125636,2019694.24902938,2996937.01127782,1432844.21739138,1604458.31727592,7368230.79574252,1271890.69277314,1143301.26987785,5198910.55434052,714087.906688884,2440834.66176788
Aspartic Acid,2730168.99540112,2478083.08402704,18929821.2294407,2725206.3682715,2501015.36499441,1870736.0164466,1995322.11025004,2172545.68004926,1951023.15349141,2060867.31842684,4623124.97289111,2321249.35897548,4935345.53065791,4517711.65517083,1738419.5557848,2516187.51881879,5015021.49628518,10404951.6485191,0,3106582.97218504,5134631.60520231,2779292.60019288,2107827.42444009,9699714.88077681,3506644.99710293,2614286.87586896,9867800.0025254,1426027.98522042,2669694.72375757
S-Methylcysteine,61443.8749580997,0,566618.119547374,0,0,0,0,0,0,0,0,118004.769502293,112182.439579984,121105.66705873,52979.9638199566,79281.7030402093,0,0,249284.654427073,96816.3189347953,82863.5873284503,0,0,85523.1109110123,121143.961520191,0,73523.2769690674,0,0
Tyramine,38283169.6322664,11124947.9598514,119755029.759867,2532461.21549898,28755961.0518877,11292783.1116086,7414722.37303741,38334368.4147034,27386897.5412612,9196056.67565661,190189514.66061,44885254.7508662,83917058.9513609,155039050.889867,9563774.56649755,16956407.4618439,141991.025313205,35351360.6264649,16810749.7548051,26238839.7095813,61598073.7090011,13962679.5927703,29079480.1269103,99087427.1262059,21941907.5807459,29473076.9489242,85024113.306854,2172868.90549385,271534.448382457
Trigonelline,34232175.2059145,16256148.6030067,35074573.9613277,38394677.2427553,27778976.8932761,14320660.3639818,18628438.8092177,34248969.2438063,64741744.6895739,20906558.8916695,23386394.2921446,16646287.0493094,35954227.541617,36139618.1718732,28109036.9502689,30620021.8272709,24539481.3433059,119107484.300081,0,24622262.8722436,59181422.1882754,28547933.182243,28282660.8340902,87012389.8265533,8501315.71109122,13767532.7475712,31335237.1672731,20946512.3410914,16238031.8166617
4-Guanidinobutanoate,31299820.6016908,27703297.8217988,54674031.8512102,5926152.43424604,5377729.70664528,6572873.14143449,20755053.7448368,39374761.4132388,81000733.5570749,33357937.0696644,66115244.6395911,40121611.2920239,47217302.1847925,65070567.8799871,44939124.5110206,28754110.769885,21953641.1059032,67203878.5345635,19120272.8208681,20247486.8967175,28874927.4720429,77725232.0065525,38092067.3159003,119008180.473098,55969245.4163876,32347654.3323471,75801033.6651389,5605801.83976107,7725250.8007377
Glutamine,23508245.1403466,26650038.9146298,78749739.3468427,21670931.2647244,21405583.4676318,11046363.8717536,7150474.95430906,23381839.5879534,18042374.8859461,20089170.2055992,54596760.6176732,21218107.0576156,50413892.7098137,45549516.2489504,16780459.5610958,18949279.4649063,24509966.9592792,67391619.8137749,42757777.7575002,23834064.5403139,32344777.6924198,28457138.2596562,22125974.1371563,82938319.0536762,22654563.3206026,14017868.573977,67545345.6564689,8841908.88710302,23331801.7433956
Lysine,30748604.3076232,65973585.9729,32525686.1952202,13193602.0132388,15101960.0879724,17548980.7063591,6075089.31232631,13942146.3676247,7156129.55496806,17047425.7990961,58322792.849338,30057985.6866181,4087513.39889389,8230722.62934595,4146017.03466039,17171743.4008038,44261956.5909612,52955824.8836456,834919.920891318,33744867.3138973,69595563.3246953,9152124.32351914,16044299.6401424,11561356.1035415,12869340.1070686,14105792.9256575,17275932.9540924,7035980.17729727,4645545.64962698
Deoxycarnitine,1052107.30675306,966719.9984395,1956602.75957253,208439.71795032,188119.888990783,282388.431296816,674235.065287226,1429670.63024384,2805487.08108575,1134674.31366757,2325404.05099023,1323694.50365689,1716841.02026744,2318255.82422114,1511876.01897038,1021694.27306538,735522.736058991,2444787.13296217,756875.229973363,687179.381291232,1058975.3186972,2637533.38937086,1296855.14473,4145570.55660196,1934349.88583878,1065425.70964672,2661615.71743951,202603.722688249,220151.956170188
Glutamic acid,38110913.1519446,35729504.1701616,138543056.848972,32186682.4959352,29783416.0708516,20383010.2213497,14184481.1557255,35273383.5157668,45299791.8175978,28279355.8173761,82154099.9136938,41266405.4301399,59437194.5956651,80383653.8330642,23226040.6806893,34737879.9862939,53049264.5848464,151774933.400665,1615657.16286881,42218692.483623,98636516.8887348,60435145.5072948,28428232.5285517,164472413.334482,43795182.7818559,28193916.5304023,117711421.020943,19410430.3836894,27521622.3019813
Methionine,1216981.83931242,1951793.21565519,264024.338572302,1207823.30451866,264472.865792655,308411.969930762,0,591897.287860181,1412364.3913923,958989.337761248,1446196.32663346,1735918.79134882,137093.948959041,4419124.23842698,1666997.80532156,1698512.78308276,17653.3773181645,8148443.90737386,350976.973758475,982001.107634752,2774244.01506232,1438027.15735294,775392.372400842,6690215.90764077,1275564.68562498,701173.949099102,5431758.10853026,735514.429998679,95256.3663992307
Guanine,51903640.2704855,42979707.4977785,121689469.995259,18532462.4617619,55799343.2813692,28373685.2650008,8392946.3382003,41359846.6177171,32534073.3060954,42580824.2147078,122372122.145133,61291569.726923,33785544.9232661,69311056.7379164,16093280.4284661,18531760.8313197,84458213.8647101,69841839.3402368,196512304.963939,60945866.4202332,61324302.6197881,43044271.3148732,38053622.3263608,121361387.470617,22173089.8677743,20289630.0850215,30285319.7243689,15566970.8940642,29622746.3481641
Histidine,17071013.3956262,20999063.8528205,119860403.957985,13997294.2002194,14520688.3841821,12220800.9718332,7984579.55974626,20820904.1015892,25694785.0600305,10815694.4486633,32667998.4653291,19679133.6000921,43289443.3622993,50991575.4609233,16410148.3019209,13993638.0349642,52073433.4342358,77783115.6396456,45293755.9773578,23355734.3790223,39115375.9050951,27720670.8048204,19547185.8486807,124490297.601789,14609602.9878632,13388603.0137228,91044518.3837927,9384917.35829449,20253316.5744702
Tryptamine,25696123.0098859,36878640.5438326,16868076.2029714,10583966.4699513,29839745.1773713,9111460.63260142,460590.331531209,5479791.20416963,5587379.92079739,7623241.9383713,54462138.6816735,21127901.6925979,9679592.01759072,38981911.8679201,7719711.75966644,20786767.671521,6913498.71166599,63622343.5772768,10368250.7451886,17249957.0071956,59186333.5736911,1107232.91268173,4063447.72961601,13137332.0045345,820946.419902007,5019848.35404477,9176815.79107364,4640583.318007,12303965.8962206
Carnitine,11716382.0511384,9937142.28113175,18526179.4107099,9306966.36196998,6153702.73385055,7345712.98448329,3800334.53103766,8961824.96031379,20860439.6966378,8527282.53699236,16448166.2437468,8064362.54019976,10383849.5724929,16269480.8903711,9390180.56734666,9897625.51339452,7303804.11581306,21115921.1182615,13162106.3209907,7521466.69235236,21185635.4598056,13354527.0836515,8140722.67297849,37741634.3058615,7458072.08438052,4911841.05717955,19458801.4548863,6255647.48800853,12292594.26566
Phenylalanine,28809540.7171657,34586889.9176049,237667330.980513,16960243.6315875,5484044.7164361,7609455.49336445,7960172.87098549,11263173.5281055,17974114.5834398,32733005.322214,15476053.1283885,30042244.4145348,38821865.5103821,16379864.3583252,17504556.5891795,31911121.7966236,5643589.16877954,7658678.85925063,95070659.7785806,17819523.7592614,30714281.9355643,28239829.8741599,12275515.6659426,5142213.13114699,30705010.3283931,6352075.03596998,16587589.4616563,9667802.39375878,4711390.70315802
Methionine Sulfoxide,968558.885024546,2561630.47173554,45274766.7448255,764046.919883606,742055.400284073,962058.813986249,2071907.69822407,935042.629893926,875467.070586244,756640.927785172,2148317.74528624,1159151.79599632,9704578.41973929,3998951.394218,884386.015394174,926235.230558659,10951207.266402,4415052.04951174,1720539.95601505,1362441.79139631,2652248.05109888,610764.523881836,971302.621700784,3330558.21498988,812039.659856459,824942.533299591,2951240.11773938,554070.731973019,2428954.47757251
Pyridoxamine,744731.214616389,406481.677820063,1368148.61673287,745698.439609926,374185.172627688,242834.018539819,218485.791327197,572395.693933699,525359.235079638,546727.753247977,863620.498731204,476729.723668369,1399729.3970178,1114277.93326228,377202.958738569,456481.092532169,358368.865404956,1455266.26428178,2655813.76071268,562157.173203335,707097.314049791,829950.8669657,485389.939598901,1583333.58859534,644146.919275179,326973.983164094,1889182.47071503,230939.357295768,386343.596979456
1/3-Methylhistidine,137398.892168487,49088.0746054565,102943.56933779,526655.535780983,314859.44859476,357637.228052973,370299.611351277,938350.383006488,245183.660311936,939446.903749166,739062.404516559,1623780.93202261,322619.451692254,372507.2161709,236970.499326193,350361.127471573,519391.508737161,6924152.63201415,647539.302725354,386067.015101946,1037456.58826108,360884.989215775,539625.890980616,5363599.72958658,481482.344280865,501285.801104243,4210751.33047658,185868.940884001,81003.0477343308
n-Glycylproline,756584.965664438,1504443.04612852,11261788.4107179,1014620.02911064,1273150.13487152,1187059.18242061,1136534.70365329,1564162.93868998,1415870.89811734,702814.466957825,1658828.3873704,1599254.29618406,3647454.18466413,2828417.32486589,1094718.24420784,1119626.28586538,4735446.65121104,5885589.13986837,1936591.70993369,1598903.75344666,2390558.35528506,929202.415294623,1084170.43247512,3749948.36828492,592913.376880213,694382.001831636,3316823.81583646,564332.630800796,2316024.10254271
Arginine,3110464.76042222,8100320.54656807,327551675.486464,38991810.9172796,1753054.17336941,8475869.72496433,1814111.7035104,3121998.16964119,4944113.93962705,10869423.6663632,9764770.52606297,5330195.17806091,111975506.067919,23169891.0974173,26819613.5710142,13988971.328567,1166296.98948289,8435245.72732653,12045967.2837033,8097565.14077923,4035150.20322371,15296949.4464019,4407300.82235804,29191133.7233418,20299490.4963975,7322267.20453495,10884257.8768635,12567658.041611,74126917.0173707
Cotinine,5019.07125187432,65273.5701526065,4130.45884844866,3001.68609424384,76018.243236661,4225.58702500111,0,75057.2996091032,0,0,219365.54936133,0,0,41888.4804163004,5387.11633391873,3431.78391832892,29875.6405105099,3010.39780633981,7424.51995139075,95455.3957699074,0,3221.06355542854,43149.8358660477,0,3023.53763763655,48566.4456852677,0,3264.14362075989,53039.6603084087
Gluconolactone,177664.117963559,11453.6617851091,281530.827180658,319921.504385361,0,16886.5890788215,27901.3308763342,75906.3320801566,112688.611010706,83089.7739476401,37317.2025925159,65543.7994970719,181295.676364532,81771.1472547999,60463.9595041168,122929.164200838,12271.2431972414,405102.675523588,1352401.96685719,72199.7938166412,103661.164553017,103143.729843811,24204.3108141326,305980.815160621,112552.397204326,0,314705.198758058,28653.5489582848,0
Tyrosine,0,567567.28726792,4892318.38832228,708912.150735192,506225.335576466,1353211.74519562,0,629496.750322406,1082863.75964968,838542.194116703,795448.802879005,1074312.6814953,1282198.10986041,1286944.93978239,846104.621483158,887463.064880071,0,1264545.07278121,1960220.01124543,1059759.24428063,1019681.78748547,1000987.95695122,767890.355000411,1694792.38231099,1227049.589549,0,1467687.1789688,624642.395373216,0
N6-Acetyl-Lysine,105206.343861759,336928.706623653,2706714.06150683,113295.049391778,157861.835278047,164448.092383526,131542.746609528,118352.049903659,156336.930889818,113107.856211394,363706.54527038,170338.629196587,1008354.59009248,358930.479826979,134095.837064124,149773.816311515,934551.272731171,438173.691629494,229902.404937972,160532.28474313,265032.862436262,114485.231941159,123851.095087899,339964.49765983,112530.578404574,81105.258672789,294557.057408641,72086.1148492942,584661.468503825
Homoarginine,2069090.69969687,1301787.896213,2959829.76727834,3456211.1659335,1269193.05384229,1252715.40452223,1137658.05951146,3439299.74841622,6083733.13111096,3326918.11576794,4828786.25662613,3609881.86846786,5664428.72568439,7253066.70684558,4829821.43218386,1689040.66993434,806367.927041696,4072062.29793851,1535349.17641816,858179.758132404,2168000.12209194,6823503.5205444,4151100.6081268,16803998.6927653,1331413.9091823,588358.626837738,3642803.76068838,1350946.02855427,1515907.40839194
N6-Trimethyllysine,49432815.0109429,33546868.7018557,72851035.2080649,93362240.6484212,32903225.2930434,32226305.3986079,29254168.3809217,82424900.483291,150055548.142629,86447477.891969,137861342.523806,99319809.1139128,151492767.872387,189681336.730538,136421016.268245,39851491.9335783,21127574.8806064,82093804.0239462,21287601.5604706,19261788.8616937,49400088.4881177,150659871.025055,77740544.3532452,351759952.118173,28407642.1081862,12770883.0104587,73082686.3541645,39068682.3229177,39496935.4356216
Homocitrulline,235336.151296794,84309.0174181151,246621.816958822,204471.363112539,86926.871470717,87700.4004969489,156335.65760468,751948.16746444,668378.832556124,311754.919292947,654311.385085836,387724.766614309,141861.108015794,216188.340654232,120242.049857199,108240.639499934,158868.440036631,593146.366030802,210813.506585952,98128.2038952809,193068.418339585,473158.183447128,824941.621504893,1821176.95095114,153267.289338309,118437.691777941,643459.32452912,92923.6720780152,168159.279279431
Caffeine,16077.8632241661,125803.14375036,32956.9005939971,15279.6503824983,168246.900932828,18352.5731989277,11696.8901579382,205088.532641362,8432.7980545522,11929.7191515685,249127.390261932,15122.1874060214,18369.6349198559,100156.732954315,13326.9275909917,14008.2587338654,90307.8277610422,14378.6033537466,29874.2931378353,258607.489839927,21452.873459084,26566.8446612729,156587.772468872,9705.86566856993,15483.7926582955,175273.682979105,0,32642.4223555003,208964.032514734
Dimethylarginine (A/SDMA),57140788.1307377,67156099.0081547,166701834.949276,66687361.1368842,23008727.5342329,27248828.2287826,14433276.2008214,36201235.2926996,110319166.356909,56857577.3425609,95848077.8281284,79197727.6984418,21772507.3418055,32107030.0963728,23446023.1823961,17299894.3146531,17532773.2564957,36755910.5906318,67853846.8270887,40209986.9529076,107056686.587931,83974507.3798368,43054287.7407524,173381101.364021,108014992.546521,31923278.7091636,79963285.4080993,32744660.4013909,75257451.4162457
Acetylcarnitine,7682459.97292988,20262659.1750463,16224128.6133625,6789156.96492367,16050620.0620894,17598684.8634744,7578885.17649731,16702900.4392336,15709512.6184097,13585423.4190911,41672063.1433682,11588316.4349523,10670577.7098395,23375266.2883964,10424168.8150793,8707070.94944045,19788588.5449388,2987648.50799557,939255.490584024,26433843.8162309,19557151.3172145,6827924.22511544,20736050.1333277,3555007.92853966,11197108.6545497,21004107.2046639,3565484.90156524,7492512.12846345,33629081.3610194
Tryptophan,589381.728316921,2682084.35294666,13757565.316778,3950723.5514239,861078.836872105,1091342.21241295,755546.549632885,2353092.87249256,4738382.8137629,4716847.67890668,784548.158973248,4857684.53037485,3639483.93619664,4142091.39559958,4352506.26049647,5096487.82728926,2593673.12042674,685438.153555532,13716005.6092264,1641984.58522156,950648.121033201,3555736.69088563,3154471.108065,1342678.33313004,2807379.29896789,1864667.16077648,882982.594519678,1818142.77800113,851634.769215083
N-Ac-Arginine,115647.590243223,40886.8051668799,107767.323156552,56560.664582176,34905.4561824162,23997.0315521338,0,86177.8650340249,96819.9193291211,87627.348339998,132071.194775824,58815.7026818961,124678.084381354,104860.474288962,94773.9094789757,72055.9680030423,66570.9452287725,323109.897712102,103510.143985555,90444.9056149425,137603.278619266,108934.603835772,68165.2373420776,315998.764623343,96893.6471297528,80626.5654242747,317430.848440951,41377.2110335195,52885.2041090104
Carnosine,417307.93332315,495247.267049856,1843969.59963737,222285.856099662,281629.381132719,119264.352179719,229750.570806904,552838.169045899,546375.294167744,297317.665978896,947769.106826119,587851.526864467,495219.426670908,790796.312709504,466908.930997436,400777.465375532,599959.385580826,3468810.06049265,315087.705747224,594098.643411089,522175.549973021,523060.881246405,560775.119188758,2438525.88767646,335512.222279228,356765.896047025,2376012.43633055,490712.556127375,139710.879960607
