,POR.216-TP1,POR.216-TP2,POR.216-TP3,POR.216-TP4,POR.236-TP1,POR.236-TP2,POR.245-TP1,POR.245-TP2,POR.245-TP3,POR.245-TP4,POR.260-TP1,POR.260-TP2,POR.260-TP3,POR.260-TP4,POR.262-TP1,POR.262-TP2,POR.262-TP3,POR.262-TP4,POR.69-TP1,POR.69-TP2,POR.69-TP3,POR.69-TP4,POR.72-TP1,POR.72-TP2,POR.72-TP3,POR.72-TP4,POR.73-TP1,POR.73-TP2,POR.73-TP3,POR.73-TP4,POR.74-TP1,POR.74-TP2,POR.74-TP3,POR.74-TP4,POR.83-TP1,POR.83-TP2,POR.83-TP3,POR.83-TP4
Niacinamide,236913.506025227,0,0,430467.362560436,0,319550.429801803,1186589.94470281,1243226.01918942,13385557.7757531,0,7534388.31479286,0,360501.953298486,869350.145922714,0,2801360.38277276,800672.127646693,2045472.25266979,8165587.14974187,783641.662218237,253926.527483287,3007124.95512715,1963012.24256207,2783954.42929686,0,905650.777998284,256341.986239495,448212.442048999,1282515.08734916,0,0,706888.035166901,0,250297.23519879,5555225.19168771,1771141.58141449,1384496.09194708,0
Taurine,57317.7682214811,64629.9281038669,81067.0932402185,38648.0981567029,0,24949.9963902037,26882.7440765537,40976.5061538674,24327.8057982844,0,33705.9384653493,23213.1543207467,29833.5406718258,19427.1283824579,40729.4593586296,32178.1870960959,28036.8379142681,8682.49010283331,50999.8701481176,49343.8310982356,43884.2034660769,60507.6664404678,57792.9252598503,609222.092015107,18468.9338179566,35031.4950822788,8169.78362872657,16889.7155246193,12985.9835728768,30098.3142560704,18844.1299411474,29075.6613302382,23218.4782459068,12618.6287486274,19849.9831087561,26838.2621055084,50235.6170969862,33055.6422724895
Pyroglutamic Acid,861155.26676249,1276245.64407753,2251175.96775378,1739688.9085739,183503.115243083,620577.720552293,384112.038250597,996895.575529531,719699.201812502,360155.242521602,1480760.13503246,1683233.79294701,712851.455296049,1909970.49162661,665307.372145381,1903512.9109947,764030.786223752,692428.145193888,696755.281420821,495476.880951394,764933.155670354,755883.073779114,1812278.40611191,732467.45877623,893176.712247637,1953526.50092719,897801.767481408,1245970.14756918,1046069.61334911,2170523.81464934,305482.015912392,1255744.29995008,857225.931152151,1115980.34571608,662673.659893674,589641.86188759,864592.492601598,1239042.35661151
Pipecolate,365391.947794027,740724.889329091,641112.641826539,379062.505704656,369497.16204591,644879.359241494,313352.891502901,408191.16312685,853983.052494915,573981.717852657,964399.682119017,569472.027392079,416251.140424948,539616.090915557,688430.016072753,761836.186096995,619301.060504192,324796.352086585,481468.535812152,198336.202727258,248079.352395485,462028.872610396,383749.150958421,240173.32121238,348606.434302922,550949.282982779,338719.1034026,318689.659617113,378824.039349288,784793.065098571,269649.89357609,385032.621740048,545507.253391405,622078.8994938,371576.126354683,403399.947656198,600573.558050936,1090907.30460826
Agmatine,240552946.981399,304527599.931254,255533016.381069,131464543.676279,59053522.2986574,30036956.9616303,65318548.1220251,137956256.088745,61423501.6274187,52030032.4315764,56256284.8994798,54130900.4254156,195644880.215301,105239834.08943,181457663.387261,105017722.092751,137053407.872167,87868098.7464216,170137897.751487,127411371.102025,41838423.2822788,174804700.368405,55160731.9330593,137043109.218818,50820658.067076,91275008.9298344,74263226.9680996,87419283.7418788,91577326.2094342,344917735.824519,44213311.8550207,30426786.45122,69481860.3564048,271556709.589134,82393124.2127269,15869768.0405314,37658863.0939561,104535619.853533
Creatine,233617.800978914,43027.0014443565,42628.2615205754,34229.1694615866,33881.476112029,28225.6494321004,3757426.52999177,100172.046218207,24500.7376625111,34676.1927591843,92362.9093419256,37908.3467682472,19822.4204648324,27712.3005591909,1322676.55132237,28222.4723528487,29866.6993953601,146313.947451839,176030.06604336,82812.7941020761,55148.1989663225,175856.710311174,30513.8340378311,6032488.7388264,92300.5904897614,148155.461408875,34215.5849528196,44877.8791424722,52303.9180329098,163019.015890418,86199.2352200642,32612.0408120019,36839.6289677672,38158.5983401197,20266.068857892,51871.6342410244,15536.3523313147,20507.6634474868
Hydroxyproline,475289.526179087,521572.942790733,718838.815077415,349401.632163335,230380.334185808,398626.068385933,587361.080292381,470556.714050589,693781.179157932,1131265.74551798,943482.418996457,549204.897488851,403180.579081904,683979.831604897,571891.476154425,1038138.33204698,664946.650526884,373988.41432321,1121610.8590697,372478.198877233,475280.580715677,3095643.34253996,1378515.98505807,1303030.02649934,1112660.79639844,2059738.37954188,1705838.75139247,1127952.43500713,705967.253058277,1425359.14323376,971217.594548745,2033267.90900454,2435674.58978249,1931076.88792377,532314.651598903,206065.274395933,535673.849903787,626760.862080706
Aminolevulinate,0,0,0,0,0,0,115810.610742609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72544.5493845372,0,180914.532815125,0,42684.985406674,34391.5526147016,0,0,0,0,43705.673859012,54147.0643461165,0,0,0,0,0
Leucine /D-Norleucine,1113856.59925762,1002371.44042062,895692.475347126,2555432.44714877,1634954.64521833,1685337.7663504,3325747.36438847,3655029.87603962,3811298.204539,2054161.70171785,974031.629995688,998666.746798587,898436.848093776,2725908.19946834,1711848.05439782,2362466.07181724,1538298.55302318,2284232.14548867,1250212.75263746,2955741.81612065,944282.251561021,2890751.75054115,3045204.41041252,6695649.06824837,762593.510871788,3077984.74664699,2402288.55965985,1431210.02741662,1977453.65065235,2616551.62028582,951065.860160486,569081.723695487,460215.645254084,1443884.06584636,2923921.96769307,1366257.47349374,2357504.12063465,4431997.80523565
iso-Leucine /allo-isoLeucine,972736.013328687,1729125.67235925,4444251.08357458,2151063.0402945,779004.882661252,1303190.93146181,701778.80949309,1823703.09719495,1272459.1395367,1280530.29142877,450304.759684592,1405323.0503943,1417337.04588803,2433029.3617838,1757412.89097657,1104452.81163638,891800.563225584,877561.278850263,2507037.08766185,589423.98330354,1159908.90951517,1015099.69334544,2286275.14810369,839037.985723913,1645068.74439938,998683.497674972,1174873.49847807,1649690.48802497,1473216.54936195,3434780.84820002,470684.672842796,1050062.5622842,785759.796966061,2130871.54132286,652796.454490808,861433.440814082,1640080.12465427,4613242.50573657
Ornithine,1165881.66890752,1887818.28332877,1262165.23362604,734392.170702033,316755.085904636,442275.289782888,643422.015619641,1644353.7658652,703099.715562409,480343.261880908,921795.664545189,1007581.97635029,1141036.23646525,780518.868245444,824435.410263101,1031521.21547788,885752.937151083,1621984.53742061,461658.316610442,1042658.70988542,634126.408268854,1361836.2199786,520251.191135972,1199545.84910221,697860.491594662,627014.346558733,1152444.87311405,846857.446234291,1012554.87154677,1778870.92800025,425128.57885912,677548.40694439,1125161.46146334,1894436.98351156,1220197.29018082,304857.524660451,842188.866866819,822952.135507153
Asparagine,2051509.52907526,1774063.111046,10267326.0918951,1900984.69171814,726453.82709246,622644.444181081,811108.840275879,1378910.24169167,1694918.85628469,1530451.10518057,1024808.48425002,919031.729174648,2930393.14827467,1440818.09827793,2732139.93014397,948773.537182061,1267581.13557133,736111.481169921,4103080.02945054,1184782.50852326,1333035.60814711,2312454.08328034,967198.351950905,13133946.2903914,729314.19505742,1132072.58213042,1039599.56705212,601527.117242641,680738.860702584,8496385.64772365,941914.608434581,831944.499435559,1906832.0630962,2252977.00451094,1249219.30209889,306507.803198838,1118460.28993498,4235620.41686538
Aspartic Acid,13168264.6589891,9969560.31034686,36690649.6075635,10588230.6398052,3604521.79861997,4513553.44278355,2839137.11378672,4759574.29793915,13976937.9086721,5230794.24453281,4524183.05759934,2596871.59847344,5160720.06742598,3789547.6890887,4431030.70418479,4929221.84382876,3531476.12374899,2256114.1897309,33444718.6216613,5792286.08883611,4391029.58270469,11073641.3128608,3790703.89059342,18649404.3579028,2819182.38975712,6520804.08033371,3254172.69109814,2542713.32847646,3022485.19059399,15308628.6695464,7310870.03348773,7993323.81370589,19198091.4266907,4984665.32667821,10781743.0130396,1957874.98798146,6981155.47882012,10723119.2211176
S-Methylcysteine,113166.256112296,224995.805726668,0,285448.49324827,112693.69478096,80797.0611764979,80152.4144420707,180066.828840015,265980.084541457,93506.1537447175,207000.426279135,148904.251211335,328138.784336502,517002.448480557,91095.2710673113,77308.3988208173,193079.59157076,82359.0012198488,126758.54151838,83092.9958586109,115572.966642998,288243.265768815,86118.5401872291,0,65510.843598927,92776.4752377078,0,177533.273459598,344726.04296236,0,0,79583.5889869155,97214.7655390409,286607.718370062,73045.5684838389,0,114500.68602368,117919.653481914
Tyramine,17584976.8168752,25835513.9470287,9290337.09700307,34197205.0661374,21163031.75058,2215649.37233749,8251942.99978045,9547001.06841663,7862805.68619503,10695660.7720862,4156416.13712388,7312337.34210233,34993963.272595,13380813.8449583,28781657.0345062,2143272.74684232,10769215.7194114,6918665.69979047,5715802.57929277,4806018.51659481,7989358.24661532,8798163.18465167,4528468.13748851,1596446.96090042,13972475.2151003,1142502.54780291,14752330.3538666,9246713.03382892,17794512.144044,15821976.5945474,4189767.18006119,2957806.19794456,18955981.8534242,31557513.2391987,2798396.89109858,987877.647021437,5716236.82169252,11847113.431786
Trigonelline,124669302.10319,127990279.113628,132394017.603919,85670873.4997265,75317732.8017944,82864762.2001694,137587272.076423,163969580.432383,124054673.204555,86626828.5244409,171241966.083845,112740559.66616,149159733.130512,127339639.173577,135450063.455876,120037645.020936,129672456.514169,74778454.8206757,355323259.434995,143631762.467523,98880706.8354232,201463802.147358,98934411.7231298,95347589.8208063,66355441.9010462,126708046.863704,114570226.109045,82925207.1114495,112077519.275427,187599882.467018,50314782.582223,66059704.0110693,88022272.0517074,84843394.8821676,123729713.670207,60657910.4504341,97688089.4197123,130586771.515701
4-Guanidinobutanoate,122177267.762138,136851631.782473,197219047.113736,127405194.202269,144265881.592721,224055714.427096,216831304.889879,360461978.902821,316288286.871562,138899336.247769,180212890.671251,108857141.144301,131968313.748056,111806970.048219,107058130.297628,96663495.8418196,87002070.6955204,73023061.2917746,308471763.100901,134848515.689776,156782711.451362,230645270.888946,233515891.732548,111362960.191798,69510572.5696215,199367377.725678,309439989.752938,285975716.575044,287377382.745317,416632096.975199,31596552.2875369,59647441.2419144,61057808.1591758,36768533.8279194,125474286.370784,61301446.5315332,121637494.546705,141444057.204909
Glutamine,27736515.8269122,30638694.3381468,71189760.4859778,23668413.965076,8808543.93528526,13822877.0314005,15623600.049779,34425082.9070678,21722866.696995,22700428.5694975,15197289.1124134,13953542.2570466,26238665.4112686,16219072.7371386,24863537.4294004,16692455.5410654,16077018.5958924,13221522.1632766,46118901.7059218,15565979.0978176,15110475.3189083,36481984.2924759,14021507.4156477,43131573.6774072,12794626.6362329,15792137.2673548,17418669.8701625,15298051.8175098,12875104.9830852,56886155.5477285,11072483.0544033,15264079.9905198,26465348.6686246,38687825.36301,17083041.2262671,4276946.92211652,11804822.7548828,33200488.8604863
Lysine,94088041.3027876,100437746.616187,79858258.3436203,72169628.0066758,7352435.92323846,11921255.6883187,32760963.3065991,59926783.3535294,10531063.6370648,30938401.8357545,28807527.2873854,27851574.8615145,23962685.9969803,52485814.2884715,72729679.3986448,41285331.8163268,50261593.9606691,40276285.8548035,46881987.1650647,53492824.772266,29320609.6362611,86274641.0117153,34810610.227413,36575292.1315267,25355885.2330897,44743508.2603301,44438777.2800933,48357316.4729013,55903377.7628003,214804096.137657,12207717.9728144,23853054.4734731,22721185.9777194,111370876.648948,52391597.3686343,15025872.9355477,30596451.2376273,80617537.4314862
Deoxycarnitine,4170556.35701708,4688056.67526672,6726963.41043677,4497118.19348266,4656650.32490039,7687339.07290532,7716321.86596389,13362023.5155064,11233553.2714125,4815681.43153045,6395768.81370483,3765208.15070841,4807811.09682287,4076213.93766314,3778498.02285363,3427916.11566919,3153184.66364986,2573823.50339455,11220655.1202507,4674514.88050239,5579983.332391,8304772.53594984,7696074.2595027,3776080.13668501,2357964.22940983,7276091.6935837,11254103.2656955,9839511.18812694,10348751.2086548,15736412.139537,1179860.98440291,2113415.63553729,2182576.7400673,1230438.43511257,4384563.72829951,1991522.79931973,4289263.81905263,5080001.60395323
Glutamic acid,33436365.8149394,32234267.074865,105012079.916398,21440131.183377,8731528.99969921,12619343.2187169,16208344.0636668,24962945.5309192,17364749.4639834,18652298.7223646,20538330.4677882,13748329.8405638,31377580.9102403,16885464.1105532,29035817.8160172,18455209.0456193,23176882.9124211,12063701.8065488,70126670.3700822,21096384.3051631,16834072.6815813,34583828.168028,14898646.8210842,84146357.1047695,11583957.4463895,20465170.1517684,16600359.8886573,14440343.2151681,15337957.404667,97575414.4109099,17892199.9755322,18823480.0060896,34046747.8140828,26385479.9406074,24688115.4612875,7510192.6751306,15497282.0743572,43485632.0877812
Methionine,365317.905551616,434943.789392116,230437.030842844,687941.635650242,97364.0203620111,309734.768572389,368247.245239749,805608.564679079,739250.825784641,529318.376711912,574485.61498807,107382.813530899,191290.114943941,780105.853250162,381089.043289698,490810.387144229,410782.359115038,346809.661942754,2279218.49038926,381099.70623633,178356.232589196,1640926.34081858,670759.517807057,798017.592327572,265202.9313184,649100.766036837,555239.533103162,413047.489226026,522289.250894737,598926.850247536,199287.503644612,334715.587179618,374158.049953968,769834.822224678,678913.196650938,317323.661213038,596444.148602902,230492.078178664
Guanine,20350786.5687362,15313435.1700023,18962828.2374901,4414045.59118335,2516696.11132793,2300648.92598412,305658.335535845,796753.544068518,7034229.17644623,1088697.99529723,187511.896262628,346254.899846628,848693.032349399,204456.014196238,1614484.4593135,1388908.57024013,1327977.62902774,1043809.62757121,1838203.46415474,766769.71261009,670445.117507804,727015.071464047,302886.119036093,3612300.25602675,220256.092408445,174011.150657292,5003882.03904794,4789345.52888644,4586156.00359952,2393971.3721832,2495219.61801946,3598204.65024291,1700980.51554308,6019458.08802367,1936963.90238957,815114.632749107,383548.696484992,307022.836333659
Histidine,29584128.0389261,21246322.4183862,72116900.0170604,18637597.8978413,9768241.46260548,9331974.50491718,20013534.4686729,33524822.8757011,47514032.3744958,14194466.510331,15821370.2905823,9632687.19883389,28236491.6428741,17298343.2125269,32416625.8927128,13791558.5465905,15109274.7607293,10175460.0153267,118548626.250665,26698594.0602088,23005250.5923565,61312942.0864712,12690481.35319,20040572.9292014,11065775.0467896,17683314.2157581,17695714.2526158,12022164.1933694,25217535.0373791,77450740.9746594,7950655.24082319,11238093.5286651,29870495.6609357,18175214.8506463,21160388.0652985,4219533.94356761,16573383.9049906,35025867.5202401
Tryptamine,57531888.7483242,84406341.9627205,89972168.669576,40646341.901451,15401732.202324,9967072.49299031,20021851.3055948,18380379.650036,19841440.6029171,21214674.6444321,9266956.52799156,32968012.75703,44969852.2002521,37333997.1142042,37632976.8041227,10252335.4484323,15113307.6596188,15634618.0426877,9808722.94714441,12522410.4177821,20419853.5097406,12555111.7567336,13805301.8506099,2249052.22479174,12133844.5887829,3287889.76839029,21727574.1903308,19507223.2767997,37353022.5571458,117096346.085194,6940300.97207396,7332009.6020133,35740862.6899791,65607863.5669946,11223077.8385574,6550833.26531532,22658540.647809,34503202.6458636
Carnitine,43917454.962667,36766597.4396416,46789452.0777925,22002740.7801403,20466276.710116,23870481.6984032,40143215.8959441,57022874.8602315,34281036.8578574,24639207.0562285,17946402.3497714,9336438.70817618,20732016.2195733,13774635.7661197,26282386.5791969,22382418.0897834,26635669.9680508,15855246.3219702,93931237.5152533,31657746.6533344,37913738.4348007,62541740.3411806,21423401.1458939,21911234.1001146,14957120.1298366,32011622.0751199,37783468.5177489,29458784.4627128,38334255.3280854,66471908.3107633,24142210.2362432,38196860.6540251,46577944.8602738,38923729.1958015,47987741.0194866,15091838.1089842,34503472.4113739,39996829.0272515
Phenylalanine,2644410.10594701,1482393.06182913,1511956.24190495,3050935.00143522,2493146.82784151,2628127.44545539,2641358.8155467,3004358.20431699,4822882.10858129,2033804.16502407,2773528.41329577,2194047.12942446,2846035.22038703,2588936.95579005,4863477.21388256,3474481.99061285,3332365.85439164,2536672.54101171,2173599.22547314,4557766.390826,2243019.64635167,6257485.59918479,3304339.49150188,6535664.34152568,0,3444785.40012325,1831374.63446636,0,1682141.07377401,5627905.67807712,0,0,1408536.21853067,1819180.18862262,4157315.64533119,1978749.54156593,2574552.01338786,8641993.67570442
Methionine Sulfoxide,2787219.79897772,2829961.91220464,14353711.6648807,1845631.9973135,2580940.61337586,2133148.56679044,4406490.21287201,4214544.06415323,3088958.0573924,1464909.85124819,1428686.43170426,2239041.57082757,4890282.34297763,1688520.81777576,5025910.07305478,1528500.29290327,2507362.63981086,1846602.45367594,7793198.42660066,4539860.22785946,4074310.79819448,3924130.24856051,1118535.32980763,1685113.5476149,1095009.04959873,1595259.34678976,1527979.77418761,1891169.54401903,2116241.22264918,10836220.6968343,1059540.27079601,1668567.91533765,2011343.41723446,3303675.83634114,2090320.93457924,559273.240634841,1695625.13205176,8400097.20532894
Pyridoxamine,746838.571583064,475647.847248926,1124388.5287935,426244.545865391,250560.251512999,190778.043611286,512669.106643677,568954.506899279,403937.288142704,384719.259082308,346970.34972941,238063.738751028,599205.368758705,274255.203758138,655281.402743927,270081.69732072,374024.862032991,362850.235753907,1683361.60917217,433976.295931918,262625.801778075,633308.783242017,211858.591584552,1417636.10566755,215852.684768597,335319.855977397,325336.061975467,215444.091291382,210069.485379405,967747.951584137,234051.324631048,228977.743556137,506625.267476051,1022293.86149823,471116.563385847,76533.6046973398,179408.568476275,545255.879786122
