,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Component_26,Component_27,Component_28,Component_29,Component_30,Component_31,Component_32,Component_33,Component_34,Component_35,Species,Sample_ID
peve_POR.83,-0.1749593820485945,0.15388558428734037,0.12910804797914224,-0.08772735926072668,0.5193932379075948,-0.36027642637309254,0.2424117268493214,0.045176773165973176,0.31286203960218684,-0.14928493150459807,0.11110370829753778,0.026256223086176308,0.06814795285322936,-0.09584308362909502,-0.010874273115955027,0.0580870512313874,-0.5627763277442623,0.22674657406403959,-0.08283863153276982,0.144041994740212,-0.21170734938636912,-0.11157890416772906,-0.16715020595369906,0.05445795661605276,0.03215173609184939,-0.29768469602387804,0.13157505139713715,-0.03578885921812906,0.5156873227518438,-0.16397826895649947,-0.15303500447376764,0.04046955917850143,0.2914702899281151,-0.0397022203551309,0.10445938437175109,peve,POR.83
ptua_POC.219,-0.0470320353746466,0.1605628052329465,0.014223356530769856,0.0397287922949665,0.02118113879400789,0.32092218196549577,0.0952800870695311,0.926510652916532,0.291867002804677,0.09069224606346146,-0.22474024353220137,0.20336849582400995,0.0754665202578535,0.014646443226221762,0.30886336746895554,-0.03903074320959204,-0.09592072114347651,0.006340353883181345,0.3455423823624867,0.11964563642852548,-0.20972660940965382,-0.05200036056329339,-0.22194014530783407,0.040922857188702214,0.2500846613596725,-0.4415650125532061,-0.05020790473905862,0.06911223862819585,-0.037672374237051574,0.022909418687772926,-0.2160438356680339,-0.3152808487874224,0.11905298012426734,0.518316779190271,0.09574594940945387,ptua,POC.219
ptua_POC.222,-0.03676696943443676,0.1779562009391922,-0.20552855146346305,0.17081005938358665,0.03965292075129927,0.3186616313025351,0.06143318979850413,0.07570834222308999,0.21516909038962248,0.2630367792624006,-0.2703082424191311,0.08328470842050871,0.23444759733851286,0.04589969766343826,0.2155517222969609,-0.02213014581064174,-0.08138124394282768,-0.10172169257195703,0.190430607557178,0.345289348037092,-0.12465414007100253,0.14583025302728095,-0.3261120251609823,0.039368669927631855,0.3754550323015421,0.054089260158473214,-0.08130967741068373,0.1394690722446389,0.0390068086191479,0.07292393675699109,-0.1633778163815485,-0.18861854737164122,0.26623976821217354,0.3290101777721763,0.23988757333906569,ptua,POC.222
ptua_POC.255,-0.0027823629968107906,0.22913451188413433,-0.07330521450584306,-0.06265096605656245,0.007003525501984979,0.27717632903283784,-0.04954066119207054,0.1343744319927461,0.25457034386857175,0.011607307308573756,-0.19106381506355288,0.06479134760821186,0.03963304525663289,-0.0036138426076355967,0.03182444040994473,-0.09107825735699786,-0.025649554269440707,0.029540710382389337,0.2332273104676596,0.554492282865982,-0.2791274926577533,0.022340036963951898,-0.02653907157854006,-0.07626938874202822,0.22623992337929713,0.2950116492787613,0.014153131155744823,0.04704415506435217,0.13212656662586508,0.026435432995702675,-0.12831793133639074,-0.23504104794918101,-0.17696166354500947,0.1031973655610072,0.07005252275339907,ptua,POC.255
ptua_POC.259,-0.02639789495526781,0.1513245827168162,0.07454975348270462,-0.04749724545033727,0.07132781993888992,0.07150038700949593,0.007509323448925323,0.10354103094116139,0.22026410209823544,0.1086866239157918,-0.25501043562860287,0.7921137100799509,0.05270928655237843,0.12054059338511784,0.02093489890673076,0.0091584852241387,0.0037083126702366336,-0.017580838967589683,0.0367387140600126,0.22577965334713648,-0.09465388318389886,-0.046451971810984274,-0.17315342919143484,-0.10957219622327484,-0.058651291243129636,0.06811895123199621,-0.0888086233908504,0.0767009344371583,0.1918326111153391,0.018193829745086963,0.007359357840046858,-0.10803217503990689,0.045496019979455946,-0.06547797146921752,-0.18154059201005462,ptua,POC.259
ptua_POC.40,-0.08647354624084734,0.35553422143692454,-0.297793190584055,-0.11022648170239421,0.028251054173715515,-0.16214212407569195,-0.07932434985423806,-0.15071996998610224,0.02419141663960837,-0.0886664629319137,-0.1536025647490902,-0.03821767206198058,0.09206262314252883,-0.09217938992930401,0.10652812182422042,-0.03772697949874326,-0.09819485379906204,0.04591779901462418,-0.027857979611414917,0.2586469567953006,-0.09607962971382787,0.0337228501753417,0.14122881935434836,-0.006666364823539218,0.2833121974786822,0.19396063710664196,-0.08868053417493621,0.031457879414212374,0.058712015536177824,0.024239091779330584,-0.06909813270299835,0.268466157490751,0.1559011425992782,0.11021394830578846,-0.5013312263922325,ptua,POC.40
ptua_POC.42,-0.03089700181800151,0.13733376809107242,-0.14565288800366186,0.07155179325937969,0.02693694784995912,-0.21805904345484342,0.08206793680953972,-0.03352281118567799,-0.043657388692205,0.0157112085980518,-0.05266878034585392,0.111035984587467,0.05948112585973821,0.000712885951649776,0.5759664148503825,-0.01056562273126946,-0.01528966235243749,-0.06888788888527904,-0.5945170760008271,0.00485659100059386,0.0037328409980540867,0.07147269358479408,-0.21968861443725546,-0.04227475483393711,0.13717242732319287,-0.009131083335444722,-0.1423703849649439,0.06359831750162687,0.11263117659928383,0.00928969617379957,0.008105917891273092,0.5529604094025186,0.3555262113635382,-0.37395451560617676,-0.18195030198618978,ptua,POC.42
ptua_POC.52,0.0026625415910779566,0.3154028830122741,-0.28368410829318513,0.05628980209502207,-0.04177939220662938,0.11135121504092801,0.08774436543319483,-0.02848089524650222,0.16392423142614912,0.09209911914862964,-0.2426377110613339,-0.0369087216214752,0.18808927412395765,-0.012559745904288447,0.033100498548751835,0.8663368705621151,-0.041973232160512984,0.003859409233712471,0.1429316752682179,0.009705925453700262,0.041100898578530685,0.17770387996264247,-0.10308020731264586,-0.024589922594640858,0.3448926441177122,0.11171863070095998,-0.11271446138496995,0.11978320099723515,0.15387948412456293,0.053595761565126375,0.051759856090522936,-0.19623208936549064,0.19882953421844446,-0.04856871848483245,-0.1434512401563712,ptua,POC.52
ptua_POC.53,-0.12194304782973148,0.24274982174880033,0.020335786708666672,-0.12254376682341567,0.0645466575602721,-0.0486968158733261,-0.09193256591246755,-0.07746664898264913,0.21282317544337132,-0.07689973050748578,-0.2843923534015152,-0.017621888341941977,0.038042325944752826,-0.07467000526835932,0.3696798739034401,0.025892851731100765,-0.059472870864278,0.05751435869375964,0.22143594862451282,-0.11364298260636826,-0.10027604870964359,-0.0211389299575979,0.03139214594328571,-0.0017830525763598561,0.394095695160479,0.18343779352015663,-0.09250721538093237,0.013820742035326591,0.02628080543241908,0.005564498327148143,-0.1894336965317485,-0.07317662905719871,0.21004703204950265,0.4270011871637439,0.11178827407077974,ptua,POC.53
ptua_POC.57,-0.09359889487519223,-0.241100611119596,-0.06305093721010188,-0.0798886223719817,0.01778380918675999,0.0667206031350379,-0.055870057058043314,-0.010814445504744186,0.2569606591414519,0.015912401039640103,-0.24976313546924417,-0.26575677900801586,0.006712280000020878,-0.01359422463272677,0.2995900229541582,-0.041453155964460406,-0.040852465647839925,-0.02555011787723015,0.2257324882801283,0.05065246064215167,-0.04023118605200201,0.1074732520656507,-0.12585284276283706,0.039220590878505296,0.5373459128711382,0.10556941879010129,-0.16449000600923994,0.06878293984992756,0.045603956488210716,-0.009800703904729334,-0.08245220781137357,0.005144035481982961,0.2566814343481,0.4421830750237968,-0.10427626047851617,ptua,POC.57
