,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18,Component_19,Component_20,Component_21,Component_22,Component_23,Component_24,Component_25,Species,Sample_ID
peve_POR.245,0.23262657797199024,0.02038827350254889,-0.05682185214331785,-0.4749562914453373,0.15637478027062865,0.0771062236859022,-0.03073211264921701,-0.08216056554031116,0.04227630821602994,0.15851573884153733,0.08056284235480622,-0.22715688307266838,-0.06689559581279944,0.429769934139243,-0.24757755664357295,-0.07954669841389296,0.16972206355264816,-0.10872855790640422,-0.015705935257107683,0.25684886863076,-0.19437036839775568,-0.23739064903310214,0.07668909506899241,0.10909159742900493,0.278476651971175,peve,POR.245
peve_POR.260,0.10372293030450135,0.02272454498786487,-0.03273903228593617,-0.11638572587498221,0.08628092490974482,0.10034744308295677,0.08783461505690635,0.05754171148532715,0.03418664208255359,0.01820701161894628,-0.00019218929984822286,-0.16614191882572948,-0.003828560433917807,0.19511694215420483,-0.180891936010389,-0.023494149815625205,0.03173579299935137,0.055621732294180805,-0.01917480536181466,0.011529595922002341,-0.04129693514652235,-0.05858934412461835,0.023762068660138178,0.2422026543820501,0.0749775316229611,peve,POR.260
peve_POR.262,-0.025608546279337664,-0.031359648834273376,0.09725615190350298,0.18826993753400048,-0.041339358592305704,0.014082094902703577,-0.015681370575367264,0.04315934202164162,0.0018314903195063492,0.05078986038626394,0.09154548379794226,-0.1380090264483193,-0.1805108305399233,0.18051050406216385,-0.11498769722393494,0.16410388831656056,0.24268274297887285,0.11500905297403725,0.0024045817828899432,-0.134284265178224,-0.46334023621438925,0.14130308543233772,-0.0338982108156458,0.23591880044433564,0.02258858747651546,peve,POR.262
peve_POR.69,-0.04184243263959399,-0.417225621446502,-0.09344003191122495,0.10738903341242502,0.12415415246752572,0.06127397153684448,-0.10670597320637318,0.01755867172608863,0.16291376859684756,0.6445614076598472,0.07338876717859737,-0.07105845491065767,-0.18331101136932904,0.3429086364807925,-0.15513708223082165,-0.0731020514195164,-0.10511346739336326,-0.3097737640707099,0.09140957838954215,0.004752032899971601,0.1588336706603936,0.12323962444708492,-0.02630848892933715,0.12996211354460632,-0.03974045222834565,peve,POR.69
peve_POR.72,-0.018192192554550107,-0.2364364452958197,-0.04976616988804294,0.08444200961150862,0.2456574698553118,-0.14019351990797602,-0.0736295790096409,-0.04463572075131817,0.15433950910040736,0.16692799980965678,-0.06680337986422337,-0.16861931963330956,0.09774837260938656,0.040723213265573315,0.00739290087996796,-0.17286213550612092,0.429854104096669,-0.24610880545583272,0.0024717758970876653,0.05176794393071707,0.36802126878468205,0.011013437955606924,0.04916932576643497,-0.06433258231522736,-0.08175624464023,peve,POR.72
peve_POR.73,-0.20192046838016572,-0.4077599655295994,-0.17424393526839096,0.1762401124399903,0.00549948898755079,0.013671765813584565,0.05982080371188963,-0.05151013497292018,-0.0939317891364472,0.02365363528414697,-0.06948205757367416,0.10734164325259443,0.10203491584155047,0.06055619087035819,-0.08694761680108479,0.5760400545013515,0.11816209117287894,0.5108928881688729,-0.02200257959260695,-0.43436605360401265,-0.08126085462069363,0.25503413515986484,-0.0009437619027422477,0.11814970116299597,-0.023149064933806078,peve,POR.73
peve_POR.74,-0.095399514038287,-0.14573580428275293,-0.009557894759082175,0.23585291202739556,0.1378002327921461,-0.014937163228151787,0.01955323372622883,-0.11382921163893321,0.05035555194684282,0.0173430868452757,-0.012823166922000279,-0.2142895556559816,-0.10420990131533554,0.10203037918559753,-0.11821748508547883,0.39660021932880934,0.6781330329285107,0.09294273580530223,-0.0017941886713335258,-0.2710017999167305,-0.18725891836194716,0.07444258060053884,0.005126125554819792,0.1709026836579282,-0.052483348732004616,peve,POR.74
peve_POR.83,-0.10541173340843757,-0.5073201102133779,-0.029326676053525163,0.030292247385327976,0.1569380958590538,-0.13800574490042797,-0.0005151348436348097,-0.031058816589148053,0.1233887255276984,0.3269452598597315,-0.08351220527476495,0.07310843776737812,-0.1887723329903925,0.27374215322634965,0.026642661887588227,-0.14232444467064956,0.1776228256721574,-0.08355925751549856,0.007046758580178573,-0.1224572114778337,0.4406145682387501,0.17118258125162833,-0.022331751414386192,-0.05063633897877519,0.015655593430361495,peve,POR.83
ptua_POC.219,0.2475981131222485,0.13901805345519141,0.2179582023306183,0.09457771319671707,-0.43083273360311153,0.19178007392375188,0.16824858047570598,-0.04182392341420887,0.5157363379685674,-0.02907118981792176,-0.028181177081744006,0.3635751140591836,0.021578968541401115,0.007477698038904354,-0.21619779410702758,-0.15644066744698001,-0.16212823159265277,-0.08718103661369923,0.0033765827379933673,-0.21847034389939668,-0.00380701215921177,0.20501468322082908,-0.07201848019131331,0.11895501094206316,0.2559719387530116,ptua,POC.219
ptua_POC.222,0.2053517538597644,-0.1856293561193169,0.18492507142954004,-0.0850113586820452,-0.007162478355700737,0.09797163975059,0.5426420770497693,0.0012541598395302879,0.09470728614654549,0.0597563168874808,-0.0159682400817557,-0.1423393778978414,0.25589043166608766,-0.06398390372296313,-0.2483521826760587,-0.19580495160693698,-0.028368616365713143,0.16724350477530397,-0.007626091254465996,-0.02973526510188511,0.17879927017833264,0.2668267861152457,0.029379710377929125,-0.004720990736480386,0.24784565808655448,ptua,POC.222
ptua_POC.255,0.1792699528344016,-0.017733325751376424,0.3908518353042156,-0.044624373302573836,-0.26445780891638826,0.19191459042425077,0.625444575955288,-0.04011515134635324,0.28097440817052843,0.24410755788161134,0.044968709571700516,-0.2206643619792085,0.09332370500103328,-0.31466363616781756,-0.34652230507569504,-0.10165623291979525,-0.09345110868917192,0.15772516957408286,0.04074622362791432,0.1379269165460618,-0.035483697796395604,0.07213612332825807,-0.11253252713707647,0.22494314259407913,0.011558404438520452,ptua,POC.255
ptua_POC.259,0.15809104367083238,0.0444332019136973,0.015473129797821929,0.05323416954226746,-0.1916106673353007,0.1654822979005528,0.2604853624769899,-0.18029505495644946,0.18044015381856743,0.023100867204294405,-0.06327606643767324,0.3856261972917544,0.08579273177493549,0.16976866117833359,-0.21873656965065957,-0.13893167122416983,0.048065177482501324,0.025561356502272398,0.017575430073632718,0.11985255640744769,0.08986585743226444,-0.16564415957508047,-0.038697831126496336,0.12451835354782843,-0.02144986175213326,ptua,POC.259
ptua_POC.40,0.2011474234444588,-0.2179465829378932,0.45355965382206653,0.1488602658977225,0.3133455003855653,0.062088028512574917,-0.048350098275396554,-0.03587061433016767,0.026991963778595675,0.20398850208752736,0.03980834294769203,-0.3912003851187316,0.022905681240680053,-0.19994612448185647,-0.053015771921601715,-0.06575937373281765,-0.1311418876339392,-0.08450205019951675,0.0371789349058801,-0.10939695506899672,0.020184883193502607,0.13459236773187905,0.06662015519351323,0.019857746035106295,0.0036641399547212815,ptua,POC.40
ptua_POC.42,-0.49717147514268634,-0.08350907345227052,0.14295006792973056,0.4774235502767735,0.13801077225238745,0.01681059331040641,0.026689609635863875,-0.005413819713697338,-0.007353962821653964,0.04599180308336195,0.014573356958138158,-0.15551538384415786,0.0812441451551305,0.16070701887458821,-0.02823383789045068,-0.10042216934821943,-0.03529053817628545,-0.06461640999364775,-0.04342444926172395,-0.22072024283678565,0.03741792041404965,-0.046793198573957445,0.0601589322635826,-0.2150565387027897,0.48893563874589263,ptua,POC.42
ptua_POC.52,0.024919901062073858,-0.14494017832213418,0.3193380873546859,-0.10223134610224902,-0.02118812373950231,0.08353066616573747,-0.31636107541608083,-0.008448552156995082,0.0655304224963013,0.12207108190012156,0.03919251087714278,-0.39379809715239106,0.2467238766046059,-0.04565338407637008,-0.3068389195545921,-0.1975820036754244,-0.01673466733187488,0.16616572503185129,-0.05950307033429178,0.2050847775672524,0.11741964474709801,0.1215427527585942,0.9444575256235921,0.0017987897118149233,0.04019067026988704,ptua,POC.52
