"","name","module","type"
"160","FUN_035079","ME48","gene"
"161","FUN_037166","ME48","gene"
"162","FUN_038658","ME48","gene"
"163","FUN_039405","ME48","gene"
"164","FUN_040053","ME48","gene"
"165","FUN_040389","ME48","gene"
"166","FUN_034457","ME48","gene"
"167","FUN_002330","ME31","gene"
"168","FUN_002332","ME31","gene"
"169","FUN_002340","ME31","gene"
"170","FUN_002463","ME31","gene"
"171","FUN_003788","ME31","gene"
"172","FUN_004222","ME31","gene"
"173","FUN_004495","ME31","gene"
"174","FUN_004883","ME31","gene"
"175","FUN_005093","ME31","gene"
"176","FUN_000448","ME31","gene"
"177","FUN_006467","ME31","gene"
"178","FUN_008173","ME31","gene"
"179","FUN_008661","ME31","gene"
"180","FUN_009307","ME31","gene"
"181","FUN_016433","ME31","gene"
"182","FUN_017294","ME31","gene"
"183","FUN_019104","ME31","gene"
"184","FUN_022941","ME31","gene"
"185","FUN_023363","ME31","gene"
"186","FUN_024213","ME31","gene"
"187","FUN_025458","ME31","gene"
"188","FUN_025905","ME31","gene"
"189","FUN_026232","ME31","gene"
"190","FUN_026680","ME31","gene"
"191","FUN_026928","ME31","gene"
"192","FUN_027779","ME31","gene"
"193","FUN_027781","ME31","gene"
"194","FUN_027816","ME31","gene"
"195","FUN_027817","ME31","gene"
"196","FUN_028322","ME31","gene"
"197","FUN_032903","ME31","gene"
"198","FUN_034898","ME31","gene"
"199","FUN_034912","ME31","gene"
"200","FUN_037097","ME31","gene"
"201","FUN_038307","ME31","gene"
"202","FUN_039415","ME31","gene"
"203","FUN_039460","ME31","gene"
"204","FUN_040500","ME31","gene"
"205","FUN_040544","ME31","gene"
"206","FUN_043346","ME31","gene"
"207","FUN_025049","ME31","gene"
"208","FUN_043367","ME31","gene"
"209","FUN_002744","ME32","gene"
"210","FUN_002821","ME32","gene"
"211","FUN_004802","ME32","gene"
"212","FUN_005483","ME32","gene"
"213","FUN_000557","ME32","gene"
"214","FUN_006551","ME32","gene"
"215","FUN_007107","ME32","gene"
"216","FUN_008423","ME32","gene"
"217","FUN_008997","ME32","gene"
"218","FUN_009622","ME32","gene"
"219","FUN_010748","ME32","gene"
"220","FUN_012805","ME32","gene"
"221","FUN_012964","ME32","gene"
"222","FUN_014185","ME32","gene"
"223","FUN_014992","ME32","gene"
"224","FUN_015867","ME32","gene"
"225","FUN_016398","ME32","gene"
"226","FUN_018506","ME32","gene"
"227","FUN_024367","ME32","gene"
"228","FUN_026290","ME32","gene"
"229","FUN_027191","ME32","gene"
"230","FUN_028335","ME32","gene"
"231","FUN_028991","ME32","gene"
"232","FUN_031382","ME32","gene"
"233","FUN_031954","ME32","gene"
"234","FUN_032287","ME32","gene"
"235","FUN_032626","ME32","gene"
"236","FUN_032600","ME32","gene"
"237","FUN_034801","ME32","gene"
"238","FUN_035124","ME32","gene"
"239","FUN_037066","ME32","gene"
"240","FUN_037108","ME32","gene"
"241","FUN_037118","ME32","gene"
"242","FUN_037122","ME32","gene"
"243","FUN_038678","ME32","gene"
"244","FUN_039010","ME32","gene"
"245","FUN_039391","ME32","gene"
"246","FUN_039414","ME32","gene"
"247","FUN_039933","ME32","gene"
"248","FUN_040870","ME32","gene"
"249","FUN_040954","ME32","gene"
"250","FUN_041996","ME32","gene"
"251","FUN_042900","ME32","gene"
"252","FUN_043004","ME32","gene"
"253","FUN_043458","ME32","gene"
"254","FUN_043547","ME32","gene"
"255","FUN_043553","ME32","gene"
"256","FUN_015457","ME32","gene"
"257","FUN_005449","ME53","gene"
"258","FUN_006894","ME53","gene"
"259","FUN_033129","ME53","gene"
"260","FUN_002450","ME3","gene"
"261","FUN_002548","ME3","gene"
"262","FUN_002481","ME3","gene"
"263","FUN_002679","ME3","gene"
"264","FUN_002683","ME3","gene"
"265","FUN_002726","ME3","gene"
"266","FUN_003178","ME3","gene"
"267","FUN_003468","ME3","gene"
"268","FUN_003485","ME3","gene"
"269","FUN_003843","ME3","gene"
"270","FUN_004134","ME3","gene"
"271","FUN_004195","ME3","gene"
"272","FUN_004196","ME3","gene"
"273","FUN_004400","ME3","gene"
"274","FUN_004406","ME3","gene"
"275","FUN_004476","ME3","gene"
"276","FUN_004515","ME3","gene"
"277","FUN_004554","ME3","gene"
"278","FUN_004593","ME3","gene"
"279","FUN_004628","ME3","gene"
"280","FUN_004666","ME3","gene"
"281","FUN_004716","ME3","gene"
"282","FUN_004725","ME3","gene"
"283","FUN_004797","ME3","gene"
"284","FUN_004828","ME3","gene"
"285","FUN_004880","ME3","gene"
"286","FUN_004870","ME3","gene"
"287","FUN_004916","ME3","gene"
"288","FUN_005031","ME3","gene"
"289","FUN_005204","ME3","gene"
"290","FUN_005235","ME3","gene"
"291","FUN_005322","ME3","gene"
"292","FUN_005262","ME3","gene"
"293","FUN_005269","ME3","gene"
"294","FUN_000185","ME3","gene"
"295","FUN_000318","ME3","gene"
"296","FUN_000439","ME3","gene"
"297","FUN_000477","ME3","gene"
"298","FUN_000471","ME3","gene"
"299","FUN_000494","ME3","gene"
"300","FUN_000926","ME3","gene"
"301","FUN_000905","ME3","gene"
"302","FUN_000951","ME3","gene"
"303","FUN_000984","ME3","gene"
"304","FUN_001028","ME3","gene"
"305","FUN_001054","ME3","gene"
"306","FUN_001261","ME3","gene"
"307","FUN_001286","ME3","gene"
"308","FUN_001342","ME3","gene"
"309","FUN_001426","ME3","gene"
"310","FUN_001498","ME3","gene"
"311","FUN_001551","ME3","gene"
"312","FUN_001586","ME3","gene"
"313","FUN_001594","ME3","gene"
"314","FUN_001603","ME3","gene"
"315","FUN_001640","ME3","gene"
"316","FUN_002080","ME3","gene"
"317","FUN_002092","ME3","gene"
"318","FUN_005748","ME3","gene"
"319","FUN_005808","ME3","gene"
"320","FUN_005910","ME3","gene"
"321","FUN_006129","ME3","gene"
"322","FUN_006165","ME3","gene"
"323","FUN_006228","ME3","gene"
"324","FUN_006320","ME3","gene"
"325","FUN_006461","ME3","gene"
"326","FUN_006488","ME3","gene"
"327","FUN_006612","ME3","gene"
"328","FUN_006651","ME3","gene"
"329","FUN_006663","ME3","gene"
"330","FUN_006801","ME3","gene"
"331","FUN_006804","ME3","gene"
"332","FUN_006885","ME3","gene"
"333","FUN_006881","ME3","gene"
"334","FUN_006883","ME3","gene"
"335","FUN_006890","ME3","gene"
"336","FUN_006909","ME3","gene"
"337","FUN_006913","ME3","gene"
"338","FUN_006944","ME3","gene"
"339","FUN_007055","ME3","gene"
"340","FUN_007137","ME3","gene"
"341","FUN_007156","ME3","gene"
"342","FUN_007180","ME3","gene"
"343","FUN_007694","ME3","gene"
"344","FUN_007773","ME3","gene"
"345","FUN_007791","ME3","gene"
"346","FUN_007874","ME3","gene"
"347","FUN_007955","ME3","gene"
"348","FUN_008063","ME3","gene"
"349","FUN_008100","ME3","gene"
"350","FUN_008190","ME3","gene"
"351","FUN_008213","ME3","gene"
"352","FUN_008235","ME3","gene"
"353","FUN_008282","ME3","gene"
"354","FUN_008283","ME3","gene"
"355","FUN_008331","ME3","gene"
"356","FUN_008330","ME3","gene"
"357","FUN_008339","ME3","gene"
"358","FUN_008338","ME3","gene"
"359","FUN_008341","ME3","gene"
"360","FUN_008345","ME3","gene"
"361","FUN_008360","ME3","gene"
"362","FUN_008363","ME3","gene"
"363","FUN_008367","ME3","gene"
"364","FUN_008420","ME3","gene"
"365","FUN_008517","ME3","gene"
"366","FUN_008544","ME3","gene"
"367","FUN_008559","ME3","gene"
"368","FUN_008588","ME3","gene"
"369","FUN_008759","ME3","gene"
"370","FUN_008920","ME3","gene"
"371","FUN_008937","ME3","gene"
"372","FUN_008938","ME3","gene"
"373","FUN_008998","ME3","gene"
"374","FUN_009026","ME3","gene"
"375","FUN_009058","ME3","gene"
"376","FUN_009073","ME3","gene"
"377","FUN_009080","ME3","gene"
"378","FUN_009061","ME3","gene"
"379","FUN_009078","ME3","gene"
"380","FUN_009117","ME3","gene"
"381","FUN_009124","ME3","gene"
"382","FUN_009130","ME3","gene"
"383","FUN_009137","ME3","gene"
"384","FUN_009152","ME3","gene"
"385","FUN_009155","ME3","gene"
"386","FUN_009157","ME3","gene"
"387","FUN_009169","ME3","gene"
"388","FUN_009175","ME3","gene"
"389","FUN_009269","ME3","gene"
"390","FUN_009201","ME3","gene"
"391","FUN_009213","ME3","gene"
"392","FUN_009203","ME3","gene"
"393","FUN_009240","ME3","gene"
"394","FUN_009309","ME3","gene"
"395","FUN_009357","ME3","gene"
"396","FUN_009382","ME3","gene"
"397","FUN_009450","ME3","gene"
"398","FUN_009513","ME3","gene"
"399","FUN_009561","ME3","gene"
"400","FUN_009678","ME3","gene"
"401","FUN_009763","ME3","gene"
"402","FUN_009718","ME3","gene"
"403","FUN_009712","ME3","gene"
"404","FUN_010556","ME3","gene"
"405","FUN_010565","ME3","gene"
"406","FUN_010566","ME3","gene"
"407","FUN_010579","ME3","gene"
"408","FUN_010618","ME3","gene"
"409","FUN_010668","ME3","gene"
"410","FUN_010701","ME3","gene"
"411","FUN_010723","ME3","gene"
"412","FUN_010756","ME3","gene"
"413","FUN_010835","ME3","gene"
"414","FUN_010956","ME3","gene"
"415","FUN_010979","ME3","gene"
"416","FUN_011119","ME3","gene"
"417","FUN_011307","ME3","gene"
"418","FUN_011353","ME3","gene"
"419","FUN_011415","ME3","gene"
"420","FUN_011691","ME3","gene"
"421","FUN_011847","ME3","gene"
"422","FUN_011892","ME3","gene"
"423","FUN_011899","ME3","gene"
"424","FUN_011981","ME3","gene"
"425","FUN_012108","ME3","gene"
"426","FUN_012115","ME3","gene"
"427","FUN_012244","ME3","gene"
"428","FUN_012296","ME3","gene"
"429","FUN_012517","ME3","gene"
"430","FUN_012591","ME3","gene"
"431","FUN_012588","ME3","gene"
"432","FUN_012628","ME3","gene"
"433","FUN_012691","ME3","gene"
"434","FUN_012738","ME3","gene"
"435","FUN_013160","ME3","gene"
"436","FUN_013351","ME3","gene"
"437","FUN_013328","ME3","gene"
"438","FUN_013337","ME3","gene"
"439","FUN_013340","ME3","gene"
"440","FUN_013365","ME3","gene"
"441","FUN_013872","ME3","gene"
"442","FUN_013923","ME3","gene"
"443","FUN_014166","ME3","gene"
"444","FUN_014264","ME3","gene"
"445","FUN_014238","ME3","gene"
"446","FUN_014553","ME3","gene"
"447","FUN_014561","ME3","gene"
"448","FUN_014575","ME3","gene"
"449","FUN_014673","ME3","gene"
"450","FUN_014718","ME3","gene"
"451","FUN_014707","ME3","gene"
"452","FUN_014779","ME3","gene"
"453","FUN_014806","ME3","gene"
"454","FUN_014852","ME3","gene"
"455","FUN_014864","ME3","gene"
"456","FUN_014896","ME3","gene"
"457","FUN_014969","ME3","gene"
"458","FUN_015023","ME3","gene"
"459","FUN_015066","ME3","gene"
"460","FUN_015166","ME3","gene"
"461","FUN_015303","ME3","gene"
"462","FUN_015282","ME3","gene"
"463","FUN_015290","ME3","gene"
"464","FUN_015323","ME3","gene"
"465","FUN_015428","ME3","gene"
"466","FUN_015429","ME3","gene"
"467","FUN_015445","ME3","gene"
"468","FUN_015478","ME3","gene"
"469","FUN_015490","ME3","gene"
"470","FUN_015567","ME3","gene"
"471","FUN_015742","ME3","gene"
"472","FUN_016034","ME3","gene"
"473","FUN_016046","ME3","gene"
"474","FUN_016056","ME3","gene"
"475","FUN_016151","ME3","gene"
"476","FUN_016163","ME3","gene"
"477","FUN_016296","ME3","gene"
"478","FUN_016325","ME3","gene"
"479","FUN_016340","ME3","gene"
"480","FUN_016342","ME3","gene"
"481","FUN_016783","ME3","gene"
"482","FUN_016793","ME3","gene"
"483","FUN_017709","ME3","gene"
"484","FUN_017806","ME3","gene"
"485","FUN_017843","ME3","gene"
"486","FUN_017860","ME3","gene"
"487","FUN_017920","ME3","gene"
"488","FUN_017957","ME3","gene"
"489","FUN_018026","ME3","gene"
"490","FUN_018044","ME3","gene"
"491","FUN_018069","ME3","gene"
"492","FUN_018086","ME3","gene"
"493","FUN_018398","ME3","gene"
"494","FUN_018405","ME3","gene"
"495","FUN_018407","ME3","gene"
"496","FUN_018294","ME3","gene"
"497","FUN_018159","ME3","gene"
"498","FUN_018219","ME3","gene"
"499","FUN_018245","ME3","gene"
"500","FUN_018320","ME3","gene"
"501","FUN_018333","ME3","gene"
"502","FUN_018352","ME3","gene"
"503","FUN_018416","ME3","gene"
"504","FUN_018501","ME3","gene"
"505","FUN_018446","ME3","gene"
"506","FUN_018470","ME3","gene"
"507","FUN_018536","ME3","gene"
"508","FUN_018532","ME3","gene"
"509","FUN_018604","ME3","gene"
"510","FUN_018593","ME3","gene"
"511","FUN_018653","ME3","gene"
"512","FUN_018748","ME3","gene"
"513","FUN_018766","ME3","gene"
"514","FUN_018970","ME3","gene"
"515","FUN_019026","ME3","gene"
"516","FUN_022092","ME3","gene"
"517","FUN_022093","ME3","gene"
"518","FUN_022191","ME3","gene"
"519","FUN_022256","ME3","gene"
"520","FUN_022301","ME3","gene"
"521","FUN_022336","ME3","gene"
"522","FUN_022365","ME3","gene"
"523","FUN_022419","ME3","gene"
"524","FUN_022398","ME3","gene"
"525","FUN_022415","ME3","gene"
"526","FUN_022507","ME3","gene"
"527","FUN_022501","ME3","gene"
"528","FUN_022527","ME3","gene"
"529","FUN_022534","ME3","gene"
"530","FUN_022609","ME3","gene"
"531","FUN_022719","ME3","gene"
"532","FUN_022705","ME3","gene"
"533","FUN_022767","ME3","gene"
"534","FUN_022768","ME3","gene"
"535","FUN_022869","ME3","gene"
"536","FUN_022896","ME3","gene"
"537","FUN_022948","ME3","gene"
"538","FUN_022998","ME3","gene"
"539","FUN_023041","ME3","gene"
"540","FUN_023061","ME3","gene"
"541","FUN_023107","ME3","gene"
"542","FUN_023156","ME3","gene"
"543","FUN_023266","ME3","gene"
"544","FUN_023309","ME3","gene"
"545","FUN_023356","ME3","gene"
"546","FUN_023377","ME3","gene"
"547","FUN_023380","ME3","gene"
"548","FUN_023441","ME3","gene"
"549","FUN_023557","ME3","gene"
"550","FUN_023627","ME3","gene"
"551","FUN_023638","ME3","gene"
"552","FUN_023947","ME3","gene"
"553","FUN_024000","ME3","gene"
"554","FUN_024219","ME3","gene"
"555","FUN_024235","ME3","gene"
"556","FUN_024360","ME3","gene"
"557","FUN_024387","ME3","gene"
"558","FUN_024419","ME3","gene"
"559","FUN_024449","ME3","gene"
"560","FUN_024460","ME3","gene"
"561","FUN_024485","ME3","gene"
"562","FUN_024511","ME3","gene"
"563","FUN_024517","ME3","gene"
"564","FUN_024519","ME3","gene"
"565","FUN_024566","ME3","gene"
"566","FUN_024661","ME3","gene"
"567","FUN_024726","ME3","gene"
"568","FUN_024813","ME3","gene"
"569","FUN_024863","ME3","gene"
"570","FUN_024865","ME3","gene"
"571","FUN_024906","ME3","gene"
"572","FUN_024921","ME3","gene"
"573","FUN_024923","ME3","gene"
"574","FUN_024945","ME3","gene"
"575","FUN_025116","ME3","gene"
"576","FUN_025220","ME3","gene"
"577","FUN_025283","ME3","gene"
"578","FUN_025318","ME3","gene"
"579","FUN_025335","ME3","gene"
"580","FUN_025356","ME3","gene"
"581","FUN_025359","ME3","gene"
"582","FUN_025549","ME3","gene"
"583","FUN_025629","ME3","gene"
"584","FUN_025677","ME3","gene"
"585","FUN_025693","ME3","gene"
"586","FUN_025813","ME3","gene"
"587","FUN_025799","ME3","gene"
"588","FUN_025800","ME3","gene"
"589","FUN_025871","ME3","gene"
"590","FUN_025909","ME3","gene"
"591","FUN_025932","ME3","gene"
"592","FUN_025935","ME3","gene"
"593","FUN_025968","ME3","gene"
"594","FUN_026002","ME3","gene"
"595","FUN_026090","ME3","gene"
"596","FUN_026121","ME3","gene"
"597","FUN_026173","ME3","gene"
"598","FUN_026193","ME3","gene"
"599","FUN_026197","ME3","gene"
"600","FUN_026309","ME3","gene"
"601","FUN_026406","ME3","gene"
"602","FUN_026422","ME3","gene"
"603","FUN_026570","ME3","gene"
"604","FUN_026682","ME3","gene"
"605","FUN_026734","ME3","gene"
"606","FUN_026779","ME3","gene"
"607","FUN_026916","ME3","gene"
"608","FUN_027262","ME3","gene"
"609","FUN_027515","ME3","gene"
"610","FUN_027601","ME3","gene"
"611","FUN_027735","ME3","gene"
"612","FUN_027832","ME3","gene"
"613","FUN_027838","ME3","gene"
"614","FUN_027955","ME3","gene"
"615","FUN_028008","ME3","gene"
"616","FUN_028011","ME3","gene"
"617","FUN_028012","ME3","gene"
"618","FUN_028064","ME3","gene"
"619","FUN_028078","ME3","gene"
"620","FUN_028167","ME3","gene"
"621","FUN_028272","ME3","gene"
"622","FUN_028296","ME3","gene"
"623","FUN_028380","ME3","gene"
"624","FUN_028448","ME3","gene"
"625","FUN_028490","ME3","gene"
"626","FUN_028629","ME3","gene"
"627","FUN_028795","ME3","gene"
"628","FUN_028840","ME3","gene"
"629","FUN_028950","ME3","gene"
"630","FUN_028989","ME3","gene"
"631","FUN_029000","ME3","gene"
"632","FUN_029017","ME3","gene"
"633","FUN_029056","ME3","gene"
"634","FUN_029128","ME3","gene"
"635","FUN_029203","ME3","gene"
"636","FUN_029210","ME3","gene"
"637","FUN_029180","ME3","gene"
"638","FUN_029195","ME3","gene"
"639","FUN_029278","ME3","gene"
"640","FUN_029339","ME3","gene"
"641","FUN_029359","ME3","gene"
"642","FUN_029426","ME3","gene"
"643","FUN_029405","ME3","gene"
"644","FUN_029598","ME3","gene"
"645","FUN_029591","ME3","gene"
"646","FUN_029609","ME3","gene"
"647","FUN_029624","ME3","gene"
"648","FUN_029707","ME3","gene"
"649","FUN_029740","ME3","gene"
"650","FUN_029767","ME3","gene"
"651","FUN_029882","ME3","gene"
"652","FUN_030060","ME3","gene"
"653","FUN_030196","ME3","gene"
"654","FUN_030672","ME3","gene"
"655","FUN_031070","ME3","gene"
"656","FUN_031206","ME3","gene"
"657","FUN_031261","ME3","gene"
"658","FUN_031262","ME3","gene"
"659","FUN_031449","ME3","gene"
"660","FUN_031519","ME3","gene"
"661","FUN_031525","ME3","gene"
"662","FUN_031560","ME3","gene"
"663","FUN_031589","ME3","gene"
"664","FUN_031711","ME3","gene"
"665","FUN_031783","ME3","gene"
"666","FUN_031867","ME3","gene"
"667","FUN_031929","ME3","gene"
"668","FUN_032087","ME3","gene"
"669","FUN_032105","ME3","gene"
"670","FUN_032115","ME3","gene"
"671","FUN_032179","ME3","gene"
"672","FUN_032191","ME3","gene"
"673","FUN_032202","ME3","gene"
"674","FUN_032238","ME3","gene"
"675","FUN_032288","ME3","gene"
"676","FUN_032350","ME3","gene"
"677","FUN_032358","ME3","gene"
"678","FUN_032386","ME3","gene"
"679","FUN_032425","ME3","gene"
"680","FUN_032583","ME3","gene"
"681","FUN_032652","ME3","gene"
"682","FUN_032692","ME3","gene"
"683","FUN_032704","ME3","gene"
"684","FUN_032718","ME3","gene"
"685","FUN_032755","ME3","gene"
"686","FUN_032781","ME3","gene"
"687","FUN_032794","ME3","gene"
"688","FUN_032810","ME3","gene"
"689","FUN_032813","ME3","gene"
"690","FUN_032904","ME3","gene"
"691","FUN_032926","ME3","gene"
"692","FUN_032985","ME3","gene"
"693","FUN_033022","ME3","gene"
"694","FUN_033221","ME3","gene"
"695","FUN_033127","ME3","gene"
"696","FUN_033683","ME3","gene"
"697","FUN_033687","ME3","gene"
"698","FUN_033700","ME3","gene"
"699","FUN_033788","ME3","gene"
"700","FUN_033778","ME3","gene"
"701","FUN_033789","ME3","gene"
"702","FUN_033831","ME3","gene"
"703","FUN_033854","ME3","gene"
"704","FUN_033861","ME3","gene"
"705","FUN_033919","ME3","gene"
"706","FUN_033998","ME3","gene"
"707","FUN_034018","ME3","gene"
"708","FUN_034026","ME3","gene"
"709","FUN_034094","ME3","gene"
"710","FUN_034120","ME3","gene"
"711","FUN_034124","ME3","gene"
"712","FUN_034138","ME3","gene"
"713","FUN_034180","ME3","gene"
"714","FUN_034182","ME3","gene"
"715","FUN_034209","ME3","gene"
"716","FUN_034201","ME3","gene"
"717","FUN_034237","ME3","gene"
"718","FUN_034253","ME3","gene"
"719","FUN_034304","ME3","gene"
"720","FUN_034315","ME3","gene"
"721","FUN_034330","ME3","gene"
"722","FUN_034371","ME3","gene"
"723","FUN_034387","ME3","gene"
"724","FUN_034423","ME3","gene"
"725","FUN_034717","ME3","gene"
"726","FUN_034820","ME3","gene"
"727","FUN_034831","ME3","gene"
"728","FUN_034829","ME3","gene"
"729","FUN_034842","ME3","gene"
"730","FUN_034872","ME3","gene"
"731","FUN_034919","ME3","gene"
"732","FUN_034953","ME3","gene"
"733","FUN_034944","ME3","gene"
"734","FUN_034947","ME3","gene"
"735","FUN_034970","ME3","gene"
"736","FUN_035130","ME3","gene"
"737","FUN_035151","ME3","gene"
"738","FUN_035199","ME3","gene"
"739","FUN_035235","ME3","gene"
"740","FUN_035519","ME3","gene"
"741","FUN_035541","ME3","gene"
"742","FUN_035646","ME3","gene"
"743","FUN_035730","ME3","gene"
"744","FUN_035732","ME3","gene"
"745","FUN_035831","ME3","gene"
"746","FUN_035859","ME3","gene"
"747","FUN_035890","ME3","gene"
"748","FUN_035978","ME3","gene"
