"","gene_id","POC.201.TP1","POC.201.TP2","POC.201.TP3","POC.219.TP1","POC.219.TP2","POC.219.TP3","POC.219.TP4","POC.222.TP1","POC.222.TP2","POC.222.TP3","POC.222.TP4","POC.255.TP1","POC.255.TP2","POC.255.TP3","POC.255.TP4","POC.259.TP1","POC.259.TP2","POC.259.TP3","POC.259.TP4","POC.40.TP1","POC.40.TP2","POC.40.TP3","POC.40.TP4","POC.42.TP1","POC.42.TP2","POC.42.TP3","POC.42.TP4","POC.52.TP1","POC.52.TP2","POC.52.TP3","POC.52.TP4","POC.53.TP1","POC.53.TP2","POC.53.TP3","POC.53.TP4","POC.57.TP1","POC.57.TP2","POC.57.TP3","POC.57.TP4"
"11641","gene-Pocillopora_meandrina_HIv1___TS.g4708.t1b",910,448,93,504,306,36,537,1920,687,640,443,2353,562,153,637,285,536,388,558,1018,1591,555,2280,1274,2199,1355,942,52,1780,427,556,394,731,708,2022,715,515,618,2785
"12347","gene-Pocillopora_meandrina_HIv1___RNAseq.g14411.t2",13069,1993,913,1896,2774,367,5443,2990,6338,2056,5384,2754,4953,1464,5776,2214,1691,3910,3585,7520,7023,6893,3765,5675,4598,4156,1602,402,5299,3408,3109,4323,6486,2170,2468,7615,4728,2955,9655
"12692","gene-Pocillopora_meandrina_HIv1___RNAseq.g12980.t1",1105,3113,633,962,1221,78,477,1170,2600,1573,767,1382,2535,715,1652,1812,2735,1040,1684,1756,2126,1284,1131,1751,2959,1824,243,54,4635,2731,3165,3351,3268,1759,702,856,944,1013,1418
"12700","gene-Pocillopora_meandrina_HIv1___TS.g2081.t2",562,375,150,530,319,143,375,452,399,557,331,406,537,355,578,367,495,394,577,262,355,536,286,491,458,496,139,55,310,395,521,528,473,564,399,400,282,599,521
"15468","gene-Pocillopora_meandrina_HIv1___RNAseq.g3756.t1",881,928,240,651,463,92,425,1061,829,1261,413,603,540,414,533,408,1076,616,851,346,675,792,671,507,932,629,362,90,1060,755,1077,454,525,917,899,830,261,707,895
"16374","gene-Pocillopora_meandrina_HIv1___RNAseq.g26658.t2",1773,1332,290,864,934,182,614,1840,1512,2057,669,1916,1838,340,1460,1218,1252,764,1355,1580,2090,1798,1335,1308,2100,1323,80,82,1971,1139,1708,1868,2314,1679,672,1304,1303,1453,1470
"16874","gene-Pocillopora_meandrina_HIv1___RNAseq.g4585.t1",103,192,24,369,179,21,143,302,130,573,145,197,151,110,296,183,276,74,257,173,138,264,175,106,221,135,99,49,123,189,460,241,233,274,82,228,54,287,371
"17603","gene-Pocillopora_meandrina_HIv1___RNAseq.g11680.t2",2380,773,130,700,429,110,410,1296,763,3131,728,899,740,475,1118,719,1428,576,1560,643,461,1845,684,611,264,541,209,137,659,988,2514,1064,524,2403,443,1117,85,2537,1112
"18100","gene-Pocillopora_meandrina_HIv1___RNAseq.g29285.t1",847,973,486,1255,675,295,781,1238,809,1843,616,911,758,783,1180,809,1000,965,1034,529,760,812,913,957,1256,1193,841,111,1038,828,1316,602,690,1172,1028,758,417,1048,1073
"18885","gene-Pocillopora_meandrina_HIv1___RNAseq.g28575.t1",3796,2222,829,1298,2374,625,1108,4609,5315,2864,762,10531,2963,221,1928,1857,1399,851,2091,3633,6060,2100,7317,2507,4266,5701,106,310,4088,3422,3138,2843,6664,1865,2214,2630,949,1885,2987
"19979","gene-Pocillopora_meandrina_HIv1___RNAseq.g446.t1",1824,2382,190,1099,844,82,346,2229,447,2112,563,984,973,367,1163,1662,2521,475,1194,628,422,1652,539,833,821,601,28,45,416,702,1713,2216,943,2658,218,1735,458,3230,817
"20018","gene-Pocillopora_meandrina_HIv1___RNAseq.g506.t1b",31,0,0,0,0,0,0,0,0,0,0,0,4,27,0,0,5,0,0,8,10,23,13,20,12,9,11,0,0,0,11,8,21,0,0,29,3,5,2
"20876","gene-Pocillopora_meandrina_HIv1___RNAseq.g3188.t1",542,692,171,386,397,61,313,718,512,942,221,610,522,323,543,472,706,214,457,618,432,466,389,518,737,581,151,0,409,252,518,535,481,531,314,591,282,749,780
"23439","gene-Pocillopora_meandrina_HIv1___RNAseq.g10323.t1",0,0,5,14,27,0,0,0,0,13,7,0,0,0,16,0,0,0,0,0,8,4,4,5,0,0,16,0,17,0,14,7,0,0,0,0,4,5,0
"25038","gene-Pocillopora_meandrina_HIv1___TS.g25287.t1",958,368,49,376,105,0,156,689,292,570,286,190,329,57,461,536,791,127,708,562,283,1209,574,381,244,290,98,0,205,293,595,303,313,737,77,281,366,804,589
"25672","gene-Pocillopora_meandrina_HIv1___RNAseq.g17170.t1",1075,897,326,657,455,119,265,1245,518,1562,396,726,605,368,830,577,998,621,880,445,580,863,865,703,708,697,107,152,845,864,1348,646,524,1054,419,940,417,1020,680
"25876","gene-Pocillopora_meandrina_HIv1___RNAseq.g17365.t1",651,974,188,778,740,61,341,1217,715,1082,364,890,693,264,604,834,1183,351,659,523,623,917,760,725,828,709,109,0,514,632,884,884,686,866,264,773,413,1047,631
"29547","gene-Pocillopora_meandrina_HIv1___RNAseq.g1765.t1",0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0
