group_id,gene_id,ACR.139.TP1,ACR.139.TP2,ACR.139.TP3,ACR.139.TP4,ACR.145.TP1,ACR.145.TP2,ACR.145.TP3,ACR.145.TP4,ACR.150.TP1,ACR.150.TP2,ACR.150.TP3,ACR.150.TP4,ACR.173.TP1,ACR.173.TP2,ACR.173.TP3,ACR.173.TP4,ACR.186.TP1,ACR.186.TP2,ACR.186.TP3,ACR.186.TP4,ACR.225.TP1,ACR.225.TP2,ACR.225.TP3,ACR.225.TP4,ACR.229.TP1,ACR.229.TP2,ACR.229.TP3,ACR.229.TP4,ACR.237.TP1,ACR.237.TP2,ACR.237.TP3,ACR.237.TP4,ACR.244.TP1,ACR.244.TP2,ACR.244.TP3,ACR.244.TP4,ACR.265.TP1,ACR.265.TP2,ACR.265.TP3,ACR.265.TP4
OG_02499,FUN_009842,451,388,328,900,256,202,150,186,243,347,303,469,248,410,175,229,0,350,76,1325,129,166,353,115,180,137,278,59,93,122,341,127,66,230,377,56,104,171,168,123
OG_03276,FUN_013155,491,630,688,324,126,365,303,200,60,591,505,205,152,522,367,71,87,615,303,329,100,350,663,198,388,359,509,74,174,242,668,159,96,428,726,113,147,567,330,135
OG_03287,FUN_013327,1050,2072,1218,1241,608,835,360,351,783,1410,1228,1322,524,946,744,473,859,1692,353,1184,432,483,1241,475,968,829,1294,290,617,614,1643,589,431,746,1731,289,193,701,770,689
OG_03738,FUN_015042,1210,1558,1111,794,784,660,469,485,522,1000,1298,1449,424,1045,848,496,492,763,456,856,640,562,1365,496,1617,941,1079,477,770,726,1246,733,486,1030,1460,305,566,708,634,424
OG_06641,FUN_030202,91,58,38,57,20,58,0,30,22,79,43,41,31,72,46,39,0,32,0,25,9,35,32,12,84,21,33,0,0,39,125,35,10,96,40,0,45,34,24,0
OG_07361,FUN_033773,1382,917,569,1422,416,447,233,756,608,869,815,785,430,955,434,716,312,522,141,1001,262,980,934,225,1042,547,843,381,385,631,861,273,222,892,1252,223,345,718,744,236
OG_04994,FUN_023126,46,23,84,72,0,5,0,0,108,0,58,88,172,32,86,119,34,33,40,57,155,27,50,138,0,0,8,0,138,26,21,122,169,129,86,261,0,0,0,0
OG_05150,FUN_023433,127,91,26,151,22,59,45,119,67,105,106,247,61,115,202,68,0,33,10,367,105,47,82,21,165,111,55,0,14,48,38,62,66,112,85,16,79,112,34,12
OG_10149,FUN_043541,217,265,267,253,234,193,190,257,92,244,196,277,100,187,132,146,64,173,123,242,307,473,572,246,372,174,193,68,182,144,231,208,188,285,391,137,146,201,236,97
OG_01108,FUN_004630,30,15,0,15,0,6,0,13,10,0,22,12,25,31,0,2,0,7,0,5,0,26,0,0,21,11,5,0,3,6,30,0,5,5,52,0,0,0,4,0
OG_00150,FUN_000596,697,924,929,1262,922,828,355,582,1530,744,1327,1534,912,867,721,717,601,791,396,1252,620,580,1415,734,1595,554,877,841,1547,762,1174,1077,592,765,1003,408,920,529,699,712
OG_04506,FUN_022030,1492,1719,1571,1784,713,1431,588,700,552,1114,2456,2598,914,1369,1619,759,388,2484,2731,3353,2183,3095,4063,1749,2779,2695,3175,1204,1324,1048,2555,1123,909,1651,2484,1218,617,1078,1017,436
OG_04918,FUN_022975,1262,1261,1257,1130,1602,1043,1447,703,748,1679,1513,1831,825,870,1266,1083,365,2002,997,1344,1101,1621,1520,1198,1742,1901,1233,546,1517,1403,1371,1873,732,2544,1439,1423,1430,2070,1325,1569
OG_05592,FUN_025098,3189,3309,4587,4586,3799,2022,2014,1516,2344,2642,3161,5021,1998,2106,2660,2160,1311,2732,1740,4309,3321,1112,4326,2856,7404,1835,3303,1910,4094,1893,2762,4617,2634,2056,4056,2470,3241,2021,2348,2940
OG_06555,FUN_029434,1481,1915,1331,1306,511,1134,640,503,281,2370,1393,1552,401,1006,668,352,507,1891,418,1070,435,1061,1382,463,1369,1295,1504,532,472,573,1755,344,400,1752,1822,713,356,1546,904,318
OG_07895,FUN_035274,801,1158,1076,898,651,586,371,385,766,986,1087,1106,609,816,679,565,508,1066,528,1383,423,505,982,451,1156,650,851,254,603,431,1154,761,383,775,1286,455,463,607,726,653
OG_04986,FUN_023113,459,276,370,813,154,164,181,297,308,259,296,255,314,235,349,222,165,73,150,343,307,166,467,171,268,168,301,130,168,198,150,276,145,163,403,75,195,242,252,157
