"","gene_id","POR.216.TP1","POR.216.TP2","POR.216.TP3","POR.216.TP4","POR.236.TP1","POR.236.TP2","POR.245.TP1","POR.245.TP2","POR.245.TP3","POR.245.TP4","POR.260.TP1","POR.260.TP2","POR.260.TP3","POR.260.TP4","POR.262.TP1","POR.262.TP2","POR.262.TP3","POR.262.TP4","POR.69.TP1","POR.69.TP2","POR.69.TP3","POR.69.TP4","POR.72.TP1","POR.72.TP2","POR.72.TP3","POR.72.TP4","POR.73.TP1","POR.73.TP2","POR.73.TP3","POR.73.TP4","POR.74.TP1","POR.74.TP2","POR.74.TP3","POR.74.TP4","POR.83.TP1","POR.83.TP2","POR.83.TP3","POR.83.TP4"
"11974","gene-Peve_00037649",210,712,210,106,435,134,206,100,60,157,754,128,153,341,156,274,151,198,62,289,49,26,122,99,122,224,28,23,62,62,188,43,144,107,76,138,49,67
"12588","gene-Peve_00039098",1433,715,1128,468,2510,956,1895,738,875,276,2618,542,1103,965,968,1016,2004,770,364,1125,302,220,432,390,745,670,128,364,415,814,1121,172,1490,343,267,553,484,469
"13267","gene-Peve_00040711",139,294,137,87,249,161,183,143,35,271,157,132,48,111,80,242,255,250,249,74,141,95,203,339,178,297,115,55,52,77,144,107,122,63,143,117,143,126
"13657","gene-Peve_00041452",228,131,110,55,88,47,124,55,76,569,248,58,115,114,82,193,119,104,123,107,359,146,362,201,841,231,642,544,45,92,108,78,153,41,264,36,286,84
"13772","gene-Peve_00041845",75,234,65,37,145,66,152,79,19,80,251,53,67,81,128,267,210,128,75,168,73,36,63,102,110,98,63,47,32,49,68,30,56,26,134,47,47,25
"15434","gene-Peve_00000427",423,541,607,337,1278,495,742,298,441,1053,1223,349,554,443,731,1079,901,389,324,729,884,233,758,492,765,733,805,481,216,245,534,313,845,78,388,175,774,73
"15452","gene-Peve_00000456",127,76,59,47,320,119,130,87,83,369,278,83,159,143,97,280,148,135,193,55,120,116,83,87,267,156,220,230,57,112,90,61,102,46,330,95,117,129
"16311","gene-Peve_00002460",48,129,42,35,135,27,61,44,25,78,138,30,43,90,109,154,86,82,17,64,21,14,56,34,69,81,43,35,12,26,72,8,59,16,41,36,38,21
"17008","gene-Peve_00004005",3,33,0,3,15,0,47,6,12,0,167,13,7,33,116,7,9,21,0,125,0,5,0,123,20,172,4,10,3,44,59,47,45,50,4,28,17,15
"17148","gene-Peve_00004260",332,1195,416,425,1415,699,1322,718,661,437,1987,687,824,1049,1281,1916,1229,1585,767,1021,359,200,897,811,454,1592,273,144,438,627,1020,555,1214,750,976,649,407,311
"18699","gene-Peve_00007801",80,71,55,32,61,29,70,20,46,50,170,31,17,31,90,114,39,25,94,84,20,36,62,39,35,67,6,8,13,20,61,30,30,25,56,18,15,19
"19733","gene-Peve_00010343",161,168,77,26,109,127,130,74,106,251,314,26,133,87,78,195,126,77,392,136,174,240,185,132,24,180,238,57,51,103,164,79,217,46,450,64,56,71
"20456","gene-Peve_00012182",6,6,8,0,20,0,17,2,0,6,7,0,0,5,0,7,6,8,0,8,0,0,0,0,0,5,0,0,0,0,7,22,0,0,0,0,0,0
"20762","gene-Peve_00012956",1512,744,505,355,1084,406,1197,436,357,812,1132,501,455,446,836,759,922,524,1148,699,684,602,922,1381,1098,1435,878,744,263,490,962,402,698,249,855,698,670,641
"21681","gene-Peve_00015425",230,273,92,51,155,129,122,70,75,323,219,139,80,98,123,211,172,140,171,80,350,200,120,151,501,143,223,96,68,59,169,39,109,59,81,78,200,51
"21753","gene-Peve_00015644",39,74,46,16,106,32,40,57,38,33,102,29,36,34,47,85,160,98,29,68,34,16,35,28,44,53,17,6,58,44,22,6,37,5,26,26,11,3
"21856","gene-Peve_00015898",615,682,269,88,954,440,838,452,350,116,950,433,292,301,679,260,645,350,480,533,336,313,398,619,652,814,290,328,200,385,627,155,513,371,297,610,310,315
"21944","gene-Peve_00016114",1144,411,179,101,287,153,341,172,69,166,379,172,142,238,205,161,357,193,805,183,142,267,413,1277,273,1469,145,120,67,117,231,197,141,183,365,615,135,336
"24567","gene-Peve_00023301",129,230,84,60,243,57,206,98,77,76,213,61,68,119,208,178,170,146,95,105,74,77,106,110,207,216,65,129,58,117,67,48,83,58,65,90,73,98
"24617","gene-Peve_00023487",1054,338,206,152,303,176,767,177,178,393,545,213,305,344,1208,644,504,490,863,500,595,765,1188,868,1218,877,1170,357,117,314,932,529,435,314,731,782,800,544
"24937","gene-Peve_00024363",253,305,80,96,238,144,164,155,92,193,348,146,84,140,247,260,189,171,137,244,81,140,87,128,177,203,59,70,77,126,202,96,154,163,115,214,93,154
"24950","gene-Peve_00024412",41,70,5,0,10,10,34,6,6,0,42,25,13,12,29,27,15,0,38,26,14,8,14,18,9,34,0,0,0,15,16,0,8,3,6,48,6,5
"26039","gene-Peve_00027770",410,406,224,89,331,292,260,255,182,680,290,318,143,234,195,365,282,145,166,174,409,189,198,147,537,215,381,191,74,74,189,91,180,83,135,121,333,160
"26177","gene-Peve_00028255",83,75,18,25,23,22,28,10,9,74,59,23,30,23,14,12,81,45,51,26,41,76,56,18,103,42,36,78,11,8,24,23,39,11,48,10,9,9
"26447","gene-Peve_00029236",114,303,83,46,166,98,55,51,70,63,108,46,41,49,121,84,184,139,25,61,28,64,37,70,50,109,21,26,28,52,77,38,96,48,19,80,47,46
"38617","gene-Peve_00038386",0,23,27,7,24,8,7,11,0,5,8,6,0,4,0,50,20,28,4,0,9,0,20,3,0,18,0,0,8,0,3,0,6,0,7,0,0,0
