group_id,gene_id,POR.216.TP1,POR.216.TP2,POR.216.TP3,POR.216.TP4,POR.236.TP1,POR.236.TP2,POR.245.TP1,POR.245.TP2,POR.245.TP3,POR.245.TP4,POR.260.TP1,POR.260.TP2,POR.260.TP3,POR.260.TP4,POR.262.TP1,POR.262.TP2,POR.262.TP3,POR.262.TP4,POR.69.TP1,POR.69.TP2,POR.69.TP3,POR.69.TP4,POR.72.TP1,POR.72.TP2,POR.72.TP3,POR.72.TP4,POR.73.TP1,POR.73.TP2,POR.73.TP3,POR.73.TP4,POR.74.TP1,POR.74.TP2,POR.74.TP3,POR.74.TP4,POR.83.TP1,POR.83.TP2,POR.83.TP3,POR.83.TP4
OG_06546,gene-Peve_00018039,491,855,236,175,592,386,418,364,313,241,552,402,231,349,398,384,439,214,297,395,275,232,354,515,527,825,266,154,191,296,419,254,333,320,242,378,241,256
OG_02685,gene-Peve_00040401,1294,2475,862,633,1933,1216,1571,998,1199,1555,1720,645,487,919,1678,2254,1620,1636,1140,1081,645,654,1210,1476,1209,2197,779,467,658,926,1408,788,931,1194,905,1336,760,650
OG_04950,gene-Peve_00008504,152,410,146,60,329,122,273,124,116,347,391,161,105,222,212,382,263,269,136,140,136,63,176,219,242,269,103,56,56,100,194,93,181,75,193,86,169,60
OG_06379,gene-Peve_00026496,45,80,18,24,75,22,67,29,23,32,7,0,0,0,0,0,5,1,59,47,31,25,56,79,104,96,70,51,43,52,0,1,2,0,20,24,31,14
OG_06798,gene-Peve_00013838,280,683,236,86,597,282,338,203,171,450,544,237,182,314,344,435,465,507,186,290,263,175,284,213,382,472,129,154,135,164,248,118,219,195,225,248,170,99
OG_06914,gene-Peve_00043634,507,830,319,142,567,250,525,187,225,602,768,226,235,423,339,672,754,435,186,197,185,113,265,300,451,473,302,260,100,157,415,142,364,189,361,204,177,98
OG_09403,gene-Peve_00042929,854,2137,519,439,1512,842,924,793,1271,635,1661,783,519,867,864,1145,1194,998,572,1056,385,219,778,1479,641,1997,299,242,375,576,1136,523,1042,841,650,964,500,426
OG_01530,gene-Peve_00012586,317,788,318,263,363,182,394,272,237,726,523,292,164,384,275,759,574,602,246,290,365,145,515,651,421,764,219,76,178,160,493,301,215,239,307,322,259,129
OG_02994,gene-Peve_00008637,1329,2734,999,614,1979,738,1353,755,463,948,2135,870,1126,1419,1680,1568,2026,1435,846,865,687,393,1605,843,945,1661,670,457,376,567,1132,441,1091,436,755,548,461,441
OG_04478,gene-Peve_00008861,1123,545,196,258,397,201,522,124,76,370,619,221,266,389,776,283,293,207,596,189,93,351,1184,1185,464,1719,159,260,70,217,624,262,205,211,522,533,141,342
OG_10290,gene-Peve_00018799,170,547,221,51,437,182,414,175,219,93,461,136,104,137,193,157,393,200,125,245,144,112,118,106,130,240,113,72,93,182,263,68,239,136,120,150,89,67
OG_04749,gene-Peve_00012223,66,108,43,13,127,93,73,63,62,162,145,47,56,87,38,154,125,95,58,57,61,52,49,32,92,89,39,48,20,50,60,30,48,16,55,38,41,36
OG_09057,gene-Peve_00009277,400,425,196,110,349,203,340,253,145,310,382,325,235,333,293,355,530,309,707,159,286,360,625,636,584,752,456,151,226,184,585,326,224,350,448,295,347,410
OG_01209,gene-Peve_00043725,22,92,44,4,45,26,32,10,22,53,36,17,22,10,73,75,66,63,44,22,42,22,30,17,17,48,10,22,6,15,20,15,44,10,62,14,10,32
OG_01490,gene-Peve_00021031,131,361,191,78,441,112,128,130,39,131,356,74,70,83,136,257,349,165,105,118,115,57,100,125,174,125,97,82,38,51,109,73,100,13,61,72,66,55
OG_04731,gene-Peve_00012273,407,1270,634,301,1318,569,988,395,403,520,1545,753,707,842,909,1142,1074,868,471,832,366,187,682,459,462,659,297,142,318,425,906,225,672,208,413,252,334,292
OG_00217,gene-Peve_00010048,214,406,182,40,376,199,292,110,96,91,552,188,141,178,166,157,333,154,154,312,163,115,106,141,140,304,93,79,89,118,198,67,122,77,73,130,109,95
OG_00056,gene-Peve_00033540,60,120,128,48,121,48,55,22,12,64,69,24,54,29,0,74,65,27,41,15,32,13,5,5,5,14,38,8,21,14,60,25,42,31,110,19,32,46
OG_05973,gene-Peve_00032417,72,92,54,29,68,30,34,0,20,69,127,20,14,54,38,89,84,51,22,36,10,23,55,61,27,106,41,7,16,24,20,16,22,0,59,17,7,13
OG_02798,gene-Peve_00035074,58,156,34,34,101,46,141,65,29,43,136,21,33,55,25,44,29,41,0,92,18,11,25,38,33,53,13,7,21,66,49,22,40,31,26,6,0,0
OG_02285,gene-Peve_00042603,33,58,21,24,34,10,65,27,24,20,67,10,19,31,31,46,69,21,16,66,25,11,61,11,39,18,23,12,12,21,56,6,51,12,13,49,27,15
OG_04744,gene-Peve_00012278,416,953,274,110,577,264,611,431,237,159,992,313,260,339,559,356,630,377,365,532,243,159,311,702,366,630,120,108,79,217,583,141,414,296,182,507,175,171
OG_09266,gene-Peve_00021006,8,48,0,7,45,11,42,26,43,13,46,9,13,16,0,42,10,12,6,29,28,9,27,13,40,17,18,29,10,14,24,4,16,4,11,6,9,10
OG_09672,gene-Peve_00033394,5123,6397,2697,1489,4783,2508,3123,1615,2077,2947,3800,1660,2051,2224,3569,2342,4045,2426,1832,1470,1370,1078,3800,3863,4036,4844,1991,1443,1138,1493,2335,863,1808,1012,2293,2140,1975,2040
OG_05374,gene-Peve_00013614,195,567,218,112,216,206,267,242,152,286,293,187,98,171,161,299,497,343,317,102,251,96,96,324,301,372,200,35,126,54,303,170,140,191,121,250,272,97
OG_01730,gene-Peve_00032896,5653,5207,2551,1907,4984,2245,3685,1720,3752,2257,5121,2675,2346,3207,4089,3426,3815,3089,3733,2697,1386,2293,2920,4260,3312,6077,2067,1327,1447,2529,3680,1637,3071,2570,3095,3628,2162,2488
OG_05555,gene-Peve_00020490,33,25,2,52,70,62,53,34,50,6,139,63,93,97,784,403,91,53,32,37,27,17,14,37,16,50,34,30,11,94,59,50,21,20,94,64,10,58
OG_09530,gene-Peve_00026860,1398,1144,415,383,1310,589,792,354,891,1849,872,468,446,544,164,97,154,136,204,97,154,141,1494,2076,2856,2941,202,79,43,77,1628,898,887,1044,169,214,150,125
