"","gene_id","ACR.139.TP1","ACR.139.TP2","ACR.139.TP3","ACR.139.TP4","ACR.145.TP1","ACR.145.TP2","ACR.145.TP3","ACR.145.TP4","ACR.150.TP1","ACR.150.TP2","ACR.150.TP3","ACR.150.TP4","ACR.173.TP1","ACR.173.TP2","ACR.173.TP3","ACR.173.TP4","ACR.186.TP1","ACR.186.TP2","ACR.186.TP3","ACR.186.TP4","ACR.225.TP1","ACR.225.TP2","ACR.225.TP3","ACR.225.TP4","ACR.229.TP1","ACR.229.TP2","ACR.229.TP3","ACR.229.TP4","ACR.237.TP1","ACR.237.TP2","ACR.237.TP3","ACR.237.TP4","ACR.244.TP1","ACR.244.TP2","ACR.244.TP3","ACR.244.TP4","ACR.265.TP1","ACR.265.TP2","ACR.265.TP3","ACR.265.TP4"
"8536","FUN_010719",4325,4483,7079,5763,5382,2201,4602,2079,5259,3548,3483,4991,3343,2530,3939,5569,4515,4042,4169,6554,4578,2100,4669,4167,7087,3598,5543,3948,5693,2290,3860,5555,4404,3373,4995,4143,5954,2987,3136,7382
"8751","FUN_010945",3245,4002,6095,2609,4178,1813,4493,2266,1842,3053,3771,2600,2060,3041,7608,3613,1379,3495,3829,3815,3000,3383,5347,2655,4757,3051,3592,1750,3158,2235,4328,3556,2619,2999,4774,2331,4509,3095,3316,5436
"9258","FUN_011765",344,322,241,142,154,124,164,102,178,227,337,392,55,139,227,38,127,125,141,110,662,426,930,360,560,320,420,305,180,216,353,221,416,623,837,546,133,306,260,150
"9642","FUN_012170",1340,1801,2648,1485,2213,831,2287,1846,1339,1242,1952,1664,1245,1039,3182,2185,759,916,1155,1193,1732,745,2220,1239,1938,950,1538,1084,2001,1066,2027,2465,1336,657,1845,1104,2882,1744,1896,2534
"11898","FUN_015065",5273,5478,7565,2851,2556,5367,4630,2196,2248,6812,5649,3451,3037,4968,6230,2567,2157,7036,3954,4326,2407,4416,5482,2555,4087,5894,5965,1724,2501,3888,7320,3585,1752,3998,5182,2088,1947,5196,3280,2602
"15666","FUN_021108",967,808,1226,1203,1839,558,1036,802,1238,959,657,1074,1239,546,1045,1377,1017,639,842,1066,1451,477,1039,1404,1808,645,852,1634,1614,615,687,1379,1129,797,931,1602,3087,851,1081,1974
"16472","FUN_022599",1252,1856,870,1108,507,988,676,657,468,1749,2115,1562,594,1609,747,743,315,1304,389,1163,301,1325,2522,396,1253,1187,1990,798,557,1321,2148,829,401,1835,2882,396,318,1221,1427,1012
"16496","FUN_022625",782,1247,1622,1006,1482,611,1920,926,1142,1299,1235,1128,917,829,1518,1058,598,993,884,988,1338,1394,2350,1123,1855,1092,1227,976,1328,866,1282,1367,1098,1047,1447,1267,1658,2194,1506,1354
"16502","FUN_022632",453,612,365,283,263,184,231,246,145,668,428,258,130,217,147,85,262,745,215,313,60,265,284,118,248,169,291,142,135,186,337,119,90,602,619,124,103,633,378,312
"16892","FUN_023040",1832,2413,2773,1552,2591,1608,2831,2230,1263,1293,2737,1860,1421,2185,4297,2194,919,1837,2574,1932,1483,2116,2310,1411,2008,810,1100,765,1757,1513,3219,2202,1182,1866,2358,1388,3031,2771,2223,2293
"17845","FUN_024187",932,761,2710,1122,962,984,1130,855,796,1257,1386,652,1159,1533,1879,838,624,727,569,1642,503,1274,2242,791,1792,1283,2372,392,491,800,1268,1165,528,804,1602,486,431,1532,750,980
"18398","FUN_024763",0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"19284","FUN_025840",8224,13987,17699,11820,14419,7453,8572,5483,14065,13451,10967,11874,10040,8057,14175,16205,8141,16801,8867,14456,11297,6525,16223,10111,19369,10450,13300,9754,16771,6592,17525,15496,11589,9430,17172,10223,16707,11460,9960,16242
"19799","FUN_026389",136,240,176,147,86,147,112,56,37,284,326,156,32,167,98,42,139,275,136,114,38,127,203,28,172,180,176,123,49,84,373,56,75,233,380,33,38,97,151,52
"21182","FUN_028149",1495,1572,5587,1947,2302,958,3652,1384,2241,1182,2186,1482,2425,1201,4191,3029,1317,1272,2911,2416,2270,1371,3730,3078,3655,1246,2987,1966,2539,1258,2328,4961,2386,1407,2955,3339,2628,1465,2119,3557
"21909","FUN_028985",711,1168,2369,1013,690,520,468,430,580,707,789,725,844,837,1828,986,930,1072,522,936,802,533,1770,815,1387,455,914,534,614,464,941,623,962,531,1605,1054,742,412,633,638
"22305","FUN_029418",2601,3030,4675,3611,3314,1810,2759,1422,2903,2604,3264,3023,1583,1130,2795,2459,1597,1976,1595,2320,2017,1550,2878,1690,3338,3025,3382,1841,2920,2125,3290,3290,1521,2706,3347,2178,3490,2624,1908,4205
"23846","FUN_031686",611,604,1155,1062,1179,361,840,574,608,680,578,1042,689,518,985,894,340,545,729,1373,909,428,1059,576,1374,387,829,488,1189,559,612,1101,952,632,861,840,1009,847,904,1209
"24130","FUN_031975",496,732,1659,965,1204,370,778,551,1288,606,745,896,1208,686,1749,1505,1038,885,789,1340,1276,200,1563,1015,1508,506,1132,1105,1537,374,1089,1439,1079,336,998,921,1375,457,829,1577
"26599","FUN_034854",2902,3143,7789,3493,3729,1789,4749,2421,2827,3769,3126,1985,4725,3552,5818,4481,2981,2948,3533,5650,3960,2549,5915,3872,6772,3849,5260,2003,2516,1900,3635,4466,3306,2302,4986,3088,3525,3201,3211,4240
"29932","FUN_038738",555,1050,1728,336,193,371,484,292,239,631,1005,234,259,687,922,138,381,795,372,435,168,267,1280,197,420,469,1328,165,171,362,1039,313,207,509,1503,191,105,531,505,172
"30608","FUN_039808",895,1446,2441,686,1130,684,895,580,1033,915,1030,820,1318,1136,2131,1524,1164,848,788,1259,1210,400,1920,919,1822,585,1510,893,944,522,1151,1436,935,520,1383,773,850,690,964,1435
"30852","FUN_040071",499,652,487,343,378,227,170,116,39,282,785,735,141,205,335,88,98,562,190,499,329,375,694,213,666,488,529,60,501,411,679,289,234,528,617,119,199,279,231,177
"30961","FUN_040204",861,1072,1119,771,2057,546,1909,1165,1517,1363,1003,1124,618,763,1146,1125,604,869,1082,1117,1308,704,1071,985,1656,755,1145,1543,1415,610,987,1619,1259,857,1045,1716,2789,1457,1246,2352
"31326","FUN_040783",2303,3524,2600,3382,1849,1711,1640,858,1803,1829,3283,3962,2404,2848,4210,5428,1401,1964,2216,4161,3016,1430,4638,2685,7447,2678,3797,1791,3378,1940,3753,4195,3490,3180,4811,1802,1385,1545,1528,3112
"31937","FUN_041607",3858,2630,3661,6854,2366,1500,1088,2166,2182,2575,1698,3017,1993,3120,2620,2021,738,1660,862,6810,982,4316,2894,1845,3416,1807,2175,774,1345,1432,1996,1497,1216,2108,2951,853,934,1869,1233,1708
"32212","FUN_041890",1967,2242,3729,2705,2366,1747,2700,1707,2373,3256,2769,2663,1621,1985,3105,2356,1409,2962,2329,2878,1527,2714,2591,1656,2798,3120,2543,1209,2305,2222,2965,2457,1661,2790,2500,1958,3216,3090,2107,3157
