gene_id,absolute_loading,signed_loading
OG_03658,2.693759225314797,2.693759225314797
OG_07554,2.6855216118802328,2.6855216118802328
OG_02949,2.6826300191479016,2.6826300191479016
OG_00361,2.6773673534609905,2.6773673534609905
OG_07861,2.6725783956840607,2.6725783956840607
OG_03792,2.663407427303806,2.663407427303806
OG_07835,2.66236285689504,2.66236285689504
OG_05208,2.6273550593524737,2.6273550593524737
OG_05473,2.625414781824688,2.625414781824688
OG_05437,2.6059081001819417,2.6059081001819417
OG_09029,2.6047296430315963,2.6047296430315963
OG_08091,2.5887534082417574,2.5887534082417574
OG_04006,2.5809345604025364,2.5809345604025364
OG_05436,2.5517588486798206,2.5517588486798206
OG_00253,2.543805828587061,2.543805828587061
OG_08046,2.5288535439731925,2.5288535439731925
OG_09807,2.5250858473191164,2.5250858473191164
OG_02049,2.5245861980551614,2.5245861980551614
OG_00308,2.5182862881186754,2.5182862881186754
OG_08718,2.512351488759485,2.512351488759485
OG_01447,2.5081198590286213,2.5081198590286213
OG_00953,2.5066425816295865,2.5066425816295865
OG_00119,2.5064101681381388,2.5064101681381388
OG_02043,2.504198784739126,2.504198784739126
OG_07764,2.490347127472865,2.490347127472865
OG_05691,2.4879206113340646,2.4879206113340646
OG_04285,2.487631968423693,2.487631968423693
OG_05551,2.4870159203763973,2.4870159203763973
OG_00866,2.4842248943829888,2.4842248943829888
OG_03546,2.4822680323387285,2.4822680323387285
OG_04041,2.477027172391578,2.477027172391578
OG_08340,2.474761391658714,2.474761391658714
OG_01498,2.462238601304982,2.462238601304982
OG_08482,2.4530637269680184,2.4530637269680184
OG_07351,2.4485696154001158,2.4485696154001158
OG_03926,2.4482594521533763,2.4482594521533763
OG_06778,2.4479895526511157,2.4479895526511157
OG_06310,2.445111122304654,2.445111122304654
OG_05446,2.441421447913972,2.441421447913972
OG_03492,2.4398143612340006,2.4398143612340006
OG_07864,2.4366854814663164,2.4366854814663164
OG_07066,2.434656020703791,2.434656020703791
OG_06850,2.433665118287581,2.433665118287581
OG_06942,2.430514981343428,2.430514981343428
OG_01141,2.430016182123536,2.430016182123536
OG_02227,2.421194424735043,2.421194424735043
OG_01491,2.4207988489670305,2.4207988489670305
OG_01735,2.4162840123988816,2.4162840123988816
OG_06973,2.4123137080307235,2.4123137080307235
OG_01475,2.4111653374633573,2.4111653374633573
OG_05220,2.410084497035765,2.410084497035765
OG_03452,2.401225764929082,2.401225764929082
OG_06203,2.3994220242070963,2.3994220242070963
OG_03517,2.399420888734285,2.399420888734285
OG_06702,2.3990959645365084,2.3990959645365084
OG_06403,2.3977854707402178,2.3977854707402178
OG_07102,2.388392250751469,2.388392250751469
OG_08674,2.3883599586430413,2.3883599586430413
OG_08396,2.38407768250735,2.38407768250735
OG_07760,2.3796992448643555,2.3796992448643555
OG_09789,2.3724264590400006,2.3724264590400006
OG_00514,2.371782716812757,2.371782716812757
OG_05572,2.3620806576088555,2.3620806576088555
OG_00596,2.3612742041860244,2.3612742041860244
OG_04496,2.360450839072387,2.360450839072387
OG_08705,2.357035916517494,2.357035916517494
OG_08008,2.351861836073728,2.351861836073728
OG_00679,2.351770496274534,2.351770496274534
OG_09840,2.347036059575501,2.347036059575501
OG_03311,2.3466320647844667,2.3466320647844667
OG_08856,2.343736974398269,2.343736974398269
OG_04133,2.3403615928811035,2.3403615928811035
OG_08536,2.3398490961256795,2.3398490961256795
OG_07663,2.3385498301657752,2.3385498301657752
OG_09806,2.3314512313625557,2.3314512313625557
OG_09949,2.3309974232640576,2.3309974232640576
OG_04243,2.3262391467052645,2.3262391467052645
OG_01608,2.322958918320797,2.322958918320797
OG_05698,2.3228654165560574,2.3228654165560574
OG_05110,2.315502439089108,2.315502439089108
OG_00081,2.313775949278563,2.313775949278563
OG_08835,2.3137566979791147,2.3137566979791147
OG_10067,2.310863807521511,2.310863807521511
OG_08170,2.304683296817136,2.304683296817136
OG_10099,2.3046568863140835,2.3046568863140835
OG_00077,2.3042919430938897,2.3042919430938897
OG_09233,2.3003811209913643,2.3003811209913643
OG_04531,2.294053336146105,2.294053336146105
OG_00629,2.293824097441724,2.293824097441724
OG_03864,2.2930577634146783,2.2930577634146783
OG_09524,2.2896032769226924,2.2896032769226924
OG_02908,2.287892505862632,2.287892505862632
OG_09577,2.2844441701285825,2.2844441701285825
