"","miRNA","mRNA","PCC.cor","p_value","mRNA_coords","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"22","Cluster_2746","FUN_003485",0.561793741768205,0.000161909325628506,"ntLink_8:12030008-12031008",140,-12.07,"2 9","404 426",7,"100.00%","100.00%"
"23","Cluster_4752","FUN_003571",0.506493803039627,0.000853579512756129,"ntLink_8:12821025-12821406",158,-15.15,"2 19","246 264",17,"82.35%","88.24%"
"24","Cluster_17245","FUN_003784",0.59168762180536,5.79360160047553e-05,"ntLink_8:15340691-15341691",142,-10.28,"2 22","691 711",20,"60.00%","70.00%"
"25","Cluster_14532","FUN_003789",0.504283181305984,0.000907031710248447,"ntLink_8:15405252-15406252",171,-17.45,"2 22","202 227",23,"73.91%","86.96%"
"26","Cluster_13327","FUN_003882",0.54027665179896,0.000319935493625104,"ntLink_8:16477044-16478044",146,-15.43,"2 15","302 323",13,"76.92%","76.92%"
"27","Cluster_12081","FUN_003885",0.899471473928725,3.09168982699327e-15,"ntLink_8:16485205-16486205",146,-15.09,"2 20","122 143",19,"63.16%","73.68%"
"28","Cluster_12083","FUN_003885",0.914792428242454,1.53170017364928e-16,"ntLink_8:16485205-16486205",146,-15.09,"2 20","122 143",19,"63.16%","73.68%"
"29","Cluster_12087","FUN_003885",0.919813579737699,5.05096808957582e-17,"ntLink_8:16485205-16486205",146,-15.09,"2 20","122 143",19,"63.16%","73.68%"
"30","Cluster_5603","FUN_003928",0.510799374131362,0.00075745158246658,"ntLink_8:17066162-17067162",145,-15.86,"2 21","585 607",20,"65.00%","75.00%"
"31","Cluster_14605","FUN_003928",0.562815702685487,0.000156572280915553,"ntLink_8:17066162-17067162",142,-10.89,"2 11","74 95",9,"88.89%","88.89%"
"32","Cluster_14605","FUN_003928",0.562815702685487,0.000156572280915553,"ntLink_8:17066162-17067162",145,-10.67,"2 14","12 33",12,"75.00%","83.33%"
"33","Cluster_2500","FUN_003986",0.515766786641098,0.00065862178066264,"ntLink_8:17753413-17754413",153,-12.9,"2 19","169 192",19,"68.42%","78.95%"
"34","Cluster_5516","FUN_003998",0.623718901762995,1.70980750472071e-05,"ntLink_8:17864102-17865102",141,-13.77,"2 20","720 740",18,"66.67%","66.67%"
"35","Cluster_2372","FUN_004143",0.702139033152342,4.4399305262057e-07,"ntLink_8:19792799-19793799",151,-11.26,"2 21","711 733",20,"70.00%","70.00%"
"36","Cluster_4752","FUN_004158",-0.530853803935263,0.000425048923604608,"ntLink_8:19911520-19912520",165,-17.6,"2 19","653 674",18,"77.78%","88.89%"
"37","Cluster_14532","FUN_004162",0.545785217295011,0.000269921700096064,"ntLink_8:19963170-19964170",142,-12.39,"2 20","921 947",22,"63.64%","63.64%"
"38","Cluster_9786","FUN_004186",0.51325592262283,0.000707037898106499,"ntLink_8:20586319-20587319",145,-14.91,"2 19","778 799",18,"61.11%","77.78%"
"39","Cluster_17623","FUN_004186",0.615211146808893,2.39548883562596e-05,"ntLink_8:20586319-20587319",166,-17.49,"2 19","41 62",17,"76.47%","88.24%"
"40","Cluster_16354","FUN_004208",0.547564860860101,0.000255336765381105,"ntLink_8:20785057-20786057",155,-13.91,"2 22","530 551",20,"70.00%","75.00%"
"41","Cluster_2372","FUN_004261",0.523815288724411,0.000522723432329563,"ntLink_8:21352535-21353535",151,-15.99,"2 16","63 84",14,"71.43%","85.71%"
"42","Cluster_14532","FUN_004302",-0.538418471968614,0.000338594345686427,"ntLink_8:21706262-21707262",145,-13.29,"2 22","196 216",20,"65.00%","75.00%"
"43","Cluster_15097","FUN_004344",0.509507196406977,0.00078523435118434,"ntLink_8:22151693-22152693",146,-13.58,"2 20","232 254",19,"63.16%","73.68%"
"44","Cluster_4752","FUN_004340",0.533160760832609,0.00039679536337183,"ntLink_8:22109437-22110437",149,-11.73,"2 19","277 298",18,"66.67%","77.78%"
"45","Cluster_9366","FUN_004342",0.515739016182935,0.000659140671354891,"ntLink_8:22130577-22131577",149,-16.53,"2 19","334 357",19,"63.16%","78.95%"
"46","Cluster_9706","FUN_004363",-0.63461859970082,1.09367674903235e-05,"ntLink_8:22377750-22378750",150,-13.36,"2 15","235 256",13,"76.92%","84.62%"
"47","Cluster_3301","FUN_004405",0.512135018687985,0.000729657810363279,"ntLink_8:22940302-22941302",156,-11.58,"2 21","921 941",19,"78.95%","78.95%"
"48","Cluster_14532","FUN_004421",0.507123251295686,0.000838881315602051,"ntLink_8:23116415-23117415",145,-11.08,"2 20","593 618",21,"66.67%","71.43%"
"49","Cluster_16354","FUN_004423",-0.512579368071659,0.000720614798914968,"ntLink_8:23133100-23134100",147,-14.16,"2 12","727 749",10,"90.00%","90.00%"
"50","Cluster_2500","FUN_004455",0.525332353169949,0.000500120147646883,"ntLink_8:23392748-23393748",164,-16.02,"2 18","43 65",17,"82.35%","88.24%"
"51","Cluster_14532","FUN_004576",-0.544508882980527,0.000280838481672871,"ntLink_8:24508579-24509579",145,-11.23,"2 18","639 661",16,"68.75%","68.75%"
"52","Cluster_14532","FUN_004577",-0.520553599632678,0.000574439515140014,"ntLink_8:24509030-24510030",145,-11.23,"2 18","188 210",16,"68.75%","68.75%"
"53","Cluster_5516","FUN_004496",-0.53600135477301,0.000364325019837579,"ntLink_8:23784424-23785424",144,-14.09,"2 15","407 427",13,"76.92%","84.62%"
"54","Cluster_4752","FUN_004638",-0.578643023005864,9.18445235274798e-05,"ntLink_8:25281895-25282895",149,-15.3,"2 20","442 465",21,"61.90%","80.95%"
"55","Cluster_2372","FUN_004641",0.60156516611033,4.03255209611372e-05,"ntLink_8:25307229-25308229",153,-10.77,"2 20","424 447",20,"70.00%","80.00%"
"56","Cluster_2372","FUN_004641",0.60156516611033,4.03255209611372e-05,"ntLink_8:25307229-25308229",167,-17.67,"2 20","124 145",18,"77.78%","83.33%"
"57","Cluster_1819","FUN_004644",0.517328449362963,0.000630022014780864,"ntLink_8:25320958-25321958",151,-12.3,"2 19","681 702",18,"77.78%","77.78%"
"58","Cluster_1865","FUN_004670",0.612154534839736,2.6975711371491e-05,"ntLink_8:25616325-25617325",146,-12.17,"2 15","378 401",13,"76.92%","76.92%"
"59","Cluster_1865","FUN_004780",-0.504954630914852,0.000890490032341991,"ntLink_8:26937540-26938540",154,-16.28,"2 16","932 958",17,"76.47%","82.35%"
"60","Cluster_14532","FUN_004780",-0.612517157775006,2.66000178605926e-05,"ntLink_8:26937540-26938540",168,-16.79,"2 22","53 77",22,"77.27%","77.27%"
"61","Cluster_3301","FUN_004783",0.603359493602048,3.77077762301739e-05,"ntLink_8:26982088-26983088",163,-13.99,"2 21","641 664",20,"70.00%","85.00%"
"62","Cluster_4036","FUN_004806",0.539909984649978,0.000323542527369365,"ntLink_8:27252978-27253978",149,-15.55,"2 21","583 600",19,"78.95%","78.95%"
"63","Cluster_3109","FUN_004812",0.53204289795882,0.000410268600289647,"ntLink_8:27279540-27280540",153,-11.45,"2 21","278 297",19,"63.16%","84.21%"
"64","Cluster_14605","FUN_004854",0.532936983781449,0.000399460287317996,"ntLink_8:27886007-27887007",148,-10.83,"2 13","317 338",11,"81.82%","90.91%"
"65","Cluster_4036","FUN_004890",0.628788904027968,1.39187854046148e-05,"ntLink_8:28413936-28414936",163,-20.67,"2 16","840 861",14,"85.71%","92.86%"
"66","Cluster_14532","FUN_004893",0.567050019658442,0.000136110171200882,"ntLink_8:28445114-28446114",156,-10.4,"2 22","857 881",22,"63.64%","77.27%"
"67","Cluster_14532","FUN_004896",0.571604605204213,0.0001168249173631,"ntLink_8:28477313-28478313",165,-16.57,"2 22","304 326",20,"70.00%","80.00%"
"68","Cluster_1865","FUN_004899",-0.53301323361256,0.000398550444644116,"ntLink_8:28496719-28497719",141,-11.83,"2 14","593 616",12,"75.00%","75.00%"
"69","Cluster_1865","FUN_004899",-0.53301323361256,0.000398550444644116,"ntLink_8:28496719-28497719",146,-13.28,"2 21","949 975",22,"63.64%","72.73%"
"70","Cluster_2500","FUN_004899",-0.513831670867611,0.000695664030211611,"ntLink_8:28496719-28497719",154,-10.17,"2 20","202 224",19,"68.42%","78.95%"
"71","Cluster_12081","FUN_004920",0.555862447138332,0.000196258381006921,"ntLink_8:28737394-28738394",144,-11.82,"2 19","161 180",17,"64.71%","76.47%"
"72","Cluster_12083","FUN_004920",0.548085396787553,0.000251206872160323,"ntLink_8:28737394-28738394",144,-11.82,"2 19","161 180",17,"64.71%","76.47%"
"73","Cluster_12087","FUN_004920",0.52636128349026,0.000485291372221562,"ntLink_8:28737394-28738394",144,-11.82,"2 19","161 180",17,"64.71%","76.47%"
"74","Cluster_1865","FUN_004944",0.583061393579887,7.87466052318624e-05,"ntLink_8:29119636-29120511",149,-11.82,"2 18","569 592",16,"68.75%","75.00%"
"75","Cluster_2500","FUN_004970",0.511158213084378,0.000749893268421939,"ntLink_8:29395904-29396904",154,-12.5,"2 20","633 655",19,"68.42%","78.95%"
"76","Cluster_14605","FUN_005092",0.536175054707731,0.00036241910610066,"ntLink_8:30995470-30996470",157,-13.99,"2 14","582 603",12,"91.67%","91.67%"
"77","Cluster_5516","FUN_005122",0.510782547849019,0.000757807658279391,"ntLink_8:31323389-31324389",151,-10.68,"2 17","269 291",16,"75.00%","81.25%"
"78","Cluster_3109","FUN_005153",0.648001503560881,6.16810246792813e-06,"ntLink_8:31866292-31867292",142,-10.78,"2 11","899 920",9,"88.89%","88.89%"
"79","Cluster_14532","FUN_005153",0.636117509164061,1.02710829474676e-05,"ntLink_8:31866292-31867292",152,-13.13,"2 22","824 847",21,"66.67%","71.43%"
"80","Cluster_4752","FUN_005218",-0.579622712796106,8.87809728009044e-05,"ntLink_8:32889428-32890428",141,-17.2,"2 20","884 907",21,"57.14%","76.19%"
"81","Cluster_14532","FUN_005218",0.735345255146427,6.50350395884556e-08,"ntLink_8:32889428-32890428",169,-16.3,"2 22","825 847",20,"70.00%","85.00%"
"82","Cluster_4752","FUN_005258",-0.576129178444225,0.000100148466884991,"ntLink_8:33236195-33237195",171,-19.52,"2 20","957 977",18,"77.78%","88.89%"
"83","Cluster_1865","FUN_005301",0.633665559951709,1.13803236233961e-05,"ntLink_8:33799184-33800184",164,-19.42,"2 22","189 214",22,"68.18%","81.82%"
"84","Cluster_2500","FUN_005313",0.533251082173349,0.000395724262613462,"ntLink_8:33903629-33904629",163,-11.53,"2 21","186 208",20,"70.00%","85.00%"
"85","Cluster_2500","FUN_005313",0.533251082173349,0.000395724262613462,"ntLink_8:33903629-33904629",169,-19.38,"2 18","978 999",16,"87.50%","87.50%"
"86","Cluster_14532","FUN_005313",0.728409741067893,9.93857760065643e-08,"ntLink_8:33903629-33904629",154,-11.03,"2 19","11 33",17,"70.59%","76.47%"
"87","Cluster_14692","FUN_005313",0.515480178785408,0.000663994611995619,"ntLink_8:33903629-33904629",148,-13.63,"2 18","376 399",18,"66.67%","77.78%"
"88","Cluster_4752","FUN_005264",-0.503802028602843,0.000919052727449186,"ntLink_8:33276778-33277778",169,-18.84,"2 19","533 554",18,"83.33%","88.89%"
"89","Cluster_17245","FUN_005272",0.631879673710274,1.22561091758982e-05,"ntLink_8:33333959-33334959",152,-13.15,"2 19","391 412",17,"76.47%","76.47%"
"90","Cluster_14532","FUN_005354",0.589685048271088,6.22628162536077e-05,"ntLink_8:34354975-34355975",149,-11.92,"2 20","818 843",21,"71.43%","71.43%"
"91","Cluster_14532","FUN_005354",0.589685048271088,6.22628162536077e-05,"ntLink_8:34354975-34355975",168,-18.61,"2 22","663 686",21,"71.43%","85.71%"
"92","Cluster_2372","FUN_005385",0.610960868533842,2.82468394477523e-05,"ntLink_8:34724380-34725380",153,-14.17,"2 20","879 902",20,"75.00%","75.00%"
"93","Cluster_3301","FUN_000198",0.656374124473709,4.24930125909989e-06,"ntLink_6:211307-212307",151,-10.55,"2 22","204 229",23,"60.87%","78.26%"
"94","Cluster_4752","FUN_000198",-0.558542407499731,0.000179998928765484,"ntLink_6:211307-212307",147,-13.84,"2 17","284 305",16,"68.75%","81.25%"
"95","Cluster_14532","FUN_000198",0.692358179137551,7.44663689770964e-07,"ntLink_6:211307-212307",160,-12.97,"2 22","797 820",21,"66.67%","80.95%"
"96","Cluster_4752","FUN_000264",-0.51646886155645,0.00064562398149531,"ntLink_6:883987-884987",146,-11.01,"2 20","28 49",19,"57.89%","78.95%"
"97","Cluster_14532","FUN_000316",0.550313895899135,0.000234197028887607,"ntLink_6:1426569-1427569",155,-17.25,"2 22","921 942",20,"65.00%","80.00%"
"98","Cluster_14532","FUN_000316",0.550313895899135,0.000234197028887607,"ntLink_6:1426569-1427569",163,-15.75,"2 22","905 926",20,"65.00%","90.00%"
"99","Cluster_14532","FUN_000318",0.653856600006206,4.7588250711739e-06,"ntLink_6:1467266-1468266",163,-10.51,"2 22","259 280",20,"75.00%","80.00%"
"100","Cluster_2500","FUN_000367",0.719904292484281,1.64335400933758e-07,"ntLink_6:2099648-2100648",153,-10.53,"2 19","420 443",19,"68.42%","78.95%"
"101","Cluster_3301","FUN_000398",0.687874629052739,9.37601946323005e-07,"ntLink_6:2412719-2413719",149,-13.8,"2 20","442 466",20,"65.00%","80.00%"
"102","Cluster_14692","FUN_000398",0.520756537550889,0.000571093268263454,"ntLink_6:2412719-2413719",152,-12.87,"2 17","267 288",15,"73.33%","80.00%"
"103","Cluster_4752","FUN_000514",0.515760455481574,0.000658740046229632,"ntLink_6:3853553-3854553",158,-19.14,"2 20","25 48",21,"71.43%","76.19%"
"104","Cluster_1865","FUN_000604",0.53049884632225,0.000429552502654948,"ntLink_6:4914230-4915230",156,-15.5,"2 22","594 620",23,"60.87%","78.26%"
"105","Cluster_9706","FUN_000633",-0.634048347787607,1.12002279072076e-05,"ntLink_6:5221099-5222099",145,-11.33,"2 10","289 310",8,"100.00%","100.00%"
"106","Cluster_14532","FUN_000908",0.507255724186732,0.000835816792336379,"ntLink_6:5932391-5933391",169,-15.01,"2 22","732 754",20,"70.00%","85.00%"
"107","Cluster_14605","FUN_000911",0.517105234277738,0.000634040800312047,"ntLink_6:5959716-5960716",147,-11.11,"2 12","87 108",10,"90.00%","90.00%"
"108","Cluster_14532","FUN_000985",0.529406906602079,0.000443675831873999,"ntLink_6:6820092-6821092",150,-11.69,"2 17","327 348",15,"80.00%","80.00%"
"109","Cluster_14532","FUN_000985",0.529406906602079,0.000443675831873999,"ntLink_6:6820092-6821092",155,-14.52,"2 22","846 870",22,"68.18%","77.27%"
"110","Cluster_14532","FUN_000993",0.503801546365108,0.000919064846272075,"ntLink_6:6976678-6977678",149,-10.1,"2 18","159 181",16,"68.75%","75.00%"
"111","Cluster_14532","FUN_001027",0.545577891009844,0.000271668636059298,"ntLink_6:7363495-7364495",160,-14.57,"2 20","230 250",18,"77.78%","83.33%"
"112","Cluster_1865","FUN_001028",0.521215440717229,0.000563590526849772,"ntLink_6:7372143-7373143",149,-15.41,"2 18","807 830",16,"68.75%","75.00%"
"113","Cluster_14532","FUN_001028",0.591909874477907,5.74730515180581e-05,"ntLink_6:7372143-7373143",169,-17.19,"2 22","655 677",20,"70.00%","85.00%"
"114","Cluster_16354","FUN_001049",0.544245129596866,0.000283143291890483,"ntLink_6:7885174-7886174",152,-14.45,"2 21","769 789",19,"73.68%","78.95%"
"115","Cluster_16354","FUN_001049",0.544245129596866,0.000283143291890483,"ntLink_6:7885174-7886174",177,-20.08,"2 22","333 355",20,"80.00%","85.00%"
"116","Cluster_4752","FUN_001082",-0.531555286276588,0.000416272934217916,"ntLink_6:8352955-8353955",153,-10.88,"2 20","148 167",18,"66.67%","83.33%"
"117","Cluster_14610","FUN_001130",0.546533866969588,0.000263697323283197,"ntLink_6:8946230-8947230",155,-11.6,"2 19","579 601",18,"77.78%","83.33%"
"118","Cluster_5516","FUN_001148",0.506703691562703,0.000848653161313241,"ntLink_6:9150601-9151601",151,-13,"2 18","354 374",16,"75.00%","81.25%"
"119","Cluster_14532","FUN_001148",0.684712208404515,1.1003729301912e-06,"ntLink_6:9150601-9151601",172,-13.69,"2 21","50 72",19,"73.68%","89.47%"
"120","Cluster_16354","FUN_001148",0.665871590214643,2.74539183823673e-06,"ntLink_6:9150601-9151601",162,-20.1,"2 20","341 364",19,"78.95%","78.95%"
"121","Cluster_17245","FUN_001148",0.533323296115811,0.000394869758361089,"ntLink_6:9150601-9151601",158,-11.37,"2 20","631 654",19,"73.68%","78.95%"
"122","Cluster_4752","FUN_001175",-0.522836951568223,0.000537780141920097,"ntLink_6:9377313-9378313",154,-15.35,"2 19","515 533",17,"76.47%","88.24%"
"123","Cluster_14532","FUN_001213",-0.514389964260694,0.000684791048973927,"ntLink_6:9850724-9851724",156,-10.65,"2 22","717 740",21,"71.43%","71.43%"
"124","Cluster_5516","FUN_001215",0.622661640980491,1.78394353200532e-05,"ntLink_6:9877229-9878229",147,-12.72,"2 13","149 171",12,"83.33%","91.67%"
"125","Cluster_14532","FUN_001310",0.543746049859804,0.00028755107038676,"ntLink_6:10989664-10990664",163,-16.96,"2 22","507 532",23,"69.57%","82.61%"
"126","Cluster_3109","FUN_001281",0.69987855257582,5.01266557844588e-07,"ntLink_6:10716801-10717801",149,-10.94,"2 20","410 430",18,"72.22%","72.22%"
"127","Cluster_5516","FUN_001320",0.521992972318463,0.000551079230340795,"ntLink_6:11096706-11097706",150,-11.24,"2 15","249 270",13,"76.92%","84.62%"
"128","Cluster_2372","FUN_001347",0.594722543947586,5.18974503363248e-05,"ntLink_6:11312235-11313235",150,-14.83,"2 15","56 77",13,"76.92%","84.62%"
"129","Cluster_14532","FUN_001347",0.58283851294798,7.93644005067688e-05,"ntLink_6:11312235-11313235",150,-11.4,"2 22","237 257",20,"70.00%","70.00%"
"130","Cluster_2372","FUN_001385",-0.502717540773109,0.000946668103876931,"ntLink_6:11827125-11828125",147,-15.17,"2 12","369 390",10,"90.00%","90.00%"
"131","Cluster_14532","FUN_001463",0.503981719871772,0.000914546891042687,"ntLink_6:12651548-12652548",153,-10.22,"2 20","102 123",18,"61.11%","88.89%"
"132","Cluster_4752","FUN_001478",0.541822384674355,0.000305123216298017,"ntLink_6:12771310-12772310",143,-13.59,"2 20","43 63",18,"61.11%","66.67%"
"133","Cluster_12081","FUN_001487",0.630885430958311,1.27699884517402e-05,"ntLink_6:12823377-12824377",154,-17.71,"2 19","450 470",17,"70.59%","76.47%"
"134","Cluster_12083","FUN_001487",0.646647275986449,6.54437022172792e-06,"ntLink_6:12823377-12824377",154,-17.71,"2 19","450 470",17,"70.59%","76.47%"
"135","Cluster_12087","FUN_001487",0.637939125529202,9.5120972360968e-06,"ntLink_6:12823377-12824377",154,-17.71,"2 19","450 470",17,"70.59%","76.47%"
"136","Cluster_16354","FUN_001504",-0.585871685130649,7.13222336001686e-05,"ntLink_6:13056130-13057130",162,-17.76,"2 22","383 406",22,"77.27%","77.27%"
"137","Cluster_4752","FUN_001562",0.524523148292741,0.000512065562864976,"ntLink_6:13744846-13745846",142,-10.23,"2 11","228 248",9,"88.89%","88.89%"
"138","Cluster_14532","FUN_001588",-0.500545348314862,0.00100420784419454,"ntLink_6:14068092-14069092",162,-13.31,"2 15","1 15",13,"84.62%","100.00%"
"139","Cluster_14146","FUN_001725",0.526858965212181,0.00047826101752607,"ntLink_6:15362959-15363959",148,-10.04,"2 21","56 77",19,"63.16%","68.42%"
"140","Cluster_4752","FUN_001735",-0.53860233230646,0.000336705546439648,"ntLink_6:15456356-15457356",157,-15.64,"2 19","213 234",18,"72.22%","83.33%"
"141","Cluster_2500","FUN_001785",0.511904715804421,0.00073438440519462,"ntLink_6:16020516-16021516",161,-12.48,"2 18","540 561",16,"75.00%","87.50%"
"142","Cluster_2372","FUN_001844",0.500995919573759,0.000992023550693933,"ntLink_6:16890121-16891121",152,-14.93,"2 16","305 326",15,"86.67%","86.67%"
"143","Cluster_2372","FUN_001844",0.500995919573759,0.000992023550693933,"ntLink_6:16890121-16891121",158,-20.51,"2 18","205 226",17,"82.35%","88.24%"
"144","Cluster_14532","FUN_001853",0.500383287172889,0.00100862266925128,"ntLink_6:17037345-17038345",169,-19.68,"2 18","364 386",16,"81.25%","93.75%"
"145","Cluster_1836","FUN_001929",0.506368533932805,0.000856531846597786,"ntLink_6:17911177-17912177",149,-10.42,"2 17","203 221",15,"73.33%","86.67%"
"146","Cluster_1865","FUN_001970",0.575439869927817,0.000102541210017779,"ntLink_6:18424752-18425752",148,-18.68,"2 22","161 188",24,"62.50%","66.67%"
"147","Cluster_1865","FUN_001970",0.575439869927817,0.000102541210017779,"ntLink_6:18424752-18425752",150,-11.31,"2 22","949 970",20,"65.00%","75.00%"
"148","Cluster_1865","FUN_001970",0.575439869927817,0.000102541210017779,"ntLink_6:18424752-18425752",155,-15.58,"2 23","257 280",22,"63.64%","81.82%"
"149","Cluster_1950","FUN_001983",0.507984006442113,0.000819146528258226,"ntLink_6:18596303-18597303",146,-12.83,"2 19","683 704",17,"58.82%","76.47%"
"150","Cluster_1950","FUN_001983",0.507984006442113,0.000819146528258226,"ntLink_6:18596303-18597303",164,-16.75,"2 19","780 803",19,"78.95%","89.47%"
"151","Cluster_15097","FUN_002024",0.537611155513397,0.000347000951899125,"ntLink_6:18930698-18931698",146,-14.76,"2 15","273 294",13,"76.92%","76.92%"
"152","Cluster_14532","FUN_002102",0.652081838397574,5.15110092593012e-06,"ntLink_6:19836842-19837842",140,-10.3,"2 9","137 159",7,"100.00%","100.00%"
"153","Cluster_14532","FUN_002102",0.652081838397574,5.15110092593012e-06,"ntLink_6:19836842-19837842",145,-13.24,"2 10","875 897",8,"100.00%","100.00%"
"154","Cluster_14532","FUN_005749",0.523772257419453,0.000523377680152441,"ptg000001l:3627746-3628746",158,-13.58,"2 22","750 772",21,"76.19%","76.19%"
"155","Cluster_2500","FUN_005877",0.58096490899762,8.47341182439994e-05,"ptg000001l:5161535-5162535",163,-10.04,"2 21","155 177",20,"75.00%","80.00%"
"156","Cluster_16354","FUN_005883",0.582949392976425,7.90565087741874e-05,"ptg000001l:5200554-5201554",158,-13.73,"2 17","356 377",15,"86.67%","86.67%"
"157","Cluster_14532","FUN_005907",0.505509296240094,0.000877028327020466,"ptg000001l:5544919-5545919",168,-18.1,"2 22","34 57",21,"71.43%","85.71%"
"158","Cluster_14532","FUN_005896",0.644769779847134,7.10090330162115e-06,"ptg000001l:5418721-5419721",155,-11.62,"2 12","374 396",10,"100.00%","100.00%"
"159","Cluster_14532","FUN_005996",0.616962420904977,2.23665163718941e-05,"ptg000001l:6588674-6589674",148,-10.54,"2 22","343 363",21,"71.43%","71.43%"
"160","Cluster_4752","FUN_006001",0.502722904127499,0.000946529736976655,"ptg000001l:6656247-6657247",145,-17.18,"2 20","544 568",22,"68.18%","68.18%"
"161","Cluster_9706","FUN_006016",0.537124765336596,0.000352155684510418,"ptg000001l:6761321-6762321",164,-14.36,"2 19","183 203",17,"82.35%","88.24%"
"162","Cluster_14532","FUN_006089",0.536628210662399,0.000357488901844175,"ptg000001l:7646338-7647061",169,-17.09,"2 22","157 179",20,"75.00%","80.00%"
"163","Cluster_2372","FUN_006164",0.630274993105418,1.30951857197944e-05,"ptg000001l:8632316-8633316",141,-12.75,"2 19","43 67",20,"60.00%","70.00%"
"164","Cluster_5516","FUN_006164",0.58242683132321,8.05170933390224e-05,"ptg000001l:8632316-8633316",140,-14.91,"2 9","259 280",7,"100.00%","100.00%"
"165","Cluster_2372","FUN_006220",0.619248739308865,2.04375482610881e-05,"ptg000001l:9353226-9354226",144,-12.07,"2 21","629 650",19,"57.89%","68.42%"
"166","Cluster_2746","FUN_006202",0.628459391828567,1.41077021815959e-05,"ptg000001l:9157822-9158822",169,-16.83,"2 22","121 143",20,"75.00%","80.00%"
"167","Cluster_17623","FUN_006236",0.562472790903515,0.000158345116050417,"ptg000001l:9591367-9592367",157,-15.62,"2 18","283 304",16,"75.00%","81.25%"
"168","Cluster_4752","FUN_006242",-0.568742021609171,0.000128633348629155,"ptg000001l:9669112-9670112",150,-12.11,"2 20","605 627",20,"60.00%","80.00%"
"169","Cluster_2500","FUN_006259",-0.502665014737928,0.000948024151023045,"ptg000001l:9794014-9795014",151,-10.51,"2 21","882 905",21,"61.90%","76.19%"
