group_id,wgcna_module
OG_05557,7
OG_05571,7
OG_05579,7
OG_05592,7
OG_05628,7
OG_05648,7
OG_05716,7
OG_05743,7
OG_05793,7
OG_05817,7
OG_05826,7
OG_05836,7
OG_05913,7
OG_05915,7
OG_05948,7
OG_05997,7
OG_05998,7
OG_06012,7
OG_06073,7
OG_06078,7
OG_06092,7
OG_06116,7
OG_06136,7
OG_06175,7
OG_06178,7
OG_06225,7
OG_06253,7
OG_06254,7
OG_06262,7
OG_06338,7
OG_06364,7
OG_06453,7
OG_06464,7
OG_06526,7
OG_06536,7
OG_06555,7
OG_06582,7
OG_06584,7
OG_06625,7
OG_06642,7
OG_06647,7
OG_06648,7
OG_06693,7
OG_06724,7
OG_06769,7
OG_06798,7
OG_06801,7
OG_06804,7
OG_06832,7
OG_06871,7
OG_06882,7
OG_06912,7
OG_06930,7
OG_06931,7
OG_07042,7
OG_07077,7
OG_07111,7
OG_07148,7
OG_07159,7
OG_07162,7
OG_07167,7
OG_07172,7
OG_07176,7
OG_07179,7
OG_07188,7
OG_07216,7
OG_07227,7
OG_07228,7
OG_07242,7
OG_07264,7
OG_07275,7
OG_07301,7
OG_07331,7
OG_07341,7
OG_07353,7
OG_07402,7
OG_07429,7
OG_07432,7
OG_07446,7
OG_07456,7
OG_07484,7
OG_07495,7
OG_07500,7
OG_07539,7
OG_07552,7
OG_07558,7
OG_07615,7
OG_07653,7
OG_07657,7
OG_07681,7
OG_07689,7
OG_07695,7
OG_07707,7
OG_07713,7
OG_07770,7
OG_07767,7
OG_07773,7
OG_07782,7
OG_07811,7
OG_07871,7
OG_07878,7
OG_07876,7
OG_07891,7
OG_07907,7
OG_07937,7
OG_07947,7
OG_07980,7
OG_07975,7
OG_07994,7
OG_08016,7
OG_08043,7
OG_08056,7
OG_08081,7
OG_08132,7
OG_08141,7
OG_08157,7
OG_08163,7
OG_08164,7
OG_08167,7
OG_08169,7
OG_08185,7
OG_08200,7
OG_08224,7
OG_08238,7
OG_08263,7
OG_08269,7
OG_08294,7
OG_08298,7
OG_08297,7
OG_08330,7
OG_08358,7
OG_08381,7
OG_08406,7
OG_08421,7
OG_08438,7
OG_08466,7
OG_08479,7
OG_08561,7
OG_08565,7
OG_08595,7
OG_08583,7
OG_08592,7
OG_08597,7
OG_08619,7
OG_08644,7
OG_08656,7
OG_08674,7
OG_08897,7
OG_08912,7
OG_08908,7
OG_08917,7
OG_08921,7
OG_08924,7
OG_08946,7
OG_08961,7
OG_08968,7
OG_08969,7
OG_09038,7
OG_09062,7
OG_09099,7
OG_09128,7
OG_09137,7
OG_09212,7
OG_09259,7
OG_09273,7
OG_09288,7
OG_09321,7
OG_09331,7
OG_09334,7
OG_09407,7
OG_09460,7
OG_09473,7
OG_09477,7
OG_09484,7
OG_09496,7
OG_09502,7
OG_09504,7
OG_09505,7
OG_09519,7
OG_09520,7
OG_09572,7
OG_09575,7
OG_09580,7
OG_09581,7
OG_09651,7
OG_09671,7
OG_09675,7
OG_09676,7
OG_09701,7
OG_09704,7
OG_09717,7
OG_09761,7
OG_09790,7
OG_09813,7
OG_09887,7
OG_09916,7
OG_09941,7
OG_09960,7
OG_09975,7
OG_09987,7
OG_09998,7
OG_10019,7
OG_10057,7
OG_10125,7
OG_10136,7
OG_10162,7
OG_10187,7
OG_10200,7
OG_10217,7
OG_01500,7
OG_00683,2
OG_00688,2
OG_00690,2
OG_00691,2
OG_00695,2
OG_00719,2
OG_00721,2
OG_00740,2
OG_00802,2
OG_00806,2
OG_00807,2
OG_00811,2
OG_00813,2
OG_00872,2
OG_00876,2
OG_00892,2
OG_00895,2
OG_00913,2
OG_00926,2
OG_00967,2
OG_00972,2
OG_00982,2
OG_01029,2
OG_01031,2
OG_01076,2
OG_01078,2
OG_01084,2
OG_01085,2
OG_01135,2
OG_01139,2
OG_01144,2
OG_01147,2
OG_01166,2
OG_01168,2
OG_01171,2
OG_01156,2
OG_01188,2
OG_01196,2
OG_01189,2
OG_01240,2
OG_01218,2
OG_01250,2
OG_01257,2
OG_01267,2
OG_01269,2
OG_01294,2
OG_01303,2
OG_01311,2
OG_01322,2
OG_01314,2
OG_01329,2
OG_01350,2
OG_01363,2
OG_01367,2
OG_01369,2
OG_01373,2
OG_01353,2
OG_01380,2
OG_01387,2
OG_01399,2
OG_01395,2
OG_01403,2
OG_01408,2
OG_01410,2
OG_00017,2
OG_00033,2
OG_00038,2
OG_00049,2
OG_00073,2
OG_00082,2
OG_00083,2
OG_00129,2
OG_00135,2
OG_00145,2
OG_00152,2
OG_00155,2
OG_00164,2
OG_00171,2
OG_00177,2
OG_00182,2
OG_00201,2
OG_00203,2
OG_00213,2
OG_00216,2
OG_00229,2
OG_00245,2
OG_00248,2
OG_00263,2
OG_00278,2
OG_00271,2
OG_00300,2
OG_00309,2
OG_00319,2
OG_00333,2
OG_00328,2
OG_00330,2
OG_00334,2
OG_00339,2
OG_00355,2
OG_00376,2
OG_00381,2
OG_00390,2
OG_00394,2
OG_00402,2
OG_00403,2
OG_00414,2
OG_00431,2
OG_00432,2
OG_00436,2
OG_00439,2
OG_00440,2
OG_00441,2
OG_00445,2
OG_00446,2
OG_00453,2
OG_00484,2
OG_00491,2
OG_00494,2
OG_00495,2
OG_00501,2
OG_00513,2
OG_00536,2
OG_00571,2
OG_00583,2
OG_00613,2
OG_00615,2
OG_00675,2
OG_00670,2
OG_01419,2
OG_01421,2
OG_01424,2
OG_01442,2
OG_01455,2
OG_01454,2
OG_01464,2
OG_01480,2
OG_01484,2
OG_01514,2
OG_01506,2
OG_01548,2
OG_01547,2
OG_01543,2
OG_01551,2
OG_01552,2
OG_01555,2
OG_01556,2
OG_01557,2
OG_01561,2
OG_01562,2
OG_01574,2
OG_01575,2
OG_01586,2
OG_01582,2
OG_01611,2
OG_01589,2
OG_01620,2
OG_01626,2
OG_01629,2
OG_01630,2
OG_01641,2
OG_01647,2
OG_01658,2
OG_01663,2
OG_01664,2
OG_01677,2
OG_01691,2
OG_01690,2
OG_01698,2
OG_01706,2
OG_01728,2
OG_01731,2
OG_01734,2
OG_01749,2
OG_01765,2
OG_01775,2
OG_01784,2
OG_01798,2
OG_01800,2
OG_01802,2
OG_01815,2
OG_01816,2
OG_01831,2
OG_01874,2
OG_01880,2
OG_01886,2
OG_01896,2
OG_01905,2
OG_01912,2
OG_01918,2
OG_01948,2
OG_01954,2
OG_01958,2
OG_01975,2
OG_01999,2
OG_02006,2
OG_01984,2
OG_01991,2
OG_01993,2
OG_02046,2
OG_02050,2
OG_02051,2
OG_02057,2
OG_02058,2
OG_02061,2
OG_02064,2
OG_02073,2
OG_02075,2
OG_02080,2
OG_02114,2
OG_02148,2
OG_02140,2
OG_02142,2
OG_02157,2
OG_02161,2
OG_02170,2
OG_02184,2
OG_02194,2
OG_02235,2
OG_02224,2
OG_02243,2
OG_02259,2
OG_02267,2
OG_02277,2
OG_02280,2
OG_02279,2
OG_02295,2
OG_02297,2
OG_02327,2
OG_02332,2
OG_02334,2
OG_02349,2
OG_02366,2
OG_02378,2
OG_02394,2
OG_02403,2
OG_02406,2
OG_02427,2
OG_02438,2
OG_02449,2
OG_02465,2
OG_02467,2
OG_02469,2
OG_02470,2
OG_02472,2
OG_02473,2
OG_02476,2
OG_02486,2
OG_02488,2
OG_02495,2
OG_02508,2
OG_02511,2
OG_02540,2
OG_02551,2
OG_02574,2
OG_02609,2
OG_02604,2
OG_02605,2
OG_02641,2
OG_02649,2
OG_02666,2
OG_02683,2
OG_02699,2
OG_02701,2
OG_02724,2
OG_02741,2
OG_02765,2
OG_02759,2
OG_02788,2
OG_02793,2
OG_02811,2
OG_02803,2
OG_02834,2
OG_02814,2
OG_02815,2
OG_02822,2
OG_02828,2
OG_02829,2
OG_02845,2
OG_02847,2
OG_02850,2
OG_02871,2
OG_02870,2
OG_02877,2
OG_02893,2
OG_02894,2
OG_02907,2
OG_02909,2
OG_02922,2
OG_02928,2
OG_02929,2
OG_02940,2
OG_02945,2
OG_02948,2
OG_02953,2
OG_02959,2
OG_03007,2
OG_03008,2
OG_03010,2
OG_03018,2
OG_03058,2
OG_03063,2
OG_03064,2
OG_03070,2
OG_03096,2
OG_03100,2
OG_03081,2
OG_03113,2
OG_03144,2
OG_03186,2
OG_03189,2
OG_03192,2
OG_03193,2
OG_03194,2
OG_03221,2
