Name	POR-216-TP2	POR-73-TP1	POR-83-TP3	POR-72-TP1	POR-260-TP4	POR-245-TP2	POR-74-TP4	POR-72-TP3	POR-73-TP3	POR-262-TP2	POR-260-TP2	POR-245-TP4	POR-245-TP1	POR-260-TP1	POR-74-TP1	POR-69-TP4	POR-260-TP3	POR-72-TP4	POR-73-TP2	POR-83-TP2	POR-69-TP1	POR-83-TP4	POR-74-TP2	POR-262-TP1	POR-74-TP3	POR-245-TP3	POR-73-TP4	POR-83-TP1	POR-262-TP4	POR-72-TP2	POR-236-TP1	POR-262-TP3	POR-216-TP3	POR-236-TP2	POR-216-TP4	POR-69-TP2	POR-216-TP1
Cluster_6235	50	355	1	293	51	8	0	12	589	0	12	34	508	281	376	15	54	738	8	1001	773	71	163	590	14	66	22	38	0	505	553	0	597	0	0	1	272
Cluster_6236	182	429	0	354	27	0	0	84	1909	1	3	33	418	207	398	1	60	3259	6	1761	1095	91	312	1741	22	31	18	32	0	611	323	0	228	0	0	0	327
Cluster_6242	2871	6178	3	5890	388	104	0	1531	79195	14	150	356	119965	7049	5130	88	8631	57024	152	16827	10545	603	5617	54820	355	863	297	341	0	10124	8055	0	4810	0	17	5	6343
Cluster_6356	105	722	0	292	62	12	0	25	1263	0	6	113	744	356	658	9	37	1161	8	2385	2658	153	468	1195	56	53	19	33	0	826	855	0	390	0	1	0	609
Cluster_6918	50	332	0	233	48	14	0	15	321	0	23	61	279	292	469	11	17	482	6	943	1167	58	197	366	43	77	54	26	0	466	578	0	1341	0	1	1	810
Cluster_6919	50	321	0	228	45	11	0	13	325	0	26	62	280	295	455	9	20	481	6	950	1152	57	191	369	45	75	54	26	0	461	579	0	0	0	2	0	0
Cluster_7882	5	13	0	43	61	2	0	0	5	0	30	0	47	426	97	4	16	55	0	1921	159	73	29	52	14	3	0	29	0	70	0	0	125	0	0	0	106
Cluster_8071	209	11519	7	3056	582	130	0	266	6814	12	577	315	11914	9676	16960	158	357	7276	280	54336	11747	2885	4115	15712	961	1705	712	367	0	6144	8851	0	3112	0	14	5	3646
Cluster_8074	30	21568	5	134	37	1	0	28	4412	4	8	241	393	117	943	33	5	514	237	2683	1907	678	0	723	237	445	529	31	0	432	363	0	51	0	4	0	1794
Cluster_8075	108	3972	1	1860	185	110	0	142	1463	4	131	220	2023	2206	3731	57	70	3673	61	21723	3422	688	1053	2086	86	1139	186	122	0	3713	11343	0	3661	0	3	0	1519
Cluster_8147	1041	3178	3	1446	753	74	1	227	7217	14	105	1079	7169	3424	4719	21	610	8288	75	14465	15336	676	2898	9027	226	505	230	222	0	4717	8430	0	4519	0	21	0	7087
Cluster_9149	43	102	0	28	58	0	0	5	398	0	15	15	195	190	148	2	50	406	2	930	227	79	115	621	25	71	0	19	0	106	356	0	304	0	0	0	172
Cluster_9196	238	669	0	392	149	24	0	112	5016	1	31	60	4510	588	657	20	413	4881	43	17835	2185	1183	1408	5881	101	355	86	204	0	612	679	0	315	0	0	0	363
Cluster_9197	20	528	1	450	49	40	0	10	490	3	12	139	348	693	1081	5	43	1024	6	4868	1545	168	436	1008	102	222	24	290	0	767	1292	0	406	0	2	0	347
Cluster_9535	8	2	0	18	0	1	0	2	3	0	0	0	234	1	1	0	0	102	0	4	3	0	1	93	1	0	1	0	0	40	2	0	10	0	0	0	34
Cluster_10059	82	791	0	153	58	17	0	11	753	0	17	25	714	296	927	29	32	673	34	6261	581	334	606	657	97	128	58	135	0	229	485	0	673	0	2	0	372
Cluster_10229	54268	48553	2	13004	1778	232	0	7041	640368	14	218	991	456778	31417	14303	100	38393	417655	676	132711	69668	4879	55782	408313	889	2184	875	752	0	21493	51228	1	21532	0	11	2	96374
Cluster_11004	6	135	0	70	24	5	0	5	125	5	6	89	114	160	207	2	13	135	3	625	163	40	60	128	7	46	26	29	1	96	330	0	184	0	1	0	79
Cluster_11615	8	2	0	22	0	0	0	2	5	0	0	0	244	2	1	0	0	106	1	7	4	0	2	96	2	0	0	0	0	43	4	0	12	0	0	0	36
Cluster_13926	22	83	0	0	10	0	0	6	44	0	4	0	130	47	305	0	35	12	1	248	114	15	152	124	6	29	4	1	0	0	107	0	58	0	0	0	74
Cluster_14602	0	665	0	51	2	0	0	0	369	6	0	0	320	71	0	0	0	0	17	0	132	0	0	72	0	106	0	78	0	0	0	0	272	0	19	0	404
Cluster_14747	32	278	0	151	26	3	0	11	449	0	4	47	493	134	331	1	26	356	8	1148	503	63	110	568	10	32	19	22	0	225	253	0	306	0	0	0	244
Cluster_15329	18	53	0	26	33	13	0	6	408	0	11	57	407	71	0	0	12	234	13	2962	335	160	0	826	0	107	5	72	0	43	189	0	74	0	0	0	58
